HDays,ADays,HASLxM,HASTLxM,HACLxM,HAFLxM,HAYCLxM,HARCLxM,HAGSLxM,HAGCLxM,HAGSLxHM,HAGCLxHM,HGDLxM,HGDLxHM,HAPLxM,HAPLxHM,HWPLxM,HWPLxHM,HWinStreak,AASLxM,AASTLxM,AACLxM,AAFLxM,AAYCLxM,AARCLxM,AAGSLxM,AAGCLxM,AAGSLxAM,AAGCLxAM,AGDLxM,AGDLxAM,AAPLxM,AAPLxAM,AWPLxM,AWPLxAM,AWinStreak,HDef,HMid,HAtt,HOvr,ADef,AMid,AAtt,AOvr,B365H,B365D,B365A,Result
10,10,10.7,3.4,4.8,13.8,2.4,0.0,1.0,1.3,0.6,1.0,-3.0,-4.0,1.0,1.0,20.0,0.2,0.0,9.9,2.2,4.3,10.7,1.2,0.3,0.8,2.1,0.8,2.4,-13.0,-16.0,0.7,0.4,20.0,10.0,1.0,75,74,74,74.33,74,73,75,74.0,2.15,3.3,3.9,W
10,10,15.2,6.2,5.9,11.7,2.4,0.2,2.5,1.0,2.7,0.5,15.0,22.0,2.6,2.5,80.0,0.8,2.0,11.6,3.0,5.9,10.8,1.6,0.0,1.1,1.3,0.5,1.3,-2.0,-8.0,1.2,1.0,30.0,30.0,0.0,81,82,81,81.33,72,74,70,72.0,1.25,6.5,15.0,W
8,8,8.9,2.5,4.7,11.0,2.0,0.0,0.9,0.8,1.1,0.9,1.0,2.0,1.7,1.4,50.0,0.4,1.0,8.5,2.3,3.7,9.2,1.7,0.2,0.7,1.7,0.7,1.5,-10.0,-8.0,1.0,0.7,30.0,20.0,2.0,75,76,73,74.67,77,76,78,77.0,1.66,3.6,5.75,W
3,4,11.6,2.8,4.0,12.7,1.9,0.3,1.0,1.9,1.2,1.1,-9.0,1.0,0.9,1.4,20.0,0.3,0.0,14.0,5.0,5.6,10.8,1.5,0.2,1.6,1.0,1.8,1.6,6.0,2.0,1.8,1.7,60.0,50.0,1.0,75,74,74,74.33,82,81,86,83.0,7.0,4.0,1.57,W
5,9,16.6,4.5,6.3,9.5,1.2,0.0,1.5,1.7,1.7,0.3,-2.0,14.0,1.6,2.1,50.0,0.6,2.0,9.3,2.7,3.9,8.9,1.1,0.0,1.1,1.6,0.9,1.3,-5.0,-4.0,1.1,1.1,30.0,30.0,0.0,82,83,85,83.33,77,78,80,78.33,1.33,5.75,9.5,W
3,4,16.3,5.9,5.7,12.0,2.2,0.0,2.1,1.4,1.7,1.3,7.0,4.0,2.0,1.8,60.0,0.5,0.0,12.4,3.4,4.0,9.1,0.8,0.1,0.9,1.5,0.8,1.4,-6.0,-6.0,1.5,1.1,40.0,30.0,2.0,78,80,77,78.33,75,74,79,76.0,1.75,3.8,5.25,W
8,4,15.9,5.1,5.0,11.5,2.0,0.2,1.6,1.8,2.0,1.1,-2.0,9.0,1.6,2.2,50.0,0.7,0.0,10.1,3.5,4.7,12.6,2.3,0.0,1.2,2.1,0.7,2.0,-9.0,-13.0,1.0,0.5,30.0,10.0,0.0,79,78,82,79.67,71,72,74,72.33,1.5,4.5,7.5,W
10,10,18.3,6.0,7.4,12.0,2.0,0.1,2.0,1.2,2.4,0.8,8.0,16.0,1.8,2.3,50.0,0.7,0.0,9.8,3.6,2.5,11.1,1.7,0.3,1.3,1.0,1.4,1.5,3.0,-1.0,1.5,1.2,40.0,30.0,1.0,81,83,84,82.67,75,74,79,76.0,1.4,5.25,8.5,W
10,6,14.3,4.1,6.4,11.6,1.7,0.2,0.7,1.4,1.1,1.2,-7.0,-1.0,0.8,1.4,20.0,0.4,0.0,14.8,4.9,6.4,10.4,0.8,0.2,1.7,0.5,1.2,0.7,12.0,5.0,2.4,1.8,70.0,50.0,0.0,73,73,73,73.0,75,77,76,76.0,4.5,3.6,1.91,W
5,10,14.9,5.9,7.6,10.4,1.6,0.0,1.5,1.3,2.2,0.9,2.0,13.0,1.5,2.1,40.0,0.6,0.0,16.1,5.7,6.2,10.7,1.7,0.1,1.8,1.3,2.5,1.4,5.0,11.0,1.6,1.7,50.0,50.0,1.0,81,81,82,81.33,82,82,85,83.0,2.15,3.6,3.6,W
