Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,WinnerOdd,DrawOdd,Venue,Result
1,0.4000000000000003,-0.3999999999999999,-1.0,-0.5,0.0,0.0,0.0999999999999999,0.5,0.1999999999999999,-0.3,-1.0,8.0,0.1999999999999999,0.4999999999999999,0.0,10.0,0.0,20.0,30.0,0.0,-3,-4,-1,-2.6700000000000017,-0.1999999999999997,3.2,The Hawthorns,W
0,-4.5,-1.8999999999999997,-2.3999999999999995,-1.0999999999999996,-0.7999999999999998,0.0,-0.7,-1.0,0.8,0.1999999999999999,-15.0,-12.0,-0.9000000000000001,-0.6000000000000001,-30.0,-20.0,-1.0,-30.0,-20.0,-1.0,-12,-14,-14,-13.340000000000003,6.0600000000000005,5.0,Turf Moor,W
0,-3.299999999999999,-0.8999999999999999,-1.7999999999999998,-1.3000000000000007,-0.1,0.0,-0.4,-0.5,1.4,-0.1999999999999997,-18.0,-3.0,-0.8999999999999999,-0.4,-20.0,-10.0,-1.0,-50.0,-20.0,-3.0,0,-3,-2,-1.6700000000000017,1.5500000000000005,3.5,Carrow Road,W
7,2.3000000000000007,3.6,-2.1999999999999997,3.3000000000000007,0.1999999999999999,0.0,1.6,3.1,-0.1,-0.7,17.0,38.0,1.2,2.2,40.0,80.0,2.0,40.0,60.0,5.0,6,7,2,5.0,-10.7,5.75,Anfield,W
7,-3.6000000000000014,-0.0999999999999996,-0.5999999999999996,-0.0999999999999996,0.1,-0.2,0.5,0.4999999999999999,1.5,1.2,-10.0,-7.0,-0.1,-0.0999999999999999,0.0,0.0,0.0,-10.0,-10.0,0.0,-4,1,2,-0.3299999999999983,1.1,3.4,Swansea.com Stadium,W
0,-2.1999999999999997,-1.0,-0.7000000000000002,-1.0,0.8999999999999999,-0.2,0.6,0.2999999999999998,0.6,-0.2999999999999999,0.0,6.0,-0.2999999999999998,0.3999999999999999,0.0,10.0,0.0,-30.0,20.0,-4.0,2,1,-3,0.0,0.4500000000000002,3.3,Carrow Road,W
1,-2.6000000000000014,-0.6000000000000001,-2.1,-3.1999999999999997,-0.5,0.0,0.1,-0.0999999999999998,0.8,-0.4,-7.0,3.0,-0.3999999999999999,-0.1999999999999999,-10.0,0.0,0.0,-20.0,-20.0,-1.0,-4,-7,-6,-5.659999999999997,3.5,3.75,Stadium of Light,W
-1,3.1999999999999997,2.4,2.9000000000000004,0.5999999999999996,0.1999999999999999,0.0,1.4,0.9000000000000001,-0.3999999999999999,-1.7999999999999998,18.0,27.0,0.5,1.5,10.0,40.0,-1.0,30.0,70.0,-1.0,6,7,4,5.659999999999997,-10.71,6.0,Anfield,W
0,3.5,2.8,-0.1000000000000005,-2.1999999999999997,0.3999999999999999,0.1,0.7,1.4,-0.4,-0.6,11.0,20.0,1.2,1.4999999999999998,40.0,50.0,0.0,40.0,50.0,6.0,7,6,8,7.0,-10.71,6.0,Emirates Stadium,W
1,6.699999999999999,3.1,4.0,0.1999999999999993,-0.6000000000000001,-0.1,0.8,0.8,-0.1999999999999999,-0.6000000000000001,10.0,14.0,0.6000000000000001,0.6000000000000001,20.0,20.0,3.0,20.0,20.0,1.0,4,3,5,4.0,-6.5,4.33,White Hart Lane,W
-1,0.8000000000000007,1.3000000000000005,0.0,-3.3000000000000007,-0.1999999999999999,-0.1,0.6,0.9000000000000001,-0.5,-0.8,11.0,17.0,1.5,1.2999999999999998,50.0,40.0,0.0,50.0,50.0,0.0,7,10,11,9.329999999999998,-17.8,7.5,Stamford Bridge,W
1,7.500000000000002,4.4,2.3999999999999995,-0.4000000000000003,-0.4999999999999999,0.0,2.2,1.0,-0.9000000000000001,-0.8,31.0,18.0,1.7000000000000002,1.2,50.0,30.0,0.0,70.0,60.0,9.0,4,6,7,5.670000000000002,-17.84,9.0,Anfield,W
-2,5.5,2.5,1.0999999999999996,2.700000000000001,0.7999999999999998,0.1,0.5999999999999999,1.4,-0.5,-0.2999999999999998,11.0,17.0,0.8999999999999999,1.2000000000000002,30.0,30.0,0.0,30.0,60.0,0.0,3,5,3,3.6700000000000017,-7.1,5.25,Old Trafford,W
2,-7.1,-4.4,1.0,1.0,1.0,0.0,-1.4,-0.3999999999999999,0.5999999999999999,0.1999999999999999,-20.0,-6.0,-1.2000000000000002,-0.7,-40.0,-20.0,-1.0,-40.0,-30.0,-11.0,-9,-6,-7,-7.329999999999998,3.25,4.0,Dean Court,W
0,6.999999999999998,1.8999999999999997,0.7000000000000002,-0.5,-0.5,0.0,0.7000000000000002,0.5,-0.2999999999999998,-1.1,10.0,16.0,0.6999999999999997,1.0,30.0,30.0,0.0,10.0,40.0,2.0,4,3,4,3.6599999999999966,-11.78,7.5,Anfield,W
1,2.1000000000000014,0.5,0.1999999999999993,-0.5,-0.4000000000000001,-0.2,0.3999999999999999,0.1,0.0,-0.2,4.0,3.0,0.3999999999999999,0.8999999999999999,10.0,30.0,0.0,20.0,30.0,-2.0,-3,-5,-3,-3.6700000000000017,0.0,3.25,St. James Park,W
-1,0.5999999999999996,1.5000000000000004,-1.0999999999999996,2.299999999999999,-0.7999999999999998,0.1,1.1,0.6000000000000001,-0.5,-0.7,16.0,13.0,1.4,1.2,50.0,40.0,3.0,40.0,40.0,3.0,7,7,11,8.329999999999998,-7.64,5.5,Wembley Stadium,W
1,0.1000000000000014,0.1,0.6000000000000005,-1.4000000000000004,-0.1,0.2,0.2,0.6000000000000001,-0.5999999999999999,0.0999999999999998,8.0,5.0,0.6,0.3,20.0,10.0,1.0,20.0,10.0,1.0,-2,0,1,-0.3299999999999983,-0.1999999999999997,3.1,The Hawthorns,W
2,-2.6000000000000014,-0.9000000000000004,-1.3999999999999997,1.200000000000001,0.7,-0.1,0.9,0.6000000000000001,0.0999999999999998,1.0,8.0,-4.0,0.1999999999999999,-0.4000000000000001,0.0,-20.0,0.0,20.0,0.0,0.0,-6,-4,-3,-4.329999999999998,-3.5,3.8,St Mary's Stadium,W
-3,-1.4000000000000004,0.5,-2.4000000000000004,-0.3000000000000007,0.0,0.0,0.0,-0.8,-0.1999999999999999,-0.1999999999999999,2.0,-6.0,0.7,-0.0999999999999998,20.0,10.0,0.0,30.0,-30.0,2.0,-8,-3,-5,-5.329999999999998,1.4,3.4,King Power Stadium,W
