Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsScoredHA,GoalsConceded,GoalsConcededHA,GoalsDiff,GoalsDiffHA,HTGoalsScored,HTGoalsConceded,HTGoalsScoredHA,HTGoalsConcededHA,HTGoalsDiff,HTGoalsDiffHA,Points,PointsHA,WinPercent,WinPercentHA,WinStreak,UnbPercent,UnbPercentHA,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
A Taylor,Sat,0.0,1,-0.200000000000001,-0.4999999999999995,-0.3999999999999994,0.0999999999999996,0.3999999999999999,-0.1,-0.1999999999999999,0.4,0.1,-0.1999999999999999,-3.0,6.0,0.0,0.0,0.4,-0.0999999999999999,0.0,5.0,0.0,0.5,0.0,20.0,0.0,0.0,10.0,1.0,4,-2,1,1.0,-10,0,-0.3200000000000003,3.5,Turf Moor,D
A Marriner,Sat,0.0,1,-3.1999999999999997,-0.7999999999999998,1.0,2.3000000000000007,0.6000000000000001,0.1,-0.9000000000000001,0.2000000000000001,0.9,0.0999999999999999,-18.0,1.0,-0.3,0.3,0.3,-0.4,-6.0,7.0,-1.8000000000000005,-0.4000000000000001,-70.0,-20.0,0.0,-40.0,0.0,2.0,-4,-6,-5,-5.0,-9,0,4.38,4.1,King Power Stadium,L
M Dean,Sun,0.0,-1,-3.5,-3.3,0.5999999999999996,-2.200000000000001,0.0999999999999998,-0.1,-1.6,-0.7999999999999998,0.1,-0.4000000000000001,-17.0,-4.0,-1.3,0.5,-0.5,0.0,-18.0,-5.0,-1.1999999999999995,-0.5999999999999999,-40.0,-20.0,0.0,-40.0,-20.0,-6.0,-1,-8,-1,-3.3299999999999983,7,0,1.4500000000000002,3.5,King Power Stadium,L
K Friend,Sun,0.0,0,-0.5999999999999996,0.1000000000000005,-0.7000000000000002,1.0,0.5,0.1,-0.5,0.4000000000000001,0.6,0.2,-11.0,2.0,-0.4,0.4,0.2,-0.3,-8.0,5.0,-1.0,0.1999999999999997,-30.0,10.0,-1.0,-40.0,0.0,-4.0,-7,-10,-11,-9.329999999999998,11,1,7.6,5.0,Turf Moor,D
M Clattenburg,Sun,0.0,-1,-9.1,-1.7999999999999998,-2.6,-1.5999999999999996,-0.5,0.0,-0.7000000000000002,-0.3,-0.1,0.0,-6.0,-3.0,-0.7000000000000001,0.0,-0.5,0.3,-7.0,-8.0,0.0999999999999998,0.1,0.0,0.0,-1.0,10.0,10.0,-1.0,-6,-9,-5,-6.670000000000002,11,0,3.0,4.2,Swansea.com Stadium,L
S Attwell,Tue,0.0,-7,0.200000000000001,-0.2000000000000001,1.2999999999999998,1.0,0.4000000000000001,0.0,-0.5999999999999999,0.0999999999999999,-0.1,-0.1999999999999999,-5.0,3.0,-0.1999999999999999,-0.0999999999999999,0.2,0.1999999999999999,-1.0,0.0,-0.7000000000000001,0.0999999999999999,-30.0,10.0,-1.0,-10.0,-10.0,-1.0,0,-1,-3,-1.3299999999999983,8,1,-0.2999999999999998,3.1,Riverside Stadium,D
P Tierney,Sun,0.0,-1,-3.6,-0.1000000000000005,-1.5,-0.8000000000000007,0.1999999999999999,0.0,0.1999999999999999,-0.2,-0.5999999999999999,-0.8,8.0,6.0,-0.2,-0.1999999999999999,-0.3,-0.4,0.0,1.0,0.8,0.5,30.0,20.0,-1.0,20.0,10.0,-1.0,3,2,0,1.6700000000000017,7,0,-1.46,3.5,Turf Moor,L
K Friend,Wed,0.0,4,-1.700000000000001,-0.7000000000000002,-0.7000000000000002,-1.799999999999999,-0.5,0.1,0.0,0.0,0.9,-0.0999999999999998,-9.0,1.0,0.5,0.5,0.0999999999999999,0.0,0.0,1.0,-0.7,0.0,-10.0,0.0,0.0,-50.0,0.0,-4.0,-1,-2,3,0.0,1,0,-0.8000000000000003,3.1,Dean Court,L
M Dean,Sun,0.0,-1,4.800000000000001,2.1,0.7999999999999998,-2.200000000000001,0.1,0.0,-0.9000000000000001,-1.0000000000000002,-0.1999999999999999,-1.0,-7.0,0.0,-0.6000000000000001,-0.1999999999999999,-1.0,-0.5,-4.0,-5.0,-0.3,0.3999999999999999,-10.0,20.0,0.0,-10.0,0.0,-6.0,-3,-3,-4,-3.3299999999999983,4,0,0.1699999999999999,3.5,White Hart Lane,D
P Tierney,Sat,0.0,1,-6.0,-2.7,-3.5,4.9,2.3,0.0,-1.4,-0.8,1.5000000000000002,1.7000000000000002,-29.0,-25.0,-0.8999999999999999,0.7000000000000001,-0.6,0.7,-16.0,-13.0,-1.1999999999999995,-1.5,-40.0,-50.0,-2.0,-40.0,-50.0,-2.0,-11,-9,-7,-9.0,8,0,7.2,6.0,Elland Road,L
