HDays,ADays,HASLxM,HASTLxM,HACLxM,HAFLxM,HAYCLxM,HARCLxM,HAGSLxM,HAGCLxM,HAGSLxHM,HAGCLxHM,HGDLxM,HGDLxHM,HAPLxM,HAPLxHM,HWPLxM,HWPLxHM,HWinStreak,HUPLxM,HUPLxHM,HUnbStreak,AASLxM,AASTLxM,AACLxM,AAFLxM,AAYCLxM,AARCLxM,AAGSLxM,AAGCLxM,AAGSLxAM,AAGCLxAM,AGDLxM,AGDLxAM,AAPLxM,AAPLxAM,AWPLxM,AWPLxAM,AWinStreak,AUPLxM,AUPLxAM,AUnbStreak,HDef,HMid,HAtt,HOvr,ADef,AMid,AAtt,AOvr,B365H,B365D,B365A,Venue,Result
10,3,11.4,3.9,6.0,10.0,1.3,0.0,1.3,1.4,1.4,1.0,-1.0,4.0,1.6,2.1,50.0,70.0,3.0,60.0,70.0,4.0,18.3,6.4,7.1,9.9,1.2,0.0,3.1,0.7,3.1,0.8,24.0,23.0,2.5,2.5,80.0,80.0,6.0,90.0,90.0,6.0,79,79,85,81.0,85,83,86,84.67,5.25,4.75,1.53,Tottenham Hotspur Stadium,D
3,7,9.3,3.0,4.0,6.7,1.3,0.0,1.0,1.2,1.7,1.2,-2.0,5.0,1.4,2.0,40.0,60.0,0.0,60.0,80.0,0.0,9.4,2.7,5.3,10.8,1.4,0.1,0.8,1.6,0.7,1.3,-8.0,-6.0,1.0,0.7,30.0,10.0,0.0,40.0,50.0,0.0,76,79,80,78.33,76,75,77,76.0,1.7,3.8,5.0,London Stadium,D
5,8,12.6,8.1,5.7,10.3,1.9,0.0,1.2,2.0,1.3,2.2,-8.0,-9.0,1.1,0.9,30.0,20.0,0.0,50.0,50.0,0.0,12.4,7.3,5.1,10.0,1.6,0.1,1.9,1.5,1.8,2.4,4.0,-6.0,1.6,1.5,50.0,40.0,0.0,60.0,70.0,0.0,74,70,72,72.0,72,72,76,73.33,2.15,3.6,3.6,DW Stadium,D
6,10,13.1,4.6,4.4,10.9,0.9,0.1,0.9,2.0,1.6,1.4,-11.0,2.0,0.7,1.5,20.0,40.0,0.0,30.0,70.0,0.0,11.5,4.0,4.3,9.2,1.2,0.0,1.6,1.6,1.4,2.6,0.0,-12.0,1.3,0.8,30.0,20.0,0.0,70.0,40.0,2.0,75,75,77,75.67,74,74,78,75.33,2.1,3.5,3.8,St. James Park,D
4,3,9.5,4.4,3.5,9.7,2.0,0.0,1.1,0.9,1.1,1.1,2.0,0.0,1.9,1.5,50.0,40.0,0.0,90.0,70.0,5.0,11.8,3.3,4.2,9.7,1.4,0.0,1.3,0.5,1.4,1.1,8.0,3.0,2.0,1.7,60.0,50.0,1.0,80.0,70.0,1.0,76,76,77,76.33,78,79,79,78.67,4.5,3.3,1.9,Turf Moor,D
5,4,10.8,3.7,3.3,8.8,1.5,0.2,0.9,1.6,1.3,1.1,-7.0,2.0,1.2,1.5,30.0,40.0,0.0,60.0,70.0,0.0,21.1,6.6,9.9,8.2,1.9,0.1,2.7,1.1,2.6,1.0,16.0,16.0,2.1,2.4,70.0,80.0,1.0,70.0,80.0,1.0,76,77,78,77.0,83,87,87,85.67,13.0,8.0,1.16,St. James Park,D
8,7,14.4,5.6,5.1,9.3,1.7,0.0,1.5,1.2,1.7,0.4,3.0,13.0,1.8,2.8,50.0,90.0,2.0,80.0,100.0,2.0,17.9,6.9,7.8,9.2,2.1,0.0,1.0,0.5,1.7,1.2,5.0,5.0,2.2,2.0,70.0,60.0,2.0,80.0,80.0,2.0,77,76,74,75.67,79,78,82,79.67,2.5,3.4,3.0,Goodison Park,D
7,4,13.2,4.7,6.3,8.3,1.2,0.0,2.0,1.1,2.1,1.1,9.0,10.0,1.9,2.4,60.0,80.0,0.0,70.0,80.0,2.0,13.9,5.7,6.0,8.9,1.4,0.1,1.7,1.4,1.2,1.8,3.0,-6.0,2.0,1.6,60.0,50.0,6.0,80.0,60.0,6.0,77,76,74,75.67,80,79,80,79.67,2.8,3.4,2.7,Goodison Park,D
6,4,9.9,3.8,4.7,10.2,1.9,0.3,1.2,2.2,1.8,1.8,-10.0,0.0,0.6,0.9,10.0,20.0,0.0,40.0,50.0,0.0,10.3,3.5,3.7,9.8,1.4,0.2,0.9,1.2,0.7,1.1,-3.0,-4.0,1.2,1.0,30.0,20.0,0.0,60.0,60.0,0.0,75,75,75,75.0,76,76,76,76.0,2.4,3.4,3.2,St. James Park,D
6,9,11.7,3.9,4.9,9.6,1.7,0.1,1.0,1.6,1.7,1.6,-6.0,1.0,0.8,1.3,20.0,30.0,0.0,40.0,70.0,1.0,12.8,3.7,4.7,10.7,1.2,0.1,0.7,1.4,0.6,1.3,-7.0,-7.0,0.8,0.9,20.0,20.0,1.0,40.0,50.0,2.0,78,78,78,78.0,72,74,70,72.0,1.85,3.6,4.75,Goodison Park,D
