Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsConceded,GoalsDiff,HTGoalsScored,HTGoalsConceded,HTGoalsDiff,Points,WinPercent,WinStreak,UnbPercent,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
L Mason,Mon,1.0,-2,0.200000000000001,-0.7999999999999998,1.0,2.200000000000001,0.1999999999999999,0.2,-0.8,1.2000000000000002,-10.0,-0.7999999999999999,0.8,-8.0,-1.4,-40.0,2.0,-60.0,-7.0,-9,-10,-7,-8.670000000000002,12,0,3.8,4.0,Hull City Stadium,L
A Taylor,Sun,0.0,3,-0.1999999999999993,0.0,-1.2000000000000002,2.8000000000000007,0.4000000000000001,-0.2,0.0,-0.8,4.0,-0.2,-0.6,2.0,0.3999999999999999,0.0,0.0,40.0,0.0,-5,-5,-5,-5.0,9,0,0.8000000000000003,3.4,Selhurst Park,D
D Coote,Mon,0.0,1,-1.0,-2.2,0.1999999999999993,0.0,0.3999999999999999,0.2,-1.2000000000000002,-0.3999999999999999,-4.0,-1.2000000000000002,0.2,-7.0,-0.8,-40.0,0.0,0.0,3.0,-2,-1,-3,-2.0,4,0,-0.4499999999999997,3.4,Falmer Stadium,L
R East,Sat,0.0,0,0.1999999999999993,-1.4,-2.0,-2.4000000000000004,-0.2000000000000001,0.2,0.1999999999999999,0.4000000000000001,-1.0,0.0,0.4,-2.0,0.1999999999999999,20.0,0.0,-20.0,0.0,-2,0,-2,-1.3299999999999983,9,0,-0.5,3.39,Vicarage Road,D
D Coote,Tue,0.0,0,2.8000000000000007,1.0,1.6,0.2000000000000001,-0.1999999999999999,0.2,-0.7999999999999999,0.1999999999999999,-5.0,-0.2,-0.1999999999999999,0.0,-0.8,-40.0,0.0,0.0,0.0,-3,-1,-4,-2.6599999999999966,10,1,1.0499999999999998,3.3,Carrow Road,L
M Oliver,Sat,-1.0,0,0.5999999999999996,-1.0000000000000004,-2.0,2.0,0.0,0.0,-0.5999999999999999,-1.1999999999999995,3.0,-0.6,0.1999999999999999,-4.0,0.4,0.0,0.0,40.0,0.0,3,4,2,3.0,-13,-1,-2.92,3.75,The Hawthorns,D
J Moss,Sun,0.0,1,-9.2,-4.2,-4.199999999999999,0.8000000000000007,0.2000000000000001,0.2,-1.7999999999999998,1.4,-16.0,-0.8,0.4,-6.0,-2.2,-60.0,-3.0,-100.0,-7.0,-5,-7,-5,-5.670000000000002,9,0,9.7,6.0,Vicarage Road,L
J Moss,Sun,1.0,2,-4.600000000000001,-4.199999999999999,-1.7999999999999998,7.0,1.2,0.0,-1.4,1.0,-12.0,-0.8,0.6,-7.0,-2.2,-80.0,0.0,-60.0,0.0,-8,-6,-11,-8.340000000000003,12,0,5.4,3.9,Bet365 Stadium,L
M Dean,Sat,0.0,-1,-0.4000000000000003,-0.5999999999999996,0.3999999999999994,-0.5999999999999996,0.0,-0.2,-0.6,0.3999999999999999,-5.0,-0.4,0.0,-2.0,-1.2000000000000002,-40.0,-1.0,-40.0,-1.0,4,1,1,2.0,4,0,-0.6000000000000001,3.3,Bet365 Stadium,D
A Taylor,Sat,0.0,0,-9.0,-3.0000000000000004,-3.0000000000000004,-0.3999999999999994,-1.6,0.4,-0.6000000000000001,0.6000000000000001,-6.0,-0.6,-0.1999999999999999,-2.0,-0.5999999999999999,-20.0,0.0,-20.0,0.0,-8,-10,-7,-8.329999999999998,13,1,6.0,4.5,Hull City Stadium,L
A Marriner,Tue,0.0,0,-6.0,-3.4000000000000004,-2.3999999999999995,0.0,0.1999999999999999,0.2,-1.2000000000000002,2.0,-16.0,-0.4,0.1999999999999999,-3.0,-1.4,-40.0,1.0,-60.0,1.0,-9,-12,-10,-10.340000000000003,22,1,7.56,4.5,Kirklees Stadium,L
M Atkinson,Sun,0.0,-5,1.8000000000000007,0.2000000000000001,5.199999999999999,1.4000000000000004,1.0,0.2,0.3999999999999999,-0.4000000000000001,4.0,0.3999999999999999,-0.6,5.0,0.2000000000000001,0.0,0.0,20.0,0.0,4,4,11,6.340000000000003,-7,0,-5.05,4.75,Emirates Stadium,D
A Marriner,Tue,0.0,0,-0.8000000000000007,0.4000000000000003,-1.5999999999999996,-0.3999999999999986,-0.1999999999999999,0.0,0.2000000000000001,0.5999999999999999,-2.0,0.6,0.3999999999999999,1.0,0.0,20.0,1.0,-40.0,-4.0,1,2,4,2.3299999999999983,2,0,-0.5,3.4,Stadium of Light,D
P Tierney,Sun,0.0,-1,-1.4000000000000004,-2.4000000000000004,0.3999999999999994,4.0,0.1999999999999999,-0.2,-0.7999999999999999,-0.3999999999999999,-2.0,-0.6000000000000001,-0.2,-2.0,-0.3999999999999999,-20.0,1.0,0.0,1.0,-4,-2,-7,-4.329999999999998,8,1,0.3200000000000003,3.2,The Hawthorns,L
M Halsey,Sat,-1.0,3,-3.4000000000000004,-3.4000000000000004,-1.8000000000000007,-2.0,0.0,0.0,-0.6000000000000001,1.0,-8.0,-0.6,0.4,-5.0,-1.4,-40.0,0.0,-60.0,-4.0,1,3,0,1.3299999999999983,-11,-1,-0.7200000000000002,3.5,Swansea.com Stadium,D
A Marriner,Sat,-1.0,1,-3.4000000000000004,-0.6000000000000005,-0.3999999999999994,-1.3999999999999986,0.0,0.0,0.3999999999999999,0.4,0.0,0.6,0.2,2.0,-0.8,-20.0,-1.0,-40.0,-1.0,-3,0,4,0.3299999999999983,2,0,0.5299999999999998,3.5,London Stadium,D
A Madley,Wed,-2.0,1,-1.8000000000000007,0.7999999999999998,-0.3999999999999994,0.3999999999999986,-0.4,0.0,-0.4000000000000001,0.1999999999999999,-3.0,0.0,0.0,0.0,-1.2,-40.0,1.0,-40.0,1.0,-2,0,-4,-2.0,1,0,-1.0499999999999998,3.4,Villa Park,L
J Moss,Sun,0.0,5,1.4000000000000004,-0.5999999999999996,-1.1999999999999995,3.8000000000000007,1.4,0.0,0.1999999999999999,0.4000000000000001,-1.0,0.3999999999999999,0.6,-1.0,-0.2,0.0,-1.0,-20.0,-1.0,-6,-5,-6,-5.670000000000002,18,1,1.15,3.4,Loftus Road,L
J Moss,Sun,0.0,2,-4.199999999999999,0.7999999999999998,-4.4,-2.0,-1.7999999999999998,0.0,0.7999999999999999,0.0,4.0,0.6000000000000001,0.0,3.0,1.6,60.0,3.0,40.0,5.0,-9,-6,-8,-7.670000000000002,15,0,2.58,4.0,London Stadium,L
L Mason,Sun,0.0,2,-1.5999999999999996,-0.2000000000000001,0.8000000000000003,2.0,-0.4000000000000001,-0.2,-0.4,1.4,-9.0,-0.6,0.5999999999999999,-6.0,-0.8,-20.0,0.0,-40.0,-1.0,-5,-9,-12,-8.670000000000002,14,0,9.7,6.0,Kirklees Stadium,D
R Jones,Sun,-1.0,5,0.200000000000001,-0.7999999999999998,-1.0,1.4000000000000004,-0.6,-0.2,0.0,0.2000000000000001,-1.0,0.0,0.6,-3.0,0.0,0.0,0.0,0.0,0.0,-5,-5,-5,-5.0,15,1,2.75,3.8,Carrow Road,L
L Mason,Wed,0.0,0,1.5999999999999996,0.8000000000000007,4.800000000000001,-1.0,0.1999999999999999,-0.2,0.6000000000000001,0.3999999999999999,1.0,0.1999999999999999,0.0,1.0,0.3999999999999999,20.0,1.0,0.0,0.0,8,7,7,7.329999999999998,-8,0,-8.14,5.25,Anfield,D
S Attwell,Tue,0.0,0,4.799999999999999,1.5999999999999996,4.0,-0.5999999999999996,-0.7999999999999998,-0.2,0.0,0.0,0.0,-0.4,0.2,-3.0,0.1999999999999999,20.0,0.0,-20.0,-3.0,1,-1,-6,-2.0,-2,0,-2.78,3.9,Stamford Bridge,D
A Marriner,Sat,0.0,1,-3.0,-0.6000000000000001,1.0,6.0,-0.2,0.2,-0.8,0.6000000000000001,-7.0,-0.6,0.0,-3.0,-0.3999999999999999,0.0,-1.0,-40.0,-1.0,-2,-1,-8,-3.6599999999999966,-2,0,-0.0999999999999996,3.4,Bet365 Stadium,L
P Dowd,Sat,0.0,1,-5.199999999999999,-2.0,-1.7999999999999998,0.1999999999999993,0.8000000000000003,0.0,-1.0,0.1999999999999999,-6.0,-0.3999999999999999,-0.1999999999999999,-1.0,-1.2,-60.0,-3.0,0.0,-2.0,1,-1,-2,-0.6700000000000017,1,0,0.4000000000000003,3.4,Stadium of Light,D
S Hooper,Sat,-1.0,0,-1.3999999999999986,0.8000000000000003,-2.2,-0.1999999999999993,-0.7999999999999998,0.2,0.0,0.0,0.0,0.2,-0.2,2.0,-0.4000000000000001,0.0,0.0,-40.0,-1.0,2,5,2,3.0,-3,0,-0.0499999999999998,3.2,Molineux Stadium,L
