Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsConceded,GoalsDiff,HTGoalsScored,HTGoalsConceded,HTGoalsDiff,Points,WinPercent,WinStreak,UnbPercent,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,DrawOdd,Venue,Result
L Probert,Sat,1.0,-4,10.4,6.6,3.8,-1.799999999999999,0.0,0.0,0.8,0.3999999999999999,2.0,0.0,0.39999999999999997,-2.0,0.40000000000000013,20.0,0.0,0.0,1.0,7,8,8,7.670000000000002,-12,0,-9.71,5.5,Etihad Stadium,W
M Halsey,Sat,1.0,1,-1.0,-0.20000000000000018,0.0,-1.8000000000000007,0.40000000000000013,0.0,0.19999999999999996,0.0,1.0,0.4,0.19999999999999996,1.0,-0.19999999999999996,0.0,0.0,-20.0,-1.0,1,1,-2,0.0,1,0,-2.25,3.3,Bet365 Stadium,D
L Mason,Sat,1.0,0,6.799999999999999,5.0,1.7999999999999998,-0.1999999999999993,0.40000000000000013,0.2,1.6,0.6000000000000001,5.0,1.4,0.9999999999999999,2.0,0.3999999999999999,0.0,0.0,40.0,7.0,3,0,-1,0.6700000000000017,-6,0,-6.5600000000000005,4.2,Goodison Park,W
L Probert,Sun,1.0,0,3.4000000000000004,2.2,2.0,0.1999999999999993,-0.6000000000000001,0.0,1.8000000000000003,0.6000000000000001,6.0,0.39999999999999997,0.4,0.0,0.9999999999999999,20.0,0.0,60.0,5.0,1,2,1,1.3400000000000034,-4,0,-3.58,3.75,Craven Cottage,L
P Dowd,Sun,1.0,-1,-2.3999999999999986,-1.7999999999999998,-0.5999999999999996,0.5999999999999996,-1.0000000000000002,0.0,-0.3999999999999999,-1.2000000000000002,4.0,0.2,0.0,1.0,1.0,20.0,0.0,60.0,6.0,-1,-3,-5,-3.0,-1,0,-1.5,3.3,Carrow Road,W
C Foy,Sat,0.0,2,-2.0,-1.4000000000000004,-1.2000000000000002,-3.200000000000001,-0.20000000000000018,0.0,0.8000000000000003,-0.40000000000000013,6.0,0.7999999999999999,-0.6,7.0,1.5999999999999999,60.0,3.0,40.0,3.0,9,7,9,8.340000000000003,-11,0,-13.8,6.5,Old Trafford,W
H Webb,Sat,-1.0,3,0.0,-1.0,-1.2000000000000002,-0.8000000000000007,-0.6,0.0,0.19999999999999996,-1.0,6.0,0.20000000000000007,-0.7999999999999999,5.0,1.2,40.0,1.0,40.0,1.0,-2,-5,-4,-3.6599999999999966,9,1,-1.75,3.5,St Mary's Stadium,L
P Dowd,Wed,0.0,-1,6.399999999999999,3.000000000000001,2.2,-3.1999999999999993,-0.19999999999999996,0.0,1.0,0.6000000000000001,2.0,0.5999999999999999,0.7999999999999999,-1.0,0.0,0.0,1.0,0.0,1.0,5,5,2,4.0,-5,0,-7.1,4.5,Anfield,W
A Taylor,Sat,0.0,0,-0.1999999999999993,-2.2,-0.3999999999999999,1.5999999999999996,0.40000000000000013,0.0,-0.19999999999999996,0.6000000000000001,-4.0,-0.39999999999999997,0.19999999999999996,-3.0,-1.0,-40.0,-1.0,-20.0,0.0,0,-5,-5,-3.3299999999999983,2,0,-1.65,3.4,DW Stadium,L
L Mason,Sat,0.0,-1,-3.8000000000000007,-3.0000000000000004,0.0,-0.1999999999999993,0.6000000000000001,0.0,0.40000000000000013,0.20000000000000018,1.0,-0.6,0.20000000000000007,-4.0,0.6000000000000001,20.0,0.0,20.0,0.0,-4,-5,-4,-4.329999999999998,8,1,-0.5,3.4,Madejski Stadium,W
R East,Sat,0.0,0,-0.6000000000000014,-1.7999999999999998,-1.0,-1.0,0.40000000000000013,0.2,0.0,0.6000000000000001,-3.0,-0.8,0.20000000000000007,-5.0,-0.5999999999999999,-20.0,1.0,-20.0,1.0,-3,0,-3,-2.0,-3,0,-1.9500000000000002,3.5,The Hawthorns,W
M Jones,Sat,0.0,0,0.5999999999999996,-0.20000000000000018,-3.0,-0.1999999999999993,0.19999999999999996,0.0,-0.20000000000000007,0.0,-1.0,-0.2,-0.19999999999999996,0.0,0.6,20.0,1.0,20.0,0.0,0,-1,2,0.3400000000000034,4,0,-1.25,3.4,Loftus Road,W
N Swarbrick,Sun,-1.0,-5,6.199999999999999,5.6,2.4000000000000004,-4.4,-0.8,0.0,0.6000000000000001,-0.8,7.0,0.20000000000000007,-0.7999999999999999,5.0,1.4,60.0,0.0,20.0,0.0,7,6,4,5.670000000000002,-7,0,-9.64,5.0,Stamford Bridge,W
H Webb,Sun,0.0,-4,2.200000000000001,0.7999999999999998,2.2,-1.0,-0.19999999999999996,0.0,-0.19999999999999996,-0.19999999999999996,0.0,-0.8,-0.4,-2.0,0.7999999999999999,40.0,1.0,0.0,1.0,2,2,5,3.0,-8,0,-2.55,3.5,St. James Park,L
L Probert,Mon,0.0,-2,1.200000000000001,1.3999999999999995,0.7999999999999998,-0.5999999999999996,-0.6000000000000001,0.0,0.40000000000000013,1.0,-3.0,-0.20000000000000007,0.4,-3.0,0.0,0.0,-2.0,0.0,-2.0,-2,-3,-1,-2.0,3,0,-1.1,3.4,Villa Park,W
A Marriner,Sun,0.0,0,5.199999999999999,2.5999999999999996,0.7999999999999998,1.4000000000000004,0.0,-0.4,0.6000000000000001,-0.40000000000000013,5.0,0.0,0.4,-2.0,0.6000000000000001,20.0,1.0,20.0,5.0,5,5,4,4.670000000000002,-9,0,-10.71,6.0,White Hart Lane,W
C Pawson,Sat,0.0,0,1.5999999999999996,3.5999999999999996,-2.2,-1.5999999999999996,0.8000000000000003,-0.2,0.5999999999999999,-1.5999999999999999,11.0,0.39999999999999997,-0.4,4.0,1.4,40.0,0.0,60.0,0.0,-1,0,-1,-0.6700000000000017,-8,0,-4.88,4.0,Swansea.com Stadium,W
A Marriner,Sat,0.0,0,-0.8000000000000007,0.20000000000000018,0.0,-1.200000000000001,-0.19999999999999996,0.0,0.19999999999999996,-1.6,9.0,0.19999999999999996,0.0,1.0,0.7999999999999999,20.0,-1.0,40.0,-1.0,-6,-4,-7,-5.670000000000002,5,1,-1.65,3.4,Hull City Stadium,W
K Friend,Sat,0.0,0,3.2,1.4,1.6,2.5999999999999996,2.0,-0.4,0.3999999999999999,0.0,2.0,0.4,0.2,1.0,-0.6,-40.0,-1.0,20.0,1.0,1,1,-1,0.3299999999999983,-4,0,-1.75,3.3,Bet365 Stadium,W
N Swarbrick,Sat,0.0,-2,6.000000000000001,1.7999999999999998,0.7999999999999998,3.5999999999999996,0.8,-0.6,0.20000000000000007,-0.40000000000000013,3.0,-0.4,0.19999999999999996,-3.0,-0.19999999999999996,-20.0,0.0,20.0,3.0,-3,-1,-1,-1.6700000000000017,-2,0,-2.33,3.4,Villa Park,D
A Marriner,Sat,0.0,0,3.200000000000001,1.4,0.20000000000000018,0.5999999999999996,0.19999999999999996,0.0,0.0,0.6000000000000001,-3.0,-0.39999999999999997,0.0,-2.0,-0.20000000000000007,0.0,0.0,-20.0,0.0,-2,1,0,-0.3299999999999983,-7,0,-2.38,3.6,Boleyn Ground,D
L Probert,Thu,0.0,-1,3.5999999999999996,2.9999999999999996,0.7999999999999998,-1.4000000000000004,-0.8,-0.2,1.5999999999999999,-0.6,11.0,0.0,-0.6,3.0,2.0,80.0,2.0,40.0,8.0,3,3,-1,1.6700000000000017,-11,0,-8.14,5.25,Goodison Park,L
C Foy,Sat,0.0,0,-3.799999999999999,-2.3999999999999995,0.0,2.0,-0.6000000000000001,-0.2,-0.6,0.40000000000000013,-5.0,-0.6,0.7999999999999999,-7.0,-0.19999999999999996,0.0,-1.0,-20.0,-3.0,-6,-3,-3,-4.0,4,1,-1.02,3.25,Cardiff City Stadium,D
M Dean,Sat,0.0,0,-2.0000000000000018,0.39999999999999947,-2.0,-0.7999999999999998,-0.6000000000000001,-0.2,0.7999999999999999,2.6,-9.0,0.2,0.6,-2.0,0.0,20.0,1.0,-40.0,1.0,1,2,3,2.0,-5,0,-1.5499999999999998,3.3,Craven Cottage,L
P Dowd,Sat,0.0,1,0.0,-0.8000000000000007,-1.0,0.1999999999999993,-1.6,0.4,-1.2000000000000002,-0.19999999999999996,-5.0,-0.4,-0.4,0.0,-0.8,-20.0,-1.0,-40.0,-1.0,3,4,6,4.329999999999998,-1,0,-2.38,3.5,St. James Park,L
A Marriner,Sat,1.0,-7,1.799999999999999,0.7999999999999998,1.8000000000000003,-4.0,-1.0,0.0,-0.6000000000000001,0.3999999999999999,-5.0,-1.2,0.4,-8.0,-0.3999999999999999,-20.0,0.0,0.0,1.0,6,6,5,5.670000000000002,-13,0,-9.67,5.5,Emirates Stadium,W
P Dowd,Sat,3.0,0,-2.5999999999999996,0.40000000000000036,0.0,-1.5999999999999996,-0.19999999999999996,-0.2,0.0,1.0000000000000002,-5.0,-0.39999999999999997,0.19999999999999996,-3.0,-0.5999999999999999,-20.0,0.0,-20.0,-1.0,-1,0,-3,-1.3299999999999983,-6,0,-1.5499999999999998,3.3,Carrow Road,W
K Friend,Wed,2.0,0,6.199999999999999,4.6,1.0,-5.0,0.20000000000000018,-0.4,3.0,0.0,15.0,1.2000000000000002,-0.19999999999999996,7.0,2.2,80.0,6.0,60.0,11.0,5,7,1,4.329999999999998,-10,0,-17.83,9.0,Anfield,W
L Mason,Mon,2.0,1,-1.200000000000001,0.3999999999999999,0.20000000000000018,-1.5999999999999996,-0.20000000000000018,0.0,0.20000000000000007,0.20000000000000018,0.0,0.4,-0.3999999999999999,4.0,1.0,40.0,0.0,20.0,0.0,5,5,7,5.670000000000002,-12,0,-4.93,4.2,White Hart Lane,W
M Atkinson,Wed,0.0,-1,-0.40000000000000036,2.0,2.8,-5.199999999999999,-0.20000000000000018,-0.2,2.4,-1.4,19.0,1.0,-0.4,7.0,2.0,60.0,0.0,80.0,0.0,6,10,10,8.670000000000002,-15,0,-15.83,9.0,Etihad Stadium,D
M Dean,Sat,1.0,3,4.0,0.40000000000000036,3.6000000000000005,-2.799999999999999,-1.6,0.4,1.0,-2.0,15.0,0.8,-0.8,8.0,1.6,60.0,2.0,40.0,1.0,7,7,7,7.0,-14,0,-11.82,7.0,Stamford Bridge,L
H Webb,Sat,0.0,1,-2.0,0.8000000000000007,-1.7999999999999998,-2.0,-1.4,0.0,0.5999999999999999,-0.6000000000000001,6.0,0.0,0.20000000000000007,-1.0,0.40000000000000013,20.0,-1.0,0.0,-2.0,8,8,11,9.0,-16,0,-7.14,5.75,Old Trafford,L
A Marriner,Sat,0.0,0,1.1999999999999993,2.4000000000000004,0.0,1.6000000000000014,-1.1999999999999997,0.0,1.0,-0.20000000000000007,6.0,0.0,-0.19999999999999996,1.0,1.2,60.0,-1.0,0.0,-4.0,0,3,2,1.6700000000000017,-6,0,-5.43,4.0,St Mary's Stadium,W
P Dowd,Mon,0.0,0,-1.5999999999999996,1.0,-1.4000000000000004,1.200000000000001,-1.4000000000000001,0.2,1.0,-0.6000000000000001,8.0,0.19999999999999996,-0.6,4.0,0.3999999999999999,20.0,0.0,0.0,1.0,-2,-1,-3,-2.0,-3,0,-1.6999999999999997,3.5,Selhurst Park,L
R Madley,Sat,0.0,0,0.1999999999999993,0.0,1.4000000000000004,-0.20000000000000107,-1.2000000000000002,0.0,-0.9999999999999999,-1.0,0.0,-0.19999999999999996,-0.6,2.0,-1.2,-40.0,0.0,-40.0,-2.0,-6,-5,-4,-5.0,7,1,-1.6999999999999997,3.5,King Power Stadium,D
N Swarbrick,Sat,0.0,1,1.8000000000000007,-1.2000000000000002,-0.20000000000000018,-3.200000000000001,-0.40000000000000013,0.0,0.19999999999999996,0.19999999999999996,0.0,0.19999999999999996,0.19999999999999996,0.0,0.0,20.0,2.0,-40.0,2.0,5,6,2,4.340000000000003,-12,0,-6.0,4.5,Anfield,D
A Taylor,Sun,0.0,-4,0.1999999999999993,0.6000000000000001,0.7999999999999998,0.5999999999999996,-0.3999999999999999,0.4,0.6,0.3999999999999999,1.0,-0.4,-0.19999999999999996,-1.0,0.5999999999999999,40.0,0.0,-20.0,-2.0,3,2,4,3.0,-4,0,-1.9500000000000002,3.5,St. James Park,L
M Atkinson,Sun,0.0,0,-1.3999999999999986,1.1999999999999997,-2.8000000000000003,-1.0,-0.19999999999999973,0.4,0.0,-0.8,4.0,0.0,-0.4,2.0,0.3999999999999999,20.0,0.0,0.0,0.0,1,-2,-2,-1.0,1,0,-1.0499999999999998,3.3,Villa Park,D
R East,Thu,0.0,0,1.200000000000001,1.4000000000000004,1.8000000000000007,0.1999999999999993,-1.0,0.0,1.4,-0.20000000000000007,8.0,0.9999999999999999,-0.4,7.0,1.4000000000000001,60.0,0.0,20.0,9.0,8,10,10,9.340000000000003,-13,0,-13.78,7.0,Etihad Stadium,W
C Foy,Sat,0.0,-4,1.5999999999999996,2.4000000000000004,-0.20000000000000018,1.0,-1.0,-0.2,1.2,0.0,6.0,1.0,0.0,5.0,1.2,40.0,0.0,40.0,0.0,5,7,3,5.0,-8,0,-4.38,4.2,White Hart Lane,W
P Dowd,Sat,0.0,2,6.4,-0.20000000000000018,-1.8000000000000003,-2.5999999999999996,-2.4,0.0,-0.19999999999999996,1.0000000000000002,-6.0,-0.6,0.9999999999999999,-8.0,0.19999999999999996,0.0,0.0,20.0,0.0,2,1,5,2.6700000000000017,-2,0,-2.6899999999999995,3.5,Swansea.com Stadium,D
R East,Sat,0.0,0,4.399999999999999,2.5999999999999996,-0.20000000000000018,1.799999999999999,0.0,0.2,1.2,0.0,6.0,0.3999999999999999,-0.19999999999999996,3.0,1.0,40.0,0.0,20.0,-1.0,7,6,11,8.0,-7,0,-8.64,5.25,Old Trafford,W
M Dean,Tue,0.0,0,0.20000000000000107,1.4000000000000004,-2.6000000000000005,2.4000000000000004,0.0,-0.2,0.4,0.19999999999999996,1.0,0.0,0.0,0.0,0.3999999999999999,20.0,0.0,0.0,0.0,-2,-2,-2,-2.0,2,0,-1.75,3.3,Hull City Stadium,D
L Mason,Sat,0.0,0,1.5999999999999996,0.3999999999999999,1.2000000000000002,-0.1999999999999993,-0.40000000000000013,0.0,0.39999999999999997,0.0,2.0,0.2,-0.7999999999999999,5.0,0.0,0.0,0.0,0.0,0.0,-1,1,2,0.6700000000000017,-1,0,-2.7,3.5,Boleyn Ground,W
M Atkinson,Sat,1.0,-3,2.0,-0.6000000000000001,-0.20000000000000018,3.6000000000000014,-0.6000000000000001,0.0,0.4,-0.6000000000000001,5.0,0.2,0.19999999999999996,0.0,0.0,0.0,1.0,0.0,2.0,0,0,2,0.6700000000000017,-5,0,-2.84,3.5,Bet365 Stadium,D
L Probert,Sat,1.0,0,0.0,1.5999999999999996,-0.7999999999999998,-2.5999999999999996,-1.6,0.0,0.6000000000000001,-0.5999999999999999,6.0,0.4,0.0,2.0,0.6000000000000001,20.0,-1.0,20.0,-2.0,5,5,4,4.670000000000002,-9,0,-3.2,3.75,Goodison Park,L
A Taylor,Wed,0.0,-1,3.4000000000000004,1.4000000000000004,0.39999999999999947,-3.0,-1.9999999999999998,0.0,-0.19999999999999996,-0.6,2.0,0.4,-0.2,3.0,0.0,0.0,0.0,0.0,-3.0,7,8,5,6.670000000000002,-10,0,-9.7,6.0,Emirates Stadium,D
L Mason,Sun,0.0,2,-0.40000000000000036,0.0,0.20000000000000018,-2.0,-0.19999999999999973,0.2,0.0,0.6,-3.0,0.0,0.19999999999999996,-1.0,-0.19999999999999996,0.0,0.0,-20.0,-5.0,8,9,7,8.0,-11,0,-8.14,5.25,Stamford Bridge,W
K Friend,Sat,0.0,1,1.1999999999999993,0.20000000000000018,0.7999999999999998,-0.5999999999999996,0.0,0.0,0.0,-0.40000000000000013,2.0,0.39999999999999997,-1.2000000000000002,8.0,0.4,20.0,0.0,0.0,0.0,-4,-4,-7,-5.0,5,1,-3.8,4.0,Dean Court,W
M Jones,Sat,0.0,-1,3.0,1.7999999999999998,0.7999999999999998,-0.7999999999999989,-1.0,-0.2,0.8,-0.8,8.0,0.2,-1.2,7.0,1.6,60.0,2.0,40.0,2.0,1,8,-1,2.6700000000000017,-12,0,-14.8,7.5,Old Trafford,W
M Atkinson,Sat,0.0,0,0.1999999999999993,0.8000000000000003,1.7999999999999998,-4.799999999999999,-0.19999999999999973,-0.4,0.0,-1.0,5.0,0.0,-1.2,6.0,0.9999999999999999,40.0,0.0,20.0,-1.0,-3,-2,0,-1.6700000000000017,-3,0,-2.1500000000000004,3.4,The Hawthorns,W
A Marriner,Sun,0.0,-2,3.4000000000000004,0.8000000000000003,2.1999999999999997,-3.1999999999999993,-0.20000000000000018,0.0,0.0,0.0,0.0,-0.19999999999999996,0.3999999999999999,-3.0,0.19999999999999996,0.0,-1.0,20.0,-1.0,1,3,4,2.6599999999999966,-5,0,-6.0,4.5,Goodison Park,W
M Atkinson,Mon,0.0,0,-0.1999999999999993,0.40000000000000036,1.1999999999999997,1.0,0.6000000000000001,0.0,-0.3999999999999999,-1.0,3.0,-0.4,-0.19999999999999996,-1.0,0.5999999999999999,20.0,1.0,20.0,2.0,2,5,-5,0.6599999999999966,-6,0,-5.43,4.0,Selhurst Park,L
R Madley,Sat,0.0,-1,0.5999999999999996,-0.7999999999999998,1.2000000000000002,2.1999999999999993,-0.19999999999999996,0.0,0.0,-0.3999999999999999,2.0,0.4,0.6,-1.0,-0.19999999999999996,-20.0,-2.0,20.0,-1.0,6,7,8,7.0,-13,0,-11.71,6.0,Emirates Stadium,W
R East,Sat,0.0,-2,2.1999999999999993,0.9999999999999996,1.3999999999999995,1.1999999999999993,0.0,0.0,-0.4,-0.19999999999999996,-1.0,-0.2,-0.2,0.0,-0.3999999999999999,-20.0,0.0,0.0,0.0,7,10,6,7.659999999999997,-15,0,-10.67,5.25,Stamford Bridge,W
A Taylor,Sat,0.0,-2,1.0,1.8000000000000003,2.6000000000000005,2.799999999999999,0.0,0.0,0.3999999999999999,0.6000000000000001,-1.0,0.6000000000000001,0.5999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8,10,10,9.329999999999998,-14,0,-11.8,7.0,Etihad Stadium,W
G Scott,Wed,0.0,-1,-0.40000000000000036,0.20000000000000018,-0.20000000000000018,2.4000000000000004,-0.8,0.0,-0.4,-1.2,4.0,0.0,-1.0,5.0,0.4,0.0,-1.0,40.0,-1.0,3,2,-3,0.6700000000000017,-8,0,-3.45,3.6,Swansea.com Stadium,L
M Dean,Sat,0.0,0,5.6,1.5999999999999996,4.199999999999999,-0.1999999999999993,-0.20000000000000018,0.0,-0.19999999999999996,-1.6,7.0,0.7999999999999999,-0.9999999999999999,9.0,0.8,20.0,-2.0,40.0,-2.0,4,1,3,2.6599999999999966,-11,0,-8.14,5.25,White Hart Lane,W
R Madley,Sat,0.0,0,9.0,0.20000000000000018,3.0,0.0,-0.3999999999999999,0.0,-0.19999999999999996,0.5999999999999999,-4.0,-0.20000000000000007,0.0,-1.0,-0.5999999999999999,-20.0,0.0,-20.0,0.0,5,4,1,3.3299999999999983,-10,0,-7.0600000000000005,4.75,Anfield,D
M Dean,Sat,0.0,-4,4.0,0.7999999999999998,-0.20000000000000018,0.40000000000000036,0.40000000000000013,0.0,0.19999999999999996,-0.40000000000000013,3.0,-0.39999999999999997,0.0,-2.0,0.0,0.0,-1.0,0.0,-1.0,1,3,-1,1.0,-4,0,-2.7,3.5,Boleyn Ground,W
N Swarbrick,Sat,0.0,0,-4.200000000000001,-1.1999999999999997,-1.2000000000000002,6.199999999999999,0.6000000000000001,0.2,-0.6,-0.5999999999999999,0.0,0.0,-0.39999999999999997,2.0,0.3999999999999999,20.0,0.0,0.0,-1.0,4,1,-1,1.3299999999999983,-9,0,-4.9,4.0,St Mary's Stadium,D
M Atkinson,Sun,0.0,-4,-1.6000000000000014,-0.20000000000000018,0.40000000000000036,1.200000000000001,-0.6,0.0,-0.7999999999999999,0.6000000000000001,-7.0,-0.2,0.6,-4.0,-0.6,0.0,0.0,-60.0,-2.0,1,1,-1,0.3400000000000034,-1,0,-1.6999999999999997,3.5,St. James Park,D
A Marriner,Sat,1.0,1,-6.600000000000001,-1.4000000000000004,-1.0,2.4000000000000004,1.2000000000000002,0.0,0.0,-0.3999999999999999,2.0,-0.2,0.0,-1.0,0.5999999999999999,40.0,0.0,-20.0,0.0,0,-1,-1,-0.6700000000000017,7,1,-0.8500000000000001,3.3,Carrow Road,L
C Pawson,Sat,1.0,1,-2.799999999999999,0.0,-0.6000000000000005,1.200000000000001,-0.3999999999999999,0.0,0.19999999999999996,2.4,-11.0,0.19999999999999996,1.0,-4.0,-0.3999999999999999,0.0,0.0,-40.0,-2.0,2,3,-2,1.0,-7,0,-0.04999999999999982,3.3,Bet365 Stadium,D
K Friend,Sun,0.0,0,-0.1999999999999993,0.20000000000000018,-0.1999999999999993,3.0,0.19999999999999973,0.2,-0.6000000000000001,1.6,-11.0,-0.20000000000000007,0.9999999999999999,-6.0,-1.0000000000000002,-20.0,-2.0,-60.0,-5.0,0,1,0,0.3299999999999983,6,1,-1.6500000000000004,3.75,Vicarage Road,D
M Jones,Sat,0.0,0,2.5999999999999996,0.6000000000000001,1.0,-1.200000000000001,-0.19999999999999996,-0.2,-0.20000000000000007,0.40000000000000013,-3.0,-0.2,0.39999999999999997,-3.0,0.0,0.0,0.0,0.0,1.0,1,3,-1,1.0,-8,0,-2.0,3.6,Bet365 Stadium,W
R Madley,Sat,0.0,0,8.0,1.0,1.4000000000000004,-2.200000000000001,1.0,0.0,0.6,0.3999999999999999,1.0,0.39999999999999997,0.6,-1.0,0.6000000000000001,20.0,1.0,20.0,2.0,2,3,0,1.6700000000000017,-10,0,-4.08,4.0,London Stadium,W
M Dean,Sat,0.0,0,5.199999999999999,1.4,2.8,-2.4000000000000004,-0.40000000000000013,0.0,1.0,-1.2000000000000002,11.0,0.8,-0.4,6.0,1.4000000000000001,40.0,0.0,60.0,0.0,-3,-1,-4,-2.6700000000000017,-1,0,-3.85,4.2,Dean Court,L
A Taylor,Sat,0.0,0,9.2,5.4,2.5999999999999996,-1.5999999999999996,-1.6,-0.4,1.2,-0.8,10.0,1.2000000000000002,-0.4,8.0,1.0000000000000002,20.0,-2.0,60.0,8.0,7,5,9,7.0,-9,0,-17.83,8.5,Anfield,W
C Pawson,Sat,0.0,0,-1.3999999999999986,0.5999999999999996,1.5999999999999996,2.4000000000000004,-0.6000000000000001,-0.4,0.0,1.6,-8.0,0.19999999999999996,0.9999999999999999,-4.0,-1.0,-40.0,-1.0,-20.0,-1.0,0,2,5,2.3400000000000034,-5,0,-1.4500000000000002,3.5,Swansea.com Stadium,W
