Season,Date,HomeTeam,AwayTeam,B365H,B365D,B365A,Referee,Day Of Week,Round,Days,Shots,ShotsOT,Corners,Fouls,YCards,RCards,GoalsScored,GoalsConceded,GoalsDiff,HTGoalsScored,HTGoalsConceded,HTGoalsDiff,Points,WinPercent,WinStreak,UnbPercent,UnbStreak,Def,Mid,Att,Ovr,LastSeasonRank,PromotedMatchup,WinnerOdd,Venue,Result
2022-2023,2022-09-04,united,arsenal,2.5,3.5,2.7,P Tierney,Sun,0,-1,-4.599999999999998,-2.2,-2.8,2.0,1.7999999999999998,0.0,-1.6,0.5999999999999999,-11.0,-0.7999999999999999,1.2,-10.0,-1.2,-40.0,-2.0,-40.0,-2.0,4,3,5,4.0,1,0,-0.20000000000000018,Old Trafford,W
2022-2023,2022-09-18,brentford,arsenal,4.2,3.8,1.8,D Coote,Sun,0,0,-5.000000000000002,-1.0,-1.3999999999999995,-2.5999999999999996,-0.19999999999999996,0.0,0.20000000000000018,0.0,1.0,0.3999999999999999,0.6000000000000001,-1.0,-0.7999999999999998,-40.0,1.0,0.0,3.0,-3,-5,-3,-3.6700000000000017,8,0,2.4000000000000004,Brentford Community Stadium,L
2022-2023,2022-10-16,leeds,arsenal,6.0,4.2,1.55,C Kavanagh,Sun,-1,4,-4.800000000000001,-3.4,-0.6000000000000005,5.800000000000001,0.7999999999999998,0.2,-1.5999999999999999,0.40000000000000013,-10.0,-0.7999999999999999,0.20000000000000007,-5.0,-2.0,-80.0,-3.0,-40.0,-3.0,-3,-4,-5,-4.0,12,0,4.45,Elland Road,L
2022-2023,2022-10-23,southampton,arsenal,6.0,4.0,1.57,R Jones,Sun,1,1,-3.5999999999999996,-2.4,-0.3999999999999999,0.20000000000000107,-0.3999999999999999,0.0,-1.6,0.40000000000000013,-10.0,-0.7999999999999999,0.0,-4.0,-1.5999999999999999,-60.0,-3.0,-40.0,-2.0,-4,-4,-8,-5.340000000000003,10,0,4.43,St Mary's Stadium,D
2022-2023,2022-11-06,chelsea,arsenal,2.55,3.4,2.7,M Oliver,Sun,0,1,-3.0,-1.5999999999999996,-1.0,-1.8000000000000007,0.40000000000000013,0.0,-1.2000000000000002,0.19999999999999996,-7.0,-0.7999999999999999,0.19999999999999996,-5.0,-1.0,-40.0,-1.0,-20.0,-6.0,4,6,0,3.3299999999999983,-2,0,-0.15000000000000036,Stamford Bridge,L
2022-2023,2022-11-12,wolves,arsenal,6.0,4.2,1.55,S Attwell,Sat,1,0,-1.5999999999999996,-1.2000000000000002,0.0,5.0,0.8,0.4,-1.2000000000000002,1.4,-13.0,-0.4,0.6000000000000001,-5.0,-1.8,-60.0,-2.0,-60.0,-7.0,-2,-1,-4,-2.3400000000000034,5,0,4.45,Molineux Stadium,L
2022-2023,2022-12-31,brighton,arsenal,3.4,3.5,2.1,A Taylor,Sat,0,0,-4.0,0.20000000000000018,0.5999999999999996,2.799999999999999,0.6000000000000001,0.0,0.0,1.4,-7.0,1.2000000000000002,0.8,2.0,-0.8,-20.0,-3.0,-40.0,-8.0,-2,-5,-7,-4.670000000000002,4,0,1.2999999999999998,Falmer Stadium,L
2022-2023,2023-01-15,tottenham,arsenal,3.1,3.6,2.2,C Pawson,Sun,1,2,-2.1999999999999993,1.3999999999999995,0.39999999999999947,-0.40000000000000036,-0.6000000000000001,0.0,0.20000000000000018,1.2000000000000002,-5.0,-0.2,0.8,-5.0,-1.2000000000000002,-40.0,1.0,-40.0,-10.0,0,1,1,0.6599999999999966,-1,0,0.8999999999999999,Tottenham Hotspur Stadium,L
2022-2023,2023-02-04,everton,arsenal,8.5,4.5,1.4,D Coote,Sat,1,2,-9.0,-1.8000000000000003,-1.6000000000000005,-2.5999999999999996,-0.19999999999999996,0.0,-1.5999999999999999,1.2000000000000002,-14.0,-0.6,0.6,-6.0,-2.4,-80.0,-2.0,-80.0,-13.0,-2,-3,-3,-2.6700000000000017,11,0,7.1,Goodison Park,W
2022-2023,2023-02-18,aston-villa,arsenal,4.5,3.6,1.5,S Hooper,Sat,0,3,-4.399999999999999,-0.20000000000000018,-0.7999999999999998,0.0,0.19999999999999996,0.0,0.0,0.40000000000000013,-2.0,-0.20000000000000007,0.9999999999999999,-6.0,0.0,0.0,0.0,0.0,0.0,1,-2,-4,-1.6700000000000017,9,0,3.0,Villa Park,L
2022-2023,2023-02-25,leicester,arsenal,4.75,4.0,1.7,C Pawson,Sat,0,-1,-7.000000000000002,-0.6000000000000001,-2.8,2.8000000000000007,1.2000000000000002,0.0,0.19999999999999996,0.19999999999999996,0.0,0.7999999999999999,0.19999999999999996,3.0,0.0,0.0,-1.0,0.0,-1.0,-4,-3,1,-2.0,3,0,3.05,King Power Stadium,L
2022-2023,2023-03-12,fulham,arsenal,6.0,4.0,1.57,D Coote,Sun,0,3,-7.199999999999999,-0.6000000000000005,-4.8,5.800000000000001,1.9999999999999998,0.0,-1.4000000000000001,-0.5999999999999999,-4.0,-0.4,-0.4,0.0,-0.7999999999999998,-40.0,-4.0,0.0,-4.0,-6,-7,-4,-5.659999999999997,16,1,4.43,Craven Cottage,L
2022-2023,2023-04-09,liverpool,arsenal,2.88,3.6,2.38,P Tierney,Sun,-1,-3,-6.0,-1.4000000000000004,-3.2,5.000000000000001,1.8,0.0,-1.6,0.19999999999999996,-9.0,-1.2000000000000002,0.2,-7.0,-1.6,-60.0,-7.0,-40.0,-6.0,4,-1,3,2.0,-3,0,0.5,Anfield,D
2022-2023,2023-04-16,west-ham,arsenal,6.0,4.2,1.55,D Coote,Sun,-1,-4,-7.000000000000002,-3.0000000000000004,-1.1999999999999993,0.8000000000000007,0.3999999999999999,0.0,-2.4000000000000004,0.8,-16.0,-0.8,0.4,-6.0,-1.2000000000000002,-40.0,1.0,-40.0,-7.0,-2,-3,-2,-2.3299999999999983,2,0,4.45,London Stadium,D
2022-2023,2023-04-26,city,arsenal,1.55,4.5,5.25,M Oliver,Wed,-2,-1,-1.1999999999999993,0.0,3.0,0.8000000000000007,0.20000000000000018,0.0,-0.20000000000000018,-1.2000000000000002,5.0,-0.40000000000000013,-0.6000000000000001,1.0,1.2,60.0,6.0,0.0,-1.0,4,4,4,4.0,-4,0,-3.7,Etihad Stadium,W
2022-2023,2023-05-07,newcastle,arsenal,2.45,3.75,2.63,C Kavanagh,Sun,-1,2,2.1999999999999993,-0.1999999999999993,3.5999999999999996,-0.40000000000000036,-1.0,0.0,0.7999999999999998,-1.0,9.0,-0.40000000000000013,-0.6,1.0,1.2,60.0,2.0,0.0,2.0,-1,-5,-2,-2.6599999999999966,6,0,-0.17999999999999972,St. James Park,L
2022-2023,2023-05-20,nottingham,arsenal,5.25,4.33,1.57,A Taylor,Sat,0,1,-5.0,-1.4000000000000004,-2.8000000000000003,1.0,0.5999999999999999,0.0,0.5999999999999999,0.0,3.0,0.19999999999999996,-0.4,3.0,0.0,0.0,0.0,0.0,2.0,-3,-7,-6,-5.329999999999998,18,1,3.6799999999999997,City Ground,W
2022-2023,2022-10-02,leeds,aston-villa,2.35,3.4,3.0,S Attwell,Sun,-1,0,5.199999999999999,1.7999999999999998,2.5999999999999996,0.5999999999999996,0.0,0.0,0.8,0.40000000000000013,2.0,0.19999999999999996,0.19999999999999996,0.0,0.19999999999999996,0.0,-1.0,20.0,-2.0,-4,-2,-1,-2.3299999999999983,3,0,-0.6499999999999999,Elland Road,D
2022-2023,2022-10-10,nottingham,aston-villa,3.3,3.4,2.2,A Taylor,Mon,0,-1,2.200000000000001,-1.1999999999999997,-0.6000000000000005,-0.3999999999999986,0.6000000000000001,0.0,0.20000000000000007,2.8,-13.0,0.39999999999999997,1.2,-4.0,-1.0,-20.0,0.0,-60.0,-3.0,-7,-5,-3,-5.0,9,1,1.0999999999999996,City Ground,D
