Date,Comp,Day,Venue,Result,GF,GA,Opponent,Poss,team,Match Number
2015-08-02,Community Shield,Sun,Neutral,W,1,0,Chelsea,43.0,arsenal,
2015-08-09,Premier League,Sun,Home,L,0,2,West Ham,62.0,arsenal,1.0
2015-08-16,Premier League,Sun,Away,W,2,1,Crystal Palace,59.0,arsenal,2.0
2015-08-24,Premier League,Mon,Home,D,0,0,Liverpool,66.0,arsenal,3.0
2015-08-29,Premier League,Sat,Away,W,1,0,Newcastle Utd,74.0,arsenal,4.0
2015-09-12,Premier League,Sat,Home,W,2,0,Stoke City,68.0,arsenal,5.0
2015-09-16,Champions Lg,Wed,Away,L,1,2,hr Dinamo Zagreb,58.0,arsenal,
2015-09-19,Premier League,Sat,Away,L,0,2,Chelsea,37.0,arsenal,6.0
2015-09-23,League Cup,Wed,Away,W,2,1,Tottenham,,arsenal,
2015-09-26,Premier League,Sat,Away,W,5,2,Leicester City,58.0,arsenal,7.0
2015-09-29,Champions Lg,Tue,Home,L,2,3,gr Olympiacos,63.0,arsenal,
2015-10-04,Premier League,Sun,Home,W,3,0,Manchester Utd,38.0,arsenal,8.0
2015-10-17,Premier League,Sat,Away,W,3,0,Watford,67.0,arsenal,9.0
2015-10-20,Champions Lg,Tue,Home,W,2,0,de Bayern Munich,32.0,arsenal,
2015-10-24,Premier League,Sat,Home,W,2,1,Everton,56.0,arsenal,10.0
2015-10-27,League Cup,Tue,Away,L,0,3,Sheffield Weds,,arsenal,
2015-10-31,Premier League,Sat,Away,W,3,0,Swansea City,46.0,arsenal,11.0
2015-11-04,Champions Lg,Wed,Away,L,1,5,de Bayern Munich,35.0,arsenal,
2015-11-08,Premier League,Sun,Home,D,1,1,Tottenham,55.0,arsenal,12.0
2015-11-21,Premier League,Sat,Away,L,1,2,West Brom,73.0,arsenal,13.0
2015-11-24,Champions Lg,Tue,Home,W,3,0,hr Dinamo Zagreb,52.0,arsenal,
2015-11-29,Premier League,Sun,Away,D,1,1,Norwich City,63.0,arsenal,14.0
2015-12-05,Premier League,Sat,Home,W,3,1,Sunderland,73.0,arsenal,15.0
2015-12-09,Champions Lg,Wed,Away,W,3,0,gr Olympiacos,50.0,arsenal,
2015-12-13,Premier League,Sun,Away,W,2,0,Aston Villa,54.0,arsenal,16.0
2015-12-21,Premier League,Mon,Home,W,2,1,Manchester City,37.0,arsenal,17.0
2015-12-26,Premier League,Sat,Away,L,0,4,Southampton,65.0,arsenal,18.0
2015-12-28,Premier League,Mon,Home,W,2,0,Bournemouth,51.0,arsenal,19.0
2016-01-02,Premier League,Sat,Home,W,1,0,Newcastle Utd,51.0,arsenal,20.0
2016-01-09,FA Cup,Sat,Home,W,3,1,Sunderland,,arsenal,
2016-01-13,Premier League,Wed,Away,D,3,3,Liverpool,41.0,arsenal,21.0
2016-01-17,Premier League,Sun,Away,D,0,0,Stoke City,55.0,arsenal,22.0
2016-01-24,Premier League,Sun,Home,L,0,1,Chelsea,47.0,arsenal,23.0
2016-01-30,FA Cup,Sat,Home,W,2,1,Burnley,,arsenal,
2016-02-02,Premier League,Tue,Home,D,0,0,Southampton,67.0,arsenal,24.0
2016-02-07,Premier League,Sun,Away,W,2,0,Bournemouth,49.0,arsenal,25.0
2016-02-14,Premier League,Sun,Home,W,2,1,Leicester City,72.0,arsenal,26.0
2016-02-20,FA Cup,Sat,Home,D,0,0,Hull City,,arsenal,
2016-02-23,Champions Lg,Tue,Home,L,0,2,es Barcelona,35.0,arsenal,
2016-02-28,Premier League,Sun,Away,L,2,3,Manchester Utd,61.0,arsenal,27.0
2016-03-02,Premier League,Wed,Home,L,1,2,Swansea City,63.0,arsenal,28.0
2016-03-05,Premier League,Sat,Away,D,2,2,Tottenham,48.0,arsenal,29.0
2016-03-08,FA Cup,Tue,Away,W,4,0,Hull City,,arsenal,
2016-03-13,FA Cup,Sun,Home,L,1,2,Watford,,arsenal,
2016-03-16,Champions Lg,Wed,Away,L,1,3,es Barcelona,38.0,arsenal,
2016-03-19,Premier League,Sat,Away,W,2,0,Everton,46.0,arsenal,30.0
2016-04-02,Premier League,Sat,Home,W,4,0,Watford,69.0,arsenal,31.0
2016-04-09,Premier League,Sat,Away,D,3,3,West Ham,61.0,arsenal,32.0
2016-04-17,Premier League,Sun,Home,D,1,1,Crystal Palace,72.0,arsenal,33.0
2016-04-21,Premier League,Thu,Home,W,2,0,West Brom,71.0,arsenal,34.0
2016-04-24,Premier League,Sun,Away,D,0,0,Sunderland,70.0,arsenal,35.0
