Date,Comp,Venue,Result,GF,GA,Opponent,Poss,team
2016-08-14,Premier League,Home,L,3,4,Liverpool,51.0,arsenal
2016-08-20,Premier League,Away,D,0,0,Leicester City,61.0,arsenal
2016-08-27,Premier League,Away,W,3,1,Watford,55.0,arsenal
2016-09-10,Premier League,Home,W,2,1,Southampton,57.0,arsenal
2016-09-13,Champions Lg,Away,D,1,1,fr Paris S-G,48.0,arsenal
2016-09-17,Premier League,Away,W,4,1,Hull City,61.0,arsenal
2016-09-20,EFL Cup,Away,W,4,0,Nott'ham Forest,61.0,arsenal
2016-09-24,Premier League,Home,W,3,0,Chelsea,50.0,arsenal
2016-09-28,Champions Lg,Home,W,2,0,ch Basel,65.0,arsenal
2016-10-02,Premier League,Away,W,1,0,Burnley,67.0,arsenal
2016-10-15,Premier League,Home,W,3,2,Swansea City,49.0,arsenal
2016-10-19,Champions Lg,Home,W,6,0,bg Ludogorets,43.0,arsenal
2016-10-22,Premier League,Home,D,0,0,Middlesbrough,75.0,arsenal
2016-10-25,EFL Cup,Home,W,2,0,Reading,60.0,arsenal
2016-10-29,Premier League,Away,W,4,1,Sunderland,66.0,arsenal
2016-11-01,Champions Lg,Away,W,3,2,bg Ludogorets,58.0,arsenal
2016-11-06,Premier League,Home,D,1,1,Tottenham,46.0,arsenal
2016-11-19,Premier League,Away,D,1,1,Manchester Utd,55.0,arsenal
2016-11-23,Champions Lg,Home,D,2,2,fr Paris S-G,46.0,arsenal
2016-11-27,Premier League,Home,W,3,1,Bournemouth,52.0,arsenal
2016-11-30,EFL Cup,Home,L,0,2,Southampton,63.0,arsenal
2016-12-03,Premier League,Away,W,5,1,West Ham,50.0,arsenal
2016-12-06,Champions Lg,Away,W,4,1,ch Basel,59.0,arsenal
2016-12-10,Premier League,Home,W,3,1,Stoke City,64.0,arsenal
2016-12-13,Premier League,Away,L,1,2,Everton,59.0,arsenal
2016-12-18,Premier League,Away,L,1,2,Manchester City,39.0,arsenal
2016-12-26,Premier League,Home,W,1,0,West Brom,76.0,arsenal
2017-01-01,Premier League,Home,W,2,0,Crystal Palace,64.0,arsenal
2017-01-03,Premier League,Away,D,3,3,Bournemouth,60.0,arsenal
2017-01-07,FA Cup,Away,W,2,1,Preston,,arsenal
2017-01-14,Premier League,Away,W,4,0,Swansea City,57.0,arsenal
2017-01-22,Premier League,Home,W,2,1,Burnley,70.0,arsenal
2017-01-28,FA Cup,Away,W,5,0,Southampton,,arsenal
2017-01-31,Premier League,Home,L,1,2,Watford,74.0,arsenal
2017-02-04,Premier League,Away,L,1,3,Chelsea,59.0,arsenal
2017-02-11,Premier League,Home,W,2,0,Hull City,49.0,arsenal
2017-02-15,Champions Lg,Away,L,1,5,de Bayern Munich,26.0,arsenal
2017-02-20,FA Cup,Away,W,2,0,Sutton United,,arsenal
2017-03-04,Premier League,Away,L,1,3,Liverpool,48.0,arsenal
2017-03-07,Champions Lg,Home,L,1,5,de Bayern Munich,43.0,arsenal
2017-03-11,FA Cup,Home,W,5,0,Lincoln City,,arsenal
2017-03-18,Premier League,Away,L,1,3,West Brom,77.0,arsenal
2017-04-02,Premier League,Home,D,2,2,Manchester City,44.0,arsenal
2017-04-05,Premier League,Home,W,3,0,West Ham,66.0,arsenal
2017-04-10,Premier League,Away,L,0,3,Crystal Palace,72.0,arsenal
2017-04-17,Premier League,Away,W,2,1,Middlesbrough,65.0,arsenal
2017-04-23,FA Cup,Home,W,2,1,Manchester City,,arsenal
2017-04-26,Premier League,Home,W,1,0,Leicester City,69.0,arsenal
2017-04-30,Premier League,Away,L,0,2,Tottenham,49.0,arsenal
2017-05-07,Premier League,Home,W,2,0,Manchester Utd,50.0,arsenal
