Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Day,Result,HPoss,Season,HDays,ADays,HxG,AxG
2012-08-18,arsenal,sunderland,0,0,0,0,D,C Foy,14,3,4,2,12,8,7,0,0,0,0,0,1.4,4.5,8.5,Sat,D,,2012-2013,10,10,,
2012-08-18,fulham,norwich,5,0,2,0,H,M Oliver,11,4,9,2,12,11,6,3,0,0,0,0,1.8,3.6,4.5,Sat,W,,2012-2013,10,10,,
2012-08-18,newcastle,tottenham,2,1,0,0,D,M Atkinson,6,12,4,6,12,8,3,5,2,2,0,0,2.5,3.4,2.75,Sat,W,,2012-2013,10,10,,
2012-08-18,qpr,swansea,0,5,0,1,A,L Probert,20,12,11,8,11,14,5,3,2,2,0,0,2.0,3.4,3.8,Sat,L,,2012-2013,10,10,,
2012-08-18,reading,stoke,1,1,0,1,A,K Friend,9,6,3,3,9,14,4,3,2,4,0,1,2.38,3.25,3.1,Sat,D,,2012-2013,10,10,,
2012-08-18,west-brom,liverpool,3,0,1,0,H,P Dowd,15,14,10,7,10,11,7,3,1,4,0,1,4.2,3.5,1.91,Sat,W,,2012-2013,10,9,,
2012-08-18,west-ham,aston-villa,1,0,1,0,H,M Dean,8,10,4,6,17,8,6,4,0,1,0,0,2.2,3.3,3.4,Sat,W,,2012-2013,10,10,,
2012-08-19,city,southampton,3,2,1,0,H,H Webb,20,9,15,6,4,6,7,3,1,2,0,0,1.17,7.0,17.0,Sun,W,,2012-2013,10,10,,
2012-08-19,wigan,chelsea,0,2,0,2,A,M Jones,12,5,4,3,16,11,7,1,2,2,0,0,6.0,3.75,1.62,Sun,L,,2012-2013,10,10,,
2012-08-20,everton,united,1,0,0,0,D,A Marriner,16,12,7,7,12,11,6,8,1,2,0,0,4.33,3.6,1.83,Mon,W,,2012-2013,10,10,,
2012-08-22,chelsea,reading,4,2,1,2,A,L Mason,23,7,11,5,11,14,1,5,0,2,0,0,1.25,5.5,13.0,Wed,W,,2012-2013,3,4,,
2012-08-25,aston-villa,everton,1,3,0,3,A,M Oliver,7,19,3,11,10,7,1,9,1,0,1,0,2.9,3.4,2.4,Sat,L,,2012-2013,7,5,,
2012-08-25,chelsea,newcastle,2,0,2,0,H,P Dowd,11,11,6,5,8,10,2,3,1,0,0,0,1.5,4.33,6.5,Sat,W,,2012-2013,3,2,,
2012-08-25,united,fulham,3,2,3,1,H,K Friend,20,14,11,11,12,7,8,8,0,1,0,0,1.29,5.5,11.0,Sat,W,,2012-2013,5,7,,
2012-08-25,norwich,qpr,1,1,1,1,D,M Clattenburg,13,6,4,4,15,14,6,2,0,2,0,0,2.25,3.4,3.2,Sat,D,,2012-2013,7,7,,
2012-08-25,southampton,wigan,0,2,0,0,D,A Taylor,14,12,9,8,11,9,10,3,0,0,0,0,2.1,3.4,3.5,Sat,L,,2012-2013,6,6,,
2012-08-25,swansea,west-ham,3,0,2,0,H,M Atkinson,10,7,7,6,13,17,5,4,2,4,0,0,2.1,3.3,3.6,Sat,W,,2012-2013,7,7,,
2012-08-25,tottenham,west-brom,1,1,0,0,D,M Dean,18,10,10,5,8,7,7,5,1,2,0,0,1.5,4.33,6.5,Sat,D,,2012-2013,7,7,,
2012-08-26,liverpool,city,2,2,1,0,H,A Marriner,15,11,8,5,10,7,4,4,1,0,0,0,3.1,3.4,2.3,Sun,D,,2012-2013,3,7,,
2012-08-26,stoke,arsenal,0,0,0,0,D,L Mason,7,16,4,6,9,9,0,11,2,0,0,0,3.5,3.4,2.1,Sun,D,,2012-2013,8,8,,
2012-09-01,city,qpr,3,1,1,0,H,C Foy,19,9,12,5,12,3,8,3,2,1,0,0,1.18,7.0,15.0,Sat,W,,2012-2013,6,7,,
2012-09-01,swansea,sunderland,2,2,1,2,A,R East,14,4,10,3,11,7,8,0,1,1,1,0,2.2,3.3,3.4,Sat,D,,2012-2013,7,10,,
2012-09-01,tottenham,norwich,1,1,0,0,D,M Halsey,15,10,9,4,7,12,4,2,1,0,1,0,1.36,5.0,8.5,Sat,D,,2012-2013,7,7,,
2012-09-01,west-brom,everton,2,0,0,0,D,J Moss,14,12,8,5,11,15,6,3,1,4,0,0,3.0,3.3,2.38,Sat,W,,2012-2013,7,7,,
2012-09-01,west-ham,fulham,3,0,3,0,H,A Taylor,17,14,12,13,12,5,6,6,0,0,0,0,2.5,3.25,2.88,Sat,W,,2012-2013,7,7,,
