Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2012-08-18,,Premier League,Matchweek 1,Sat,Away,L,0,1,West Ham,,,,4-2-3-1,Mike Dean,Match Report,
2012-08-25,,Premier League,Matchweek 2,Sat,Home,L,1,3,Everton,,,,4-4-2,Michael Oliver,Match Report,
2012-09-02,,Premier League,Matchweek 3,Sun,Away,D,1,1,Newcastle Utd,,,,4-4-2,Lee Probert,Match Report,
2012-09-15,,Premier League,Matchweek 4,Sat,Home,W,2,0,Swansea City,,,,4-4-2,Lee Mason,Match Report,
2012-09-22,,Premier League,Matchweek 5,Sat,Away,L,1,4,Southampton,,,,4-1-2-1-2◆,Jon Moss,Match Report,
2012-09-30,,Premier League,Matchweek 6,Sun,Home,D,1,1,West Brom,,,,4-2-3-1,Anthony Taylor,Match Report,
2012-10-07,,Premier League,Matchweek 7,Sun,Away,L,0,2,Tottenham,,,,4-2-3-1,Neil Swarbrick,Match Report,
2012-10-20,,Premier League,Matchweek 8,Sat,Away,L,0,1,Fulham,,,,4-2-3-1,Chris Foy,Match Report,
2012-10-27,,Premier League,Matchweek 9,Sat,Home,D,1,1,Norwich City,,,,4-4-2,Phil Dowd,Match Report,
2012-11-03,,Premier League,Matchweek 10,Sat,Away,W,1,0,Sunderland,,,,4-4-2,Mike Jones,Match Report,
2012-11-10,,Premier League,Matchweek 11,Sat,Home,L,2,3,Manchester Utd,,,,4-2-3-1,Kevin Friend,Match Report,
2012-11-17,,Premier League,Matchweek 12,Sat,Away,L,0,5,Manchester City,,,,4-2-3-1,Jon Moss,Match Report,
2012-11-24,,Premier League,Matchweek 13,Sat,Home,D,0,0,Arsenal,,,,4-2-3-1,Lee Mason,Match Report,
2012-11-27,,Premier League,Matchweek 14,Tue,Home,W,1,0,Reading,,,,4-2-3-1,Lee Probert,Match Report,
2012-12-01,,Premier League,Matchweek 15,Sat,Away,D,1,1,QPR,,,,4-5-1,Howard Webb,Match Report,
2012-12-08,,Premier League,Matchweek 16,Sat,Home,D,0,0,Stoke City,,,,5-3-2,Roger East,Match Report,
2012-12-15,,Premier League,Matchweek 17,Sat,Away,W,3,1,Liverpool,,,,3-5-2,Neil Swarbrick,Match Report,
2012-12-23,,Premier League,Matchweek 18,Sun,Away,L,0,8,Chelsea,,,,3-5-1-1,Phil Dowd,Match Report,
2012-12-26,,Premier League,Matchweek 19,Wed,Home,L,0,4,Tottenham,,,,3-5-1-1,Mark Clattenburg,Match Report,
2012-12-29,,Premier League,Matchweek 20,Sat,Home,L,0,3,Wigan Athletic,,,,5-3-2,Kevin Friend,Match Report,
2013-01-01,,Premier League,Matchweek 21,Tue,Away,D,2,2,Swansea City,,,,4-4-2,Mark Halsey,Match Report,
2013-01-12,,Premier League,Matchweek 22,Sat,Home,L,0,1,Southampton,,,,4-2-3-1,Mark Halsey,Match Report,
2013-01-19,,Premier League,Matchweek 23,Sat,Away,D,2,2,West Brom,,,,3-4-3,Lee Probert,Match Report,
2013-01-29,,Premier League,Matchweek 24,Tue,Home,L,1,2,Newcastle Utd,,,,3-5-2,Mike Dean,Match Report,
2013-02-02,,Premier League,Matchweek 25,Sat,Away,D,3,3,Everton,,,,4-2-3-1,Mike Jones,Match Report,
2013-02-10,,Premier League,Matchweek 26,Sun,Home,W,2,1,West Ham,,,,4-2-3-1,Mark Clattenburg,Match Report,
2013-02-23,,Premier League,Matchweek 27,Sat,Away,L,1,2,Arsenal,,,,4-2-3-1,Martin Atkinson,Match Report,
2013-03-04,,Premier League,Matchweek 28,Mon,Home,L,0,1,Manchester City,,,,4-2-3-1,Mike Dean,Match Report,
2013-03-09,,Premier League,Matchweek 29,Sat,Away,W,2,1,Reading,,,,4-2-3-1,Jon Moss,Match Report,
2013-03-16,,Premier League,Matchweek 30,Sat,Home,W,3,2,QPR,,,,4-1-4-1,Kevin Friend,Match Report,
2013-03-31,,Premier League,Matchweek 31,Sun,Home,L,1,2,Liverpool,,,,4-3-3,Lee Mason,Match Report,
2013-04-06,,Premier League,Matchweek 32,Sat,Away,W,3,1,Stoke City,,,,4-2-3-1,Mark Clattenburg,Match Report,
2013-04-13,,Premier League,Matchweek 33,Sat,Home,D,1,1,Fulham,,,,4-2-3-1,Phil Dowd,Match Report,
2013-04-22,,Premier League,Matchweek 34,Mon,Away,L,0,3,Manchester Utd,,,,4-2-3-1,Anthony Taylor,Match Report,
2013-04-29,,Premier League,Matchweek 35,Mon,Home,W,6,1,Sunderland,,,,4-3-3,Lee Probert,Match Report,
2013-05-04,,Premier League,Matchweek 36,Sat,Away,W,2,1,Norwich City,,,,4-3-3,Kevin Friend,Match Report,
2013-05-11,,Premier League,Matchweek 37,Sat,Home,L,1,2,Chelsea,,,,4-3-3,Lee Mason,Match Report,
2013-05-19,,Premier League,Matchweek 38,Sun,Away,D,2,2,Wigan Athletic,,,,4-3-3,Neil Swarbrick,Match Report,
