Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2012-08-19,,Premier League,Matchweek 1,Sun,Away,W,2,0,Wigan Athletic,,,,4-2-3-1,Mike Jones,Match Report,
2012-08-22,,Premier League,Matchweek 3,Wed,Home,W,4,2,Reading,,,,4-2-3-1,Lee Mason,Match Report,
2012-08-25,,Premier League,Matchweek 2,Sat,Home,W,2,0,Newcastle Utd,,,,4-2-3-1,Phil Dowd,Match Report,
2012-09-15,,Premier League,Matchweek 4,Sat,Away,D,0,0,QPR,,,,4-2-3-1,Andre Marriner,Match Report,
2012-09-19,,Champions Lg,Group stage,Wed,Home,D,2,2,it Juventus,,,,,Pedro Proença,Match Report,
2012-09-22,,Premier League,Matchweek 5,Sat,Home,W,1,0,Stoke City,,,,4-2-3-1,Michael Oliver,Match Report,
2012-09-29,,Premier League,Matchweek 6,Sat,Away,W,2,1,Arsenal,,,,4-2-3-1,Martin Atkinson,Match Report,
2012-10-02,,Champions Lg,Group stage,Tue,Away,W,4,0,dk Nordsjælland,,,,,Marijo Strahonja,Match Report,
2012-10-06,,Premier League,Matchweek 7,Sat,Home,W,4,1,Norwich City,,,,4-2-3-1,Anthony Taylor,Match Report,
2012-10-20,,Premier League,Matchweek 8,Sat,Away,W,4,2,Tottenham,,,,4-2-3-1,Mike Dean,Match Report,
2012-10-23,,Champions Lg,Group stage,Tue,Away,L,1,2,ua Shakhtar,,,,,Damir Skomina,Match Report,
2012-10-28,,Premier League,Matchweek 9,Sun,Home,L,2,3,Manchester Utd,,,,4-2-3-1,Mark Clattenburg,Match Report,
2012-11-03,,Premier League,Matchweek 10,Sat,Away,D,1,1,Swansea City,,,,4-2-3-1,Kevin Friend,Match Report,
2012-11-07,,Champions Lg,Group stage,Wed,Home,W,3,2,ua Shakhtar,,,,,Velasco Carballo,Match Report,
2012-11-11,,Premier League,Matchweek 11,Sun,Home,D,1,1,Liverpool,,,,4-2-3-1,Howard Webb,Match Report,
2012-11-17,,Premier League,Matchweek 12,Sat,Away,L,1,2,West Brom,,,,4-2-3-1,Michael Oliver,Match Report,
2012-11-20,,Champions Lg,Group stage,Tue,Away,L,0,3,it Juventus,,,,,Cüneyt Çakır,Match Report,
2012-11-25,,Premier League,Matchweek 13,Sun,Home,D,0,0,Manchester City,,,,4-2-3-1,Chris Foy,Match Report,
2012-11-28,,Premier League,Matchweek 14,Wed,Home,D,0,0,Fulham,,,,4-2-3-1,Anthony Taylor,Match Report,
2012-12-01,,Premier League,Matchweek 15,Sat,Away,L,1,3,West Ham,,,,4-2-3-1,Martin Atkinson,Match Report,
2012-12-05,,Champions Lg,Group stage,Wed,Home,W,6,1,dk Nordsjælland,,,,,Bas Nijhuis,Match Report,
2012-12-08,,Premier League,Matchweek 16,Sat,Away,W,3,1,Sunderland,,,,4-2-3-1,Mark Halsey,Match Report,
2012-12-23,,Premier League,Matchweek 18,Sun,Home,W,8,0,Aston Villa,,,,4-2-3-1,Phil Dowd,Match Report,
2012-12-26,,Premier League,Matchweek 19,Wed,Away,W,1,0,Norwich City,,,,4-2-3-1,Jon Moss,Match Report,
2012-12-30,,Premier League,Matchweek 20,Sun,Away,W,2,1,Everton,,,,4-3-3,Howard Webb,Match Report,
2013-01-02,,Premier League,Matchweek 21,Wed,Home,L,0,1,QPR,,,,4-2-3-1,Lee Mason,Match Report,
2013-01-12,,Premier League,Matchweek 22,Sat,Away,W,4,0,Stoke City,,,,4-2-3-1,Andre Marriner,Match Report,
2013-01-16,,Premier League,Matchweek 17,Wed,Home,D,2,2,Southampton,,,,4-2-3-1,Michael Oliver,Match Report,
2013-01-20,,Premier League,Matchweek 23,Sun,Home,W,2,1,Arsenal,,,,4-2-3-1,Martin Atkinson,Match Report,
2013-01-30,,Premier League,Matchweek 24,Wed,Away,D,2,2,Reading,,,,4-2-3-1,Mark Halsey,Match Report,
2013-02-02,,Premier League,Matchweek 25,Sat,Away,L,2,3,Newcastle Utd,,,,4-2-3-1,Howard Webb,Match Report,
2013-02-09,,Premier League,Matchweek 26,Sat,Home,W,4,1,Wigan Athletic,,,,4-2-3-1,Mike Dean,Match Report,
