Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2012-08-19,,Premier League,Matchweek 1,Sun,Home,W,3,2,Southampton,,,,4-4-2,Howard Webb,Match Report,
2012-08-26,,Premier League,Matchweek 2,Sun,Away,D,2,2,Liverpool,,,,3-5-2,Andre Marriner,Match Report,
2012-09-01,,Premier League,Matchweek 3,Sat,Home,W,3,1,QPR,,,,4-4-1-1,Chris Foy,Match Report,
2012-09-15,,Premier League,Matchweek 4,Sat,Away,D,1,1,Stoke City,,,,4-4-1-1,Mark Clattenburg,Match Report,
2012-09-18,,Champions Lg,Group stage,Tue,Away,L,2,3,es Real Madrid,,,,,Damir Skomina,Match Report,
2012-09-23,,Premier League,Matchweek 5,Sun,Home,D,1,1,Arsenal,,,,4-4-1-1,Mike Dean,Match Report,
2012-09-29,,Premier League,Matchweek 6,Sat,Away,W,2,1,Fulham,,,,4-2-3-1,Mark Halsey,Match Report,
2012-10-03,,Champions Lg,Group stage,Wed,Home,D,1,1,de Dortmund,,,,,Pavel Královec,Match Report,
2012-10-06,,Premier League,Matchweek 7,Sat,Home,W,3,0,Sunderland,,,,4-2-3-1,Lee Probert,Match Report,
2012-10-20,,Premier League,Matchweek 8,Sat,Away,W,2,1,West Brom,,,,4-2-3-1,Mark Clattenburg,Match Report,
2012-10-24,,Champions Lg,Group stage,Wed,Away,L,1,3,nl Ajax,,,,,Svein Oddvar Moen,Match Report,
2012-10-27,,Premier League,Matchweek 9,Sat,Home,W,1,0,Swansea City,,,,4-2-3-1,Martin Atkinson,Match Report,
2012-11-03,,Premier League,Matchweek 10,Sat,Away,D,0,0,West Ham,,,,4-2-3-1,Howard Webb,Match Report,
2012-11-06,,Champions Lg,Group stage,Tue,Home,D,2,2,nl Ajax,,,,,Peter Rasmussen,Match Report,
2012-11-11,,Premier League,Matchweek 11,Sun,Home,W,2,1,Tottenham,,,,4-2-3-1,Michael Oliver,Match Report,
2012-11-17,,Premier League,Matchweek 12,Sat,Home,W,5,0,Aston Villa,,,,4-2-3-1,Jon Moss,Match Report,
2012-11-21,,Champions Lg,Group stage,Wed,Home,D,1,1,es Real Madrid,,,,,Gianluca Rocchi,Match Report,
2012-11-25,,Premier League,Matchweek 13,Sun,Away,D,0,0,Chelsea,,,,4-4-1-1,Chris Foy,Match Report,
2012-11-28,,Premier League,Matchweek 14,Wed,Away,W,2,0,Wigan Athletic,,,,4-2-3-1,Mark Halsey,Match Report,
2012-12-01,,Premier League,Matchweek 15,Sat,Home,D,1,1,Everton,,,,4-4-1-1,Lee Probert,Match Report,
2012-12-04,,Champions Lg,Group stage,Tue,Away,L,0,1,de Dortmund,,,,,Milorad Mažić,Match Report,
2012-12-09,,Premier League,Matchweek 16,Sun,Home,L,2,3,Manchester Utd,,,,4-4-1-1,Martin Atkinson,Match Report,
2012-12-15,,Premier League,Matchweek 17,Sat,Away,W,3,1,Newcastle Utd,,,,4-4-1-1,Andre Marriner,Match Report,
2012-12-22,,Premier League,Matchweek 18,Sat,Home,W,1,0,Reading,,,,4-2-3-1,Mike Dean,Match Report,
2012-12-26,,Premier League,Matchweek 19,Wed,Away,L,0,1,Sunderland,,,,4-4-1-1,Kevin Friend,Match Report,
2012-12-29,,Premier League,Matchweek 20,Sat,Away,W,4,3,Norwich City,,,,4-4-1-1,Mike Jones,Match Report,
2013-01-01,,Premier League,Matchweek 21,Tue,Home,W,3,0,Stoke City,,,,4-4-1-1,Michael Oliver,Match Report,
2013-01-13,,Premier League,Matchweek 22,Sun,Away,W,2,0,Arsenal,,,,4-4-1-1,Mike Dean,Match Report,
2013-01-19,,Premier League,Matchweek 23,Sat,Home,W,2,0,Fulham,,,,4-4-1-1,Jon Moss,Match Report,
