Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2012-08-18,,Premier League,Matchweek 1,Sat,Away,L,0,5,Fulham,,,,4-4-1-1,Michael Oliver,Match Report,
2012-08-25,,Premier League,Matchweek 2,Sat,Home,D,1,1,QPR,,,,4-4-1-1,Mark Clattenburg,Match Report,
2012-09-01,,Premier League,Matchweek 3,Sat,Away,D,1,1,Tottenham,,,,4-4-2,Mark Halsey,Match Report,
2012-09-15,,Premier League,Matchweek 4,Sat,Home,D,0,0,West Ham,,,,4-4-2,Chris Foy,Match Report,
2012-09-23,,Premier League,Matchweek 5,Sun,Away,L,0,1,Newcastle Utd,,,,4-5-1,Neil Swarbrick,Match Report,
2012-09-29,,Premier League,Matchweek 6,Sat,Home,L,2,5,Liverpool,,,,4-4-2,Mike Jones,Match Report,
2012-10-06,,Premier League,Matchweek 7,Sat,Away,L,1,4,Chelsea,,,,4-4-1-1,Anthony Taylor,Match Report,
2012-10-20,,Premier League,Matchweek 8,Sat,Home,W,1,0,Arsenal,,,,4-4-1-1,Lee Probert,Match Report,
2012-10-27,,Premier League,Matchweek 9,Sat,Away,D,1,1,Aston Villa,,,,4-4-1-1,Phil Dowd,Match Report,
2012-11-03,,Premier League,Matchweek 10,Sat,Home,W,1,0,Stoke City,,,,4-4-1-1,Andre Marriner,Match Report,
2012-11-10,,Premier League,Matchweek 11,Sat,Away,D,0,0,Reading,,,,4-4-1-1,Chris Foy,Match Report,
2012-11-17,,Premier League,Matchweek 12,Sat,Home,W,1,0,Manchester Utd,,,,4-4-1-1,Anthony Taylor,Match Report,
2012-11-24,,Premier League,Matchweek 13,Sat,Away,D,1,1,Everton,,,,4-4-1-1,Mike Jones,Match Report,
2012-11-28,,Premier League,Matchweek 14,Wed,Away,D,1,1,Southampton,,,,4-4-1-1,Mark Clattenburg,Match Report,
2012-12-02,,Premier League,Matchweek 15,Sun,Home,W,2,1,Sunderland,,,,4-4-1-1,Phil Dowd,Match Report,
2012-12-08,,Premier League,Matchweek 16,Sat,Away,W,4,3,Swansea City,,,,4-4-1-1,Howard Webb,Match Report,
2012-12-15,,Premier League,Matchweek 17,Sat,Home,W,2,1,Wigan Athletic,,,,4-4-1-1,Lee Probert,Match Report,
2012-12-22,,Premier League,Matchweek 18,Sat,Away,L,1,2,West Brom,,,,4-4-1-1,Martin Atkinson,Match Report,
2012-12-26,,Premier League,Matchweek 19,Wed,Home,L,0,1,Chelsea,,,,4-4-1-1,Jon Moss,Match Report,
2012-12-29,,Premier League,Matchweek 20,Sat,Home,L,3,4,Manchester City,,,,4-4-1-1,Mike Jones,Match Report,
2013-01-01,,Premier League,Matchweek 21,Tue,Away,L,1,2,West Ham,,,,4-4-1-1,Mark Clattenburg,Match Report,
2013-01-12,,Premier League,Matchweek 22,Sat,Home,D,0,0,Newcastle Utd,,,,4-4-1-1,Anthony Taylor,Match Report,
2013-01-19,,Premier League,Matchweek 23,Sat,Away,L,0,5,Liverpool,,,,4-4-1-1,Michael Oliver,Match Report,
2013-01-30,,Premier League,Matchweek 24,Wed,Home,D,1,1,Tottenham,,,,4-4-1-1,Neil Swarbrick,Match Report,
2013-02-02,,Premier League,Matchweek 25,Sat,Away,D,0,0,QPR,,,,4-4-1-1,Jon Moss,Match Report,
2013-02-09,,Premier League,Matchweek 26,Sat,Home,D,0,0,Fulham,,,,4-4-1-1,Howard Webb,Match Report,
2013-02-23,,Premier League,Matchweek 27,Sat,Home,W,2,1,Everton,,,,4-4-2,Lee Mason,Match Report,
2013-03-02,,Premier League,Matchweek 28,Sat,Away,L,0,4,Manchester Utd,,,,4-5-1,Neil Swarbrick,Match Report,
2013-03-09,,Premier League,Matchweek 29,Sat,Home,D,0,0,Southampton,,,,4-4-2,Mark Clattenburg,Match Report,
2013-03-17,,Premier League,Matchweek 30,Sun,Away,D,1,1,Sunderland,,,,4-2-3-1,Chris Foy,Match Report,
2013-03-30,,Premier League,Matchweek 31,Sat,Away,L,0,1,Wigan Athletic,,,,4-4-1-1,Howard Webb,Match Report,
2013-04-06,,Premier League,Matchweek 32,Sat,Home,D,2,2,Swansea City,,,,4-4-1-1,Michael Oliver,Match Report,
2013-04-13,,Premier League,Matchweek 33,Sat,Away,L,1,3,Arsenal,,,,4-1-4-1,Mike Jones,Match Report,
2013-04-20,,Premier League,Matchweek 34,Sat,Home,W,2,1,Reading,,,,4-4-2,Mike Dean,Match Report,
2013-04-27,,Premier League,Matchweek 35,Sat,Away,L,0,1,Stoke City,,,,4-5-1,Anthony Taylor,Match Report,
2013-05-04,,Premier League,Matchweek 36,Sat,Home,L,1,2,Aston Villa,,,,4-5-1,Kevin Friend,Match Report,
2013-05-12,,Premier League,Matchweek 37,Sun,Home,W,4,0,West Brom,,,,4-4-1-1,Howard Webb,Match Report,
2013-05-19,,Premier League,Matchweek 38,Sun,Away,W,3,2,Manchester City,,,,4-4-1-1,Mark Halsey,Match Report,
