Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2012-08-18,,Premier League,Matchweek 1,Sat,Home,L,0,5,Swansea City,,,,4-2-3-1,Lee Probert,Match Report,
2012-08-25,,Premier League,Matchweek 2,Sat,Away,D,1,1,Norwich City,,,,4-4-2,Mark Clattenburg,Match Report,
2012-09-01,,Premier League,Matchweek 3,Sat,Away,L,1,3,Manchester City,,,,4-4-2,Chris Foy,Match Report,
2012-09-15,,Premier League,Matchweek 4,Sat,Home,D,0,0,Chelsea,,,,4-4-2,Andre Marriner,Match Report,
2012-09-23,,Premier League,Matchweek 5,Sun,Away,L,1,2,Tottenham,,,,4-4-1-1,Phil Dowd,Match Report,
2012-10-01,,Premier League,Matchweek 6,Mon,Home,L,1,2,West Ham,,,,4-4-2,Mark Clattenburg,Match Report,
2012-10-06,,Premier League,Matchweek 7,Sat,Away,L,2,3,West Brom,,,,4-2-3-1,Mike Jones,Match Report,
2012-10-21,,Premier League,Matchweek 8,Sun,Home,D,1,1,Everton,,,,4-4-1-1,Jon Moss,Match Report,
2012-10-27,,Premier League,Matchweek 9,Sat,Away,L,0,1,Arsenal,,,,4-4-1-1,Anthony Taylor,Match Report,
2012-11-04,,Premier League,Matchweek 10,Sun,Home,D,1,1,Reading,,,,4-4-1-1,Michael Oliver,Match Report,
2012-11-10,,Premier League,Matchweek 11,Sat,Away,L,0,1,Stoke City,,,,4-4-1-1,Martin Atkinson,Match Report,
2012-11-17,,Premier League,Matchweek 12,Sat,Home,L,1,3,Southampton,,,,4-2-3-1,Mike Dean,Match Report,
2012-11-24,,Premier League,Matchweek 13,Sat,Away,L,1,3,Manchester Utd,,,,4-2-3-1,Lee Probert,Match Report,
2012-11-27,,Premier League,Matchweek 14,Tue,Away,D,0,0,Sunderland,,,,4-2-3-1,Andre Marriner,Match Report,
2012-12-01,,Premier League,Matchweek 15,Sat,Home,D,1,1,Aston Villa,,,,4-1-4-1,Howard Webb,Match Report,
2012-12-08,,Premier League,Matchweek 16,Sat,Away,D,2,2,Wigan Athletic,,,,4-1-4-1,Phil Dowd,Match Report,
2012-12-15,,Premier League,Matchweek 17,Sat,Home,W,2,1,Fulham,,,,4-2-3-1,Martin Atkinson,Match Report,
2012-12-22,,Premier League,Matchweek 18,Sat,Away,L,0,1,Newcastle Utd,,,,4-1-4-1,Kevin Friend,Match Report,
2012-12-26,,Premier League,Matchweek 19,Wed,Home,L,1,2,West Brom,,,,4-2-3-1,Chris Foy,Match Report,
2012-12-30,,Premier League,Matchweek 20,Sun,Home,L,0,3,Liverpool,,,,4-4-1-1,Anthony Taylor,Match Report,
2013-01-02,,Premier League,Matchweek 21,Wed,Away,W,1,0,Chelsea,,,,4-3-3,Lee Mason,Match Report,
2013-01-12,,Premier League,Matchweek 22,Sat,Home,D,0,0,Tottenham,,,,4-3-3,Lee Probert,Match Report,
2013-01-19,,Premier League,Matchweek 23,Sat,Away,D,1,1,West Ham,,,,4-2-3-1,Howard Webb,Match Report,
2013-01-29,,Premier League,Matchweek 24,Tue,Home,D,0,0,Manchester City,,,,4-2-3-1,Phil Dowd,Match Report,
2013-02-02,,Premier League,Matchweek 25,Sat,Home,D,0,0,Norwich City,,,,4-4-1-1,Jon Moss,Match Report,
2013-02-09,,Premier League,Matchweek 26,Sat,Away,L,1,4,Swansea City,,,,4-2-3-1,Neil Swarbrick,Match Report,
2013-02-23,,Premier League,Matchweek 27,Sat,Home,L,0,2,Manchester Utd,,,,4-4-1-1,Anthony Taylor,Match Report,
2013-03-02,,Premier League,Matchweek 28,Sat,Away,W,2,1,Southampton,,,,4-3-3,Howard Webb,Match Report,
2013-03-09,,Premier League,Matchweek 29,Sat,Home,W,3,1,Sunderland,,,,4-4-2,Mike Jones,Match Report,
2013-03-16,,Premier League,Matchweek 30,Sat,Away,L,2,3,Aston Villa,,,,4-3-3,Kevin Friend,Match Report,
2013-04-01,,Premier League,Matchweek 31,Mon,Away,L,2,3,Fulham,,,,4-2-3-1,Lee Probert,Match Report,
2013-04-07,,Premier League,Matchweek 32,Sun,Home,D,1,1,Wigan Athletic,,,,4-4-2,Phil Dowd,Match Report,
2013-04-13,,Premier League,Matchweek 33,Sat,Away,L,0,2,Everton,,,,4-5-1,Lee Mason,Match Report,
2013-04-20,,Premier League,Matchweek 34,Sat,Home,L,0,2,Stoke City,,,,4-2-3-1,Chris Foy,Match Report,
2013-04-28,,Premier League,Matchweek 35,Sun,Away,D,0,0,Reading,,,,4-1-2-1-2◆,Kevin Friend,Match Report,
2013-05-04,,Premier League,Matchweek 36,Sat,Home,L,0,1,Arsenal,,,,4-4-2,Jon Moss,Match Report,
2013-05-12,,Premier League,Matchweek 37,Sun,Home,L,1,2,Newcastle Utd,,,,4-4-2,Lee Probert,Match Report,
2013-05-19,,Premier League,Matchweek 38,Sun,Away,L,0,1,Liverpool,,,,4-4-2,Martin Atkinson,Match Report,
