Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2012-08-18,,Premier League,Matchweek 1,Sat,Away,W,5,0,QPR,,,,4-3-3,Lee Probert,Match Report,
2012-08-25,,Premier League,Matchweek 2,Sat,Home,W,3,0,West Ham,,,,4-2-3-1,Martin Atkinson,Match Report,
2012-09-01,,Premier League,Matchweek 3,Sat,Home,D,2,2,Sunderland,,,,4-3-3,Roger East,Match Report,
2012-09-15,,Premier League,Matchweek 4,Sat,Away,L,0,2,Aston Villa,,,,4-3-3,Lee Mason,Match Report,
2012-09-22,,Premier League,Matchweek 5,Sat,Home,L,0,3,Everton,,,,4-2-3-1,Anthony Taylor,Match Report,
2012-09-29,,Premier League,Matchweek 6,Sat,Away,L,0,2,Stoke City,,,,4-3-3,Jon Moss,Match Report,
2012-10-06,,Premier League,Matchweek 7,Sat,Home,D,2,2,Reading,,,,4-3-3,Mike Dean,Match Report,
2012-10-20,,Premier League,Matchweek 8,Sat,Home,W,2,1,Wigan Athletic,,,,4-3-3,Mike Jones,Match Report,
2012-10-27,,Premier League,Matchweek 9,Sat,Away,L,0,1,Manchester City,,,,4-3-3,Martin Atkinson,Match Report,
2012-11-03,,Premier League,Matchweek 10,Sat,Home,D,1,1,Chelsea,,,,4-2-3-1,Kevin Friend,Match Report,
2012-11-10,,Premier League,Matchweek 11,Sat,Away,D,1,1,Southampton,,,,4-2-3-1,Andre Marriner,Match Report,
2012-11-17,,Premier League,Matchweek 12,Sat,Away,W,2,1,Newcastle Utd,,,,4-2-3-1,Phil Dowd,Match Report,
2012-11-25,,Premier League,Matchweek 13,Sun,Home,D,0,0,Liverpool,,,,4-2-3-1,Jon Moss,Match Report,
2012-11-28,,Premier League,Matchweek 14,Wed,Home,W,3,1,West Brom,,,,4-2-3-1,Lee Mason,Match Report,
2012-12-01,,Premier League,Matchweek 15,Sat,Away,W,2,0,Arsenal,,,,4-2-3-1,Mark Clattenburg,Match Report,
2012-12-08,,Premier League,Matchweek 16,Sat,Home,L,3,4,Norwich City,,,,4-2-3-1,Howard Webb,Match Report,
2012-12-16,,Premier League,Matchweek 17,Sun,Away,L,0,1,Tottenham,,,,4-2-3-1,Mike Dean,Match Report,
2012-12-23,,Premier League,Matchweek 18,Sun,Home,D,1,1,Manchester Utd,,,,4-2-3-1,Michael Oliver,Match Report,
2012-12-26,,Premier League,Matchweek 19,Wed,Away,D,0,0,Reading,,,,4-2-3-1,Mike Jones,Match Report,
2012-12-29,,Premier League,Matchweek 20,Sat,Away,W,2,1,Fulham,,,,4-2-3-1,Andre Marriner,Match Report,
2013-01-01,,Premier League,Matchweek 21,Tue,Home,D,2,2,Aston Villa,,,,4-2-3-1,Mark Halsey,Match Report,
2013-01-12,,Premier League,Matchweek 22,Sat,Away,D,0,0,Everton,,,,4-2-3-1,Phil Dowd,Match Report,
2013-01-19,,Premier League,Matchweek 23,Sat,Home,W,3,1,Stoke City,,,,4-2-3-1,Mike Dean,Match Report,
2013-01-29,,Premier League,Matchweek 24,Tue,Away,D,0,0,Sunderland,,,,4-2-3-1,Andre Marriner,Match Report,
2013-02-02,,Premier League,Matchweek 25,Sat,Away,L,0,1,West Ham,,,,4-2-3-1,Lee Probert,Match Report,
2013-02-09,,Premier League,Matchweek 26,Sat,Home,W,4,1,QPR,,,,4-2-3-1,Neil Swarbrick,Match Report,
2013-02-17,,Premier League,Matchweek 27,Sun,Away,L,0,5,Liverpool,,,,4-2-3-1,Howard Webb,Match Report,
2013-03-02,,Premier League,Matchweek 28,Sat,Home,W,1,0,Newcastle Utd,,,,4-2-3-1,Craig Pawson,Match Report,
2013-03-09,,Premier League,Matchweek 29,Sat,Away,L,1,2,West Brom,,,,4-2-3-1,Lee Mason,Match Report,
2013-03-16,,Premier League,Matchweek 30,Sat,Home,L,0,2,Arsenal,,,,4-2-3-1,Jon Moss,Match Report,
2013-03-30,,Premier League,Matchweek 31,Sat,Home,L,1,2,Tottenham,,,,4-2-3-1,Anthony Taylor,Match Report,
2013-04-06,,Premier League,Matchweek 32,Sat,Away,D,2,2,Norwich City,,,,4-2-3-1,Michael Oliver,Match Report,
2013-04-20,,Premier League,Matchweek 34,Sat,Home,D,0,0,Southampton,,,,4-2-3-1,Mark Halsey,Match Report,
2013-04-28,,Premier League,Matchweek 35,Sun,Away,L,0,2,Chelsea,,,,4-2-3-1,Mark Clattenburg,Match Report,
2013-05-04,,Premier League,Matchweek 36,Sat,Home,D,0,0,Manchester City,,,,4-2-3-1,Mike Jones,Match Report,
2013-05-07,,Premier League,Matchweek 33,Tue,Away,W,3,2,Wigan Athletic,,,,4-2-3-1,Kevin Friend,Match Report,
2013-05-12,,Premier League,Matchweek 37,Sun,Away,L,1,2,Manchester Utd,,,,4-2-3-1,Jon Moss,Match Report,
2013-05-19,,Premier League,Matchweek 38,Sun,Home,L,0,3,Fulham,,,,4-2-3-1,Lee Mason,Match Report,
