Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2013-08-18,,Premier League,Matchweek 1,Sun,Away,L,0,2,Chelsea,,,,4-3-3,Jon Moss,Match Report,
2013-08-24,,Premier League,Matchweek 2,Sat,Home,W,1,0,Norwich City,,,,4-2-3-1,Mike Jones,Match Report,
2013-08-31,,Premier League,Matchweek 3,Sat,Away,L,0,2,Manchester City,,,,4-4-1-1,Phil Dowd,Match Report,
2013-09-14,,Premier League,Matchweek 4,Sat,Home,D,1,1,Cardiff City,,,,4-4-2,Bobby Madley,Match Report,
2013-09-21,,Premier League,Matchweek 5,Sat,Away,W,3,2,Newcastle Utd,,,,4-4-2,Martin Atkinson,Match Report,
2013-09-28,,Premier League,Matchweek 6,Sat,Home,W,1,0,West Ham,,,,4-4-2,Kevin Friend,Match Report,
2013-10-05,,Premier League,Matchweek 7,Sat,Home,D,0,0,Aston Villa,,,,4-4-2,Mark Clattenburg,Match Report,
2013-10-19,,Premier League,Matchweek 8,Sat,Away,L,1,2,Everton,,,,4-4-1-1,Neil Swarbrick,Match Report,
2013-10-27,,Premier League,Matchweek 9,Sun,Away,L,0,1,Tottenham,,,,5-4-1,Michael Oliver,Match Report,
2013-11-02,,Premier League,Matchweek 10,Sat,Home,W,1,0,Sunderland,,,,4-5-1,Andre Marriner,Match Report,
2013-11-09,,Premier League,Matchweek 11,Sat,Away,L,1,4,Southampton,,,,5-4-1,Phil Dowd,Match Report,
2013-11-23,,Premier League,Matchweek 12,Sat,Home,L,0,1,Crystal Palace,,,,4-4-1-1,Anthony Taylor,Match Report,
2013-12-01,,Premier League,Matchweek 13,Sun,Home,W,3,1,Liverpool,,,,3-5-2,Howard Webb,Match Report,
2013-12-04,,Premier League,Matchweek 14,Wed,Away,L,0,2,Arsenal,,,,3-5-2,Andre Marriner,Match Report,
2013-12-09,,Premier League,Matchweek 15,Mon,Away,D,1,1,Swansea City,,,,3-5-2,Chris Foy,Match Report,
2013-12-14,,Premier League,Matchweek 16,Sat,Home,D,0,0,Stoke City,,,,3-5-2,Mike Dean,Match Report,
2013-12-21,,Premier League,Matchweek 17,Sat,Away,D,1,1,West Brom,,,,3-5-2,Jon Moss,Match Report,
2013-12-26,,Premier League,Matchweek 18,Thu,Home,L,2,3,Manchester Utd,,,,3-5-2,Michael Oliver,Match Report,
2013-12-28,,Premier League,Matchweek 19,Sat,Home,W,6,0,Fulham,,,,4-5-1,Bobby Madley,Match Report,
2014-01-01,,Premier League,Matchweek 20,Wed,Away,L,0,2,Liverpool,,,,3-5-1-1,Craig Pawson,Match Report,
2014-01-11,,Premier League,Matchweek 21,Sat,Home,L,0,2,Chelsea,,,,3-5-1-1,Mark Clattenburg,Match Report,
2014-01-18,,Premier League,Matchweek 22,Sat,Away,L,0,1,Norwich City,,,,3-5-2,Howard Webb,Match Report,
2014-01-28,,Premier League,Matchweek 23,Tue,Away,L,0,1,Crystal Palace,,,,3-5-2,Roger East,Match Report,
2014-02-01,,Premier League,Matchweek 24,Sat,Home,D,1,1,Tottenham,,,,4-4-2,Anthony Taylor,Match Report,
2014-02-08,,Premier League,Matchweek 25,Sat,Away,W,2,0,Sunderland,,,,4-4-2,Mike Jones,Match Report,
2014-02-11,,Premier League,Matchweek 26,Tue,Home,L,0,1,Southampton,,,,4-4-2,Martin Atkinson,Match Report,
2014-02-22,,Premier League,Matchweek 27,Sat,Away,W,4,0,Cardiff City,,,,5-3-2,Howard Webb,Match Report,
2014-03-01,,Premier League,Matchweek 28,Sat,Home,L,1,4,Newcastle Utd,,,,5-3-2,Kevin Friend,Match Report,
2014-03-15,,Premier League,Matchweek 30,Sat,Home,L,0,2,Manchester City,,,,4-4-2,Lee Mason,Match Report,
2014-03-22,,Premier League,Matchweek 31,Sat,Home,W,2,0,West Brom,,,,4-4-2,Chris Foy,Match Report,
2014-03-26,,Premier League,Matchweek 29,Wed,Away,L,1,2,West Ham,,,,3-5-2,Mike Dean,Match Report,
2014-03-29,,Premier League,Matchweek 32,Sat,Away,L,0,1,Stoke City,,,,3-5-2,Neil Swarbrick,Match Report,
2014-04-05,,Premier League,Matchweek 33,Sat,Home,W,1,0,Swansea City,,,,4-4-2,Howard Webb,Match Report,
2014-04-20,,Premier League,Matchweek 35,Sun,Home,L,0,3,Arsenal,,,,4-4-2,Jon Moss,Match Report,
2014-04-26,,Premier League,Matchweek 36,Sat,Away,D,2,2,Fulham,,,,3-5-2,Lee Mason,Match Report,
2014-05-03,,Premier League,Matchweek 37,Sat,Away,L,1,3,Aston Villa,,,,3-5-2,Mike Dean,Match Report,
2014-05-06,,Premier League,Matchweek 34,Tue,Away,L,1,3,Manchester Utd,,,,3-5-2,Craig Pawson,Match Report,
2014-05-11,,Premier League,Matchweek 38,Sun,Home,L,0,2,Everton,,,,3-5-2,Howard Webb,Match Report,
