Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2013-08-17,,Premier League,Matchweek 1,Sat,Away,L,0,1,Liverpool,,,,4-1-4-1,Martin Atkinson,Match Report,
2013-08-24,,Premier League,Matchweek 2,Sat,Home,W,2,1,Crystal Palace,,,,4-1-4-1,Andre Marriner,Match Report,
2013-08-31,,Premier League,Matchweek 3,Sat,Away,W,1,0,West Ham,,,,4-5-1,Jon Moss,Match Report,
2013-09-14,,Premier League,Matchweek 4,Sat,Home,D,0,0,Manchester City,,,,4-5-1,Mark Clattenburg,Match Report,
2013-09-22,,Premier League,Matchweek 5,Sun,Away,L,1,3,Arsenal,,,,4-5-1,Mike Dean,Match Report,
2013-09-29,,Premier League,Matchweek 6,Sun,Home,L,0,1,Norwich City,,,,4-2-3-1,Anthony Taylor,Match Report,
2013-10-05,,Premier League,Matchweek 7,Sat,Away,L,0,1,Fulham,,,,4-2-3-1,Roger East,Match Report,
2013-10-19,,Premier League,Matchweek 8,Sat,Home,D,0,0,West Brom,,,,4-2-3-1,Howard Webb,Match Report,
2013-10-26,,Premier League,Matchweek 9,Sat,Away,L,2,3,Manchester Utd,,,,4-2-3-1,Lee Mason,Match Report,
2013-11-02,,Premier League,Matchweek 10,Sat,Home,D,1,1,Southampton,,,,4-2-3-1,Chris Foy,Match Report,
2013-11-10,,Premier League,Matchweek 11,Sun,Away,D,3,3,Swansea City,,,,4-2-3-1,Bobby Madley,Match Report,
2013-11-23,,Premier League,Matchweek 12,Sat,Home,W,2,0,Sunderland,,,,4-2-3-1,Kevin Friend,Match Report,
2013-11-30,,Premier League,Matchweek 13,Sat,Away,L,0,4,Everton,,,,4-2-3-1,Mike Jones,Match Report,
2013-12-04,,Premier League,Matchweek 14,Wed,Home,D,0,0,Cardiff City,,,,4-1-4-1,Michael Oliver,Match Report,
2013-12-07,,Premier League,Matchweek 15,Sat,Home,W,3,2,Chelsea,,,,4-2-3-1,Jon Moss,Match Report,
2013-12-14,,Premier League,Matchweek 16,Sat,Away,D,0,0,Hull City,,,,4-2-3-1,Mike Dean,Match Report,
2013-12-21,,Premier League,Matchweek 17,Sat,Home,W,2,1,Aston Villa,,,,4-2-3-1,Craig Pawson,Match Report,
2013-12-26,,Premier League,Matchweek 18,Thu,Away,L,1,5,Newcastle Utd,,,,4-2-3-1,Martin Atkinson,Match Report,
2013-12-29,,Premier League,Matchweek 19,Sun,Away,L,0,3,Tottenham,,,,4-4-1-1,Kevin Friend,Match Report,
2014-01-01,,Premier League,Matchweek 20,Wed,Home,D,1,1,Everton,,,,4-2-3-1,Andre Marriner,Match Report,
2014-01-12,,Premier League,Matchweek 21,Sun,Home,L,3,5,Liverpool,,,,4-2-3-1,Anthony Taylor,Match Report,
2014-01-18,,Premier League,Matchweek 22,Sat,Away,L,0,1,Crystal Palace,,,,4-2-3-1,Mark Clattenburg,Match Report,
2014-01-29,,Premier League,Matchweek 23,Wed,Away,L,0,1,Sunderland,,,,4-2-3-1,Bobby Madley,Match Report,
2014-02-01,,Premier League,Matchweek 24,Sat,Home,W,2,1,Manchester Utd,,,,4-2-3-1,Neil Swarbrick,Match Report,
2014-02-08,,Premier League,Matchweek 25,Sat,Away,D,2,2,Southampton,,,,4-2-3-1,Craig Pawson,Match Report,
2014-02-12,,Premier League,Matchweek 26,Wed,Home,D,1,1,Swansea City,,,,4-2-3-1,Jon Moss,Match Report,
2014-02-22,,Premier League,Matchweek 27,Sat,Away,L,0,1,Manchester City,,,,4-2-3-1,Chris Foy,Match Report,
2014-03-01,,Premier League,Matchweek 28,Sat,Home,W,1,0,Arsenal,,,,4-2-3-1,Mike Jones,Match Report,
2014-03-08,,Premier League,Matchweek 29,Sat,Away,D,1,1,Norwich City,,,,4-2-3-1,Andre Marriner,Match Report,
2014-03-15,,Premier League,Matchweek 30,Sat,Home,W,3,1,West Ham,,,,4-2-3-1,Craig Pawson,Match Report,
2014-03-23,,Premier League,Matchweek 31,Sun,Away,W,4,1,Aston Villa,,,,4-2-3-1,Mark Clattenburg,Match Report,
2014-03-29,,Premier League,Matchweek 32,Sat,Home,W,1,0,Hull City,,,,4-2-3-1,Neil Swarbrick,Match Report,
2014-04-05,,Premier League,Matchweek 33,Sat,Away,L,0,3,Chelsea,,,,4-2-3-1,Lee Probert,Match Report,
2014-04-12,,Premier League,Matchweek 34,Sat,Home,W,1,0,Newcastle Utd,,,,4-2-3-1,Mike Jones,Match Report,
2014-04-19,,Premier League,Matchweek 35,Sat,Away,D,1,1,Cardiff City,,,,4-3-2-1,Howard Webb,Match Report,
2014-04-26,,Premier League,Matchweek 36,Sat,Home,L,0,1,Tottenham,,,,4-2-3-1,Andre Marriner,Match Report,
2014-05-03,,Premier League,Matchweek 37,Sat,Home,W,4,1,Fulham,,,,4-2-3-1,Chris Foy,Match Report,
2014-05-11,,Premier League,Matchweek 38,Sun,Away,W,2,1,West Brom,,,,4-2-3-1,Lee Probert,Match Report,
