Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2013-08-17,,Premier League,Matchweek 1,Sat,Home,L,0,1,Southampton,,,,4-4-2,Kevin Friend,Match Report,
2013-08-24,,Premier League,Matchweek 2,Sat,Away,D,0,0,Everton,,,,4-4-2,Roger East,Match Report,
2013-09-01,,Premier League,Matchweek 3,Sun,Home,L,0,2,Swansea City,,,,4-4-2,Mike Dean,Match Report,
2013-09-14,,Premier League,Matchweek 4,Sat,Away,D,1,1,Fulham,,,,4-4-2,Lee Probert,Match Report,
2013-09-21,,Premier League,Matchweek 5,Sat,Home,W,3,0,Sunderland,,,,4-2-3-1,Phil Dowd,Match Report,
2013-09-28,,Premier League,Matchweek 6,Sat,Away,W,2,1,Manchester Utd,,,,4-2-3-1,Michael Oliver,Match Report,
2013-10-06,,Premier League,Matchweek 7,Sun,Home,D,1,1,Arsenal,,,,4-2-3-1,Lee Mason,Match Report,
2013-10-19,,Premier League,Matchweek 8,Sat,Away,D,0,0,Stoke City,,,,4-2-3-1,Howard Webb,Match Report,
2013-10-26,,Premier League,Matchweek 9,Sat,Away,L,1,4,Liverpool,,,,4-2-3-1,Jon Moss,Match Report,
2013-11-02,,Premier League,Matchweek 10,Sat,Home,W,2,0,Crystal Palace,,,,4-2-3-1,Neil Swarbrick,Match Report,
2013-11-09,,Premier League,Matchweek 11,Sat,Away,D,2,2,Chelsea,,,,4-2-3-1,Lee Probert,Match Report,
2013-11-25,,Premier League,Matchweek 12,Mon,Home,D,2,2,Aston Villa,,,,4-2-3-1,Michael Oliver,Match Report,
2013-11-30,,Premier League,Matchweek 13,Sat,Away,L,1,2,Newcastle Utd,,,,4-2-3-1,Phil Dowd,Match Report,
2013-12-04,,Premier League,Matchweek 14,Wed,Home,L,2,3,Manchester City,,,,4-2-3-1,Chris Foy,Match Report,
2013-12-07,,Premier League,Matchweek 15,Sat,Home,L,0,2,Norwich City,,,,4-2-3-1,Mark Clattenburg,Match Report,
2013-12-14,,Premier League,Matchweek 16,Sat,Away,L,0,1,Cardiff City,,,,4-2-3-1,Howard Webb,Match Report,
2013-12-21,,Premier League,Matchweek 17,Sat,Home,D,1,1,Hull City,,,,4-2-3-1,Jon Moss,Match Report,
2013-12-26,,Premier League,Matchweek 18,Thu,Away,D,1,1,Tottenham,,,,4-2-3-1,Anthony Taylor,Match Report,
2013-12-28,,Premier League,Matchweek 19,Sat,Away,D,3,3,West Ham,,,,3-5-2,Mike Dean,Match Report,
2014-01-01,,Premier League,Matchweek 20,Wed,Home,W,1,0,Newcastle Utd,,,,4-2-3-1,Lee Mason,Match Report,
2014-01-11,,Premier League,Matchweek 21,Sat,Away,L,0,1,Southampton,,,,4-4-1-1,Howard Webb,Match Report,
2014-01-20,,Premier League,Matchweek 22,Mon,Home,D,1,1,Everton,,,,4-4-2,Michael Oliver,Match Report,
2014-01-29,,Premier League,Matchweek 23,Wed,Away,L,3,4,Aston Villa,,,,4-4-2,Mark Clattenburg,Match Report,
2014-02-02,,Premier League,Matchweek 24,Sun,Home,D,1,1,Liverpool,,,,4-2-3-1,Kevin Friend,Match Report,
2014-02-08,,Premier League,Matchweek 25,Sat,Away,L,1,3,Crystal Palace,,,,4-2-3-1,Chris Foy,Match Report,
2014-02-11,,Premier League,Matchweek 26,Tue,Home,D,1,1,Chelsea,,,,4-3-3,Anthony Taylor,Match Report,
2014-02-22,,Premier League,Matchweek 27,Sat,Home,D,1,1,Fulham,,,,4-4-1-1,Mike Dean,Match Report,
2014-03-08,,Premier League,Matchweek 29,Sat,Home,L,0,3,Manchester Utd,,,,4-2-3-1,Jon Moss,Match Report,
2014-03-15,,Premier League,Matchweek 30,Sat,Away,W,2,1,Swansea City,,,,5-3-2,Martin Atkinson,Match Report,
2014-03-22,,Premier League,Matchweek 31,Sat,Away,L,0,2,Hull City,,,,4-1-2-1-2◆,Chris Foy,Match Report,
2014-03-29,,Premier League,Matchweek 32,Sat,Home,D,3,3,Cardiff City,,,,4-4-1-1,Michael Oliver,Match Report,
2014-04-05,,Premier League,Matchweek 33,Sat,Away,W,1,0,Norwich City,,,,4-4-1-1,Mark Clattenburg,Match Report,
2014-04-12,,Premier League,Matchweek 34,Sat,Home,D,3,3,Tottenham,,,,4-4-1-1,Neil Swarbrick,Match Report,
2014-04-21,,Premier League,Matchweek 35,Mon,Away,L,1,3,Manchester City,,,,4-2-3-1,Phil Dowd,Match Report,
2014-04-26,,Premier League,Matchweek 36,Sat,Home,W,1,0,West Ham,,,,4-2-3-1,Mike Dean,Match Report,
2014-05-04,,Premier League,Matchweek 37,Sun,Away,L,0,1,Arsenal,,,,4-4-1-1,Mike Jones,Match Report,
2014-05-07,,Premier League,Matchweek 28,Wed,Away,L,0,2,Sunderland,,,,4-2-3-1,Lee Mason,Match Report,
2014-05-11,,Premier League,Matchweek 38,Sun,Home,L,1,2,Stoke City,,,,4-2-3-1,Lee Probert,Match Report,
