Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2014-08-17,16:00 (23:00),Premier League,Matchweek 1,Sun,Home,L,0,2,Manchester City,44,50816,,4-1-4-1,Martin Atkinson,Match Report,
2014-08-23,12:45 (19:45),Premier League,Matchweek 2,Sat,Away,D,0,0,Aston Villa,60,30267,,4-2-3-1,Mike Dean,Match Report,
2014-08-26,19:45 (02:45),League Cup,Second round,Tue,Away,W,1,0,Gillingham,,10204,,,Oliver Langford,Match Report,
2014-08-30,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,D,3,3,Crystal Palace,64,49226,,4-2-3-1,Mike Jones,Match Report,
2014-09-13,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,L,0,4,Southampton,50,29678,,4-2-3-1,Chris Foy,Match Report,
2014-09-20,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,D,2,2,Hull City,63,49119,,4-2-3-1,Niel Swarbrick,Match Report,
2014-09-24,20:00 (03:00),League Cup,Third round,Wed,Away,W,3,2,Crystal Palace,,13773,,,Robert Madley,Match Report,Required Extra Time
2014-09-29,20:00 (03:00),Premier League,Matchweek 6,Mon,Away,L,0,1,Stoke City,56,26332,,4-2-3-1,Craig Pawson,Match Report,
2014-10-04,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,D,2,2,Swansea City,37,20622,,4-5-1,Lee Mason,Match Report,
2014-10-18,16:00 (23:00),Premier League,Matchweek 8,Sat,Home,W,1,0,Leicester City,51,51886,,4-2-3-1,Martin Atkinson,Match Report,
2014-10-26,13:30 (21:30),Premier League,Matchweek 9,Sun,Away,W,2,1,Tottenham,33,35650,,4-2-3-1,Anthony Taylor,Match Report,
2014-10-29,19:45 (03:45),League Cup,Fourth round,Wed,Away,W,2,0,Manchester City,,40752,,,Stuart Attwell,Match Report,
2014-11-01,12:45 (20:45),Premier League,Matchweek 10,Sat,Home,W,1,0,Liverpool,36,52166,,4-2-3-1,Andre Marriner,Match Report,
2014-11-09,13:30 (21:30),Premier League,Matchweek 11,Sun,Away,W,2,0,West Brom,42,26476,,4-2-3-1,Craig Pawson,Match Report,
2014-11-22,15:00 (23:00),Premier League,Matchweek 12,Sat,Home,W,1,0,QPR,54,51915,,4-2-3-1,Chris Foy,Match Report,
2014-11-29,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,L,0,1,West Ham,53,34977,,4-2-3-1,Mike Dean,Match Report,
2014-12-02,19:45 (03:45),Premier League,Matchweek 14,Tue,Away,D,1,1,Burnley,58,18791,,4-2-3-1,Philip Dowd,Match Report,
2014-12-06,12:45 (20:45),Premier League,Matchweek 15,Sat,Home,W,2,1,Chelsea,34,52019,,4-2-3-1,Martin Atkinson,Match Report,
2014-12-13,17:30 (01:30),Premier League,Matchweek 16,Sat,Away,L,1,4,Arsenal,49,59949,,4-2-3-1,Lee Mason,Match Report,
2014-12-17,19:45 (03:45),League Cup,Quarter-finals,Wed,Away,L,0,4,Tottenham,,34677,,,Andre Marriner,Match Report,
2014-12-21,13:30 (21:30),Premier League,Matchweek 17,Sun,Home,L,0,1,Sunderland,52,52315,,4-2-3-1,Anthony Taylor,Match Report,
2014-12-26,15:00 (23:00),Premier League,Matchweek 18,Fri,Away,L,1,3,Manchester Utd,38,75318,,4-1-2-1-2◆,Mike Jones,Match Report,
2014-12-28,16:15 (00:15),Premier League,Matchweek 19,Sun,Home,W,3,2,Everton,53,52313,,4-2-3-1,Craig Pawson,Match Report,
2015-01-01,15:00 (23:00),Premier League,Matchweek 20,Thu,Home,D,3,3,Burnley,52,51761,,4-2-3-1,Mike Dean,Match Report,
2015-01-03,15:00 (23:00),FA Cup,Third round,Sat,Away,L,0,1,Leicester City,,23212,,,Lee Mason,Match Report,
2015-01-10,15:00 (23:00),Premier League,Matchweek 21,Sat,Away,L,0,2,Chelsea,37,41612,,4-2-3-1,Roger East,Match Report,
2015-01-17,17:30 (01:30),Premier League,Matchweek 22,Sat,Home,L,1,2,Southampton,58,49307,,4-2-3-1,Robert Madley,Match Report,
2015-01-31,12:45 (20:45),Premier League,Matchweek 23,Sat,Away,W,3,0,Hull City,47,23925,,4-2-3-1,Philip Dowd,Match Report,
2015-02-08,14:05 (22:05),Premier League,Matchweek 24,Sun,Home,D,1,1,Stoke City,42,47763,,4-2-3-1,Chris Foy,Match Report,
2015-02-11,20:00 (04:00),Premier League,Matchweek 25,Wed,Away,D,1,1,Crystal Palace,47,25118,,4-2-3-1,Andre Marriner,Match Report,
2015-02-21,17:30 (01:30),Premier League,Matchweek 26,Sat,Away,L,0,5,Manchester City,43,45602,,4-2-3-1,Chris Foy,Match Report,
2015-02-28,15:00 (23:00),Premier League,Matchweek 27,Sat,Home,W,1,0,Aston Villa,50,51573,,4-4-2,Lee Mason,Match Report,
2015-03-04,19:45 (03:45),Premier League,Matchweek 28,Wed,Home,L,0,1,Manchester Utd,32,49801,,4-4-2,Anthony Taylor,Match Report,
2015-03-15,16:00 (00:00),Premier League,Matchweek 29,Sun,Away,L,0,3,Everton,46,38806,,4-2-3-1,Martin Atkinson,Match Report,
2015-03-21,15:00 (23:00),Premier League,Matchweek 30,Sat,Home,L,1,2,Arsenal,51,50544,,4-2-3-1,Mike Jones,Match Report,
2015-04-05,16:00 (23:00),Premier League,Matchweek 31,Sun,Away,L,0,1,Sunderland,47,47563,,4-3-3,Mike Dean,Match Report,
2015-04-13,20:00 (03:00),Premier League,Matchweek 32,Mon,Away,L,0,2,Liverpool,38,44611,,4-2-3-1,Lee Mason,Match Report,
2015-04-19,16:00 (23:00),Premier League,Matchweek 33,Sun,Home,L,1,3,Tottenham,39,47427,,4-3-3,Kevin Friend,Match Report,
2015-04-25,15:00 (22:00),Premier League,Matchweek 34,Sat,Home,L,2,3,Swansea City,48,46884,,4-3-3,Niel Swarbrick,Match Report,
2015-05-02,12:45 (19:45),Premier League,Matchweek 35,Sat,Away,L,0,3,Leicester City,52,31576,,4-3-1-2,Mike Dean,Match Report,
2015-05-09,15:00 (22:00),Premier League,Matchweek 36,Sat,Home,D,1,1,West Brom,61,47894,,4-2-3-1,Chris Foy,Match Report,
2015-05-16,15:00 (22:00),Premier League,Matchweek 37,Sat,Away,L,1,2,QPR,53,17608,,4-2-3-1,Lee Probert,Match Report,
2015-05-24,15:00 (22:00),Premier League,Matchweek 38,Sun,Home,W,2,0,West Ham,41,52094,,4-2-3-1,Martin Atkinson,Match Report,
