Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2014-08-16,17:30 (00:30),Premier League,Matchweek 1,Sat,Away,L,1,2,Arsenal,24,59962,,4-4-1-1,Jonathan Moss,Match Report,
2014-08-23,15:00 (22:00),Premier League,Matchweek 2,Sat,Home,L,1,3,West Ham,46,24242,,4-4-1-1,Mark Clattenburg,Match Report,
2014-08-26,19:45 (02:45),League Cup,Second round,Tue,Away,W,3,0,Walsall,,3987,,,Darren Drysdale,Match Report,
2014-08-30,15:00 (22:00),Premier League,Matchweek 3,Sat,Away,D,3,3,Newcastle Utd,36,49226,,4-4-1-1,Mike Jones,Match Report,
2014-09-13,15:00 (22:00),Premier League,Matchweek 4,Sat,Home,D,0,0,Burnley,45,23829,,4-4-1-1,Mike Dean,Match Report,
2014-09-21,16:00 (23:00),Premier League,Matchweek 5,Sun,Away,W,3,2,Everton,25,37574,,4-2-3-1,Michael Oliver,Match Report,
2014-09-24,20:00 (03:00),League Cup,Third round,Wed,Home,L,2,3,Newcastle Utd,,13773,,,Robert Madley,Match Report,Required Extra Time
2014-09-27,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,W,2,0,Leicester City,40,24311,,4-3-3,Keith Stroud,Match Report,
2014-10-04,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Hull City,41,24281,,4-3-3,Mike Dean,Match Report,
2014-10-18,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,L,1,2,Chelsea,29,24451,,4-3-3,Craig Pawson,Match Report,
2014-10-25,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,D,2,2,West Brom,31,24738,,4-4-1-1,Mark Clattenburg,Match Report,
2014-11-03,20:00 (04:00),Premier League,Matchweek 10,Mon,Home,L,1,3,Sunderland,54,23212,,4-4-1-1,Philip Dowd,Match Report,
2014-11-08,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,L,0,1,Manchester Utd,29,75325,,4-4-1-1,Chris Foy,Match Report,
2014-11-23,13:30 (21:30),Premier League,Matchweek 12,Sun,Home,W,3,1,Liverpool,36,24862,,4-4-1-1,Jonathan Moss,Match Report,
2014-11-29,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,D,1,1,Swansea City,36,20240,,4-4-1-1,Martin Atkinson,Match Report,
2014-12-02,20:00 (04:00),Premier League,Matchweek 14,Tue,Home,L,0,1,Aston Villa,46,23935,,4-4-1-1,Michael Oliver,Match Report,
2014-12-06,15:00 (23:00),Premier League,Matchweek 15,Sat,Away,D,0,0,Tottenham,32,35860,,4-1-4-1,Lee Mason,Match Report,
2014-12-13,15:00 (23:00),Premier League,Matchweek 16,Sat,Home,D,1,1,Stoke City,44,23038,,4-3-3,Kevin Friend,Match Report,
2014-12-20,12:45 (20:45),Premier League,Matchweek 17,Sat,Away,L,0,3,Manchester City,28,45302,,4-1-4-1,Philip Dowd,Match Report,
2014-12-26,15:00 (23:00),Premier League,Matchweek 18,Fri,Home,L,1,3,Southampton,43,24565,,4-3-3,Mike Dean,Match Report,
2014-12-28,15:00 (23:00),Premier League,Matchweek 19,Sun,Away,D,0,0,QPR,46,18011,,4-3-3,Mike Jones,Match Report,
2015-01-01,15:00 (23:00),Premier League,Matchweek 20,Thu,Away,D,0,0,Aston Villa,31,29047,,4-1-4-1,Robert Madley,Match Report,
2015-01-04,13:00 (21:00),FA Cup,Third round,Sun,Away,W,4,0,Dover Athletic,,5645,,,Andre Marriner,Match Report,
2015-01-10,17:30 (01:30),Premier League,Matchweek 21,Sat,Home,W,2,1,Tottenham,42,24193,,4-1-4-1,Anthony Taylor,Match Report,
2015-01-17,15:00 (23:00),Premier League,Matchweek 22,Sat,Away,W,3,2,Burnley,49,17782,,4-4-2,Philip Dowd,Match Report,
2015-01-24,15:00 (23:00),FA Cup,Fourth round,Sat,Away,W,3,2,Southampton,,31320,,,Jonathan Moss,Match Report,
2015-01-31,15:00 (23:00),Premier League,Matchweek 23,Sat,Home,L,0,1,Everton,54,25197,,4-4-1-1,Roger East,Match Report,
2015-02-07,15:00 (23:00),Premier League,Matchweek 24,Sat,Away,W,1,0,Leicester City,38,31695,,4-2-3-1,Lee Mason,Match Report,
2015-02-11,20:00 (04:00),Premier League,Matchweek 25,Wed,Home,D,1,1,Newcastle Utd,54,25118,,4-4-1-1,Andre Marriner,Match Report,
2015-02-14,17:30 (01:30),FA Cup,Fifth round,Sat,Home,L,1,2,Liverpool,,20391,,,Robert Madley,Match Report,
2015-02-21,15:00 (23:00),Premier League,Matchweek 26,Sat,Home,L,1,2,Arsenal,53,24721,,4-1-4-1,Mark Clattenburg,Match Report,
2015-02-28,12:45 (20:45),Premier League,Matchweek 27,Sat,Away,W,3,1,West Ham,34,34857,,4-1-4-1,Mike Dean,Match Report,
2015-03-03,19:45 (03:45),Premier League,Matchweek 28,Tue,Away,L,0,1,Southampton,38,28351,,4-4-1-1,Martin Atkinson,Match Report,
2015-03-14,12:45 (20:45),Premier League,Matchweek 29,Sat,Home,W,3,1,QPR,44,24886,,4-3-3,Lee Mason,Match Report,
2015-03-21,15:00 (23:00),Premier League,Matchweek 30,Sat,Away,W,2,1,Stoke City,43,27532,,4-2-3-1,Andre Marriner,Match Report,
2015-04-06,20:00 (03:00),Premier League,Matchweek 31,Mon,Home,W,2,1,Manchester City,26,24718,,4-1-4-1,Michael Oliver,Match Report,
2015-04-11,15:00 (22:00),Premier League,Matchweek 32,Sat,Away,W,4,1,Sunderland,46,42073,,4-3-3,Anthony Taylor,Match Report,
2015-04-18,15:00 (22:00),Premier League,Matchweek 33,Sat,Home,L,0,2,West Brom,68,24765,,4-3-3,Jonathan Moss,Match Report,
2015-04-25,15:00 (22:00),Premier League,Matchweek 34,Sat,Home,L,0,2,Hull City,47,23876,,4-3-3,Mark Clattenburg,Match Report,
2015-05-03,13:30 (20:30),Premier League,Matchweek 35,Sun,Away,L,0,1,Chelsea,38,41566,,4-4-1-1,Kevin Friend,Match Report,
2015-05-09,17:30 (00:30),Premier League,Matchweek 36,Sat,Home,L,1,2,Manchester Utd,38,25009,,4-2-3-1,Michael Oliver,Match Report,
2015-05-16,17:30 (00:30),Premier League,Matchweek 37,Sat,Away,W,3,1,Liverpool,34,44673,,4-4-2,Jonathan Moss,Match Report,
2015-05-24,15:00 (22:00),Premier League,Matchweek 38,Sun,Home,W,1,0,Swansea City,47,25076,,4-3-3,Craig Pawson,Match Report,
