Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2014-08-16,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,D,2,2,West Brom,42,25468,,4-1-4-1,Niel Swarbrick,Match Report,
2014-08-24,16:00 (23:00),Premier League,Matchweek 2,Sun,Home,D,1,1,Manchester Utd,45,43217,,4-3-3,Martin Atkinson,Match Report,
2014-08-27,19:45 (02:45),League Cup,Second round,Wed,Away,W,3,0,Birmingham City,,11245,,,Darren Bond,Match Report,
2014-08-30,15:00 (22:00),Premier League,Matchweek 3,Sat,Away,L,0,1,QPR,60,17930,,4-3-3,Robert Madley,Match Report,
2014-09-13,15:00 (22:00),Premier League,Matchweek 4,Sat,Home,D,2,2,Tottenham,38,40799,,4-1-4-1,Craig Pawson,Match Report,
2014-09-20,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,D,0,0,Burnley,56,20026,,4-1-4-1,Anthony Taylor,Match Report,
2014-09-23,19:45 (02:45),League Cup,Third round,Tue,Home,L,1,2,Stoke City,,17353,,,Mike Dean,Match Report,
2014-09-27,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,D,0,0,Swansea City,50,41325,,4-1-4-1,Chris Foy,Match Report,
2014-10-04,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,W,3,1,Stoke City,40,42713,,4-1-4-1,Niel Swarbrick,Match Report,
2014-10-18,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,L,0,8,Southampton,47,29615,,4-1-4-1,Andre Marriner,Match Report,
2014-10-25,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,L,0,2,Arsenal,43,44449,,4-1-4-1,Kevin Friend,Match Report,
2014-11-03,20:00 (04:00),Premier League,Matchweek 10,Mon,Away,W,3,1,Crystal Palace,47,23212,,4-1-4-1,Philip Dowd,Match Report,
2014-11-09,13:30 (21:30),Premier League,Matchweek 11,Sun,Home,D,1,1,Everton,42,43476,,4-1-4-1,Lee Mason,Match Report,
2014-11-22,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,D,0,0,Leicester City,60,31825,,4-3-3,Robert Madley,Match Report,
2014-11-29,17:30 (01:30),Premier League,Matchweek 13,Sat,Home,D,0,0,Chelsea,34,45232,,4-1-4-1,Kevin Friend,Match Report,
2014-12-03,19:45 (03:45),Premier League,Matchweek 14,Wed,Home,L,1,4,Manchester City,36,41152,,4-1-4-1,Craig Pawson,Match Report,
2014-12-06,15:00 (23:00),Premier League,Matchweek 15,Sat,Away,D,0,0,Liverpool,47,44716,,4-1-4-1,Niel Swarbrick,Match Report,
2014-12-13,15:00 (23:00),Premier League,Matchweek 16,Sat,Home,D,1,1,West Ham,57,41694,,4-1-4-1,Philip Dowd,Match Report,
2014-12-21,13:30 (21:30),Premier League,Matchweek 17,Sun,Away,W,1,0,Newcastle Utd,48,52315,,4-1-4-1,Anthony Taylor,Match Report,
2014-12-26,15:00 (23:00),Premier League,Matchweek 18,Fri,Home,L,1,3,Hull City,48,44817,,4-1-4-1,Andre Marriner,Match Report,
2014-12-28,15:00 (23:00),Premier League,Matchweek 19,Sun,Away,D,0,0,Aston Villa,52,35436,,4-1-4-1,Martin Atkinson,Match Report,
2015-01-01,15:00 (23:00),Premier League,Matchweek 20,Thu,Away,L,2,3,Manchester City,36,45367,,4-1-4-1,Chris Foy,Match Report,
2015-01-04,13:00 (21:00),FA Cup,Third round,Sun,Home,W,1,0,Leeds United,,30302,,,Mike Dean,Match Report,
2015-01-10,12:45 (20:45),Premier League,Matchweek 21,Sat,Home,L,0,1,Liverpool,47,45369,,4-1-4-1,Craig Pawson,Match Report,
2015-01-17,15:00 (23:00),Premier League,Matchweek 22,Sat,Away,L,1,2,Tottenham,35,35973,,3-4-1-2,Chris Foy,Match Report,
2015-01-24,15:00 (23:00),FA Cup,Fourth round,Sat,Home,D,0,0,Fulham,,22961,,,Anthony Taylor,Match Report,
2015-01-31,15:00 (23:00),Premier League,Matchweek 23,Sat,Home,W,2,0,Burnley,50,44022,,4-1-4-1,Lee Mason,Match Report,
2015-02-03,19:45 (03:45),FA Cup,Fourth round,Tue,Away,W,3,1,Fulham,,14777,,,Paul Tierney,Match Report,
2015-02-07,15:00 (23:00),Premier League,Matchweek 24,Sat,Away,D,1,1,Swansea City,40,20355,,4-4-1-1,Philip Dowd,Match Report,
2015-02-10,19:45 (03:45),Premier League,Matchweek 25,Tue,Home,L,0,2,QPR,53,39077,,4-3-3,Martin Atkinson,Match Report,
2015-02-15,14:30 (22:30),FA Cup,Fifth round,Sun,Away,L,0,2,Bradford City,,24021,,,Kevin Friend,Match Report,
2015-02-21,15:00 (23:00),Premier League,Matchweek 26,Sat,Home,D,0,0,West Brom,62,40943,,4-4-1-1,Mike Jones,Match Report,
2015-02-28,15:00 (23:00),Premier League,Matchweek 27,Sat,Away,L,0,2,Manchester Utd,27,75344,,4-1-4-1,Roger East,Match Report,
2015-03-03,19:45 (03:45),Premier League,Matchweek 28,Tue,Away,D,1,1,Hull City,59,23017,,4-1-3-2,Mike Dean,Match Report,
2015-03-14,15:00 (23:00),Premier League,Matchweek 29,Sat,Home,L,0,4,Aston Villa,40,45746,,4-1-4-1,Niel Swarbrick,Match Report,
2015-03-21,17:30 (01:30),Premier League,Matchweek 30,Sat,Away,L,0,1,West Ham,46,34914,,4-3-3,Lee Mason,Match Report,
2015-04-05,16:00 (23:00),Premier League,Matchweek 31,Sun,Home,W,1,0,Newcastle Utd,53,47563,,4-3-3,Mike Dean,Match Report,
2015-04-11,15:00 (22:00),Premier League,Matchweek 32,Sat,Home,L,1,4,Crystal Palace,54,42073,,4-3-3,Anthony Taylor,Match Report,
2015-04-25,15:00 (22:00),Premier League,Matchweek 34,Sat,Away,D,1,1,Stoke City,40,26706,,4-4-2,Martin Atkinson,Match Report,
2015-05-02,15:00 (22:00),Premier League,Matchweek 35,Sat,Home,W,2,1,Southampton,44,39613,,4-3-3,Mike Jones,Match Report,
2015-05-09,12:45 (19:45),Premier League,Matchweek 36,Sat,Away,W,2,0,Everton,27,38246,,4-3-3,Lee Probert,Match Report,
2015-05-16,15:00 (22:00),Premier League,Matchweek 37,Sat,Home,D,0,0,Leicester City,51,46705,,4-3-3,Martin Atkinson,Match Report,
2015-05-20,19:45 (02:45),Premier League,Matchweek 33,Wed,Away,D,0,0,Arsenal,25,59987,,4-2-3-1,Anthony Taylor,Match Report,
2015-05-24,15:00 (22:00),Premier League,Matchweek 38,Sun,Away,L,1,3,Chelsea,35,41620,,4-2-3-1,Lee Mason,Match Report,
