Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2014-08-16,12:45 (19:45),Premier League,Matchweek 1,Sat,Home,L,1,2,Swansea City,60,75339,,3-4-1-2,Mike Dean,Match Report,
2014-08-24,16:00 (23:00),Premier League,Matchweek 2,Sun,Away,D,1,1,Sunderland,55,43217,,3-4-1-2,Martin Atkinson,Match Report,
2014-08-26,20:00 (03:00),League Cup,Second round,Tue,Away,L,0,4,MK Dons,,26969,,,Stuart Attwell,Match Report,
2014-08-30,12:45 (19:45),Premier League,Matchweek 3,Sat,Away,D,0,0,Burnley,64,21099,,3-4-1-2,Chris Foy,Match Report,
2014-09-14,16:00 (23:00),Premier League,Matchweek 4,Sun,Home,W,4,0,QPR,69,75355,,4-1-2-1-2◆,Philip Dowd,Match Report,
2014-09-21,13:30 (20:30),Premier League,Matchweek 5,Sun,Away,L,3,5,Leicester City,57,31784,,4-1-2-1-2◆,Mark Clattenburg,Match Report,
2014-09-27,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,W,2,1,West Ham,57,75317,,4-1-2-1-2◆,Lee Mason,Match Report,
2014-10-05,12:00 (19:00),Premier League,Matchweek 7,Sun,Home,W,2,1,Everton,49,75294,,4-1-2-1-2◆,Kevin Friend,Match Report,
2014-10-20,20:00 (03:00),Premier League,Matchweek 8,Mon,Away,D,2,2,West Brom,63,25794,,4-1-4-1,Mike Dean,Match Report,
2014-10-26,16:00 (00:00),Premier League,Matchweek 9,Sun,Home,D,1,1,Chelsea,52,75327,,4-1-4-1,Philip Dowd,Match Report,
2014-11-02,13:30 (21:30),Premier League,Matchweek 10,Sun,Away,L,0,1,Manchester City,48,45358,,4-1-4-1,Michael Oliver,Match Report,
2014-11-08,15:00 (23:00),Premier League,Matchweek 11,Sat,Home,W,1,0,Crystal Palace,71,75325,,4-1-4-1,Chris Foy,Match Report,
2014-11-22,17:30 (01:30),Premier League,Matchweek 12,Sat,Away,W,2,1,Arsenal,39,60074,,3-4-1-2,Mike Dean,Match Report,
2014-11-29,15:00 (23:00),Premier League,Matchweek 13,Sat,Home,W,3,0,Hull City,76,75345,,4-3-3,Anthony Taylor,Match Report,
2014-12-02,19:45 (03:45),Premier League,Matchweek 14,Tue,Home,W,2,1,Stoke City,64,75388,,4-1-2-1-2◆,Jonathan Moss,Match Report,
2014-12-08,20:00 (04:00),Premier League,Matchweek 15,Mon,Away,W,2,1,Southampton,48,31420,,3-1-4-2,Kevin Friend,Match Report,
2014-12-14,13:30 (21:30),Premier League,Matchweek 16,Sun,Home,W,3,0,Liverpool,55,75331,,3-4-1-2,Martin Atkinson,Match Report,
2014-12-20,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,D,1,1,Aston Villa,65,41273,,3-4-1-2,Lee Mason,Match Report,
2014-12-26,15:00 (23:00),Premier League,Matchweek 18,Fri,Home,W,3,1,Newcastle Utd,62,75318,,3-1-4-2,Mike Jones,Match Report,
2014-12-28,12:00 (20:00),Premier League,Matchweek 19,Sun,Away,D,0,0,Tottenham,52,35711,,3-1-4-2,Jonathan Moss,Match Report,
2015-01-01,12:45 (20:45),Premier League,Matchweek 20,Thu,Away,D,1,1,Stoke City,66,27203,,3-1-4-2,Michael Oliver,Match Report,
2015-01-04,15:30 (23:30),FA Cup,Third round,Sun,Away,W,2,0,Yeovil Town,,9264,,,Craig Pawson,Match Report,
2015-01-11,16:00 (00:00),Premier League,Matchweek 21,Sun,Home,L,0,1,Southampton,61,75395,,3-1-4-2,Philip Dowd,Match Report,
2015-01-17,15:00 (23:00),Premier League,Matchweek 22,Sat,Away,W,2,0,QPR,62,18098,,3-1-4-2,Niel Swarbrick,Match Report,
2015-01-23,19:55 (03:55),FA Cup,Fourth round,Fri,Away,D,0,0,Cambridge Utd,,7987,,,Chris Foy,Match Report,
2015-01-31,15:00 (23:00),Premier League,Matchweek 23,Sat,Home,W,3,1,Leicester City,71,75329,,4-1-2-1-2◆,Martin Atkinson,Match Report,
2015-02-03,19:45 (03:45),FA Cup,Fourth round,Tue,Home,W,3,0,Cambridge Utd,,74511,,,Jonathan Moss,Match Report,
2015-02-08,16:15 (00:15),Premier League,Matchweek 24,Sun,Away,D,1,1,West Ham,59,34499,,4-1-2-1-2◆,Mark Clattenburg,Match Report,
2015-02-11,19:45 (03:45),Premier League,Matchweek 25,Wed,Home,W,3,1,Burnley,57,75356,,4-1-2-1-2◆,Kevin Friend,Match Report,
2015-02-16,19:45 (03:45),FA Cup,Fifth round,Mon,Away,W,3,1,Preston,,21348,,,Philip Dowd,Match Report,
2015-02-21,15:00 (23:00),Premier League,Matchweek 26,Sat,Away,L,1,2,Swansea City,64,20809,,4-1-2-1-2◆,Niel Swarbrick,Match Report,
2015-02-28,15:00 (23:00),Premier League,Matchweek 27,Sat,Home,W,2,0,Sunderland,73,75344,,4-2-3-1,Roger East,Match Report,
2015-03-04,19:45 (03:45),Premier League,Matchweek 28,Wed,Away,W,1,0,Newcastle Utd,68,49801,,4-2-3-1,Anthony Taylor,Match Report,
2015-03-09,19:45 (03:45),FA Cup,Quarter-finals,Mon,Home,L,1,2,Arsenal,,74285,,,Michael Oliver,Match Report,
2015-03-15,16:00 (00:00),Premier League,Matchweek 29,Sun,Home,W,3,0,Tottenham,52,75112,,4-1-4-1,Mark Clattenburg,Match Report,
2015-03-22,13:30 (21:30),Premier League,Matchweek 30,Sun,Away,W,2,1,Liverpool,58,44405,,4-1-4-1,Martin Atkinson,Match Report,
2015-04-04,15:00 (22:00),Premier League,Matchweek 31,Sat,Home,W,3,1,Aston Villa,76,75397,,4-1-4-1,Roger East,Match Report,
2015-04-12,16:00 (23:00),Premier League,Matchweek 32,Sun,Home,W,4,2,Manchester City,59,75313,,4-1-4-1,Mark Clattenburg,Match Report,
2015-04-18,17:30 (00:30),Premier League,Matchweek 33,Sat,Away,L,0,1,Chelsea,70,41422,,4-1-4-1,Mike Dean,Match Report,
2015-04-26,13:30 (20:30),Premier League,Matchweek 34,Sun,Away,L,0,3,Everton,65,39497,,4-1-4-1,Andre Marriner,Match Report,
2015-05-02,17:30 (00:30),Premier League,Matchweek 35,Sat,Home,L,0,1,West Brom,80,75454,,4-1-4-1,Anthony Taylor,Match Report,
2015-05-09,17:30 (00:30),Premier League,Matchweek 36,Sat,Away,W,2,1,Crystal Palace,63,25009,,4-1-4-1,Michael Oliver,Match Report,
2015-05-17,16:00 (23:00),Premier League,Matchweek 37,Sun,Home,D,1,1,Arsenal,57,75323,,4-1-4-1,Mike Dean,Match Report,
2015-05-24,15:00 (22:00),Premier League,Matchweek 38,Sun,Away,D,0,0,Hull City,59,24745,,4-1-4-1,Lee Probert,Match Report,
