Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-08-08,15:00 (22:00),Premier League,Matchweek 1,Sat,Home,L,0,1,Aston Villa,58,11155,Tommy Elphick,4-4-2,Mark Clattenburg,Match Report,
2015-08-17,20:00 (03:00),Premier League,Matchweek 2,Mon,Away,L,0,1,Liverpool,45,44102,Tommy Elphick,4-4-2,Craig Pawson,Match Report,
2015-08-22,15:00 (22:00),Premier League,Matchweek 3,Sat,Away,W,4,3,West Ham,54,34977,Tommy Elphick,4-4-2,Jonathan Moss,Match Report,
2015-08-25,19:45 (02:45),League Cup,Second round,Tue,Away,W,4,0,Hartlepool Utd,,4890,,,Carl Boyeson,Match Report,
2015-08-29,15:00 (22:00),Premier League,Matchweek 4,Sat,Home,D,1,1,Leicester City,56,11155,Tommy Elphick,4-4-1-1,Niel Swarbrick,Match Report,
2015-09-12,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,L,1,3,Norwich City,52,27018,Tommy Elphick,4-4-1-1,Martin Atkinson,Match Report,
2015-09-19,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,W,2,0,Sunderland,53,11271,Simon Francis,4-4-1-1,Kevin Friend,Match Report,
2015-09-22,19:45 (02:45),League Cup,Third round,Tue,Away,D,2 (3),2 (2),Preston,,5643,,,Nigel Miller,Match Report,Bournemouth won on penalty kicks following extra time
2015-09-26,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,L,1,2,Stoke City,56,27742,Simon Francis,4-4-1-1,Lee Mason,Match Report,
2015-10-03,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,D,1,1,Watford,54,11187,Simon Francis,4-4-1-1,Michael Oliver,Match Report,
2015-10-17,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,L,1,5,Manchester City,46,54502,Simon Francis,4-4-1-1,Mike Dean,Match Report,
2015-10-25,14:05 (22:05),Premier League,Matchweek 10,Sun,Home,L,1,5,Tottenham,46,11332,Simon Francis,4-4-1-1,Roger East,Match Report,
2015-10-28,19:45 (03:45),League Cup,Fourth round,Wed,Away,L,0,1,Liverpool,,41948,,4-3-3,Mike Jones,Match Report,
2015-11-01,16:00 (00:00),Premier League,Matchweek 11,Sun,Away,L,0,2,Southampton,52,31229,Simon Francis,4-4-1-1,Craig Pawson,Match Report,
2015-11-07,12:45 (20:45),Premier League,Matchweek 12,Sat,Home,L,0,1,Newcastle Utd,67,11155,Simon Francis,4-1-4-1,Lee Mason,Match Report,
2015-11-21,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,D,2,2,Swansea City,57,20878,Simon Francis,4-1-4-1,Andre Marriner,Match Report,
2015-11-28,15:00 (23:00),Premier League,Matchweek 14,Sat,Home,D,3,3,Everton,57,11228,Simon Francis,4-1-4-1,Kevin Friend,Match Report,
2015-12-05,17:30 (01:30),Premier League,Matchweek 15,Sat,Away,W,1,0,Chelsea,37,41631,Simon Francis,4-1-4-1,Mike Jones,Match Report,
2015-12-12,17:30 (01:30),Premier League,Matchweek 16,Sat,Home,W,2,1,Manchester Utd,44,11334,Simon Francis,4-1-4-1,Anthony Taylor,Match Report,
2015-12-19,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,W,2,1,West Brom,67,26127,Simon Francis,4-1-4-1,Mike Dean,Match Report,
2015-12-26,15:00 (23:00),Premier League,Matchweek 18,Sat,Home,D,0,0,Crystal Palace,55,11218,Simon Francis,4-1-4-1,Michael Oliver,Match Report,
2015-12-28,17:30 (01:30),Premier League,Matchweek 19,Mon,Away,L,0,2,Arsenal,49,59983,Simon Francis,4-1-4-1,Roger East,Match Report,
2016-01-02,15:00 (23:00),Premier League,Matchweek 20,Sat,Away,D,0,0,Leicester City,47,32006,Simon Francis,4-1-4-1,Andre Marriner,Match Report,
2016-01-09,15:00 (23:00),FA Cup,Third round,Sat,Away,W,2,1,Birmingham City,,13140,,,Mike Jones,Match Report,
