Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-08-08,15:00 (22:00),Premier League,Matchweek 1,Sat,Home,D,2,2,Watford,67,39063,Phil Jagielka,4-2-3-1,Mike Jones,Match Report,
2015-08-15,12:45 (19:45),Premier League,Matchweek 2,Sat,Away,W,3,0,Southampton,46,30966,Phil Jagielka,4-2-3-1,Michael Oliver,Match Report,
2015-08-23,16:00 (23:00),Premier League,Matchweek 3,Sun,Home,L,0,2,Manchester City,46,38523,Phil Jagielka,4-2-3-1,Anthony Taylor,Match Report,
2015-08-26,19:45 (02:45),League Cup,Second round,Wed,Away,W,5,3,Barnsley,,12290,,,Simon Hooper,Match Report,Required Extra Time
2015-08-29,17:30 (00:30),Premier League,Matchweek 4,Sat,Away,D,0,0,Tottenham,50,35865,Phil Jagielka,4-2-3-1,Mike Jones,Match Report,
2015-09-12,12:45 (19:45),Premier League,Matchweek 5,Sat,Home,W,3,1,Chelsea,39,38311,Phil Jagielka,4-3-1-2,Andre Marriner,Match Report,
2015-09-19,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,D,0,0,Swansea City,52,20805,Phil Jagielka,4-2-3-1,Stuart Attwell,Match Report,
2015-09-22,20:00 (03:00),League Cup,Third round,Tue,Away,W,2,1,Reading,,19435,,,Keith Hill,Match Report,
2015-09-28,20:00 (03:00),Premier League,Matchweek 7,Mon,Away,W,3,2,West Brom,54,24240,Phil Jagielka,4-2-3-1,Robert Madley,Match Report,
2015-10-04,13:30 (20:30),Premier League,Matchweek 8,Sun,Home,D,1,1,Liverpool,51,39598,Phil Jagielka,4-2-3-1,Martin Atkinson,Match Report,
2015-10-17,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,L,0,3,Manchester Utd,47,39553,Phil Jagielka,4-2-3-1,Jonathan Moss,Match Report,
2015-10-24,17:30 (00:30),Premier League,Matchweek 10,Sat,Away,L,1,2,Arsenal,44,59985,Phil Jagielka,4-2-3-1,Lee Mason,Match Report,
2015-10-27,19:45 (03:45),League Cup,Fourth round,Tue,Home,D,1 (4),1 (3),Norwich City,,31694,,4-4-2,Roger East,Match Report,Everton won on penalty kicks following extra time
2015-11-01,13:30 (21:30),Premier League,Matchweek 11,Sun,Home,W,6,2,Sunderland,67,36617,Gareth Barry,4-2-3-1,Andre Marriner,Match Report,
2015-11-07,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,D,1,1,West Ham,49,34977,Gareth Barry,4-2-3-1,Paul Tierney,Match Report,
2015-11-21,15:00 (23:00),Premier League,Matchweek 13,Sat,Home,W,4,0,Aston Villa,60,38424,Gareth Barry,4-2-3-1,Michael Oliver,Match Report,
2015-11-28,15:00 (23:00),Premier League,Matchweek 14,Sat,Away,D,3,3,Bournemouth,43,11228,Gareth Barry,4-2-3-1,Kevin Friend,Match Report,
2015-12-01,19:45 (03:45),League Cup,Quarter-finals,Tue,Away,W,2,0,Middlesbrough,,31628,,4-2-3-1,Roger East,Match Report,
2015-12-07,20:00 (04:00),Premier League,Matchweek 15,Mon,Home,D,1,1,Crystal Palace,62,35736,Gareth Barry,4-2-3-1,Craig Pawson,Match Report,
2015-12-12,12:45 (20:45),Premier League,Matchweek 16,Sat,Away,D,1,1,Norwich City,59,27027,Gareth Barry,4-2-3-1,Martin Atkinson,Match Report,
2015-12-19,15:00 (23:00),Premier League,Matchweek 17,Sat,Home,L,2,3,Leicester City,67,39570,Gareth Barry,4-3-3,Jonathan Moss,Match Report,
2015-12-26,17:30 (01:30),Premier League,Matchweek 18,Sat,Away,W,1,0,Newcastle Utd,59,51682,Gareth Barry,4-3-3,Lee Mason,Match Report,
2015-12-28,15:00 (23:00),Premier League,Matchweek 19,Mon,Home,L,3,4,Stoke City,51,39340,Gareth Barry,4-3-3,Mark Clattenburg,Match Report,
2016-01-03,16:00 (00:00),Premier League,Matchweek 20,Sun,Home,D,1,1,Tottenham,41,38482,Gareth Barry,4-3-3,Michael Oliver,Match Report,
2016-01-06,20:00 (04:00),League Cup,Semi-finals,Wed,Home,W,2,1,Manchester City,,34027,,4-2-3-1,Robert Madley,Match Report,Leg 1 of 2
2016-01-09,15:00 (23:00),FA Cup,Third round,Sat,Home,W,2,0,Dag & Red,,30918,,,Paul Tierney,Match Report,
2016-01-13,19:45 (03:45),Premier League,Matchweek 21,Wed,Away,D,0,0,Manchester City,45,53796,Phil Jagielka,4-2-3-1,Roger East,Match Report,
2016-01-16,15:00 (23:00),Premier League,Matchweek 22,Sat,Away,D,3,3,Chelsea,45,41633,Phil Jagielka,4-2-3-1,Mike Jones,Match Report,
2016-01-24,13:30 (21:30),Premier League,Matchweek 23,Sun,Home,L,1,2,Swansea City,60,36908,Gareth Barry,4-3-3,Anthony Taylor,Match Report,
2016-01-27,19:45 (03:45),League Cup,Semi-finals,Wed,Away,L,1,3,Manchester City,,50048,,4-2-3-1,Martin Atkinson,Match Report,Leg 2 of 2; Manchester City won
2016-01-31,13:30 (21:30),FA Cup,Fourth round,Sun,Away,W,3,0,Carlisle United,,17101,,,Lee Mason,Match Report,
2016-02-03,19:45 (03:45),Premier League,Matchweek 24,Wed,Home,W,3,0,Newcastle Utd,56,36061,Phil Jagielka,4-2-3-1,Craig Pawson,Match Report,
2016-02-06,15:00 (23:00),Premier League,Matchweek 25,Sat,Away,W,3,0,Stoke City,35,27733,Phil Jagielka,4-2-3-1,Andre Marriner,Match Report,
2016-02-13,15:00 (23:00),Premier League,Matchweek 26,Sat,Home,L,0,1,West Brom,76,38103,Phil Jagielka,4-2-3-1,Michael Oliver,Match Report,
2016-02-20,17:15 (01:15),FA Cup,Fifth round,Sat,Away,W,2,0,Bournemouth,,11404,,,Martin Atkinson,Match Report,
2016-03-01,19:45 (03:45),Premier League,Matchweek 28,Tue,Away,W,3,1,Aston Villa,53,29755,Phil Jagielka,4-2-3-1,Roger East,Match Report,
2016-03-05,15:00 (23:00),Premier League,Matchweek 29,Sat,Home,L,2,3,West Ham,42,39000,Phil Jagielka,3-4-3,Anthony Taylor,Match Report,
2016-03-12,17:30 (01:30),FA Cup,Quarter-finals,Sat,Home,W,2,0,Chelsea,,37283,,,Michael Oliver,Match Report,
2016-03-19,12:45 (20:45),Premier League,Matchweek 31,Sat,Home,L,0,2,Arsenal,54,39270,Phil Jagielka,4-2-3-1,Mark Clattenburg,Match Report,
2016-04-03,16:00 (23:00),Premier League,Matchweek 32,Sun,Away,L,0,1,Manchester Utd,46,75341,Phil Jagielka,4-4-1-1,Andre Marriner,Match Report,
2016-04-09,15:00 (22:00),Premier League,Matchweek 33,Sat,Away,D,1,1,Watford,58,20663,Phil Jagielka,4-2-3-1,Kevin Friend,Match Report,
2016-04-13,20:00 (03:00),Premier League,Matchweek 35,Wed,Away,D,0,0,Crystal Palace,43,23528,Gareth Barry,4-2-3-1,Mike Jones,Match Report,
2016-04-16,15:00 (22:00),Premier League,Matchweek 34,Sat,Home,D,1,1,Southampton,49,36761,Leon Osman,4-3-3,Craig Pawson,Match Report,
2016-04-20,20:00 (03:00),Premier League,Matchweek 27,Wed,Away,L,0,4,Liverpool,33,43854,Gareth Barry,4-2-3-1,Robert Madley,Match Report,
2016-04-23,17:15 (00:15),FA Cup,Semi-finals,Sat,Home,L,1,2,Manchester Utd,,86064,,,Anthony Taylor,Match Report,
2016-04-30,15:00 (22:00),Premier League,Matchweek 36,Sat,Home,W,2,1,Bournemouth,57,38345,Tim Howard,4-2-3-1,Niel Swarbrick,Match Report,
2016-05-07,17:30 (00:30),Premier League,Matchweek 37,Sat,Away,L,1,3,Leicester City,59,32140,Leighton Baines,4-4-2,Andre Marriner,Match Report,
