Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-08-09,16:00 (23:00),Premier League,Matchweek 1,Sun,Away,W,1,0,Stoke City,53,27654,Jordan Henderson,4-2-3-1,Anthony Taylor,Match Report,
2015-08-17,20:00 (03:00),Premier League,Matchweek 2,Mon,Home,W,1,0,Bournemouth,55,44102,Jordan Henderson,4-2-3-1,Craig Pawson,Match Report,
2015-08-24,20:00 (03:00),Premier League,Matchweek 3,Mon,Away,D,0,0,Arsenal,34,60080,James Milner,4-3-3,Michael Oliver,Match Report,
2015-08-29,15:00 (22:00),Premier League,Matchweek 4,Sat,Home,L,0,3,West Ham,63,43680,James Milner,4-3-3,Kevin Friend,Match Report,
2015-09-12,17:30 (00:30),Premier League,Matchweek 5,Sat,Away,L,1,3,Manchester Utd,44,75347,James Milner,4-3-3,Michael Oliver,Match Report,
2015-09-17,19:00 (01:00),Europa Lg,Group stage,Thu,Away,D,1,1,fr Bordeaux,51,35328,Mamadou Sakho,3-4-3,Alberto Undiano,Match Report,
2015-09-20,16:00 (23:00),Premier League,Matchweek 6,Sun,Home,D,1,1,Norwich City,59,44072,James Milner,3-4-1-2,Anthony Taylor,Match Report,
2015-09-23,20:00 (03:00),League Cup,Third round,Wed,Home,D,1 (3),1 (2),Carlisle United,,42518,,,Andy Madley,Match Report,Liverpool won on penalty kicks following extra time
2015-09-26,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,W,3,2,Aston Villa,62,44228,James Milner,3-4-1-2,Jonathan Moss,Match Report,
2015-10-01,20:05 (03:05),Europa Lg,Group stage,Thu,Home,D,1,1,ch Sion,61,37252,Kolo Touré,3-4-1-2,Slavko Vinčič,Match Report,
2015-10-04,13:30 (20:30),Premier League,Matchweek 8,Sun,Away,D,1,1,Everton,49,39598,James Milner,3-5-2,Martin Atkinson,Match Report,
2015-10-17,12:45 (19:45),Premier League,Matchweek 9,Sat,Away,D,0,0,Tottenham,52,35926,James Milner,4-2-3-1,Craig Pawson,Match Report,
2015-10-22,20:05 (03:05),Europa Lg,Group stage,Thu,Home,D,1,1,ru Rubin Kazan,67,42951,James Milner,4-3-3,Robert Schörgenhofer,Match Report,
2015-10-25,16:15 (00:15),Premier League,Matchweek 10,Sun,Home,D,1,1,Southampton,60,44171,James Milner,4-3-2-1,Andre Marriner,Match Report,
2015-10-28,19:45 (03:45),League Cup,Fourth round,Wed,Home,W,1,0,Bournemouth,,41948,,4-2-3-1,Mike Jones,Match Report,
2015-10-31,12:45 (20:45),Premier League,Matchweek 11,Sat,Away,W,3,1,Chelsea,57,41577,James Milner,4-3-2-1,Mark Clattenburg,Match Report,
2015-11-05,21:00 (02:00),Europa Lg,Group stage,Thu,Away,W,1,0,ru Rubin Kazan,64,41585,James Milner,4-2-3-1,Kevin Blom,Match Report,
2015-11-08,16:00 (00:00),Premier League,Matchweek 12,Sun,Home,L,1,2,Crystal Palace,64,44115,Lucas Leiva,4-2-3-1,Niel Swarbrick,Match Report,
2015-11-21,17:30 (01:30),Premier League,Matchweek 13,Sat,Away,W,4,1,Manchester City,42,54444,James Milner,4-3-3,Jonathan Moss,Match Report,
2015-11-26,20:05 (04:05),Europa Lg,Group stage,Thu,Home,W,2,1,fr Bordeaux,47,42525,James Milner,4-3-3,Alon Yefet,Match Report,
2015-11-29,16:15 (00:15),Premier League,Matchweek 14,Sun,Home,W,1,0,Swansea City,54,43905,James Milner,4-3-3,Anthony Taylor,Match Report,
2015-12-02,19:45 (03:45),League Cup,Quarter-finals,Wed,Away,W,6,1,Southampton,,31592,,4-3-1-2,Robert Madley,Match Report,
2015-12-06,16:00 (00:00),Premier League,Matchweek 15,Sun,Away,L,0,2,Newcastle Utd,60,51273,James Milner,4-2-3-1,Andre Marriner,Match Report,
2015-12-10,19:00 (02:00),Europa Lg,Group stage,Thu,Away,D,0,0,ch Sion,61,10000,Jordan Henderson,4-3-3,Michael Koukoulakis,Match Report,
2015-12-13,16:00 (00:00),Premier League,Matchweek 16,Sun,Home,D,2,2,West Brom,70,44147,Jordan Henderson,4-3-3,Craig Pawson,Match Report,
2015-12-20,13:30 (21:30),Premier League,Matchweek 17,Sun,Away,L,0,3,Watford,65,20707,Jordan Henderson,4-3-3,Mark Clattenburg,Match Report,
2015-12-26,15:00 (23:00),Premier League,Matchweek 18,Sat,Home,W,1,0,Leicester City,65,44123,Jordan Henderson,4-2-3-1,Martin Atkinson,Match Report,
2015-12-30,19:45 (03:45),Premier League,Matchweek 19,Wed,Away,W,1,0,Sunderland,58,45765,Jordan Henderson,4-2-3-1,Kevin Friend,Match Report,
2016-01-02,12:45 (20:45),Premier League,Matchweek 20,Sat,Away,L,0,2,West Ham,64,34977,Dejan Lovren,4-2-3-1,Robert Madley,Match Report,
2016-01-05,20:00 (04:00),League Cup,Semi-finals,Tue,Away,W,1,0,Stoke City,,27369,,4-3-3,Anthony Taylor,Match Report,Leg 1 of 2
2016-01-08,19:55 (03:55),FA Cup,Third round,Fri,Away,D,2,2,Exeter City,,8298,,,Stuart Attwell,Match Report,
2016-01-13,20:00 (04:00),Premier League,Matchweek 21,Wed,Home,D,3,3,Arsenal,60,44109,Jordan Henderson,4-3-3,Mike Jones,Match Report,
2016-01-17,14:05 (22:05),Premier League,Matchweek 22,Sun,Home,L,0,1,Manchester Utd,53,43865,Jordan Henderson,4-3-3,Mark Clattenburg,Match Report,
2016-01-20,20:00 (04:00),FA Cup,Third round,Wed,Home,W,3,0,Exeter City,,43292,,,Niel Swarbrick,Match Report,
