Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-08-08,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,D,2,2,Everton,33,39063,Troy Deeney,4-4-1-1,Mike Jones,Match Report,
2015-08-15,15:00 (22:00),Premier League,Matchweek 2,Sat,Home,D,0,0,West Brom,64,20011,Troy Deeney,4-2-3-1,Paul Tierney,Match Report,
2015-08-23,16:00 (23:00),Premier League,Matchweek 3,Sun,Home,D,0,0,Southampton,52,20166,Troy Deeney,4-2-3-1,Andre Marriner,Match Report,
2015-08-25,19:45 (02:45),League Cup,Second round,Tue,Away,L,0,1,Preston,,6250,,,Steve Martin,Match Report,
2015-08-29,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,L,0,2,Manchester City,41,53218,Troy Deeney,4-2-4-0,Mark Clattenburg,Match Report,
2015-09-12,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,W,1,0,Swansea City,39,20057,Troy Deeney,4-4-2,Robert Madley,Match Report,
2015-09-19,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Newcastle Utd,42,47806,Troy Deeney,4-4-2,Roger East,Match Report,
2015-09-27,16:00 (23:00),Premier League,Matchweek 7,Sun,Home,L,0,1,Crystal Palace,55,20168,Troy Deeney,4-4-2,Anthony Taylor,Match Report,
2015-10-03,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,D,1,1,Bournemouth,46,11187,Troy Deeney,4-4-2,Michael Oliver,Match Report,
2015-10-17,17:30 (00:30),Premier League,Matchweek 9,Sat,Home,L,0,3,Arsenal,33,20721,Troy Deeney,4-4-2,Mike Jones,Match Report,
2015-10-24,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,W,2,0,Stoke City,34,27587,Troy Deeney,4-4-2,Martin Atkinson,Match Report,
2015-10-31,15:00 (23:00),Premier League,Matchweek 11,Sat,Home,W,2,0,West Ham,51,20598,Troy Deeney,4-4-2,Keith Stroud,Match Report,
2015-11-07,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,L,1,2,Leicester City,59,32029,Troy Deeney,4-4-2,Roger East,Match Report,
2015-11-21,12:45 (20:45),Premier League,Matchweek 13,Sat,Home,L,1,2,Manchester Utd,44,20702,Troy Deeney,4-4-2,Robert Madley,Match Report,
2015-11-28,15:00 (23:00),Premier League,Matchweek 14,Sat,Away,W,3,2,Aston Villa,35,35057,Troy Deeney,4-4-2,Lee Mason,Match Report,
2015-12-05,15:00 (23:00),Premier League,Matchweek 15,Sat,Home,W,2,0,Norwich City,50,20422,Troy Deeney,4-4-2,Mike Dean,Match Report,
2015-12-12,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,W,1,0,Sunderland,51,43989,Troy Deeney,4-4-2,Graham Scott,Match Report,
2015-12-20,13:30 (21:30),Premier League,Matchweek 17,Sun,Home,W,3,0,Liverpool,35,20707,Troy Deeney,4-4-2,Mark Clattenburg,Match Report,
2015-12-26,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,D,2,2,Chelsea,38,41620,Troy Deeney,4-4-2,Andre Marriner,Match Report,
