Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2016-08-13,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,D,1,1,Everton,58,39494,Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,
2016-08-20,15:00 (22:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Crystal Palace,57,31447,Harry Kane,4-2-3-1,Michael Oliver,Match Report,
2016-08-27,12:30 (19:30),Premier League,Matchweek 3,Sat,Home,D,1,1,Liverpool,49,31211,Harry Kane,4-2-3-1,Robert Madley,Match Report,
2016-09-10,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,W,4,0,Stoke City,60,27385,Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,
2016-09-14,19:45 (02:45),Champions Lg,Group stage,Wed,Home,L,1,2,fr Monaco,64,85011,Hugo Lloris,4-2-3-1,Gianluca Rocchi,Match Report,
2016-09-18,16:30 (23:30),Premier League,Matchweek 5,Sun,Home,W,1,0,Sunderland,74,31251,Hugo Lloris,4-2-3-1,Mike Dean,Match Report,
2016-09-21,20:00 (03:00),EFL Cup,Third round,Wed,Home,W,5,0,Gillingham,68,26244,Christian Eriksen,4-2-3-1,David Coote,Match Report,
2016-09-24,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Middlesbrough,58,32703,Hugo Lloris,4-3-3,Graham Scott,Match Report,
2016-09-27,21:45 (02:45),Champions Lg,Group stage,Tue,Away,W,1,0,ru CSKA Moscow,66,26153,Hugo Lloris,4-1-4-1,Antonio Matéu Lahoz,Match Report,
2016-10-02,14:15 (21:15),Premier League,Matchweek 7,Sun,Home,W,2,0,Manchester City,42,31793,Hugo Lloris,4-1-4-1,Andre Marriner,Match Report,
2016-10-15,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,D,1,1,West Brom,72,24263,Hugo Lloris,4-1-4-1,Kevin Friend,Match Report,
2016-10-18,20:45 (02:45),Champions Lg,Group stage,Tue,Away,D,0,0,de Leverkusen,57,28887,Hugo Lloris,4-1-4-1,Cüneyt Çakιr,Match Report,
2016-10-22,12:30 (19:30),Premier League,Matchweek 9,Sat,Away,D,0,0,Bournemouth,62,11201,Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,
2016-10-25,19:45 (02:45),EFL Cup,Fourth round,Tue,Away,L,1,2,Liverpool,54,53051,Eric Dier,4-2-3-1,Jonathan Moss,Match Report,
2016-10-29,15:00 (22:00),Premier League,Matchweek 10,Sat,Home,D,1,1,Leicester City,64,31868,Hugo Lloris,4-2-3-1,Robert Madley,Match Report,
2016-11-02,19:45 (03:45),Champions Lg,Group stage,Wed,Home,L,0,1,de Leverkusen,59,85512,Hugo Lloris,4-2-3-1,Jonas Eriksson,Match Report,
2016-11-06,12:00 (20:00),Premier League,Matchweek 11,Sun,Away,D,1,1,Arsenal,54,60039,Hugo Lloris,3-4-3,Mark Clattenburg,Match Report,
2016-11-19,17:30 (01:30),Premier League,Matchweek 12,Sat,Home,W,3,2,West Ham,67,31212,Hugo Lloris,4-3-1-2,Mike Dean,Match Report,
2016-11-22,20:45 (03:45),Champions Lg,Group stage,Tue,Away,L,1,2,fr Monaco,63,13100,Hugo Lloris,4-3-2-1,Björn Kuipers,Match Report,
2016-11-26,17:30 (01:30),Premier League,Matchweek 13,Sat,Away,L,1,2,Chelsea,54,41513,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,
2016-12-03,15:00 (23:00),Premier League,Matchweek 14,Sat,Home,W,5,0,Swansea City,60,31663,Harry Kane,4-2-3-1,Jonathan Moss,Match Report,
2016-12-07,19:45 (03:45),Champions Lg,Group stage,Wed,Home,W,3,1,ru CSKA Moscow,72,62034,Hugo Lloris,4-2-3-1,Nicola Rizzoli,Match Report,
2016-12-11,14:15 (22:15),Premier League,Matchweek 15,Sun,Away,L,0,1,Manchester Utd,60,75271,Hugo Lloris,4-2-3-1,Robert Madley,Match Report,
2016-12-14,20:00 (04:00),Premier League,Matchweek 16,Wed,Home,W,3,0,Hull City,63,31347,Hugo Lloris,3-4-3◆,Andre Marriner,Match Report,
2016-12-18,16:00 (00:00),Premier League,Matchweek 17,Sun,Home,W,2,1,Burnley,60,31467,Hugo Lloris,4-3-2-1,Kevin Friend,Match Report,
2016-12-28,19:45 (03:45),Premier League,Matchweek 18,Wed,Away,W,4,1,Southampton,66,31853,Hugo Lloris,4-2-3-1,Mike Dean,Match Report,
2017-01-01,13:30 (21:30),Premier League,Matchweek 19,Sun,Away,W,4,1,Watford,66,20882,Hugo Lloris,3-1-4-2,Michael Oliver,Match Report,
2017-01-04,20:00 (04:00),Premier League,Matchweek 20,Wed,Home,W,2,0,Chelsea,46,31491,Hugo Lloris,3-4-3,Martin Atkinson,Match Report,
2017-01-08,16:00 (00:00),FA Cup,Third round,Sun,Home,W,2,0,Aston Villa,,31182,,,Mike Dean,Match Report,
2017-01-14,12:30 (20:30),Premier League,Matchweek 21,Sat,Home,W,4,0,West Brom,73,31613,Hugo Lloris,3-4-3,Anthony Taylor,Match Report,
2017-01-21,17:30 (01:30),Premier League,Matchweek 22,Sat,Away,D,2,2,Manchester City,45,54402,Hugo Lloris,3-4-3,Andre Marriner,Match Report,
2017-01-28,15:00 (23:00),FA Cup,Fourth round,Sat,Home,W,4,3,Wycombe,,31440,,,Roger East,Match Report,
2017-01-31,19:45 (03:45),Premier League,Matchweek 23,Tue,Away,D,0,0,Sunderland,72,40058,Harry Kane,4-2-3-1,Lee Mason,Match Report,
2017-02-04,17:30 (01:30),Premier League,Matchweek 24,Sat,Home,W,1,0,Middlesbrough,65,31949,Hugo Lloris,4-2-3-1,Mark Clattenburg,Match Report,
2017-02-11,17:30 (01:30),Premier League,Matchweek 25,Sat,Away,L,0,2,Liverpool,49,53159,Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,
2017-02-16,19:00 (02:00),Europa Lg,Round of 32,Thu,Away,L,0,1,be Gent,55,19267,Hugo Lloris,4-3-3,Benoît Bastien,Match Report,Leg 1 of 2
2017-02-19,14:00 (22:00),FA Cup,Fifth round,Sun,Away,W,3,0,Fulham,,22557,,,Robert Madley,Match Report,
2017-02-23,20:05 (04:05),Europa Lg,Round of 32,Thu,Home,D,2,2,be Gent,65,80465,Hugo Lloris,3-4-3,Jorge de Sousa,Match Report,Leg 2 of 2; Gent won
2017-02-26,13:30 (21:30),Premier League,Matchweek 26,Sun,Home,W,4,0,Stoke City,64,31864,Hugo Lloris,3-4-3,Jonathan Moss,Match Report,
2017-03-05,13:30 (21:30),Premier League,Matchweek 27,Sun,Home,W,3,2,Everton,51,31962,Hugo Lloris,3-4-3,Michael Oliver,Match Report,
2017-03-12,14:00 (22:00),FA Cup,Quarter-finals,Sun,Home,W,6,0,Millwall,,31137,,,Martin Atkinson,Match Report,
2017-03-19,14:15 (22:15),Premier League,Matchweek 29,Sun,Home,W,2,1,Southampton,51,31697,Hugo Lloris,3-4-3,Andre Marriner,Match Report,
2017-04-01,15:00 (22:00),Premier League,Matchweek 30,Sat,Away,W,2,0,Burnley,62,21684,Hugo Lloris,3-4-3,Stuart Attwell,Match Report,
2017-04-05,19:45 (02:45),Premier League,Matchweek 31,Wed,Away,W,3,1,Swansea City,72,20855,Jan Vertonghen,4-2-3-1,Jonathan Moss,Match Report,
2017-04-08,12:30 (19:30),Premier League,Matchweek 32,Sat,Home,W,4,0,Watford,58,31706,Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,
2017-04-15,12:30 (19:30),Premier League,Matchweek 33,Sat,Home,W,4,0,Bournemouth,69,31943,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,
2017-04-22,17:15 (00:15),FA Cup,Semi-finals,Sat,Away,L,2,4,Chelsea,,86355,,,Martin Atkinson,Match Report,
2017-04-26,20:00 (03:00),Premier League,Matchweek 28,Wed,Away,W,1,0,Crystal Palace,69,25596,Hugo Lloris,3-4-3,Jonathan Moss,Match Report,
2017-04-30,16:30 (23:30),Premier League,Matchweek 35,Sun,Home,W,2,0,Arsenal,51,31811,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,
2017-05-05,20:00 (03:00),Premier League,Matchweek 36,Fri,Away,L,0,1,West Ham,68,56992,Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,
2017-05-14,16:30 (23:30),Premier League,Matchweek 37,Sun,Home,W,2,1,Manchester Utd,60,31848,Hugo Lloris,4-2-3-1,Jonathan Moss,Match Report,
2017-05-18,19:45 (02:45),Premier League,Matchweek 34,Thu,Away,W,6,1,Leicester City,63,31351,Hugo Lloris,3-4-3,Michael Oliver,Match Report,
2017-05-21,15:00 (22:00),Premier League,Matchweek 38,Sun,Away,W,7,1,Hull City,65,23804,Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,
