Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2017-08-12,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,W,3,2,Chelsea,0.6,1.5,38,41616,Tom Heaton,4-4-1-1,Craig Pawson,Match Report,
2017-08-19,15:00 (22:00),Premier League,Matchweek 2,Sat,Home,L,0,1,West Brom,1.3,0.9,66,19619,Tom Heaton,4-4-1-1,Martin Atkinson,Match Report,
2017-08-23,19:45 (02:45),EFL Cup,Second round,Wed,Away,W,2,0,Blackburn,,,55,16313,James Tarkowski,4-4-2,Simon Hooper,Match Report,
2017-08-27,16:00 (23:00),Premier League,Matchweek 3,Sun,Away,D,1,1,Tottenham,0.9,2.3,34,67862,Tom Heaton,4-4-1-1,Lee Mason,Match Report,
2017-09-10,13:30 (20:30),Premier League,Matchweek 4,Sun,Home,W,1,0,Crystal Palace,0.3,2.0,36,18862,Tom Heaton,4-4-2,Michael Oliver,Match Report,
2017-09-16,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,D,1,1,Liverpool,0.2,2.2,29,53231,Ben Mee,4-4-1-1,Roger East,Match Report,
2017-09-19,19:45 (02:45),EFL Cup,Third round,Tue,Home,D,2 (3),2 (5),Leeds United,,,51,11799,James Tarkowski,4-4-2,Darren Bond,Match Report,Leeds United won on penalty kicks following extra time
2017-09-23,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,D,0,0,Huddersfield,0.3,0.3,52,20759,Ben Mee,4-5-1,Chris Kavanagh,Match Report,
2017-10-01,14:15 (21:15),Premier League,Matchweek 7,Sun,Away,W,1,0,Everton,0.4,1.1,37,38448,Ben Mee,4-4-1-1,Jonathan Moss,Match Report,
2017-10-14,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,D,1,1,West Ham,1.2,0.9,62,20945,Ben Mee,4-4-1-1,Stuart Attwell,Match Report,
2017-10-21,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,L,0,3,Manchester City,0.2,3.1,23,54118,Ben Mee,4-4-1-1,Roger East,Match Report,
2017-10-30,20:00 (04:00),Premier League,Matchweek 10,Mon,Home,W,1,0,Newcastle Utd,0.9,0.5,47,21031,Ben Mee,4-4-1-1,Mike Dean,Match Report,
2017-11-04,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,W,1,0,Southampton,0.2,0.7,38,30491,Ben Mee,4-4-1-1,Lee Probert,Match Report,
2017-11-18,15:00 (23:00),Premier League,Matchweek 12,Sat,Home,W,2,0,Swansea City,1.6,0.6,39,18895,Ben Mee,4-4-1-1,Martin Atkinson,Match Report,
2017-11-26,14:00 (22:00),Premier League,Matchweek 13,Sun,Home,L,0,1,Arsenal,0.4,1.8,36,21722,Ben Mee,4-4-1-1,Lee Mason,Match Report,
2017-11-29,19:45 (03:45),Premier League,Matchweek 14,Wed,Away,W,2,1,Bournemouth,1.1,1.2,38,10302,Ben Mee,4-4-1-1,Roger East,Match Report,
2017-12-02,15:00 (23:00),Premier League,Matchweek 15,Sat,Away,L,0,1,Leicester City,1.0,1.4,48,30714,Ben Mee,4-4-1-1,Paul Tierney,Match Report,
2017-12-09,15:00 (23:00),Premier League,Matchweek 16,Sat,Home,W,1,0,Watford,0.5,1.1,49,19479,Jack Cork,4-2-3-1,Lee Probert,Match Report,
2017-12-12,19:45 (03:45),Premier League,Matchweek 17,Tue,Home,W,1,0,Stoke City,0.4,1.1,51,19909,Jack Cork,4-4-1-1,Mike Jones,Match Report,
2017-12-16,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,D,0,0,Brighton,1.2,1.5,42,29921,Ben Mee,4-4-1-1,Chris Kavanagh,Match Report,
2017-12-23,17:30 (01:30),Premier League,Matchweek 19,Sat,Home,L,0,3,Tottenham,0.2,3.1,41,21650,Ben Mee,4-4-1-1,Michael Oliver,Match Report,
2017-12-26,15:00 (23:00),Premier League,Matchweek 20,Tue,Away,D,2,2,Manchester Utd,0.5,2.0,29,75046,Ben Mee,4-1-4-1,Martin Atkinson,Match Report,
2017-12-30,15:00 (23:00),Premier League,Matchweek 21,Sat,Away,D,0,0,Huddersfield,1.2,0.1,44,24095,Ben Mee,4-4-1-1,Paul Tierney,Match Report,
2018-01-01,15:00 (23:00),Premier League,Matchweek 22,Mon,Home,L,1,2,Liverpool,1.3,1.7,42,21756,Ben Mee,4-4-1-1,Roger East,Match Report,
2018-01-06,15:00 (23:00),FA Cup,Third round,Sat,Away,L,1,4,Manchester City,,,24,53356,Ben Mee,4-4-1-1,Graham Scott,Match Report,
2018-01-13,15:00 (23:00),Premier League,Matchweek 23,Sat,Away,L,0,1,Crystal Palace,0.7,1.4,56,24696,Ben Mee,4-2-3-1,Michael Oliver,Match Report,
2018-01-20,15:00 (23:00),Premier League,Matchweek 24,Sat,Home,L,0,1,Manchester Utd,1.0,0.8,48,21841,Ben Mee,4-4-1-1,Mike Dean,Match Report,
2018-01-31,19:45 (03:45),Premier League,Matchweek 25,Wed,Away,D,1,1,Newcastle Utd,1.0,2.2,48,50174,Ben Mee,4-4-1-1,Simon Hooper,Match Report,
2018-02-03,12:30 (20:30),Premier League,Matchweek 26,Sat,Home,D,1,1,Manchester City,0.9,1.8,30,21658,Ben Mee,4-4-2,Martin Atkinson,Match Report,
2018-02-10,15:00 (23:00),Premier League,Matchweek 27,Sat,Away,L,0,1,Swansea City,0.5,0.7,43,20179,Ben Mee,4-4-2,Andre Marriner,Match Report,
2018-02-24,15:00 (23:00),Premier League,Matchweek 28,Sat,Home,D,1,1,Southampton,1.3,0.8,51,20982,Ben Mee,4-4-1-1,Robert Madley,Match Report,
2018-03-03,12:30 (20:30),Premier League,Matchweek 29,Sat,Home,W,2,1,Everton,2.1,1.5,55,20802,Ben Mee,4-4-1-1,Chris Kavanagh,Match Report,
2018-03-10,15:00 (23:00),Premier League,Matchweek 30,Sat,Away,W,3,0,West Ham,1.4,0.8,48,56904,Ben Mee,4-4-1-1,Lee Mason,Match Report,
2018-03-31,15:00 (22:00),Premier League,Matchweek 32,Sat,Away,W,2,1,West Brom,1.3,0.5,53,23455,Ben Mee,4-4-2,Lee Probert,Match Report,
2018-04-07,15:00 (22:00),Premier League,Matchweek 33,Sat,Away,W,2,1,Watford,1.0,1.2,40,20044,Jack Cork,4-4-2,Paul Tierney,Match Report,
2018-04-14,15:00 (22:00),Premier League,Matchweek 34,Sat,Home,W,2,1,Leicester City,0.9,1.9,40,21727,Jack Cork,4-4-2,Martin Atkinson,Match Report,
2018-04-19,19:45 (02:45),Premier League,Matchweek 31,Thu,Home,L,1,2,Chelsea,0.2,1.7,40,21264,Jack Cork,4-4-2,Robert Madley,Match Report,
2018-04-22,13:30 (20:30),Premier League,Matchweek 35,Sun,Away,D,1,1,Stoke City,1.6,0.4,56,29532,Jack Cork,4-4-2,Mike Dean,Match Report,
2018-04-28,15:00 (22:00),Premier League,Matchweek 36,Sat,Home,D,0,0,Brighton,1.5,0.4,45,19459,Jack Cork,4-4-2,Roger East,Match Report,
2018-05-06,16:30 (23:30),Premier League,Matchweek 37,Sun,Away,L,0,5,Arsenal,0.3,2.6,37,59540,Jack Cork,4-4-1-1,Andre Marriner,Match Report,
2018-05-13,15:00 (22:00),Premier League,Matchweek 38,Sun,Home,L,1,2,Bournemouth,1.1,1.3,51,20720,Jack Cork,4-4-1-1,Paul Tierney,Match Report,
