Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-12,16:00 (23:00),Premier League,Matchweek 1,Sun,Home,L,0,2,Manchester City,0.5,1.7,42,59934,Petr Čech,4-2-3-1,Michael Oliver,Match Report,
2018-08-18,17:30 (00:30),Premier League,Matchweek 2,Sat,Away,L,2,3,Chelsea,2.4,1.6,38,40491,Petr Čech,4-2-3-1,Martin Atkinson,Match Report,
2018-08-25,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,W,3,1,West Ham,1.8,1.1,61,59830,Petr Čech,4-2-3-1,Graham Scott,Match Report,
2018-09-02,13:30 (20:30),Premier League,Matchweek 4,Sun,Away,W,3,2,Cardiff City,1.7,1.0,72,32316,Petr Čech,4-2-3-1,Anthony Taylor,Match Report,
2018-09-15,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,W,2,1,Newcastle Utd,1.0,0.4,63,52165,Petr Čech,4-2-3-1,Lee Probert,Match Report,
2018-09-20,20:00 (03:00),Europa Lg,Group stage,Thu,Home,W,4,2,ua Vorskla Poltava,2.7,0.5,68,59039,Nacho Monreal,4-2-3-1,Lawrence Visser,Match Report,
2018-09-23,16:00 (23:00),Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,0.8,0.8,62,59964,Petr Čech,4-2-3-1,Jonathan Moss,Match Report,
2018-09-26,19:45 (02:45),EFL Cup,Third round,Wed,Home,W,3,1,Brentford,,,51,49586,Nacho Monreal,4-2-3-1,Mike Dean,Match Report,
2018-09-29,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,W,2,0,Watford,1.4,2.8,63,60019,Petr Čech,4-2-3-1,Anthony Taylor,Match Report,
2018-10-04,20:55 (00:55),Europa Lg,Group stage,Thu,Away,W,3,0,az Qarabağ Ağdam,2.5,1.0,52,63412,Nacho Monreal,3-4-3,Davide Massa,Match Report,
2018-10-07,12:00 (19:00),Premier League,Matchweek 8,Sun,Away,W,5,1,Fulham,1.1,1.4,52,25401,Granit Xhaka,4-4-2,Paul Tierney,Match Report,
2018-10-22,20:00 (03:00),Premier League,Matchweek 9,Mon,Home,W,3,1,Leicester City,2.7,0.5,68,59886,Mesut Özil,4-2-3-1,Chris Kavanagh,Match Report,
