Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-11,15:00 (22:00),Premier League,Matchweek 1,Sat,Home,W,2,0,Brighton,1.2,0.3,53,20051,Troy Deeney,4-2-2-2,Jonathan Moss,Match Report,
2018-08-19,13:30 (20:30),Premier League,Matchweek 2,Sun,Away,W,3,1,Burnley,1.5,0.6,42,18822,Troy Deeney,4-2-2-2,Paul Tierney,Match Report,
2018-08-26,13:30 (20:30),Premier League,Matchweek 3,Sun,Home,W,2,1,Crystal Palace,1.2,1.0,43,20014,Troy Deeney,4-2-2-2,Anthony Taylor,Match Report,
2018-08-29,20:00 (03:00),EFL Cup,Second round,Wed,Away,W,2,0,Reading,,,55,9265,Adrian Mariappa,4-4-1-1,Andrew Davies,Match Report,
2018-09-02,16:00 (23:00),Premier League,Matchweek 4,Sun,Home,W,2,1,Tottenham,0.4,0.6,34,20141,Troy Deeney,4-2-2-2,Andre Marriner,Match Report,
2018-09-15,17:30 (00:30),Premier League,Matchweek 5,Sat,Home,L,1,2,Manchester Utd,1.3,1.9,43,20537,Troy Deeney,4-2-2-2,Mike Dean,Match Report,
2018-09-22,12:30 (19:30),Premier League,Matchweek 6,Sat,Away,D,1,1,Fulham,1.4,1.7,40,23418,Troy Deeney,4-2-2-2,Martin Atkinson,Match Report,
2018-09-26,20:00 (03:00),EFL Cup,Third round,Wed,Away,D,2 (2),2 (4),Tottenham,,,48,23650,Adrian Mariappa,4-5-1,Lee Mason,Match Report,Tottenham won on penalty kicks following extra time
2018-09-29,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Arsenal,2.8,1.4,37,60019,Troy Deeney,4-2-2-2,Anthony Taylor,Match Report,
2018-10-06,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,L,0,4,Bournemouth,1.0,3.2,48,20139,Troy Deeney,4-2-2-2,Jonathan Moss,Match Report,
2018-10-20,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,W,2,0,Wolves,1.1,0.7,55,31144,Adrian Mariappa,4-2-2-2,Lee Mason,Match Report,
2018-10-27,15:00 (22:00),Premier League,Matchweek 10,Sat,Home,W,3,0,Huddersfield,2.0,0.5,48,20457,Adrian Mariappa,4-2-2-2,Mike Dean,Match Report,
2018-11-03,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,L,0,1,Newcastle Utd,2.0,0.5,58,49157,Adrian Mariappa,4-2-2-2,Craig Pawson,Match Report,
2018-11-10,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,D,1,1,Southampton,1.2,1.1,58,28153,Adrian Mariappa,4-2-2-2,Simon Hooper,Match Report,
2018-11-24,15:00 (23:00),Premier League,Matchweek 13,Sat,Home,L,0,3,Liverpool,0.4,1.2,37,20540,Troy Deeney,4-2-2-2,Jonathan Moss,Match Report,
2018-12-01,15:00 (23:00),Premier League,Matchweek 14,Sat,Away,L,0,2,Leicester City,1.2,1.3,62,31353,Adrian Mariappa,4-2-2-2,Graham Scott,Match Report,
2018-12-04,20:00 (04:00),Premier League,Matchweek 15,Tue,Home,L,1,2,Manchester City,1.8,2.5,30,20389,Troy Deeney,4-1-4-1,Paul Tierney,Match Report,
2018-12-10,20:00 (04:00),Premier League,Matchweek 16,Mon,Away,D,2,2,Everton,1.7,1.7,44,38400,Troy Deeney,4-2-2-2,Kevin Friend,Match Report,
2018-12-15,15:00 (23:00),Premier League,Matchweek 17,Sat,Home,W,3,2,Cardiff City,1.4,0.9,71,20032,Troy Deeney,4-2-2-2,Andy Madley,Match Report,
2018-12-22,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,W,2,0,West Ham,2.3,2.0,48,56833,Troy Deeney,4-2-2-2,Lee Mason,Match Report,
2018-12-26,19:30 (03:30),Premier League,Matchweek 19,Wed,Home,L,1,2,Chelsea,1.2,1.9,35,20415,Troy Deeney,4-2-2-2,Martin Atkinson,Match Report,
2018-12-29,15:00 (23:00),Premier League,Matchweek 20,Sat,Home,D,1,1,Newcastle Utd,1.3,0.7,63,20336,Adrian Mariappa,4-2-2-2,Roger East,Match Report,
2019-01-02,19:45 (03:45),Premier League,Matchweek 21,Wed,Away,D,3,3,Bournemouth,0.9,2.2,43,10261,Troy Deeney,4-2-2-2,David Coote,Match Report,
2019-01-06,14:00 (22:00),FA Cup,Third round,Sun,Away,W,2,0,Woking,,,70,5717,Heurelho Gomes,4-3-3,Graham Scott,Match Report,
2019-01-12,15:00 (23:00),Premier League,Matchweek 22,Sat,Away,W,2,1,Crystal Palace,1.6,1.3,45,25010,Troy Deeney,4-2-2-2,Paul Tierney,Match Report,
2019-01-19,15:00 (23:00),Premier League,Matchweek 23,Sat,Home,D,0,0,Burnley,1.3,1.8,54,19510,Troy Deeney,4-2-2-2,Michael Oliver,Match Report,
2019-01-26,15:00 (23:00),FA Cup,Fourth round,Sat,Away,W,2,0,Newcastle Utd,,,53,34604,Heurelho Gomes,4-1-4-1,David Coote,Match Report,
2019-01-30,20:00 (04:00),Premier League,Matchweek 24,Wed,Away,L,1,2,Tottenham,0.5,1.7,32,29164,Troy Deeney,4-2-2-2,Graham Scott,Match Report,
2019-02-02,15:00 (23:00),Premier League,Matchweek 25,Sat,Away,D,0,0,Brighton,0.3,1.6,45,30414,Troy Deeney,4-2-2-2,Simon Hooper,Match Report,
2019-02-09,15:00 (23:00),Premier League,Matchweek 26,Sat,Home,W,1,0,Everton,1.3,0.7,44,20333,Troy Deeney,4-2-2-2,Lee Probert,Match Report,
2019-02-15,19:45 (03:45),FA Cup,Fifth round,Fri,Away,W,1,0,QPR,,,58,17212,Troy Deeney,4-2-2-2,Michael Oliver,Match Report,
2019-02-22,19:45 (03:45),Premier League,Matchweek 27,Fri,Away,W,5,1,Cardiff City,2.1,2.0,63,30387,Troy Deeney,4-2-2-2,Simon Hooper,Match Report,
2019-02-27,20:00 (04:00),Premier League,Matchweek 28,Wed,Away,L,0,5,Liverpool,0.3,1.9,38,53316,Troy Deeney,4-2-2-2,Graham Scott,Match Report,
2019-03-03,12:00 (20:00),Premier League,Matchweek 29,Sun,Home,W,2,1,Leicester City,0.8,0.9,39,20062,Troy Deeney,4-2-2-2,Jonathan Moss,Match Report,
2019-03-09,17:30 (01:30),Premier League,Matchweek 30,Sat,Away,L,1,3,Manchester City,0.2,3.4,29,54104,Étienne Capoue,4-5-1,Paul Tierney,Match Report,
2019-03-16,12:15 (20:15),FA Cup,Quarter-finals,Sat,Home,W,2,1,Crystal Palace,,,43,18104,Troy Deeney,4-2-2-2,Kevin Friend,Match Report,
