Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-08-10,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,D,1,1,Bournemouth,1.3,1.3,47,10714,Oliver Norwood,3-5-2,Kevin Friend,Match Report,
2019-08-18,14:00 (21:00),Premier League,Matchweek 2,Sun,Home,W,1,0,Crystal Palace,2.2,0.3,43,30197,Oliver Norwood,3-5-2,David Coote,Match Report,
2019-08-24,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,0.3,0.8,49,30079,Oliver Norwood,3-5-2,Andy Madley,Match Report,
2019-08-27,19:45 (02:45),EFL Cup,Second round,Tue,Home,W,2,1,Blackburn,,,45,9714,Billy Sharp,3-5-2,Geoff Eltringham,Match Report,
2019-08-31,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Chelsea,1.1,2.0,38,40560,Oliver Norwood,3-5-2,Stuart Attwell,Match Report,
2019-09-14,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,L,0,1,Southampton,1.8,1.6,49,30985,Oliver Norwood,3-5-2,Lee Mason,Match Report,
2019-09-21,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,W,2,0,Everton,0.5,1.0,31,39354,Oliver Norwood,3-5-2,Simon Hooper,Match Report,
2019-09-25,19:45 (02:45),EFL Cup,Third round,Wed,Home,L,0,1,Sunderland,,,66,11675,Phil Jagielka,3-5-2,Tim Robinson,Match Report,
2019-09-28,12:30 (19:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Liverpool,1.3,1.9,30,31774,Oliver Norwood,3-5-2,Anthony Taylor,Match Report,
2019-10-05,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,D,0,0,Watford,0.4,1.4,60,20811,Oliver Norwood,3-5-2,Andre Marriner,Match Report,
2019-10-21,20:00 (03:00),Premier League,Matchweek 9,Mon,Home,W,1,0,Arsenal,0.9,1.0,33,30775,Oliver Norwood,3-5-2,Mike Dean,Match Report,
2019-10-26,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,D,1,1,West Ham,1.0,2.3,40,59878,Oliver Norwood,3-5-2,David Coote,Match Report,
2019-11-02,15:00 (23:00),Premier League,Matchweek 11,Sat,Home,W,3,0,Burnley,2.3,0.8,45,31131,Oliver Norwood,3-5-2,Simon Hooper,Match Report,
2019-11-09,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,D,1,1,Tottenham,0.9,1.8,39,59781,Oliver Norwood,3-5-2,Graham Scott,Match Report,
2019-11-24,16:30 (00:30),Premier League,Matchweek 13,Sun,Home,D,3,3,Manchester Utd,1.3,1.3,41,32024,Oliver Norwood,3-5-2,Andre Marriner,Match Report,
2019-12-01,14:00 (22:00),Premier League,Matchweek 14,Sun,Away,D,1,1,Wolves,1.5,1.3,41,31642,Oliver Norwood,3-5-2,David Coote,Match Report,
2019-12-05,19:30 (03:30),Premier League,Matchweek 15,Thu,Home,L,0,2,Newcastle Utd,1.1,0.5,73,30409,Billy Sharp,3-5-2,Stuart Attwell,Match Report,
2019-12-08,14:00 (22:00),Premier League,Matchweek 16,Sun,Away,W,2,1,Norwich City,0.8,0.7,42,26881,Oliver Norwood,3-5-2,Simon Hooper,Match Report,
2019-12-14,15:00 (23:00),Premier League,Matchweek 17,Sat,Home,W,2,0,Aston Villa,1.7,1.1,56,30396,Oliver Norwood,3-5-2,Peter Bankes,Match Report,
2019-12-21,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,W,1,0,Brighton,1.3,0.5,31,30505,Oliver Norwood,3-5-2,Robert Jones,Match Report,
2019-12-26,15:00 (23:00),Premier League,Matchweek 19,Thu,Home,D,1,1,Watford,2.4,0.6,58,30222,Oliver Norwood,3-5-2,David Coote,Match Report,
2019-12-29,18:00 (02:00),Premier League,Matchweek 20,Sun,Away,L,0,2,Manchester City,1.1,1.1,28,54512,Oliver Norwood,3-5-2,Chris Kavanagh,Match Report,
2020-01-02,20:00 (04:00),Premier League,Matchweek 21,Thu,Away,L,0,2,Liverpool,0.6,2.8,26,53321,Oliver Norwood,3-5-2,Paul Tierney,Match Report,
2020-01-05,14:01 (22:01),FA Cup,Third round,Sun,Home,W,2,1,Fylde,,,66,11133,Leon Clarke,3-5-2,Jarred Gillett,Match Report,
2020-01-10,20:00 (04:00),Premier League,Matchweek 22,Fri,Home,W,1,0,West Ham,1.4,0.7,47,30124,Oliver Norwood,3-5-2,Michael Oliver,Match Report,
2020-01-18,15:00 (23:00),Premier League,Matchweek 23,Sat,Away,D,1,1,Arsenal,0.8,1.4,39,60310,Oliver Norwood,3-5-2,Mike Dean,Match Report,
2020-01-21,19:30 (03:30),Premier League,Matchweek 24,Tue,Home,L,0,1,Manchester City,0.8,2.8,34,31285,Billy Sharp,3-5-2,Lee Mason,Match Report,
2020-01-25,15:00 (23:00),FA Cup,Fourth round,Sat,Away,W,2,0,Millwall,,,54,12653,Billy Sharp,3-5-2,Anthony Taylor,Match Report,
2020-02-01,15:00 (23:00),Premier League,Matchweek 25,Sat,Away,W,1,0,Crystal Palace,0.7,0.8,39,25170,Billy Sharp,3-5-2,Andy Madley,Match Report,
2020-02-09,14:00 (22:00),Premier League,Matchweek 26,Sun,Home,W,2,1,Bournemouth,1.9,1.4,55,30361,Billy Sharp,3-5-2,Jonathan Moss,Match Report,
2020-02-22,15:00 (23:00),Premier League,Matchweek 27,Sat,Home,D,1,1,Brighton,1.6,1.2,65,31888,Billy Sharp,3-5-2,Graham Scott,Match Report,
2020-03-03,20:00 (04:00),FA Cup,Fifth round,Tue,Away,W,2,1,Reading,,,54,15129,John Egan,3-5-2,Kevin Friend,Match Report,Required Extra Time
2020-03-07,15:00 (23:00),Premier League,Matchweek 29,Sat,Home,W,1,0,Norwich City,0.9,2.4,42,31379,Billy Sharp,3-5-2,Simon Hooper,Match Report,
2020-06-17,18:00 (01:00),Premier League,Matchweek 28,Wed,Away,D,0,0,Aston Villa,0.3,1.4,54,,Billy Sharp,3-5-2,Michael Oliver,Match Report,
2020-06-21,14:00 (21:00),Premier League,Matchweek 30,Sun,Away,L,0,3,Newcastle Utd,0.6,2.0,54,,Billy Sharp,3-5-2,David Coote,Match Report,
2020-06-24,18:00 (01:00),Premier League,Matchweek 31,Wed,Away,L,0,3,Manchester Utd,0.1,2.4,32,,Oliver Norwood,3-5-2,Anthony Taylor,Match Report,
2020-06-28,13:00 (20:00),FA Cup,Quarter-finals,Sun,Home,L,1,2,Arsenal,,,41,,Oliver Norwood,3-5-2,Paul Tierney,Match Report,
2020-07-02,18:00 (01:00),Premier League,Matchweek 32,Thu,Home,W,3,1,Tottenham,1.6,1.1,33,,Oliver Norwood,3-5-2,Chris Kavanagh,Match Report,
2020-07-05,12:00 (19:00),Premier League,Matchweek 33,Sun,Away,D,1,1,Burnley,1.1,1.3,52,,Oliver Norwood,3-5-2,Peter Bankes,Match Report,
2020-07-08,18:00 (01:00),Premier League,Matchweek 34,Wed,Home,W,1,0,Wolves,0.5,0.4,44,,Billy Sharp,3-5-2,Martin Atkinson,Match Report,
2020-07-11,17:30 (00:30),Premier League,Matchweek 35,Sat,Home,W,3,0,Chelsea,2.3,1.2,24,,Oliver Norwood,3-5-2,Andre Marriner,Match Report,
2020-07-16,18:00 (01:00),Premier League,Matchweek 36,Thu,Away,L,0,2,Leicester City,0.7,2.6,46,,Oliver Norwood,3-5-2,Michael Oliver,Match Report,
2020-07-20,18:00 (01:00),Premier League,Matchweek 37,Mon,Home,L,0,1,Everton,0.5,0.4,51,,Oliver Norwood,3-5-2,Stuart Attwell,Match Report,
2020-07-26,16:00 (23:00),Premier League,Matchweek 38,Sun,Away,L,1,3,Southampton,1.4,1.7,28,,Billy Sharp,3-5-2,Peter Bankes,Match Report,
