Season,Ranking,Team
2009-2010,1,chelsea
2009-2010,2,united
2009-2010,3,arsenal
2009-2010,4,tottenham
2009-2010,5,city
2009-2010,6,aston-villa
2009-2010,7,liverpool
2009-2010,8,everton
2009-2010,9,birmingham
2009-2010,10,blackburn
2009-2010,11,stoke
2009-2010,12,fulham
2009-2010,13,sunderland
2009-2010,14,bolton
2009-2010,15,wolves
2009-2010,16,wigan
2009-2010,17,west-ham
2009-2010,18,burnley
2009-2010,19,hull
2009-2010,20,portsmouth
2009-2010,21,newcastle
2009-2010,22,west-brom
2009-2010,23,blackpool
2010-2011,1,united
2010-2011,2,chelsea
2010-2011,3,city
2010-2011,4,arsenal
2010-2011,5,tottenham
2010-2011,6,liverpool
2010-2011,7,everton
2010-2011,8,fulham
2010-2011,9,aston-villa
2010-2011,10,sunderland
2010-2011,11,west-brom
2010-2011,12,newcastle
2010-2011,13,stoke
2010-2011,14,bolton
2010-2011,15,blackburn
2010-2011,16,wigan
2010-2011,17,wolves
2010-2011,18,birmingham
2010-2011,19,blackpool
2010-2011,20,west-ham
2010-2011,21,qpr
2010-2011,22,norwich
2010-2011,23,swansea
2011-2012,1,city
2011-2012,2,united
2011-2012,3,arsenal
2011-2012,4,tottenham
2011-2012,5,newcastle
2011-2012,6,chelsea
2011-2012,7,everton
2011-2012,8,liverpool
2011-2012,9,fulham
2011-2012,10,west-brom
2011-2012,11,swansea
2011-2012,12,norwich
2011-2012,13,sunderland
2011-2012,14,stoke
2011-2012,15,wigan
2011-2012,16,aston-villa
2011-2012,17,qpr
2011-2012,18,bolton
2011-2012,19,blackburn
2011-2012,20,wolves
2011-2012,21,reading
2011-2012,22,southampton
2011-2012,23,west-ham
2012-2013,1,united
2012-2013,2,city
2012-2013,3,chelsea
2012-2013,4,arsenal
2012-2013,5,tottenham
2012-2013,6,everton
2012-2013,7,liverpool
2012-2013,8,west-brom
2012-2013,9,swansea
2012-2013,10,west-ham
2012-2013,11,norwich
2012-2013,12,fulham
2012-2013,13,stoke
2012-2013,14,southampton
2012-2013,15,aston-villa
2012-2013,16,newcastle
2012-2013,17,sunderland
2012-2013,18,wigan
2012-2013,19,reading
2012-2013,20,qpr
2012-2013,21,cardiff
2012-2013,22,hull
2012-2013,23,palace
2013-2014,1,city
2013-2014,2,liverpool
2013-2014,3,chelsea
2013-2014,4,arsenal
2013-2014,5,everton
2013-2014,6,tottenham
2013-2014,7,united
2013-2014,8,southampton
2013-2014,9,stoke
2013-2014,10,newcastle
2013-2014,11,palace
2013-2014,12,swansea
2013-2014,13,west-ham
2013-2014,14,sunderland
2013-2014,15,aston-villa
