Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2017-08-12,1500 (2200),Premier League,Matchweek 1,Sat,Away,L,0,1,West Brom,0.5,1.3,69,25011,Simon Francis,4-4-1-1,Robert Madley,Match Report,
2017-08-19,1500 (2200),Premier League,Matchweek 2,Sat,Home,L,0,2,Watford,1.0,2.4,55,10501,Andrew Surman,4-4-1-1,Roger East,Match Report,
2017-08-22,1945 (0245),EFL Cup,Second round,Tue,Away,W,2,1,Birmingham City,,,58,8245,Steve Cook,4-4-2,Geoff Eltringham,Match Report,
2017-08-26,1230 (1930),Premier League,Matchweek 3,Sat,Home,L,1,2,Manchester City,0.5,1.4,30,10419,Andrew Surman,5-3-2,Mike Dean,Match Report,
2017-09-09,1500 (2200),Premier League,Matchweek 4,Sat,Away,L,0,3,Arsenal,0.6,2.2,42,59262,Steve Cook,3-5-1-1,Anthony Taylor,Match Report,
2017-09-15,2000 (0300),Premier League,Matchweek 5,Fri,Home,W,2,1,Brighton,1.2,0.9,62,10369,Simon Francis,4-4-1-1,Craig Pawson,Match Report,
2017-09-19,1945 (0245),EFL Cup,Third round,Tue,Home,W,1,0,Brighton,,,60,10372,Simon Francis,4-4-1-1,Kevin Friend,Match Report,Required Extra Time
2017-09-23,1500 (2200),Premier League,Matchweek 6,Sat,Away,L,1,2,Everton,0.3,2.0,49,38133,Simon Francis,4-4-1-1,Martin Atkinson,Match Report,
2017-09-30,1500 (2200),Premier League,Matchweek 7,Sat,Home,D,0,0,Leicester City,1.4,0.6,61,10444,Simon Francis,4-4-1-1,Graham Scott,Match Report,
2017-10-14,1500 (2200),Premier League,Matchweek 8,Sat,Away,L,0,1,Tottenham,0.2,1.8,28,73502,Simon Francis,3-5-1-1,Robert Madley,Match Report,
2017-10-21,1500 (2200),Premier League,Matchweek 9,Sat,Away,W,2,1,Stoke City,1.1,1.2,47,29500,Simon Francis,4-4-1-1,Lee Probert,Match Report,
2017-10-24,1945 (0245),EFL Cup,Fourth round,Tue,Home,W,3,1,Middlesbrough,,,55,10254,Steve Cook,4-4-2,Simon Hooper,Match Report,
2017-10-28,1730 (0030),Premier League,Matchweek 10,Sat,Home,L,0,1,Chelsea,0.5,1.6,42,10998,Simon Francis,3-4-1-2,Craig Pawson,Match Report,
2017-11-04,1500 (2300),Premier League,Matchweek 11,Sat,Away,W,1,0,Newcastle Utd,1.5,0.7,52,52237,Simon Francis,4-4-2,Paul Tierney,Match Report,
2017-11-18,1500 (2300),Premier League,Matchweek 12,Sat,Home,W,4,0,Huddersfield,0.7,1.2,31,10879,Simon Francis,4-4-1-1,Lee Probert,Match Report,
