Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2017-08-12,15:00 (22:00),Premier League,Matchweek 1,Sat,Home,W,1,0,Bournemouth,1.3,0.5,31,25011,Jake Livermore,4-1-4-1,Robert Madley,Match Report,
2017-08-19,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,W,1,0,Burnley,0.9,1.3,34,19619,Jake Livermore,4-1-4-1,Martin Atkinson,Match Report,
2017-08-22,19:45 (02:45),EFL Cup,Second round,Tue,Away,W,3,1,Acc'ton Stanley,,,58,2699,Gareth Barry,4-2-3-1,Jeremy Simpson,Match Report,
2017-08-27,13:30 (20:30),Premier League,Matchweek 3,Sun,Home,D,1,1,Stoke City,0.8,1.3,43,22704,Jake Livermore,4-2-3-1,Anthony Taylor,Match Report,
2017-09-09,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,L,1,3,Brighton,1.0,0.4,52,30381,Jonny Evans,4-1-4-1,Chris Kavanagh,Match Report,
2017-09-16,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,D,0,0,West Ham,0.7,0.3,37,24942,Jonny Evans,4-2-3-1,Paul Tierney,Match Report,
2017-09-20,20:00 (03:00),EFL Cup,Third round,Wed,Home,L,1,2,Manchester City,,,34,14953,Jonny Evans,5-3-2,Mike Jones,Match Report,
2017-09-25,20:00 (03:00),Premier League,Matchweek 6,Mon,Away,L,0,2,Arsenal,0.9,2.2,31,59134,Gareth Barry,3-5-2,Robert Madley,Match Report,
2017-09-30,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,D,2,2,Watford,1.9,1.4,35,24606,Jonny Evans,4-2-3-1,Michael Oliver,Match Report,
2017-10-16,20:00 (03:00),Premier League,Matchweek 8,Mon,Away,D,1,1,Leicester City,0.2,1.3,43,30203,Jonny Evans,4-3-3,Mike Dean,Match Report,
2017-10-21,17:30 (00:30),Premier League,Matchweek 9,Sat,Away,L,0,1,Southampton,0.4,2.0,35,29947,Jonny Evans,4-5-1,Graham Scott,Match Report,
2017-10-28,15:00 (22:00),Premier League,Matchweek 10,Sat,Home,L,2,3,Manchester City,1.5,2.3,23,24003,Jonny Evans,3-5-2,Mike Jones,Match Report,
2017-11-04,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,L,0,1,Huddersfield,0.4,0.3,50,24169,Jonny Evans,3-5-2,Roger East,Match Report,
2017-11-18,15:00 (23:00),Premier League,Matchweek 12,Sat,Home,L,0,4,Chelsea,0.8,1.6,39,23592,Jonny Evans,3-5-2,Jonathan Moss,Match Report,
2017-11-25,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,D,1,1,Tottenham,0.7,1.8,28,65905,Jonny Evans,3-5-2,Mike Jones,Match Report,
2017-11-28,20:00 (04:00),Premier League,Matchweek 14,Tue,Home,D,2,2,Newcastle Utd,1.5,0.9,48,25534,Jonny Evans,3-5-2,Lee Probert,Match Report,
2017-12-02,15:00 (23:00),Premier League,Matchweek 15,Sat,Home,D,0,0,Crystal Palace,1.9,0.6,51,23531,Jonny Evans,4-3-3,Michael Oliver,Match Report,
2017-12-09,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,L,0,1,Swansea City,0.3,1.5,46,19580,Jonny Evans,4-4-2,Mike Dean,Match Report,
2017-12-13,20:00 (04:00),Premier League,Matchweek 17,Wed,Away,D,0,0,Liverpool,0.4,2.1,30,53243,Jonny Evans,4-5-1,Paul Tierney,Match Report,
2017-12-17,14:15 (22:15),Premier League,Matchweek 18,Sun,Home,L,1,2,Manchester Utd,1.1,0.7,44,24782,Jonny Evans,4-3-3,Anthony Taylor,Match Report,
2017-12-23,15:00 (23:00),Premier League,Matchweek 19,Sat,Away,L,1,3,Stoke City,2.0,1.4,57,29057,Jonny Evans,4-4-2,Niel Swarbrick,Match Report,
