Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2017-08-12,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Crystal Palace,1.5,1.1,45,25448,Tommy Smith,4-2-3-1,Jonathan Moss,Match Report,
2017-08-20,13:30 (20:30),Premier League,Matchweek 2,Sun,Home,W,1,0,Newcastle Utd,0.3,0.7,52,24128,Tommy Smith,4-2-3-1,Craig Pawson,Match Report,
2017-08-23,19:45 (02:45),EFL Cup,Second round,Wed,Home,W,2,1,Rotherham Utd,,,59,8290,Christopher Schindler,4-2-3-1,Peter Bankes,Match Report,
2017-08-26,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,D,0,0,Southampton,1.4,0.7,45,23548,Tommy Smith,4-2-3-1,Stuart Attwell,Match Report,
2017-09-11,20:00 (03:00),Premier League,Matchweek 4,Mon,Away,L,0,2,West Ham,0.4,1.7,56,56977,Tommy Smith,4-2-3-1,Kevin Friend,Match Report,
2017-09-16,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,D,1,1,Leicester City,0.7,1.3,59,24129,Tommy Smith,4-2-3-1,Jonathan Moss,Match Report,
2017-09-19,19:45 (02:45),EFL Cup,Third round,Tue,Away,L,0,1,Crystal Palace,,,59,6607,Jonathan Hogg,4-2-3-1,Lee Probert,Match Report,
2017-09-23,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,D,0,0,Burnley,0.3,0.3,48,20759,Tommy Smith,4-2-3-1,Chris Kavanagh,Match Report,
2017-09-30,12:30 (19:30),Premier League,Matchweek 7,Sat,Home,L,0,4,Tottenham,0.2,1.5,41,24169,Tommy Smith,4-2-3-1,Niel Swarbrick,Match Report,
2017-10-14,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,L,0,2,Swansea City,0.7,1.5,59,20657,Tommy Smith,4-2-3-1,Paul Tierney,Match Report,
2017-10-21,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,W,2,1,Manchester Utd,1.2,0.8,23,24426,Tommy Smith,4-2-3-1,Lee Mason,Match Report,
2017-10-28,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,L,0,3,Liverpool,0.1,2.1,28,53268,Tommy Smith,4-5-1,Kevin Friend,Match Report,
2017-11-04,15:00 (23:00),Premier League,Matchweek 11,Sat,Home,W,1,0,West Brom,0.3,0.4,50,24169,Jonathan Hogg,4-4-1-1,Roger East,Match Report,
2017-11-18,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,L,0,4,Bournemouth,1.2,0.7,69,10879,Aaron Mooy,4-2-3-1,Lee Probert,Match Report,
2017-11-26,16:00 (00:00),Premier League,Matchweek 13,Sun,Home,L,1,2,Manchester City,0.6,2.6,22,24121,Tommy Smith,4-5-1,Craig Pawson,Match Report,
2017-11-29,19:45 (03:45),Premier League,Matchweek 14,Wed,Away,L,0,5,Arsenal,0.5,4.0,31,59285,Jonathan Hogg,3-4-3,Graham Scott,Match Report,
2017-12-02,15:00 (23:00),Premier League,Matchweek 15,Sat,Away,L,0,2,Everton,0.3,0.7,53,39167,Tommy Smith,4-2-3-1,Chris Kavanagh,Match Report,
2017-12-09,15:00 (23:00),Premier League,Matchweek 16,Sat,Home,W,2,0,Brighton,2.2,0.3,58,24018,Tommy Smith,4-2-3-1,Stuart Attwell,Match Report,
2017-12-12,20:00 (04:00),Premier League,Matchweek 17,Tue,Home,L,1,3,Chelsea,0.7,1.5,36,24169,Tommy Smith,4-5-1,Andre Marriner,Match Report,
2017-12-16,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,W,4,1,Watford,3.4,0.6,40,20026,Jonathan Hogg,4-4-2,Michael Oliver,Match Report,
2017-12-23,15:00 (23:00),Premier League,Matchweek 19,Sat,Away,D,1,1,Southampton,1.1,1.3,47,29675,Christopher Schindler,4-2-3-1,Lee Probert,Match Report,
2017-12-26,15:00 (23:00),Premier League,Matchweek 20,Tue,Home,D,1,1,Stoke City,1.8,1.6,59,24047,Tommy Smith,4-2-3-1,Anthony Taylor,Match Report,
2017-12-30,15:00 (23:00),Premier League,Matchweek 21,Sat,Home,D,0,0,Burnley,0.1,1.2,56,24095,Christopher Schindler,4-2-3-1,Paul Tierney,Match Report,
2018-01-01,15:00 (23:00),Premier League,Matchweek 22,Mon,Away,L,0,3,Leicester City,0.2,1.5,48,31748,Tommy Smith,4-2-3-1,Graham Scott,Match Report,
2018-01-06,15:00 (23:00),FA Cup,Third round,Sat,Away,W,2,1,Bolton,,,62,11574,Tommy Smith,4-4-2,Roger East,Match Report,
2018-01-13,15:00 (23:00),Premier League,Matchweek 23,Sat,Home,L,1,4,West Ham,0.7,0.9,63,24105,Tommy Smith,4-2-3-1,Jonathan Moss,Match Report,
2018-01-20,15:00 (23:00),Premier League,Matchweek 24,Sat,Away,L,0,2,Stoke City,0.3,1.0,51,29785,Jonathan Hogg,4-2-3-1,Michael Oliver,Match Report,
2018-01-27,15:00 (23:00),FA Cup,Fourth round,Sat,Home,D,1,1,Birmingham City,,,64,12683,Jonathan Hogg,4-2-3-1,Niel Swarbrick,Match Report,
2018-01-30,20:00 (04:00),Premier League,Matchweek 25,Tue,Home,L,0,3,Liverpool,0.3,1.8,26,24121,Jonathan Hogg,5-3-2,Kevin Friend,Match Report,
