Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2017-08-12,12:30 (19:30),Premier League,Matchweek 1,Sat,Home,D,3,3,Liverpool,2.1,2.6,46,20407,Heurelho Gomes,4-3-3,Anthony Taylor,Match Report,
2017-08-19,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,W,2,0,Bournemouth,2.4,1.0,45,10501,Heurelho Gomes,4-3-3,Roger East,Match Report,
2017-08-22,19:45 (02:45),EFL Cup,Second round,Tue,Home,L,2,3,Bristol City,,,62,9003,Troy Deeney,4-2-3-1,Tim Robinson,Match Report,
2017-08-26,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,D,0,0,Brighton,0.3,1.1,43,20181,Heurelho Gomes,4-3-3,Graham Scott,Match Report,
2017-09-09,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,W,2,0,Southampton,0.7,0.3,47,31435,Heurelho Gomes,4-2-3-1,Lee Probert,Match Report,
2017-09-16,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,L,0,6,Manchester City,0.5,3.3,33,20305,Heurelho Gomes,4-2-3-1,Anthony Taylor,Match Report,
2017-09-23,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,W,2,1,Swansea City,1.2,1.7,49,20372,Heurelho Gomes,4-2-3-1,Lee Mason,Match Report,
2017-09-30,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,D,2,2,West Brom,1.4,1.9,65,24606,Troy Deeney,4-2-3-1,Michael Oliver,Match Report,
2017-10-14,17:30 (00:30),Premier League,Matchweek 8,Sat,Home,W,2,1,Arsenal,1.6,1.0,46,20384,Heurelho Gomes,3-4-3,Niel Swarbrick,Match Report,
2017-10-21,12:30 (19:30),Premier League,Matchweek 9,Sat,Away,L,2,4,Chelsea,1.9,1.9,48,41467,Troy Deeney,3-4-3,Jonathan Moss,Match Report,
2017-10-28,15:00 (22:00),Premier League,Matchweek 10,Sat,Home,L,0,1,Stoke City,1.2,1.1,69,20087,Troy Deeney,4-2-3-1,Michael Oliver,Match Report,
2017-11-05,16:30 (00:30),Premier League,Matchweek 11,Sun,Away,L,2,3,Everton,2.0,2.1,62,38609,Heurelho Gomes,4-3-3,Graham Scott,Match Report,
2017-11-19,16:00 (00:00),Premier League,Matchweek 12,Sun,Home,W,2,0,West Ham,1.0,1.6,58,20018,Heurelho Gomes,3-4-3,Andre Marriner,Match Report,
2017-11-25,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,W,3,0,Newcastle Utd,2.0,0.9,47,52188,Heurelho Gomes,3-4-3,Chris Kavanagh,Match Report,
2017-11-28,20:00 (04:00),Premier League,Matchweek 14,Tue,Home,L,2,4,Manchester Utd,1.4,1.2,59,20552,Heurelho Gomes,3-5-2,Jonathan Moss,Match Report,
2017-12-02,15:00 (23:00),Premier League,Matchweek 15,Sat,Home,D,1,1,Tottenham,0.4,0.8,50,20278,Heurelho Gomes,3-4-3,Martin Atkinson,Match Report,
2017-12-09,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,L,0,1,Burnley,1.1,0.5,51,19479,Troy Deeney,4-2-3-1,Lee Probert,Match Report,
2017-12-12,20:00 (04:00),Premier League,Matchweek 17,Tue,Away,L,1,2,Crystal Palace,1.2,1.2,47,23566,Troy Deeney,3-4-3,Lee Mason,Match Report,
2017-12-16,15:00 (23:00),Premier League,Matchweek 18,Sat,Home,L,1,4,Huddersfield,0.6,3.4,60,20026,Troy Deeney,3-4-3,Michael Oliver,Match Report,
2017-12-23,15:00 (23:00),Premier League,Matchweek 19,Sat,Away,L,0,1,Brighton,1.5,1.1,49,30473,Heurelho Gomes,4-2-3-1,Paul Tierney,Match Report,
2017-12-26,15:00 (23:00),Premier League,Matchweek 20,Tue,Home,W,2,1,Leicester City,1.2,1.3,49,20308,Heurelho Gomes,4-3-3,Chris Kavanagh,Match Report,
2017-12-30,15:00 (23:00),Premier League,Matchweek 21,Sat,Home,L,1,2,Swansea City,1.2,1.1,51,20002,Heurelho Gomes,4-2-3-1,Martin Atkinson,Match Report,
2018-01-02,20:00 (04:00),Premier League,Matchweek 22,Tue,Away,L,1,3,Manchester City,1.0,2.1,24,53556,Heurelho Gomes,4-2-3-1,Lee Mason,Match Report,
