Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-07-26,19:45 (02:45),Europa Lg,Second qualifying round,Thu,Away,D,1,1,sct Aberdeen,,,,20313,Ben Mee,4-1-4-1,Daniel Siebert,Match Report,Leg 1 of 2
2018-08-02,19:45 (02:45),Europa Lg,Second qualifying round,Thu,Home,W,3,1,sct Aberdeen,,,,17404,Ben Mee,4-4-2,Massimiliano Irrati,Match Report,Leg 2 of 2; Burnley won; Required Extra Time
2018-08-09,21:00 (02:00),Europa Lg,Third qualifying round,Thu,Away,D,0,0,tr Başakşehir,,,,4503,Ben Mee,4-3-2-1,Srđan Jovanović,Match Report,Leg 1 of 2
2018-08-12,13:30 (20:30),Premier League,Matchweek 1,Sun,Away,D,0,0,Southampton,1.4,1.1,52,30784,Ben Mee,4-4-1-1,Graham Scott,Match Report,
2018-08-16,19:45 (02:45),Europa Lg,Third qualifying round,Thu,Home,W,1,0,tr Başakşehir,,,,16583,Ashley Westwood,4-4-2◆,István Kovács,Match Report,Leg 2 of 2; Burnley won; Required Extra Time
2018-08-19,13:30 (20:30),Premier League,Matchweek 2,Sun,Home,L,1,3,Watford,0.6,1.5,58,18822,Ben Mee,4-4-1-1,Paul Tierney,Match Report,
2018-08-23,21:00 (02:00),Europa Lg,Play-off round,Thu,Away,L,1,3,gr Olympiacos,,,,25010,Tom Heaton,4-4-2,Slavko Vinčič,Match Report,Leg 1 of 2
2018-08-26,16:00 (23:00),Premier League,Matchweek 3,Sun,Away,L,2,4,Fulham,1.5,1.3,37,23438,Ben Mee,4-4-1-1,David Coote,Match Report,
2018-08-30,19:45 (02:45),Europa Lg,Play-off round,Thu,Home,D,1,1,gr Olympiacos,,,,15234,Tom Heaton,4-4-2,Viktor Kassai,Match Report,Leg 2 of 2; Olympiacos won
2018-09-02,16:00 (23:00),Premier League,Matchweek 4,Sun,Home,L,0,2,Manchester Utd,0.8,2.5,47,21525,Ben Mee,4-4-1-1,Jonathan Moss,Match Report,
2018-09-16,13:30 (20:30),Premier League,Matchweek 5,Sun,Away,L,0,1,Wolves,0.3,2.6,41,30406,Ben Mee,4-4-2,Andre Marriner,Match Report,
2018-09-22,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,W,4,0,Bournemouth,2.1,1.0,38,18636,Ben Mee,4-4-1-1,Anthony Taylor,Match Report,
2018-09-25,19:45 (02:45),EFL Cup,Third round,Tue,Away,L,1,2,Burton Albion,,,54,2449,Tom Heaton,4-4-2,Robert Jones,Match Report,
2018-09-30,16:00 (23:00),Premier League,Matchweek 7,Sun,Away,W,2,1,Cardiff City,0.3,1.7,46,30411,Ben Mee,4-4-1-1,Martin Atkinson,Match Report,
2018-10-06,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,D,1,1,Huddersfield,0.4,1.0,33,20533,Ben Mee,4-4-2,Chris Kavanagh,Match Report,
2018-10-20,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,L,0,5,Manchester City,0.4,4.0,31,54094,Ben Mee,4-4-1-1,Jonathan Moss,Match Report,
2018-10-28,13:30 (21:30),Premier League,Matchweek 10,Sun,Home,L,0,4,Chelsea,0.4,2.6,31,21430,Ben Mee,4-4-1-1,Craig Pawson,Match Report,
2018-11-03,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,L,2,4,West Ham,1.1,2.4,37,56862,Ben Mee,4-4-1-1,Roger East,Match Report,
2018-11-10,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,D,0,0,Leicester City,0.4,1.8,38,32184,Ben Mee,4-4-2,Mike Dean,Match Report,
2018-11-26,20:30 (04:30),Premier League,Matchweek 13,Mon,Home,L,1,2,Newcastle Utd,1.8,1.6,57,20628,Ben Mee,4-4-2,Anthony Taylor,Match Report,
2018-12-01,15:00 (23:00),Premier League,Matchweek 14,Sat,Away,L,0,2,Crystal Palace,0.7,1.6,42,25098,Ben Mee,4-4-1-1,Lee Probert,Match Report,
2018-12-05,19:45 (03:45),Premier League,Matchweek 15,Wed,Home,L,1,3,Liverpool,0.9,2.4,27,21741,Ben Mee,4-4-2,Stuart Attwell,Match Report,
2018-12-08,15:00 (23:00),Premier League,Matchweek 16,Sat,Home,W,1,0,Brighton,1.4,1.0,38,18497,Ben Mee,4-4-2,Martin Atkinson,Match Report,
2018-12-15,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,L,0,1,Tottenham,0.5,1.7,30,41645,Ben Mee,5-4-1,Graham Scott,Match Report,
2018-12-22,12:30 (20:30),Premier League,Matchweek 18,Sat,Away,L,1,3,Arsenal,1.2,1.6,40,59493,Ben Mee,5-3-2,Kevin Friend,Match Report,
2018-12-26,15:00 (23:00),Premier League,Matchweek 19,Wed,Home,L,1,5,Everton,2.0,1.5,49,21484,Ben Mee,5-3-2,Michael Oliver,Match Report,
2018-12-30,14:15 (22:15),Premier League,Matchweek 20,Sun,Home,W,2,0,West Ham,2.7,0.8,43,20933,Tom Heaton,4-4-2,David Coote,Match Report,
2019-01-02,19:45 (03:45),Premier League,Matchweek 21,Wed,Away,W,2,1,Huddersfield,2.4,0.9,57,23715,Tom Heaton,4-4-2,Mike Dean,Match Report,
2019-01-05,12:30 (20:30),FA Cup,Third round,Sat,Home,W,1,0,Barnsley,,,48,11053,James Tarkowski,4-4-2,Simon Hooper,Match Report,
2019-01-12,15:00 (23:00),Premier League,Matchweek 22,Sat,Home,W,2,1,Fulham,0.8,0.8,42,19316,Tom Heaton,4-4-2,Martin Atkinson,Match Report,
2019-01-19,15:00 (23:00),Premier League,Matchweek 23,Sat,Away,D,0,0,Watford,1.8,1.3,46,19510,Tom Heaton,4-4-2,Michael Oliver,Match Report,
2019-01-26,15:00 (23:00),FA Cup,Fourth round,Sat,Away,L,0,5,Manchester City,,,25,50121,James Tarkowski,5-4-1,Graham Scott,Match Report,
2019-01-29,20:00 (04:00),Premier League,Matchweek 24,Tue,Away,D,2,2,Manchester Utd,0.8,3.1,27,74529,Tom Heaton,4-4-2,Jonathan Moss,Match Report,
2019-02-02,15:00 (23:00),Premier League,Matchweek 25,Sat,Home,D,1,1,Southampton,2.4,0.7,55,19787,Tom Heaton,4-4-2,Anthony Taylor,Match Report,
2019-02-09,17:30 (01:30),Premier League,Matchweek 26,Sat,Away,W,3,1,Brighton,2.1,1.1,32,29323,Tom Heaton,4-4-2,Stuart Attwell,Match Report,
2019-02-23,12:30 (20:30),Premier League,Matchweek 27,Sat,Home,W,2,1,Tottenham,1.2,0.9,32,21338,Tom Heaton,4-4-2,Mike Dean,Match Report,
2019-02-26,20:00 (04:00),Premier League,Matchweek 28,Tue,Away,L,0,2,Newcastle Utd,1.6,1.4,46,48323,Tom Heaton,4-4-2,Craig Pawson,Match Report,
2019-03-02,15:00 (23:00),Premier League,Matchweek 29,Sat,Home,L,1,3,Crystal Palace,2.1,0.5,57,19223,Tom Heaton,4-4-2,Lee Probert,Match Report,
2019-03-10,12:00 (20:00),Premier League,Matchweek 30,Sun,Away,L,2,4,Liverpool,0.4,4.0,33,53310,Tom Heaton,4-4-2,Andre Marriner,Match Report,
2019-03-16,15:00 (23:00),Premier League,Matchweek 31,Sat,Home,L,1,2,Leicester City,1.0,0.9,62,20719,Tom Heaton,4-4-2,Michael Oliver,Match Report,
2019-03-30,15:00 (23:00),Premier League,Matchweek 32,Sat,Home,W,2,0,Wolves,0.5,0.5,38,20990,Tom Heaton,4-4-2,Chris Kavanagh,Match Report,
