Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-11,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,L,0,2,Bournemouth,1.4,2.2,37,10353,Sean Morrison,4-1-4-1,Kevin Friend,Match Report,
2018-08-18,12:30 (19:30),Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,0.9,1.6,51,30720,Sean Morrison,4-3-3,Craig Pawson,Match Report,
2018-08-25,15:00 (22:00),Premier League,Matchweek 3,Sat,Away,D,0,0,Huddersfield,0.9,0.2,43,21193,Sean Morrison,4-1-4-1,Michael Oliver,Match Report,
2018-08-28,19:45 (02:45),EFL Cup,Second round,Tue,Home,L,1,3,Norwich City,,,51,6953,Bruno Ecuele Manga,3-5-2,Andy Madley,Match Report,
2018-09-02,13:30 (20:30),Premier League,Matchweek 4,Sun,Home,L,2,3,Arsenal,1.0,1.7,28,32316,Sean Morrison,4-4-2,Anthony Taylor,Match Report,
2018-09-15,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,L,1,4,Chelsea,0.7,2.6,24,40499,Sean Morrison,4-4-1-1,Jonathan Moss,Match Report,
2018-09-22,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,L,0,5,Manchester City,0.1,2.5,22,32321,Sean Morrison,4-4-1-1,Michael Oliver,Match Report,
2018-09-30,16:00 (23:00),Premier League,Matchweek 7,Sun,Home,L,1,2,Burnley,1.7,0.3,54,30411,Sean Morrison,4-4-1-1,Martin Atkinson,Match Report,
2018-10-06,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,L,0,1,Tottenham,1.2,2.0,25,43268,Sean Morrison,4-1-4-1,Mike Dean,Match Report,
2018-10-20,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,W,4,2,Fulham,1.5,0.7,41,29681,Sean Morrison,4-4-1-1,Kevin Friend,Match Report,
2018-10-27,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,L,1,4,Liverpool,0.8,2.4,22,53373,Sean Morrison,4-4-1-1,Stuart Attwell,Match Report,
2018-11-03,15:00 (23:00),Premier League,Matchweek 11,Sat,Home,L,0,1,Leicester City,0.9,2.1,41,30877,Sean Morrison,4-4-1-1,Lee Probert,Match Report,
2018-11-10,12:30 (20:30),Premier League,Matchweek 12,Sat,Home,W,2,1,Brighton,2.1,0.5,60,29402,Sean Morrison,4-1-4-1,Martin Atkinson,Match Report,
2018-11-24,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,L,0,1,Everton,1.0,2.1,30,39139,Sean Morrison,4-1-4-1,Paul Tierney,Match Report,
2018-11-30,20:00 (04:00),Premier League,Matchweek 14,Fri,Home,W,2,1,Wolves,1.0,0.8,48,30213,Sean Morrison,3-1-4-2,Andre Marriner,Match Report,
2018-12-04,19:45 (03:45),Premier League,Matchweek 15,Tue,Away,L,1,3,West Ham,2.1,1.7,40,56811,Sean Morrison,4-1-4-1,Graham Scott,Match Report,
2018-12-08,15:00 (23:00),Premier League,Matchweek 16,Sat,Home,W,1,0,Southampton,1.5,0.7,37,30067,Sean Morrison,4-1-4-1,Jonathan Moss,Match Report,
2018-12-15,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,L,2,3,Watford,0.9,1.4,29,20032,Sean Morrison,4-1-4-1,Andy Madley,Match Report,
2018-12-22,17:30 (01:30),Premier League,Matchweek 18,Sat,Home,L,1,5,Manchester Utd,1.4,2.8,27,33028,Sean Morrison,4-1-4-1,Michael Oliver,Match Report,
2018-12-26,15:00 (23:00),Premier League,Matchweek 19,Wed,Away,D,0,0,Crystal Palace,0.9,2.1,38,25206,Sean Morrison,5-4-1,Lee Probert,Match Report,
2018-12-29,15:00 (23:00),Premier League,Matchweek 20,Sat,Away,W,1,0,Leicester City,0.6,1.8,38,32047,Sean Morrison,4-1-4-1,Simon Hooper,Match Report,
2019-01-01,17:30 (01:30),Premier League,Matchweek 21,Tue,Home,L,0,3,Tottenham,0.9,1.1,28,32485,Sean Morrison,4-1-4-1,Kevin Friend,Match Report,
2019-01-05,15:00 (23:00),FA Cup,Third round,Sat,Away,L,0,1,Gillingham,,,58,7090,Sean Morrison,4-4-2,Tim Robinson,Match Report,
2019-01-12,15:00 (23:00),Premier League,Matchweek 22,Sat,Home,D,0,0,Huddersfield,0.1,0.5,39,30725,Sean Morrison,4-1-4-1,Lee Mason,Match Report,
2019-01-19,15:00 (23:00),Premier League,Matchweek 23,Sat,Away,L,0,3,Newcastle Utd,0.3,2.0,46,49864,Sol Bamba,4-4-2,Stuart Attwell,Match Report,
2019-01-29,19:45 (03:45),Premier League,Matchweek 24,Tue,Away,L,1,2,Arsenal,0.8,2.6,30,59933,Sol Bamba,3-5-2,Mike Dean,Match Report,
2019-02-02,17:30 (01:30),Premier League,Matchweek 25,Sat,Home,W,2,0,Bournemouth,2.1,0.5,27,31939,Sol Bamba,4-1-4-1,Jonathan Moss,Match Report,
2019-02-09,15:00 (23:00),Premier League,Matchweek 26,Sat,Away,W,2,1,Southampton,0.8,1.5,34,31438,Sol Bamba,3-4-1-2,Martin Atkinson,Match Report,
2019-02-22,19:45 (03:45),Premier League,Matchweek 27,Fri,Home,L,1,5,Watford,2.0,2.1,37,30387,Sean Morrison,3-4-3,Simon Hooper,Match Report,
2019-02-26,19:45 (03:45),Premier League,Matchweek 28,Tue,Home,L,0,3,Everton,0.3,1.0,34,31849,Sean Morrison,4-4-1-1,Kevin Friend,Match Report,
2019-03-02,15:00 (23:00),Premier League,Matchweek 29,Sat,Away,L,0,2,Wolves,0.6,2.8,44,31309,Sean Morrison,4-1-2-1-2◆,Andre Marriner,Match Report,
2019-03-09,15:00 (23:00),Premier League,Matchweek 30,Sat,Home,W,2,0,West Ham,3.5,0.3,30,32458,Sean Morrison,4-2-3-1,Graham Scott,Match Report,
2019-03-31,14:05 (21:05),Premier League,Matchweek 32,Sun,Home,L,1,2,Chelsea,0.5,1.8,30,32657,Sean Morrison,4-2-3-1,Craig Pawson,Match Report,
2019-04-03,19:45 (02:45),Premier League,Matchweek 33,Wed,Away,L,0,2,Manchester City,0.1,3.2,21,53559,Sean Morrison,4-4-1-1,Jonathan Moss,Match Report,
2019-04-13,15:00 (22:00),Premier League,Matchweek 34,Sat,Away,L,0,2,Burnley,0.9,2.6,53,21480,Sean Morrison,4-2-3-1,Mike Dean,Match Report,
2019-04-16,19:45 (02:45),Premier League,Matchweek 31,Tue,Away,W,2,0,Brighton,0.9,0.6,36,30226,Sean Morrison,4-2-3-1,Andre Marriner,Match Report,
2019-04-21,16:00 (23:00),Premier League,Matchweek 35,Sun,Home,L,0,2,Liverpool,1.1,3.0,25,33082,Sean Morrison,4-1-4-1,Martin Atkinson,Match Report,
2019-04-27,15:00 (22:00),Premier League,Matchweek 36,Sat,Away,L,0,1,Fulham,1.1,0.5,29,23822,Sean Morrison,4-2-3-1,Chris Kavanagh,Match Report,
2019-05-04,17:30 (00:30),Premier League,Matchweek 37,Sat,Home,L,2,3,Crystal Palace,1.9,1.6,40,32133,Sean Morrison,4-4-1-1,Michael Oliver,Match Report,
2019-05-12,15:00 (22:00),Premier League,Matchweek 38,Sun,Away,W,2,0,Manchester Utd,1.6,1.5,27,74457,Sean Morrison,4-4-1-1,Jonathan Moss,Match Report,
