Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-10,20:00 (03:00),Premier League,Matchweek 1,Fri,Away,L,1,2,Manchester Utd,1.8,1.5,53,74439,Wes Morgan,4-2-3-1,Andre Marriner,Match Report,
2018-08-18,15:00 (22:00),Premier League,Matchweek 2,Sat,Home,W,2,0,Wolves,0.2,1.1,43,32043,Kasper Schmeichel,4-2-3-1,Mike Dean,Match Report,
2018-08-25,15:00 (22:00),Premier League,Matchweek 3,Sat,Away,W,2,1,Southampton,0.6,0.5,48,29925,Wes Morgan,4-2-3-1,Jonathan Moss,Match Report,
2018-08-28,19:45 (02:45),EFL Cup,Second round,Tue,Home,W,4,0,Fleetwood Town,,,69,10671,Wes Morgan,3-5-2,Lee Mason,Match Report,
2018-09-01,12:30 (19:30),Premier League,Matchweek 4,Sat,Home,L,1,2,Liverpool,1.0,1.0,51,32149,Wes Morgan,4-2-3-1,Paul Tierney,Match Report,
2018-09-15,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,L,2,4,Bournemouth,2.3,2.3,53,10543,Wes Morgan,4-2-3-1,Craig Pawson,Match Report,
2018-09-22,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,W,3,1,Huddersfield,1.7,0.7,61,31676,Kasper Schmeichel,4-2-3-1,David Coote,Match Report,
2018-09-25,19:45 (02:45),EFL Cup,Third round,Tue,Away,D,0 (3),0 (1),Wolves,,,44,21562,Wes Morgan,4-4-2,Paul Tierney,Match Report,Leicester City won on penalty kicks following extra time
2018-09-29,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,W,2,0,Newcastle Utd,1.3,0.4,59,51523,Wes Morgan,4-2-3-1,Simon Hooper,Match Report,
2018-10-06,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,L,1,2,Everton,0.9,1.3,52,32007,Wes Morgan,4-2-3-1,Andre Marriner,Match Report,
2018-10-22,20:00 (03:00),Premier League,Matchweek 9,Mon,Away,L,1,3,Arsenal,0.5,2.7,32,59886,Kasper Schmeichel,3-4-1-2,Chris Kavanagh,Match Report,
2018-10-27,17:30 (00:30),Premier League,Matchweek 10,Sat,Home,D,1,1,West Ham,1.7,1.4,64,31848,Kasper Schmeichel,4-2-3-1,Michael Oliver,Match Report,
2018-11-03,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,W,1,0,Cardiff City,2.1,0.9,59,30877,Wes Morgan,4-2-3-1,Lee Probert,Match Report,
2018-11-10,15:00 (23:00),Premier League,Matchweek 12,Sat,Home,D,0,0,Burnley,1.8,0.4,62,32184,Wes Morgan,4-2-3-1,Mike Dean,Match Report,
2018-11-24,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,D,1,1,Brighton,1.2,1.0,46,30553,Wes Morgan,4-2-3-1,Chris Kavanagh,Match Report,
2018-11-27,19:45 (03:45),EFL Cup,Fourth round,Tue,Home,D,0 (6),0 (5),Southampton,,,43,22150,Jamie Vardy,4-4-2,Roger East,Match Report,Leicester City won on penalty kicks following extra time
2018-12-01,15:00 (23:00),Premier League,Matchweek 14,Sat,Home,W,2,0,Watford,1.3,1.2,38,31353,Wes Morgan,4-2-3-1,Graham Scott,Match Report,
2018-12-05,19:45 (03:45),Premier League,Matchweek 15,Wed,Away,D,1,1,Fulham,1.2,1.4,54,22881,Wes Morgan,4-2-3-1,David Coote,Match Report,
2018-12-08,19:45 (03:45),Premier League,Matchweek 16,Sat,Home,L,0,2,Tottenham,0.4,0.9,43,31957,Wes Morgan,4-3-3,Craig Pawson,Match Report,
2018-12-15,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,L,0,1,Crystal Palace,1.0,0.5,56,24738,Wes Morgan,4-2-3-1,Michael Oliver,Match Report,
2018-12-18,19:45 (03:45),EFL Cup,Quarter-finals,Tue,Home,D,1 (1),1 (3),Manchester City,,,34,24644,Harry Maguire,4-5-1,Lee Mason,Match Report,Manchester City won on penalty kicks following extra time
2018-12-22,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,W,1,0,Chelsea,0.5,2.4,28,40558,Wes Morgan,4-3-3,Lee Probert,Match Report,
2018-12-26,15:00 (23:00),Premier League,Matchweek 19,Wed,Home,W,2,1,Manchester City,1.3,1.4,34,32090,Wes Morgan,4-3-3,Mike Dean,Match Report,
2018-12-29,15:00 (23:00),Premier League,Matchweek 20,Sat,Home,L,0,1,Cardiff City,1.8,0.6,62,32047,Kasper Schmeichel,4-2-3-1,Simon Hooper,Match Report,
2019-01-01,12:30 (20:30),Premier League,Matchweek 21,Tue,Away,W,1,0,Everton,0.6,1.0,41,39052,Kasper Schmeichel,4-3-3,Martin Atkinson,Match Report,
2019-01-06,16:30 (00:30),FA Cup,Third round,Sun,Away,L,1,2,Newport County,,,70,6705,Wes Morgan,4-2-3-1,Chris Kavanagh,Match Report,
2019-01-12,15:00 (23:00),Premier League,Matchweek 22,Sat,Home,L,1,2,Southampton,1.7,1.5,71,31491,Wes Morgan,4-3-3,Michael Oliver,Match Report,
2019-01-19,12:30 (20:30),Premier League,Matchweek 23,Sat,Away,L,3,4,Wolves,1.9,1.9,54,31278,Wes Morgan,4-2-3-1,Chris Kavanagh,Match Report,
2019-01-30,20:00 (04:00),Premier League,Matchweek 24,Wed,Away,D,1,1,Liverpool,1.1,0.6,28,53092,Kasper Schmeichel,4-4-1-1,Martin Atkinson,Match Report,
2019-02-03,14:05 (22:05),Premier League,Matchweek 25,Sun,Home,L,0,1,Manchester Utd,1.5,1.3,45,32148,Kasper Schmeichel,4-2-3-1,Mike Dean,Match Report,
2019-02-10,13:30 (21:30),Premier League,Matchweek 26,Sun,Away,L,1,3,Tottenham,3.3,1.1,47,44154,Kasper Schmeichel,4-1-4-1,Michael Oliver,Match Report,
2019-02-23,17:30 (01:30),Premier League,Matchweek 27,Sat,Home,L,1,4,Crystal Palace,1.2,1.7,64,31778,Kasper Schmeichel,4-3-3,Anthony Taylor,Match Report,
2019-02-26,19:45 (03:45),Premier League,Matchweek 28,Tue,Home,W,2,1,Brighton,1.8,1.2,49,30558,Kasper Schmeichel,4-3-3,Lee Probert,Match Report,
2019-03-03,12:00 (20:00),Premier League,Matchweek 29,Sun,Away,L,1,2,Watford,0.9,0.8,61,20062,Wes Morgan,3-4-3,Jonathan Moss,Match Report,
2019-03-09,15:00 (23:00),Premier League,Matchweek 30,Sat,Home,W,3,1,Fulham,2.0,0.2,52,32017,Kasper Schmeichel,4-3-3,David Coote,Match Report,
2019-03-16,15:00 (23:00),Premier League,Matchweek 31,Sat,Away,W,2,1,Burnley,0.9,1.0,38,20719,Kasper Schmeichel,4-1-4-1,Michael Oliver,Match Report,
2019-03-30,15:00 (23:00),Premier League,Matchweek 32,Sat,Home,W,2,0,Bournemouth,1.3,0.8,58,31530,Wes Morgan,4-1-4-1,Lee Mason,Match Report,
2019-04-06,15:00 (22:00),Premier League,Matchweek 33,Sat,Away,W,4,1,Huddersfield,3.5,1.7,55,24126,Wes Morgan,4-1-4-1,David Coote,Match Report,
2019-04-12,20:00 (03:00),Premier League,Matchweek 34,Fri,Home,L,0,1,Newcastle Utd,1.0,1.1,71,32108,Wes Morgan,4-1-4-1,Chris Kavanagh,Match Report,
2019-04-20,15:00 (22:00),Premier League,Matchweek 35,Sat,Away,D,2,2,West Ham,0.9,1.2,51,59960,Kasper Schmeichel,4-4-1-1,Lee Probert,Match Report,
2019-04-28,12:00 (19:00),Premier League,Matchweek 36,Sun,Home,W,3,0,Arsenal,3.3,0.6,66,32037,Kasper Schmeichel,4-1-4-1,Michael Oliver,Match Report,
2019-05-06,20:00 (03:00),Premier League,Matchweek 37,Mon,Away,L,0,1,Manchester City,0.5,1.0,39,54506,Kasper Schmeichel,4-5-1,Mike Dean,Match Report,
2019-05-12,15:00 (22:00),Premier League,Matchweek 38,Sun,Home,D,0,0,Chelsea,0.4,1.5,47,32140,Kasper Schmeichel,4-1-4-1,Anthony Taylor,Match Report,
