Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-12,13:30 (20:30),Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,4.0,0.7,64,53235,James Milner,4-3-3,Anthony Taylor,Match Report,
2018-08-20,20:00 (03:00),Premier League,Matchweek 2,Mon,Away,W,2,0,Crystal Palace,2.6,0.4,63,25750,James Milner,4-3-3,Michael Oliver,Match Report,
2018-08-25,17:30 (00:30),Premier League,Matchweek 3,Sat,Home,W,1,0,Brighton,1.6,0.6,69,53294,James Milner,4-3-3,Chris Kavanagh,Match Report,
2018-09-01,12:30 (19:30),Premier League,Matchweek 4,Sat,Away,W,2,1,Leicester City,1.0,1.0,49,32149,Jordan Henderson,4-3-3,Paul Tierney,Match Report,
2018-09-15,12:30 (19:30),Premier League,Matchweek 5,Sat,Away,W,2,1,Tottenham,2.6,1.0,40,80188,James Milner,4-3-3,Michael Oliver,Match Report,
2018-09-18,20:00 (03:00),Champions Lg,Group stage,Tue,Home,W,3,2,fr Paris S-G,2.3,0.8,53,52478,Jordan Henderson,4-3-3,Baris Şimşek,Match Report,
2018-09-22,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,W,3,0,Southampton,1.7,0.3,61,50965,Jordan Henderson,4-2-3-1,Paul Tierney,Match Report,
2018-09-26,19:45 (02:45),EFL Cup,Third round,Wed,Home,L,1,2,Chelsea,,,46,45503,James Milner,4-3-3,Kevin Friend,Match Report,
2018-09-29,17:30 (00:30),Premier League,Matchweek 7,Sat,Away,D,1,1,Chelsea,1.6,1.1,53,40625,Jordan Henderson,4-3-3,Andre Marriner,Match Report,
2018-10-03,21:00 (03:00),Champions Lg,Group stage,Wed,Away,L,0,1,it Napoli,0.1,1.9,43,37057,James Milner,4-3-3,Sándor Andó-Szabó,Match Report,
2018-10-07,16:30 (23:30),Premier League,Matchweek 8,Sun,Home,D,0,0,Manchester City,0.4,1.0,49,52117,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,
2018-10-20,17:30 (00:30),Premier League,Matchweek 9,Sat,Away,W,1,0,Huddersfield,0.6,0.7,52,24263,Jordan Henderson,4-3-3,Michael Oliver,Match Report,
2018-10-24,20:00 (03:00),Champions Lg,Group stage,Wed,Home,W,4,0,rs Red Star,5.0,0.5,65,53024,Virgil van Dijk,4-2-3-1,Daniel Siebert,Match Report,
2018-10-27,15:00 (22:00),Premier League,Matchweek 10,Sat,Home,W,4,1,Cardiff City,2.4,0.8,78,53373,Virgil van Dijk,4-2-3-1,Stuart Attwell,Match Report,
2018-11-03,17:30 (01:30),Premier League,Matchweek 11,Sat,Away,D,1,1,Arsenal,1.3,1.4,39,59993,James Milner,4-3-3,Andre Marriner,Match Report,
2018-11-06,18:55 (01:55),Champions Lg,Group stage,Tue,Away,L,0,2,rs Red Star,2.2,0.7,72,51318,James Milner,4-3-3,Antonio Matéu Lahoz,Match Report,
2018-11-11,12:00 (20:00),Premier League,Matchweek 12,Sun,Home,W,2,0,Fulham,1.8,0.5,71,53128,Virgil van Dijk,4-2-3-1,Paul Tierney,Match Report,
2018-11-24,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,W,3,0,Watford,1.2,0.4,63,20540,Jordan Henderson,4-2-3-1,Jonathan Moss,Match Report,
2018-11-28,21:00 (04:00),Champions Lg,Group stage,Wed,Away,L,1,2,fr Paris S-G,1.3,1.5,56,46880,Jordan Henderson,4-3-3,Tomasz Musiał,Match Report,
2018-12-02,16:15 (00:15),Premier League,Matchweek 14,Sun,Home,W,1,0,Everton,2.9,1.1,58,51756,Virgil van Dijk,4-2-3-1,Chris Kavanagh,Match Report,
2018-12-05,19:45 (03:45),Premier League,Matchweek 15,Wed,Away,W,3,1,Burnley,2.4,0.9,73,21741,Jordan Henderson,4-4-2,Stuart Attwell,Match Report,
2018-12-08,12:30 (20:30),Premier League,Matchweek 16,Sat,Away,W,4,0,Bournemouth,1.6,0.3,59,10752,James Milner,4-4-2,Lee Mason,Match Report,
2018-12-11,20:00 (04:00),Champions Lg,Group stage,Tue,Home,W,1,0,it Napoli,3.0,1.2,48,52015,Jordan Henderson,4-3-3,Damir Skomina,Match Report,
2018-12-16,16:00 (00:00),Premier League,Matchweek 17,Sun,Home,W,3,1,Manchester Utd,2.5,0.7,64,52908,Virgil van Dijk,4-4-1-1,Martin Atkinson,Match Report,
2018-12-21,20:00 (04:00),Premier League,Matchweek 18,Fri,Away,W,2,0,Wolves,1.9,0.9,61,31358,Jordan Henderson,4-2-3-1,Craig Pawson,Match Report,
2018-12-26,15:00 (23:00),Premier League,Matchweek 19,Wed,Home,W,4,0,Newcastle Utd,2.9,0.5,74,53318,Jordan Henderson,4-2-3-1,Graham Scott,Match Report,
