Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-12,13:30 (20:30),Premier League,Matchweek 1,Sun,Home,D,0,0,Burnley,1.1,1.4,48,30784,Ryan Bertrand,3-4-3,Graham Scott,Match Report,
2018-08-18,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,L,1,2,Everton,1.7,1.5,43,38601,Ryan Bertrand,4-4-2,Lee Mason,Match Report,
2018-08-25,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,0.5,0.6,52,29925,Ryan Bertrand,4-4-2,Jonathan Moss,Match Report,
2018-08-28,19:45 (02:45),EFL Cup,Second round,Tue,Away,W,1,0,Brighton,,,52,13651,Steven Davis,4-2-3-1,Andre Marriner,Match Report,
2018-09-01,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,W,2,0,Crystal Palace,2.7,2.4,50,25495,Ryan Bertrand,4-4-2,Martin Atkinson,Match Report,
2018-09-17,20:00 (03:00),Premier League,Matchweek 5,Mon,Home,D,2,2,Brighton,2.0,1.4,51,28811,Ryan Bertrand,4-4-2,Anthony Taylor,Match Report,
2018-09-22,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,L,0,3,Liverpool,0.3,1.7,39,50965,Ryan Bertrand,4-1-4-1,Paul Tierney,Match Report,
2018-09-29,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Wolves,0.8,1.6,51,31147,Ryan Bertrand,4-4-2,Stuart Attwell,Match Report,
2018-10-02,19:45 (02:45),EFL Cup,Third round,Tue,Away,D,1 (4),1 (3),Everton,,,48,30545,Maya Yoshida,3-4-1-2,Chris Kavanagh,Match Report,Everton won on penalty kicks following extra time
2018-10-07,14:15 (21:15),Premier League,Matchweek 8,Sun,Home,L,0,3,Chelsea,1.6,2.9,35,27077,Ryan Bertrand,3-4-3,Craig Pawson,Match Report,
2018-10-20,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,D,0,0,Bournemouth,0.5,0.9,42,10986,Ryan Bertrand,4-4-2,Lee Probert,Match Report,
2018-10-27,15:00 (22:00),Premier League,Matchweek 10,Sat,Home,D,0,0,Newcastle Utd,1.1,0.4,50,30736,Ryan Bertrand,4-4-2,Chris Kavanagh,Match Report,
2018-11-04,15:00 (23:00),Premier League,Matchweek 11,Sun,Away,L,1,6,Manchester City,2.0,2.2,34,53916,Ryan Bertrand,4-3-2-1,Lee Mason,Match Report,
2018-11-10,15:00 (23:00),Premier League,Matchweek 12,Sat,Home,D,1,1,Watford,1.1,1.2,42,28153,Ryan Bertrand,4-2-3-1,Simon Hooper,Match Report,
2018-11-24,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,L,2,3,Fulham,1.3,1.3,62,24603,Pierre Højbjerg,4-2-3-1,Michael Oliver,Match Report,
2018-11-27,19:45 (03:45),EFL Cup,Fourth round,Tue,Away,D,0 (5),0 (6),Leicester City,,,57,22150,Pierre Højbjerg,3-5-2,Roger East,Match Report,Leicester City won on penalty kicks following extra time
2018-12-01,17:30 (01:30),Premier League,Matchweek 14,Sat,Home,D,2,2,Manchester Utd,0.7,1.1,40,30187,Pierre Højbjerg,3-4-1-2,Kevin Friend,Match Report,
2018-12-05,20:00 (04:00),Premier League,Matchweek 15,Wed,Away,L,1,3,Tottenham,1.7,1.6,48,33012,Steven Davis,4-2-3-1,Anthony Taylor,Match Report,
2018-12-08,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,L,0,1,Cardiff City,0.7,1.5,63,30067,Pierre Højbjerg,4-3-2-1,Jonathan Moss,Match Report,
2018-12-16,13:30 (21:30),Premier League,Matchweek 17,Sun,Home,W,3,2,Arsenal,1.3,1.9,34,29497,Pierre Højbjerg,3-4-3,Chris Kavanagh,Match Report,
2018-12-22,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,W,3,1,Huddersfield,2.5,0.8,38,22384,Pierre Højbjerg,3-4-3,Stuart Attwell,Match Report,
2018-12-27,19:45 (03:45),Premier League,Matchweek 19,Thu,Home,L,1,2,West Ham,1.2,1.2,46,31654,Oriol Romeu,3-4-3,Craig Pawson,Match Report,
2018-12-30,14:15 (22:15),Premier League,Matchweek 20,Sun,Home,L,1,3,Manchester City,0.2,2.5,24,31381,Pierre Højbjerg,4-3-2-1,Paul Tierney,Match Report,
2019-01-02,19:45 (03:45),Premier League,Matchweek 21,Wed,Away,D,0,0,Chelsea,0.2,0.9,29,40668,Oriol Romeu,5-4-1,Jonathan Moss,Match Report,
