Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-08-10,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,L,0,3,Burnley,1.2,0.9,53,19784,James Ward-Prowse,3-4-3,Graham Scott,Match Report,
2019-08-17,15:00 (22:00),Premier League,Matchweek 2,Sat,Home,L,1,2,Liverpool,1.9,1.3,37,31712,Pierre Højbjerg,3-5-2,Andre Marriner,Match Report,
2019-08-24,15:00 (22:00),Premier League,Matchweek 3,Sat,Away,W,2,0,Brighton,1.7,0.8,49,30019,Pierre Højbjerg,4-2-2-2,Kevin Friend,Match Report,
2019-08-27,19:45 (02:45),EFL Cup,Second round,Tue,Away,W,1,0,Fulham,,,40,8467,Pierre Højbjerg,4-2-2-2,Robert Jones,Match Report,
2019-08-31,12:30 (19:30),Premier League,Matchweek 4,Sat,Home,D,1,1,Manchester Utd,0.9,1.5,41,30499,Pierre Højbjerg,4-2-2-2,Mike Dean,Match Report,
2019-09-14,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,W,1,0,Sheffield Utd,1.6,1.8,51,30985,Pierre Højbjerg,3-4-3,Lee Mason,Match Report,
2019-09-20,20:00 (03:00),Premier League,Matchweek 6,Fri,Home,L,1,3,Bournemouth,2.5,1.2,65,30168,Pierre Højbjerg,4-2-2-2,Chris Kavanagh,Match Report,
2019-09-24,19:45 (02:45),EFL Cup,Third round,Tue,Away,W,4,0,Portsmouth,,,62,18707,Pierre Højbjerg,4-3-3,Kevin Friend,Match Report,
2019-09-28,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,L,1,2,Tottenham,1.5,1.0,58,59645,Pierre Højbjerg,3-4-1-2,Graham Scott,Match Report,
2019-10-06,14:00 (21:00),Premier League,Matchweek 8,Sun,Home,L,1,4,Chelsea,1.4,1.7,43,31473,Pierre Højbjerg,4-3-3,Paul Tierney,Match Report,
2019-10-19,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,D,1,1,Wolves,1.4,0.9,43,30915,Pierre Højbjerg,3-4-3,Peter Bankes,Match Report,
2019-10-25,20:00 (03:00),Premier League,Matchweek 10,Fri,Home,L,0,9,Leicester City,0.3,4.6,28,28762,Pierre Højbjerg,3-5-2,Andre Marriner,Match Report,
2019-10-29,19:45 (03:45),EFL Cup,Fourth round,Tue,Away,L,1,3,Manchester City,,,23,37143,Pierre Højbjerg,5-3-2,Jonathan Moss,Match Report,
2019-11-02,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,L,1,2,Manchester City,0.9,2.9,25,53922,Pierre Højbjerg,5-3-2,Lee Mason,Match Report,
2019-11-09,15:00 (23:00),Premier League,Matchweek 12,Sat,Home,L,1,2,Everton,0.9,1.8,47,29754,James Ward-Prowse,3-4-3,Paul Tierney,Match Report,
2019-11-23,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,D,2,2,Arsenal,2.4,1.8,39,60295,Pierre Højbjerg,4-4-2,Stuart Attwell,Match Report,
2019-11-30,17:30 (01:30),Premier League,Matchweek 14,Sat,Home,W,2,1,Watford,2.1,0.6,63,26929,Pierre Højbjerg,4-4-2,Michael Oliver,Match Report,
2019-12-04,19:30 (03:30),Premier League,Matchweek 15,Wed,Home,W,2,1,Norwich City,1.7,0.9,40,27019,Pierre Højbjerg,4-4-2,Kevin Friend,Match Report,
2019-12-08,14:00 (22:00),Premier League,Matchweek 16,Sun,Away,L,1,2,Newcastle Utd,1.7,0.9,54,42303,Pierre Højbjerg,4-4-2,David Coote,Match Report,
2019-12-14,17:30 (01:30),Premier League,Matchweek 17,Sat,Home,L,0,1,West Ham,0.9,0.9,57,27701,Pierre Højbjerg,4-4-2,Martin Atkinson,Match Report,
2019-12-21,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,W,3,1,Aston Villa,2.8,1.1,44,41834,Pierre Højbjerg,4-4-2,Craig Pawson,Match Report,
2019-12-26,15:00 (23:00),Premier League,Matchweek 19,Thu,Away,W,2,0,Chelsea,1.1,0.7,34,40651,Pierre Højbjerg,4-4-2,Jonathan Moss,Match Report,
2019-12-28,15:00 (23:00),Premier League,Matchweek 20,Sat,Home,D,1,1,Crystal Palace,1.4,0.3,59,31108,Pierre Højbjerg,4-4-2,Andy Madley,Match Report,
2020-01-01,15:00 (23:00),Premier League,Matchweek 21,Wed,Home,W,1,0,Tottenham,1.3,0.9,41,30976,Pierre Højbjerg,4-4-2,Mike Dean,Match Report,
2020-01-04,15:01 (23:01),FA Cup,Third round,Sat,Home,W,2,0,Huddersfield,,,64,20091,James Ward-Prowse,4-4-2,Tim Robinson,Match Report,
2020-01-11,15:00 (23:00),Premier League,Matchweek 22,Sat,Away,W,2,1,Leicester City,2.1,0.7,43,32115,Pierre Højbjerg,4-4-2,Lee Mason,Match Report,
2020-01-18,15:00 (23:00),Premier League,Matchweek 23,Sat,Home,L,2,3,Wolves,0.7,2.4,53,31152,Pierre Højbjerg,4-4-2,Darren England,Match Report,
2020-01-21,19:30 (03:30),Premier League,Matchweek 24,Tue,Away,W,2,0,Crystal Palace,1.1,0.6,55,23739,Pierre Højbjerg,4-4-2,Andre Marriner,Match Report,
