Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-08-10,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,D,0,0,Crystal Palace,1.1,0.9,64,25151,Séamus Coleman,4-2-3-1,Jonathan Moss,Match Report,
2019-08-17,15:00 (22:00),Premier League,Matchweek 2,Sat,Home,W,1,0,Watford,0.7,1.2,44,39066,Séamus Coleman,4-2-3-1,Lee Mason,Match Report,
2019-08-23,20:00 (03:00),Premier League,Matchweek 3,Fri,Away,L,0,2,Aston Villa,1.3,1.0,64,41922,Séamus Coleman,4-2-3-1,Michael Oliver,Match Report,
2019-08-28,19:45 (02:45),EFL Cup,Second round,Wed,Away,W,4,2,Lincoln City,,,75,9971,Gylfi Sigurðsson,4-2-3-1,Darren Bond,Match Report,
2019-09-01,14:00 (21:00),Premier League,Matchweek 4,Sun,Home,W,3,2,Wolves,1.3,2.0,58,39374,Séamus Coleman,4-2-3-1,Anthony Taylor,Match Report,
2019-09-15,14:00 (21:00),Premier League,Matchweek 5,Sun,Away,L,1,3,Bournemouth,1.5,1.4,59,10416,Séamus Coleman,4-2-3-1,Paul Tierney,Match Report,
2019-09-21,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,L,0,2,Sheffield Utd,1.0,0.5,69,39354,Séamus Coleman,4-2-3-1,Simon Hooper,Match Report,
2019-09-24,19:45 (02:45),EFL Cup,Third round,Tue,Away,W,2,0,Sheffield Weds,,,62,21485,Lucas Digne,4-2-3-1,Jeremy Simpson,Match Report,
2019-09-28,17:30 (00:30),Premier League,Matchweek 7,Sat,Home,L,1,3,Manchester City,2.4,2.8,37,39222,Séamus Coleman,4-2-3-1,Michael Oliver,Match Report,
2019-10-05,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,L,0,1,Burnley,1.3,0.6,58,20650,Séamus Coleman,4-2-3-1,Graham Scott,Match Report,
2019-10-19,12:30 (19:30),Premier League,Matchweek 9,Sat,Home,W,2,0,West Ham,2.1,0.8,51,39263,Lucas Digne,4-2-3-1,Paul Tierney,Match Report,
2019-10-26,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,L,2,3,Brighton,0.9,1.2,45,30529,Lucas Digne,4-2-3-1,Andy Madley,Match Report,
2019-10-29,19:45 (03:45),EFL Cup,Fourth round,Tue,Home,W,2,0,Watford,,,60,34979,Séamus Coleman,4-2-3-1,Simon Hooper,Match Report,
2019-11-03,16:30 (00:30),Premier League,Matchweek 11,Sun,Home,D,1,1,Tottenham,1.1,0.6,47,39001,Lucas Digne,4-1-4-1,Martin Atkinson,Match Report,
2019-11-09,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,W,2,1,Southampton,1.8,0.9,53,29754,Gylfi Sigurðsson,4-2-3-1,Paul Tierney,Match Report,
2019-11-23,15:00 (23:00),Premier League,Matchweek 13,Sat,Home,L,0,2,Norwich City,0.9,1.7,57,39241,Gylfi Sigurðsson,4-2-3-1,Anthony Taylor,Match Report,
2019-12-01,16:30 (00:30),Premier League,Matchweek 14,Sun,Away,L,1,2,Leicester City,1.1,2.2,32,32144,Gylfi Sigurðsson,3-4-3,Graham Scott,Match Report,
2019-12-04,20:15 (04:15),Premier League,Matchweek 15,Wed,Away,L,2,5,Liverpool,1.5,2.0,42,53094,Gylfi Sigurðsson,5-4-1,Mike Dean,Match Report,
2019-12-07,12:30 (20:30),Premier League,Matchweek 16,Sat,Home,W,3,1,Chelsea,1.8,1.1,31,39114,Gylfi Sigurðsson,4-4-2,Craig Pawson,Match Report,
2019-12-15,14:00 (22:00),Premier League,Matchweek 17,Sun,Away,D,1,1,Manchester Utd,0.3,1.4,34,63328,Séamus Coleman,4-4-2,Michael Oliver,Match Report,
2019-12-18,19:45 (03:45),EFL Cup,Quarter-finals,Wed,Home,D,2 (2),2 (4),Leicester City,,,44,39027,Séamus Coleman,4-4-2,Jonathan Moss,Match Report,Leicester City won on penalty kicks following extra time
2019-12-21,12:30 (20:30),Premier League,Matchweek 18,Sat,Home,D,0,0,Arsenal,0.5,0.6,43,39336,Gylfi Sigurðsson,4-4-2,Kevin Friend,Match Report,
2019-12-26,15:00 (23:00),Premier League,Matchweek 19,Thu,Home,W,1,0,Burnley,1.4,0.3,67,39177,Séamus Coleman,3-4-1-2,Anthony Taylor,Match Report,
2019-12-28,15:00 (23:00),Premier League,Matchweek 20,Sat,Away,W,2,1,Newcastle Utd,2.9,1.8,57,52211,Leighton Baines,4-4-2,Lee Mason,Match Report,
2020-01-01,17:30 (01:30),Premier League,Matchweek 21,Wed,Away,L,1,2,Manchester City,1.0,1.5,35,54407,Séamus Coleman,3-5-2,Andre Marriner,Match Report,
2020-01-05,16:01 (00:01),FA Cup,Third round,Sun,Away,L,0,1,Liverpool,,,43,52583,Séamus Coleman,3-4-3,Jonathan Moss,Match Report,
2020-01-11,15:00 (23:00),Premier League,Matchweek 22,Sat,Home,W,1,0,Brighton,1.7,1.3,53,38772,Gylfi Sigurðsson,4-4-2,David Coote,Match Report,
2020-01-18,15:00 (23:00),Premier League,Matchweek 23,Sat,Away,D,1,1,West Ham,1.7,1.3,50,59915,Séamus Coleman,4-4-2,Andre Marriner,Match Report,
2020-01-21,19:30 (03:30),Premier League,Matchweek 24,Tue,Home,D,2,2,Newcastle Utd,1.8,1.3,55,38822,Lucas Digne,4-4-2,Simon Hooper,Match Report,
2020-02-01,15:00 (23:00),Premier League,Matchweek 25,Sat,Away,W,3,2,Watford,2.2,0.9,55,21229,Gylfi Sigurðsson,4-4-2,Craig Pawson,Match Report,
2020-02-08,12:30 (20:30),Premier League,Matchweek 26,Sat,Home,W,3,1,Crystal Palace,2.5,1.1,47,38987,Séamus Coleman,4-4-2,David Coote,Match Report,
2020-02-23,16:30 (00:30),Premier League,Matchweek 27,Sun,Away,L,2,3,Arsenal,2.7,1.3,49,60296,Leighton Baines,4-4-2,Stuart Attwell,Match Report,
2020-03-01,14:00 (22:00),Premier League,Matchweek 28,Sun,Home,D,1,1,Manchester Utd,2.1,1.1,44,39374,Séamus Coleman,4-4-2,Chris Kavanagh,Match Report,
2020-03-08,14:00 (22:00),Premier League,Matchweek 29,Sun,Away,L,0,4,Chelsea,0.5,1.8,40,40694,Gylfi Sigurðsson,4-4-2,Kevin Friend,Match Report,
2020-06-21,19:00 (02:00),Premier League,Matchweek 30,Sun,Home,D,0,0,Liverpool,0.9,0.7,31,,Séamus Coleman,4-4-2,Mike Dean,Match Report,
2020-06-24,18:00 (01:00),Premier League,Matchweek 31,Wed,Away,W,1,0,Norwich City,0.8,0.4,53,,Séamus Coleman,4-4-2,Andy Madley,Match Report,
2020-07-01,18:00 (01:00),Premier League,Matchweek 32,Wed,Home,W,2,1,Leicester City,1.2,1.8,35,,Séamus Coleman,4-4-2,David Coote,Match Report,
2020-07-06,20:00 (03:00),Premier League,Matchweek 33,Mon,Away,L,0,1,Tottenham,0.5,0.5,48,,Séamus Coleman,4-4-2,Graham Scott,Match Report,
