Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-08-11,14:00 (21:00),Premier League,Matchweek 1,Sun,Home,D,0,0,Wolves,0.7,0.7,69,32015,Kasper Schmeichel,4-1-4-1,Andre Marriner,Match Report,
2019-08-18,16:30 (23:30),Premier League,Matchweek 2,Sun,Away,D,1,1,Chelsea,0.8,1.1,50,40629,Kasper Schmeichel,4-1-4-1,Oliver Langford,Match Report,
2019-08-24,15:00 (22:00),Premier League,Matchweek 3,Sat,Away,W,2,1,Sheffield Utd,0.8,0.3,51,30079,Kasper Schmeichel,4-3-3,Andy Madley,Match Report,
2019-08-28,19:45 (02:45),EFL Cup,Second round,Wed,Away,D,1 (4),1 (2),Newcastle Utd,,,68,22727,Wes Morgan,4-4-1-1,Tim Robinson,Match Report,Leicester City won on penalty kicks following extra time
2019-08-31,15:00 (22:00),Premier League,Matchweek 4,Sat,Home,W,3,1,Bournemouth,2.0,0.6,55,31613,Kasper Schmeichel,4-1-4-1,Peter Bankes,Match Report,
2019-09-14,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester Utd,0.6,1.2,58,73689,Kasper Schmeichel,4-1-4-1,Martin Atkinson,Match Report,
2019-09-21,12:30 (19:30),Premier League,Matchweek 6,Sat,Home,W,2,1,Tottenham,1.3,1.1,44,32129,Kasper Schmeichel,4-1-4-1,Paul Tierney,Match Report,
2019-09-24,19:45 (02:45),EFL Cup,Third round,Tue,Away,W,4,0,Luton Town,,,70,8260,Wes Morgan,4-1-4-1,Matt Donohue,Match Report,
2019-09-29,16:30 (23:30),Premier League,Matchweek 7,Sun,Home,W,5,0,Newcastle Utd,1.6,0.1,68,32168,Kasper Schmeichel,4-1-4-1,Craig Pawson,Match Report,
2019-10-05,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,L,1,2,Liverpool,0.1,3.5,49,53322,Kasper Schmeichel,4-1-4-1,Chris Kavanagh,Match Report,
