Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-08-09,20:00 (03:00),Premier League,Matchweek 1,Fri,Away,L,1,4,Liverpool,0.9,1.8,43,53333,Grant Hanley,4-2-3-1,Michael Oliver,Match Report,
2019-08-17,15:00 (22:00),Premier League,Matchweek 2,Sat,Home,W,3,1,Newcastle Utd,1.7,0.9,63,27059,Grant Hanley,4-2-3-1,Stuart Attwell,Match Report,
2019-08-24,12:30 (19:30),Premier League,Matchweek 3,Sat,Home,L,2,3,Chelsea,1.1,1.5,46,27032,Grant Hanley,4-2-3-1,Martin Atkinson,Match Report,
2019-08-27,19:45 (02:45),EFL Cup,Second round,Tue,Away,L,0,1,Crawley Town,,,75,5109,Timm Klose,4-2-3-1,John Busby,Match Report,
2019-08-31,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,L,0,2,West Ham,1.4,1.9,52,59950,Christoph Zimmermann,4-2-3-1,Paul Tierney,Match Report,
2019-09-14,17:30 (00:30),Premier League,Matchweek 5,Sat,Home,W,3,2,Manchester City,1.5,2.3,32,27035,Alexander Tettey,4-2-3-1,Kevin Friend,Match Report,
2019-09-21,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,L,0,2,Burnley,0.8,2.0,58,19712,Alexander Tettey,4-2-3-1,David Coote,Match Report,
2019-09-28,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,L,0,2,Crystal Palace,0.7,1.5,55,25477,Ben Godfrey,4-2-3-1,Jonathan Moss,Match Report,
2019-10-05,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,L,1,5,Aston Villa,2.6,3.0,57,27045,Ben Godfrey,4-2-3-1,Andy Madley,Match Report,
2019-10-19,15:00 (22:00),Premier League,Matchweek 9,Sat,Away,D,0,0,Bournemouth,0.4,0.7,52,10669,Alexander Tettey,4-1-4-1,Lee Mason,Match Report,
2019-10-27,16:30 (00:30),Premier League,Matchweek 10,Sun,Home,L,1,3,Manchester Utd,1.0,4.2,46,27108,Alexander Tettey,4-1-4-1,Stuart Attwell,Match Report,
2019-11-02,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,L,0,2,Brighton,0.4,2.7,42,30539,Alexander Tettey,4-2-3-1,Kevin Friend,Match Report,
2019-11-08,20:00 (04:00),Premier League,Matchweek 12,Fri,Home,L,0,2,Watford,0.7,1.3,66,27074,Alexander Tettey,4-2-3-1,Andre Marriner,Match Report,
2019-11-23,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,W,2,0,Everton,1.7,0.9,43,39241,Alexander Tettey,4-2-3-1,Anthony Taylor,Match Report,
2019-12-01,14:00 (22:00),Premier League,Matchweek 14,Sun,Home,D,2,2,Arsenal,0.8,1.9,40,27067,Christoph Zimmermann,4-2-3-1,Paul Tierney,Match Report,
2019-12-04,19:30 (03:30),Premier League,Matchweek 15,Wed,Away,L,1,2,Southampton,0.9,1.7,60,27019,Christoph Zimmermann,4-2-3-1,Kevin Friend,Match Report,
2019-12-08,14:00 (22:00),Premier League,Matchweek 16,Sun,Home,L,1,2,Sheffield Utd,0.7,0.8,58,26881,Alexander Tettey,4-2-3-1,Simon Hooper,Match Report,
2019-12-14,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,D,1,1,Leicester City,1.1,1.1,43,32101,Alexander Tettey,4-2-3-1,Andy Madley,Match Report,
2019-12-21,15:00 (23:00),Premier League,Matchweek 18,Sat,Home,L,1,2,Wolves,1.3,1.4,50,27053,Grant Hanley,4-2-3-1,Peter Bankes,Match Report,
2019-12-26,15:00 (23:00),Premier League,Matchweek 19,Thu,Away,L,0,1,Aston Villa,1.2,0.6,57,41289,Grant Hanley,4-2-3-1,Chris Kavanagh,Match Report,
2019-12-28,17:30 (01:30),Premier League,Matchweek 20,Sat,Home,D,2,2,Tottenham,0.2,1.9,42,27072,Grant Hanley,4-2-3-1,Kevin Friend,Match Report,
2020-01-01,17:30 (01:30),Premier League,Matchweek 21,Wed,Home,D,1,1,Crystal Palace,1.4,1.3,41,27021,Grant Hanley,4-2-3-1,Jonathan Moss,Match Report,
2020-01-04,15:01 (23:01),FA Cup,Third round,Sat,Away,W,4,2,Preston,,,52,7616,Christoph Zimmermann,4-2-3-1,Martin Atkinson,Match Report,
2020-01-11,15:00 (23:00),Premier League,Matchweek 22,Sat,Away,L,0,4,Manchester Utd,0.3,2.9,40,73271,Grant Hanley,4-2-3-1,Anthony Taylor,Match Report,
2020-01-18,15:00 (23:00),Premier League,Matchweek 23,Sat,Home,W,1,0,Bournemouth,1.8,0.7,65,26781,Alexander Tettey,4-2-3-1,Paul Tierney,Match Report,
2020-01-22,19:30 (03:30),Premier League,Matchweek 24,Wed,Away,L,1,2,Tottenham,1.5,2.1,49,58182,Grant Hanley,4-2-3-1,Chris Kavanagh,Match Report,
2020-01-25,15:00 (23:00),FA Cup,Fourth round,Sat,Away,W,2,1,Burnley,,,51,8071,Grant Hanley,4-2-3-1,Michael Oliver,Match Report,
2020-02-01,15:00 (23:00),Premier League,Matchweek 25,Sat,Away,D,0,0,Newcastle Utd,2.2,1.0,56,52204,Grant Hanley,4-2-3-1,Martin Atkinson,Match Report,
2020-02-15,17:30 (01:30),Premier League,Matchweek 26,Sat,Home,L,0,1,Liverpool,0.3,2.0,37,27110,Grant Hanley,4-2-3-1,Stuart Attwell,Match Report,
2020-02-23,14:00 (22:00),Premier League,Matchweek 27,Sun,Away,L,0,3,Wolves,0.4,2.9,60,31046,Grant Hanley,4-2-3-1,Chris Kavanagh,Match Report,
2020-02-28,20:00 (04:00),Premier League,Matchweek 28,Fri,Home,W,1,0,Leicester City,0.6,1.3,43,27010,Grant Hanley,4-2-3-1,Craig Pawson,Match Report,
2020-03-04,19:45 (03:45),FA Cup,Fifth round,Wed,Away,D,1 (3),1 (2),Tottenham,,,50,58007,Grant Hanley,4-2-3-1,Paul Tierney,Match Report,Norwich City won on penalty kicks following extra time
2020-03-07,15:00 (23:00),Premier League,Matchweek 29,Sat,Away,L,0,1,Sheffield Utd,2.4,0.9,58,31379,Grant Hanley,4-2-3-1,Simon Hooper,Match Report,
2020-06-19,18:00 (01:00),Premier League,Matchweek 30,Fri,Home,L,0,3,Southampton,0.6,1.7,54,,Timm Klose,4-4-2,Kevin Friend,Match Report,
2020-06-24,18:00 (01:00),Premier League,Matchweek 31,Wed,Home,L,0,1,Everton,0.4,0.8,47,,Alexander Tettey,4-2-3-1,Andy Madley,Match Report,
2020-06-27,17:30 (00:30),FA Cup,Quarter-finals,Sat,Home,L,1,2,Manchester Utd,,,34,,Alexander Tettey,3-4-3,Jonathan Moss,Match Report,Required Extra Time
2020-07-01,18:00 (01:00),Premier League,Matchweek 32,Wed,Away,L,0,4,Arsenal,0.3,1.5,49,,Alexander Tettey,4-1-4-1,Peter Bankes,Match Report,
2020-07-04,12:30 (19:30),Premier League,Matchweek 33,Sat,Home,L,0,1,Brighton,0.6,1.0,58,,Alexander Tettey,4-2-3-1,Stuart Attwell,Match Report,
2020-07-07,18:00 (01:00),Premier League,Matchweek 34,Tue,Away,L,1,2,Watford,1.2,1.2,56,,Alexander Tettey,4-2-3-1,Anthony Taylor,Match Report,
2020-07-11,12:30 (19:30),Premier League,Matchweek 35,Sat,Home,L,0,4,West Ham,0.6,3.5,53,,Alexander Tettey,4-2-3-1,Kevin Friend,Match Report,
2020-07-14,20:15 (03:15),Premier League,Matchweek 36,Tue,Away,L,0,1,Chelsea,0.1,2.5,33,,Alexander Tettey,4-1-4-1,Jonathan Moss,Match Report,
