Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-07-25,19:45 (02:45),Europa Lg,Second qualifying round,Thu,Home,W,2,0,nir Crusaders,,,,29708,Conor Coady,3-5-2,Kristoffer Karlsson,Match Report,Leg 1 of 2
2019-08-01,20:00 (03:00),Europa Lg,Second qualifying round,Thu,Away,W,4,1,nir Crusaders,,,,2700,Conor Coady,5-3-2,Nejc Kajtazović,Match Report,Leg 2 of 2; Wolves won
2019-08-08,20:00 (00:00),Europa Lg,Third qualifying round,Thu,Away,W,4,0,am Pyunik,,,,13050,Conor Coady,3-5-2,Michael Fabbri,Match Report,Leg 1 of 2
2019-08-11,14:00 (21:00),Premier League,Matchweek 1,Sun,Away,D,0,0,Leicester City,0.7,0.7,31,32015,Conor Coady,3-5-2,Andre Marriner,Match Report,
2019-08-15,19:45 (02:45),Europa Lg,Third qualifying round,Thu,Home,W,4,0,am Pyunik,,,,29391,Conor Coady,5-3-2,Donatas Rumšas,Match Report,Leg 2 of 2; Wolves won
2019-08-19,20:00 (03:00),Premier League,Matchweek 2,Mon,Home,D,1,1,Manchester Utd,0.3,1.2,35,31314,Conor Coady,3-5-2,Jonathan Moss,Match Report,
2019-08-22,21:00 (03:00),Europa Lg,Play-off round,Thu,Away,W,3,2,it Torino,,,37,24091,Conor Coady,5-3-2,Artur Soares Dias,Match Report,Leg 1 of 2
2019-08-25,16:30 (23:30),Premier League,Matchweek 3,Sun,Home,D,1,1,Burnley,1.5,1.6,65,30522,Conor Coady,3-5-2,Craig Pawson,Match Report,
2019-08-29,19:45 (02:45),Europa Lg,Play-off round,Thu,Home,W,2,1,it Torino,,,42,29222,Conor Coady,3-5-2,Jesús Gil,Match Report,Leg 2 of 2; Wolves won
2019-09-01,14:00 (21:00),Premier League,Matchweek 4,Sun,Away,L,2,3,Everton,2.0,1.3,42,39374,Conor Coady,3-5-2,Anthony Taylor,Match Report,
2019-09-14,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,L,2,5,Chelsea,1.7,2.7,46,31534,Conor Coady,3-5-2,Graham Scott,Match Report,
2019-09-19,20:00 (03:00),Europa Lg,Group stage,Thu,Home,L,0,1,pt Braga,1.1,0.7,60,28314,Conor Coady,3-5-2,Jakob Kehlet,Match Report,
2019-09-22,14:00 (21:00),Premier League,Matchweek 6,Sun,Away,D,1,1,Crystal Palace,1.5,0.9,49,25122,Conor Coady,3-4-3,Stuart Attwell,Match Report,
2019-09-25,19:45 (02:45),EFL Cup,Third round,Wed,Home,D,1 (4),1 (2),Reading,,,47,20702,Rúben Neves,3-4-3,Peter Bankes,Match Report,Wolves won on penalty kicks following extra time
2019-09-28,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,W,2,0,Watford,1.4,1.4,39,30711,Conor Coady,3-4-3,Paul Tierney,Match Report,
2019-10-03,19:55 (00:55),Europa Lg,Group stage,Thu,Away,W,1,0,tr Beşiktaş,0.8,0.9,38,22670,Conor Coady,3-4-3,Harald Lechner,Match Report,
2019-10-06,14:00 (21:00),Premier League,Matchweek 8,Sun,Away,W,2,0,Manchester City,1.0,1.4,25,54435,Conor Coady,3-5-2,Craig Pawson,Match Report,
2019-10-19,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,D,1,1,Southampton,0.9,1.4,57,30915,Conor Coady,3-5-2,Peter Bankes,Match Report,
2019-10-24,18:55 (00:55),Europa Lg,Group stage,Thu,Away,W,2,1,sk Slovan Bratislava,1.3,0.8,60,20333,Conor Coady,3-5-2,Yevhen Aranovskyi,Match Report,
2019-10-27,14:00 (22:00),Premier League,Matchweek 10,Sun,Away,D,1,1,Newcastle Utd,2.1,1.0,56,46019,Conor Coady,3-5-2,Kevin Friend,Match Report,
2019-10-30,19:45 (03:45),EFL Cup,Fourth round,Wed,Away,L,1,2,Aston Villa,,,29,34962,Ryan Bennett,3-4-3,Lee Mason,Match Report,
2019-11-02,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,D,1,1,Arsenal,1.8,0.9,43,60383,Conor Coady,3-4-3,Michael Oliver,Match Report,
2019-11-07,20:00 (04:00),Europa Lg,Group stage,Thu,Home,W,1,0,sk Slovan Bratislava,2.8,0.4,66,29789,Conor Coady,3-4-3,Bas Nijhuis,Match Report,
2019-11-10,14:00 (22:00),Premier League,Matchweek 12,Sun,Home,W,2,1,Aston Villa,2.4,0.6,50,31607,Conor Coady,3-4-3,Anthony Taylor,Match Report,
2019-11-23,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,W,2,1,Bournemouth,1.1,0.6,53,10539,Conor Coady,3-4-3,Simon Hooper,Match Report,
2019-11-28,17:55 (01:55),Europa Lg,Group stage,Thu,Away,D,3,3,pt Braga,1.9,1.1,53,12058,Conor Coady,3-4-3,Aliaksei Kulbakou,Match Report,
2019-12-01,14:00 (22:00),Premier League,Matchweek 14,Sun,Home,D,1,1,Sheffield Utd,1.3,1.5,59,31642,Conor Coady,3-4-3,David Coote,Match Report,
2019-12-04,19:30 (03:30),Premier League,Matchweek 15,Wed,Home,W,2,0,West Ham,1.5,0.6,50,31217,Conor Coady,3-4-3,Andre Marriner,Match Report,
2019-12-08,16:30 (00:30),Premier League,Matchweek 16,Sun,Away,D,2,2,Brighton,1.5,1.2,39,30189,Conor Coady,3-4-3,Jonathan Moss,Match Report,
2019-12-12,20:00 (04:00),Europa Lg,Group stage,Thu,Home,W,4,0,tr Beşiktaş,2.5,0.3,52,27866,Conor Coady,3-5-2,Andris Treimanis,Match Report,
2019-12-15,14:00 (22:00),Premier League,Matchweek 17,Sun,Home,L,1,2,Tottenham,0.9,0.9,58,31674,Conor Coady,3-4-3,Stuart Attwell,Match Report,
2019-12-21,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,W,2,1,Norwich City,1.4,1.3,50,27053,Conor Coady,3-4-3,Peter Bankes,Match Report,
2019-12-27,19:45 (03:45),Premier League,Matchweek 19,Fri,Home,W,3,2,Manchester City,2.6,1.5,62,31737,Conor Coady,3-4-3,Martin Atkinson,Match Report,
2019-12-29,16:30 (00:30),Premier League,Matchweek 20,Sun,Away,L,0,1,Liverpool,0.5,1.2,38,53326,Conor Coady,3-5-2,Anthony Taylor,Match Report,
