Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Result,HDays,ADays,HASLxM,HASTLxM,HACLxM,HAFLxM,HAYCLxM,HARCLxM,HAGSLxM,HAGCLxM,HAGSLxHM,HAGCLxHM,HGDLxM,HGDLxHM,HAPLxM,HAPLxHM,HWPLxM,HWPLxHM,HWinStreak,HUPLxM,HUPLxHM,HUnbStreak,AASLxM,AASTLxM,AACLxM,AAFLxM,AAYCLxM,AARCLxM,AAGSLxM,AAGCLxM,AAGSLxAM,AAGCLxAM,AGDLxM,AGDLxAM,AAPLxM,AAPLxAM,AWPLxM,AWPLxAM,AWinStreak,AUPLxM,AUPLxAM,AUnbStreak,HDef,HMid,HAtt,HOvr,ADef,AMid,AAtt,AOvr,Venue
2012-08-18,arsenal,sunderland,0,0,14,3,4,2,12,8,7,0,0,0,0,0,1.4,4.5,8.5,D,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,82,84,82.0,74,75,78,75.67,Emirates Stadium
2012-09-01,swansea,sunderland,2,2,14,4,10,3,11,7,8,0,1,1,1,0,2.2,3.3,3.4,D,7,10,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,0.0,,,1.0,73,73,73,73.0,74,75,77,75.33,Swansea.com Stadium
2012-09-22,west-ham,sunderland,1,1,20,4,11,2,12,10,10,1,2,1,0,0,2.1,3.3,3.6,D,7,7,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,0.0,,,3.0,71,73,75,73.0,74,75,77,75.33,Boleyn Ground
2012-10-06,city,sunderland,3,0,26,8,16,6,10,10,15,4,0,3,0,0,1.29,5.5,11.0,W,3,7,,,,,,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,1.0,,,5.0,81,83,85,83.0,74,75,77,75.33,Etihad Stadium
2012-10-27,stoke,sunderland,0,0,11,6,6,3,12,6,7,3,2,2,0,0,1.95,3.3,4.2,D,7,6,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,75,76,75,75.33,74,75,77,75.33,Bet365 Stadium
2012-11-10,everton,sunderland,2,1,16,6,10,4,14,14,6,2,1,3,0,0,1.44,4.2,8.0,W,7,7,18.0,9.9,6.2,11.6,2.0,0.1,1.9,1.3,,,6.0,,1.7,,40.0,,0.0,90.0,,7.0,,,,,,,,,,,,,,,,,0.0,,,0.0,77,75,76,76.0,74,75,77,75.33,Goodison Park
2012-11-18,fulham,sunderland,1,3,18,12,13,9,9,13,4,4,1,3,1,0,1.67,3.75,5.25,L,8,8,13.4,8.1,6.1,9.3,1.1,0.0,1.9,1.9,,,0.0,,1.3,,30.0,,0.0,70.0,,5.0,7.5,3.7,3.4,11.7,1.5,0.0,0.7,1.1,,,-4.0,,0.9,,10.0,,0.0,70.0,,0.0,75,77,78,76.67,74,75,77,75.33,Craven Cottage
2012-12-02,norwich,sunderland,2,1,7,16,5,6,11,16,2,6,0,2,0,0,2.1,3.3,3.6,W,4,5,9.5,4.8,4.3,10.3,1.2,0.0,0.9,1.3,,,-4.0,,1.3,,30.0,,0.0,70.0,,7.0,10.6,5.7,4.8,11.9,1.9,0.0,0.9,1.3,,,-4.0,,1.0,,20.0,,0.0,60.0,,1.0,73,72,72,72.33,74,75,77,75.33,Carrow Road
2012-12-15,united,sunderland,3,1,15,13,6,10,13,10,9,9,0,0,0,0,1.2,6.5,15.0,W,6,4,13.5,7.8,5.6,9.3,2.0,0.0,2.6,1.4,,,12.0,,2.7,,90.0,,4.0,90.0,,4.0,12.9,7.0,5.8,11.4,1.8,0.0,1.2,1.4,,,-2.0,,0.9,,20.0,,1.0,50.0,,1.0,83,82,86,83.67,74,75,77,75.33,Old Trafford
2012-12-22,southampton,sunderland,0,1,13,10,7,6,11,15,8,5,0,3,0,0,2.0,3.5,3.75,L,10,7,12.7,6.6,6.0,11.3,1.1,0.0,1.2,1.4,,,-2.0,,1.2,,30.0,,1.0,60.0,,1.0,12.6,7.4,5.9,11.0,1.8,0.0,1.2,1.6,,,-4.0,,0.8,,20.0,,0.0,40.0,,0.0,72,70,73,71.67,74,75,77,75.33,St Mary's Stadium
2013-01-02,liverpool,sunderland,3,0,27,6,16,5,8,5,9,5,0,1,0,0,1.4,4.5,8.5,W,3,4,18.2,10.4,8.2,9.6,1.3,0.0,1.8,1.1,1.4,1.0,7.0,4.0,1.7,1.5,50.0,40.0,1.0,70.0,70.0,1.0,13.4,8.4,5.9,11.8,1.6,0.0,1.4,1.5,1.0,1.4,-1.0,-4.0,1.3,1.0,40.0,20.0,0.0,50.0,60.0,0.0,79,80,79,79.33,74,75,77,75.33,Anfield
2013-01-19,wigan,sunderland,2,3,20,10,11,5,10,16,9,0,3,2,0,0,2.15,3.4,3.8,L,7,7,11.7,6.0,5.1,11.4,1.5,0.1,1.1,1.9,1.3,2.0,-8.0,-7.0,0.8,0.9,20.0,20.0,0.0,40.0,50.0,1.0,12.7,8.2,5.7,10.8,1.2,0.0,1.2,1.3,1.0,1.7,-1.0,-7.0,1.3,0.9,40.0,20.0,1.0,50.0,50.0,1.0,74,70,72,72.0,74,75,77,75.33,DW Stadium
