Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2012-08-18,,Premier League,Matchweek 1,Sat,Home,W,2,1,Tottenham,,,,4-4-2,Martin Atkinson,Match Report,
2012-08-23,,Europa Lg,Play-off round,Thu,Away,D,1,1,gr Atromitos,,,,,Alon Yefet,Match Report,Leg 1 of 2
2012-08-25,,Premier League,Matchweek 2,Sat,Away,L,0,2,Chelsea,,,,4-4-2,Phil Dowd,Match Report,
2012-08-30,,Europa Lg,Play-off round,Thu,Home,W,1,0,gr Atromitos,,,,,Stephan Studer,Match Report,Leg 2 of 2; Newcastle Utd won
2012-09-02,,Premier League,Matchweek 3,Sun,Home,D,1,1,Aston Villa,,,,4-4-2,Lee Probert,Match Report,
2012-09-17,,Premier League,Matchweek 4,Mon,Away,D,2,2,Everton,,,,4-2-3-1,Mike Jones,Match Report,
2012-09-20,,Europa Lg,Group stage,Thu,Away,D,0,0,pt Marítimo,,,,4-4-2,Robert Schörgenhofer,Match Report,
2012-09-23,,Premier League,Matchweek 5,Sun,Home,W,1,0,Norwich City,,,,4-4-2,Neil Swarbrick,Match Report,
2012-09-29,,Premier League,Matchweek 6,Sat,Away,D,2,2,Reading,,,,4-4-2,Andre Marriner,Match Report,
2012-10-04,,Europa Lg,Group stage,Thu,Home,W,3,0,fr Bordeaux,,,,4-3-3,Mateu Lahoz,Match Report,
2012-10-07,,Premier League,Matchweek 7,Sun,Home,L,0,3,Manchester Utd,,,,4-4-2,Howard Webb,Match Report,
2012-10-21,,Premier League,Matchweek 8,Sun,Away,D,1,1,Sunderland,,,,4-4-2,Martin Atkinson,Match Report,
2012-10-25,,Europa Lg,Group stage,Thu,Home,W,1,0,be Club Brugge,,,,4-4-1-1,Martin Hansson,Match Report,
2012-10-28,,Premier League,Matchweek 9,Sun,Home,W,2,1,West Brom,,,,4-4-2,Chris Foy,Match Report,
2012-11-04,,Premier League,Matchweek 10,Sun,Away,D,1,1,Liverpool,,,,4-5-1,Anthony Taylor,Match Report,
2012-11-08,,Europa Lg,Group stage,Thu,Away,D,2,2,be Club Brugge,,,,4-2-3-1,Luca Banti,Match Report,
2012-11-11,,Premier League,Matchweek 11,Sun,Home,L,0,1,West Ham,,,,4-4-2,Mike Dean,Match Report,
2012-11-17,,Premier League,Matchweek 12,Sat,Home,L,1,2,Swansea City,,,,4-4-2,Phil Dowd,Match Report,
2012-11-22,,Europa Lg,Group stage,Thu,Home,D,1,1,pt Marítimo,,,,4-2-3-1,Danny Makkelie,Match Report,
2012-11-25,,Premier League,Matchweek 13,Sun,Away,L,0,2,Southampton,,,,4-4-2,Martin Atkinson,Match Report,
2012-11-28,,Premier League,Matchweek 14,Wed,Away,L,1,2,Stoke City,,,,4-4-2,Howard Webb,Match Report,
2012-12-03,,Premier League,Matchweek 15,Mon,Home,W,3,0,Wigan Athletic,,,,4-3-3,Mike Jones,Match Report,
2012-12-06,,Europa Lg,Group stage,Thu,Away,L,0,2,fr Bordeaux,,,,4-2-3-1,Menashe Masiah,Match Report,
2012-12-10,,Premier League,Matchweek 16,Mon,Away,L,1,2,Fulham,,,,4-3-3,Lee Mason,Match Report,
2012-12-15,,Premier League,Matchweek 17,Sat,Home,L,1,3,Manchester City,,,,4-4-2,Andre Marriner,Match Report,
2012-12-22,,Premier League,Matchweek 18,Sat,Home,W,1,0,QPR,,,,4-3-3,Kevin Friend,Match Report,
2012-12-26,,Premier League,Matchweek 19,Wed,Away,L,3,4,Manchester Utd,,,,4-5-1,Mike Dean,Match Report,
2012-12-29,,Premier League,Matchweek 20,Sat,Away,L,3,7,Arsenal,,,,4-5-1,Chris Foy,Match Report,
2013-01-02,,Premier League,Matchweek 21,Wed,Home,L,1,2,Everton,,,,4-2-3-1,Martin Atkinson,Match Report,
2013-01-12,,Premier League,Matchweek 22,Sat,Away,D,0,0,Norwich City,,,,4-2-3-1,Anthony Taylor,Match Report,
2013-01-19,,Premier League,Matchweek 23,Sat,Home,L,1,2,Reading,,,,4-2-3-1,Andre Marriner,Match Report,
2013-01-29,,Premier League,Matchweek 24,Tue,Away,W,2,1,Aston Villa,,,,4-2-3-1,Mike Dean,Match Report,
2013-02-02,,Premier League,Matchweek 25,Sat,Home,W,3,2,Chelsea,,,,4-2-3-1,Howard Webb,Match Report,
2013-02-09,,Premier League,Matchweek 26,Sat,Away,L,1,2,Tottenham,,,,4-2-3-1,Phil Dowd,Match Report,
2013-02-14,,Europa Lg,Round of 32,Thu,Home,D,0,0,ua Metalist Kharkiv,,,,4-2-3-1,Tom Harald Hagen,Match Report,Leg 1 of 2
2013-02-21,,Europa Lg,Round of 32,Thu,Away,W,1,0,ua Metalist Kharkiv,,,,4-2-3-1,Serge Gumienny,Match Report,Leg 2 of 2; Newcastle Utd won
2013-02-24,,Premier League,Matchweek 27,Sun,Home,W,4,2,Southampton,,,,4-2-3-1,Chris Foy,Match Report,
2013-03-02,,Premier League,Matchweek 28,Sat,Away,L,0,1,Swansea City,,,,4-2-3-1,Craig Pawson,Match Report,
2013-03-07,,Europa Lg,Round of 16,Thu,Away,D,0,0,ru Anzhi,,,,4-2-3-1,István Vad,Match Report,Leg 1 of 2
2013-03-10,,Premier League,Matchweek 29,Sun,Home,W,2,1,Stoke City,,,,4-2-3-1,Andre Marriner,Match Report,
2013-03-14,,Europa Lg,Round of 16,Thu,Home,W,1,0,ru Anzhi,,,,4-3-3,Deniz Aytekin,Match Report,Leg 2 of 2; Newcastle Utd won
2013-03-17,,Premier League,Matchweek 30,Sun,Away,L,1,2,Wigan Athletic,,,,4-5-1,Mark Halsey,Match Report,
2013-03-30,,Premier League,Matchweek 31,Sat,Away,L,0,4,Manchester City,,,,4-2-3-1,Neil Swarbrick,Match Report,
2013-04-04,,Europa Lg,Quarter-finals,Thu,Away,L,1,3,pt Benfica,,,,4-2-3-1,Antony Gautier,Match Report,Leg 1 of 2
2013-04-07,,Premier League,Matchweek 32,Sun,Home,W,1,0,Fulham,,,,4-2-3-1,Kevin Friend,Match Report,
2013-04-11,,Europa Lg,Quarter-finals,Thu,Home,D,1,1,pt Benfica,,,,4-2-3-1,Ivan Bebek,Match Report,Leg 2 of 2; Benfica won
2013-04-14,,Premier League,Matchweek 33,Sun,Home,L,0,3,Sunderland,,,,4-2-3-1,Howard Webb,Match Report,
2013-04-20,,Premier League,Matchweek 34,Sat,Away,D,1,1,West Brom,,,,4-2-3-1,Mike Jones,Match Report,
2013-04-27,,Premier League,Matchweek 35,Sat,Home,L,0,6,Liverpool,,,,4-4-1-1,Andre Marriner,Match Report,
2013-05-04,,Premier League,Matchweek 36,Sat,Away,D,0,0,West Ham,,,,4-2-3-1,Phil Dowd,Match Report,
2013-05-12,,Premier League,Matchweek 37,Sun,Away,W,2,1,QPR,,,,4-2-3-1,Lee Probert,Match Report,
2013-05-19,,Premier League,Matchweek 38,Sun,Home,L,0,1,Arsenal,,,,4-4-1-1,Howard Webb,Match Report,
