Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2012-08-18,,Premier League,Matchweek 1,Sat,Away,D,0,0,Arsenal,,,,4-5-1,Chris Foy,Match Report,
2012-09-01,,Premier League,Matchweek 3,Sat,Away,D,2,2,Swansea City,,,,4-4-1-1,Roger East,Match Report,
2012-09-15,,Premier League,Matchweek 4,Sat,Home,D,1,1,Liverpool,,,,4-4-1-1,Martin Atkinson,Match Report,
2012-09-22,,Premier League,Matchweek 5,Sat,Away,D,1,1,West Ham,,,,4-4-1-1,Lee Mason,Match Report,
2012-09-29,,Premier League,Matchweek 6,Sat,Home,W,1,0,Wigan Athletic,,,,4-4-1-1,Howard Webb,Match Report,
2012-10-06,,Premier League,Matchweek 7,Sat,Away,L,0,3,Manchester City,,,,4-4-1-1,Lee Probert,Match Report,
2012-10-21,,Premier League,Matchweek 8,Sun,Home,D,1,1,Newcastle Utd,,,,4-4-1-1,Martin Atkinson,Match Report,
2012-10-27,,Premier League,Matchweek 9,Sat,Away,D,0,0,Stoke City,,,,4-2-3-1,Mark Halsey,Match Report,
2012-11-03,,Premier League,Matchweek 10,Sat,Home,L,0,1,Aston Villa,,,,4-4-1-1,Mike Jones,Match Report,
2012-11-10,,Premier League,Matchweek 11,Sat,Away,L,1,2,Everton,,,,4-4-1-1,Lee Mason,Match Report,
2012-11-18,,Premier League,Matchweek 12,Sun,Away,W,3,1,Fulham,,,,4-2-3-1,Lee Probert,Match Report,
2012-11-24,,Premier League,Matchweek 13,Sat,Home,L,2,4,West Brom,,,,4-4-1-1,Mike Dean,Match Report,
2012-11-27,,Premier League,Matchweek 14,Tue,Home,D,0,0,QPR,,,,4-2-3-1,Andre Marriner,Match Report,
2012-12-02,,Premier League,Matchweek 15,Sun,Away,L,1,2,Norwich City,,,,4-2-3-1,Phil Dowd,Match Report,
2012-12-08,,Premier League,Matchweek 16,Sat,Home,L,1,3,Chelsea,,,,4-2-3-1,Mark Halsey,Match Report,
2012-12-11,,Premier League,Matchweek 2,Tue,Home,W,3,0,Reading,,,,4-4-1-1,Neil Swarbrick,Match Report,
2012-12-15,,Premier League,Matchweek 17,Sat,Away,L,1,3,Manchester Utd,,,,4-2-3-1,Chris Foy,Match Report,
2012-12-22,,Premier League,Matchweek 18,Sat,Away,W,1,0,Southampton,,,,4-2-3-1,Howard Webb,Match Report,
2012-12-26,,Premier League,Matchweek 19,Wed,Home,W,1,0,Manchester City,,,,4-4-1-1,Kevin Friend,Match Report,
2012-12-29,,Premier League,Matchweek 20,Sat,Home,L,1,2,Tottenham,,,,4-4-1-1,Martin Atkinson,Match Report,
2013-01-02,,Premier League,Matchweek 21,Wed,Away,L,0,3,Liverpool,,,,4-4-1-1,Phil Dowd,Match Report,
2013-01-12,,Premier League,Matchweek 22,Sat,Home,W,3,0,West Ham,,,,4-4-1-1,Neil Swarbrick,Match Report,
2013-01-19,,Premier League,Matchweek 23,Sat,Away,W,3,2,Wigan Athletic,,,,4-1-4-1,Anthony Taylor,Match Report,
2013-01-29,,Premier League,Matchweek 24,Tue,Home,D,0,0,Swansea City,,,,4-2-3-1,Andre Marriner,Match Report,
2013-02-02,,Premier League,Matchweek 25,Sat,Away,L,1,2,Reading,,,,4-1-4-1,Lee Mason,Match Report,
2013-02-09,,Premier League,Matchweek 26,Sat,Home,L,0,1,Arsenal,,,,4-1-4-1,Anthony Taylor,Match Report,
2013-02-23,,Premier League,Matchweek 27,Sat,Away,L,1,2,West Brom,,,,4-4-2,Roger East,Match Report,
2013-03-02,,Premier League,Matchweek 28,Sat,Home,D,2,2,Fulham,,,,4-4-2,Mark Halsey,Match Report,
2013-03-09,,Premier League,Matchweek 29,Sat,Away,L,1,3,QPR,,,,4-4-2,Mike Jones,Match Report,
2013-03-17,,Premier League,Matchweek 30,Sun,Home,D,1,1,Norwich City,,,,4-4-2,Chris Foy,Match Report,
2013-03-30,,Premier League,Matchweek 31,Sat,Home,L,0,1,Manchester Utd,,,,4-2-3-1,Kevin Friend,Match Report,
2013-04-07,,Premier League,Matchweek 32,Sun,Away,L,1,2,Chelsea,,,,4-2-3-1,Neil Swarbrick,Match Report,
2013-04-14,,Premier League,Matchweek 33,Sun,Away,W,3,0,Newcastle Utd,,,,4-4-1-1,Howard Webb,Match Report,
2013-04-20,,Premier League,Matchweek 34,Sat,Home,W,1,0,Everton,,,,4-4-1-1,Phil Dowd,Match Report,
2013-04-29,,Premier League,Matchweek 35,Mon,Away,L,1,6,Aston Villa,,,,4-2-3-1,Lee Probert,Match Report,
2013-05-06,,Premier League,Matchweek 36,Mon,Home,D,1,1,Stoke City,,,,4-5-1,Lee Mason,Match Report,
2013-05-12,,Premier League,Matchweek 37,Sun,Home,D,1,1,Southampton,,,,4-4-1-1,Mike Dean,Match Report,
2013-05-19,,Premier League,Matchweek 38,Sun,Away,L,0,1,Tottenham,,,,4-4-1-1,Andre Marriner,Match Report,
