Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2013-08-17,,Premier League,Matchweek 1,Sat,Away,L,0,2,West Ham,,,,4-2-3-1,Howard Webb,Match Report,
2013-08-25,,Premier League,Matchweek 2,Sun,Home,W,3,2,Manchester City,,,,4-2-3-1,Lee Probert,Match Report,
2013-08-31,,Premier League,Matchweek 3,Sat,Home,D,0,0,Everton,,,,4-5-1,Anthony Taylor,Match Report,
2013-09-14,,Premier League,Matchweek 4,Sat,Away,D,1,1,Hull City,,,,4-5-1,Bobby Madley,Match Report,
2013-09-22,,Premier League,Matchweek 5,Sun,Home,L,0,1,Tottenham,,,,4-2-3-1,Mark Clattenburg,Match Report,
2013-09-28,,Premier League,Matchweek 6,Sat,Away,W,2,1,Fulham,,,,4-1-2-1-2◆,Craig Pawson,Match Report,
2013-10-05,,Premier League,Matchweek 7,Sat,Home,L,1,2,Newcastle Utd,,,,4-1-4-1,Kevin Friend,Match Report,
2013-10-19,,Premier League,Matchweek 8,Sat,Away,L,1,4,Chelsea,,,,4-4-1-1,Anthony Taylor,Match Report,
2013-10-26,,Premier League,Matchweek 9,Sat,Away,D,0,0,Norwich City,,,,4-1-4-1,Mike Jones,Match Report,
2013-11-03,,Premier League,Matchweek 10,Sun,Home,W,1,0,Swansea City,,,,4-1-4-1,Mike Dean,Match Report,
2013-11-09,,Premier League,Matchweek 11,Sat,Away,L,0,2,Aston Villa,,,,4-1-4-1,Martin Atkinson,Match Report,
2013-11-24,,Premier League,Matchweek 12,Sun,Home,D,2,2,Manchester Utd,,,,4-5-1,Neil Swarbrick,Match Report,
2013-11-30,,Premier League,Matchweek 13,Sat,Home,L,0,3,Arsenal,,,,4-5-1,Lee Mason,Match Report,
2013-12-04,,Premier League,Matchweek 14,Wed,Away,D,0,0,Stoke City,,,,4-5-1,Michael Oliver,Match Report,
2013-12-07,,Premier League,Matchweek 15,Sat,Away,L,0,2,Crystal Palace,,,,4-5-1,Mike Jones,Match Report,
2013-12-14,,Premier League,Matchweek 16,Sat,Home,W,1,0,West Brom,,,,4-1-4-1,Howard Webb,Match Report,
2013-12-21,,Premier League,Matchweek 17,Sat,Away,L,1,3,Liverpool,,,,4-2-3-1,Lee Probert,Match Report,
2013-12-26,,Premier League,Matchweek 18,Thu,Home,L,0,3,Southampton,,,,4-4-2,Andre Marriner,Match Report,
2013-12-28,,Premier League,Matchweek 19,Sat,Home,D,2,2,Sunderland,,,,4-5-1,Chris Foy,Match Report,
2014-01-01,,Premier League,Matchweek 20,Wed,Away,L,0,2,Arsenal,,,,4-5-1,Jon Moss,Match Report,
2014-01-11,,Premier League,Matchweek 21,Sat,Home,L,0,2,West Ham,,,,4-2-3-1,Lee Mason,Match Report,
2014-01-18,,Premier League,Matchweek 22,Sat,Away,L,2,4,Manchester City,,,,4-1-4-1,Neil Swarbrick,Match Report,
2014-01-28,,Premier League,Matchweek 23,Tue,Away,L,0,2,Manchester Utd,,,,4-5-1,Craig Pawson,Match Report,
2014-02-01,,Premier League,Matchweek 24,Sat,Home,W,2,1,Norwich City,,,,4-5-1,Mark Clattenburg,Match Report,
2014-02-08,,Premier League,Matchweek 25,Sat,Away,L,0,3,Swansea City,,,,4-5-1,Andre Marriner,Match Report,
2014-02-11,,Premier League,Matchweek 26,Tue,Home,D,0,0,Aston Villa,,,,4-4-2,Chris Foy,Match Report,
2014-02-22,,Premier League,Matchweek 27,Sat,Home,L,0,4,Hull City,,,,4-4-2,Howard Webb,Match Report,
2014-03-02,,Premier League,Matchweek 28,Sun,Away,L,0,1,Tottenham,,,,5-3-2,Phil Dowd,Match Report,
2014-03-08,,Premier League,Matchweek 29,Sat,Home,W,3,1,Fulham,,,,4-1-4-1,Martin Atkinson,Match Report,
2014-03-15,,Premier League,Matchweek 30,Sat,Away,L,1,2,Everton,,,,5-4-1,Roger East,Match Report,
2014-03-22,,Premier League,Matchweek 31,Sat,Home,L,3,6,Liverpool,,,,5-3-2,Neil Swarbrick,Match Report,
2014-03-29,,Premier League,Matchweek 32,Sat,Away,D,3,3,West Brom,,,,5-3-2,Michael Oliver,Match Report,
2014-04-05,,Premier League,Matchweek 33,Sat,Home,L,0,3,Crystal Palace,,,,4-4-2,Phil Dowd,Match Report,
2014-04-12,,Premier League,Matchweek 34,Sat,Away,W,1,0,Southampton,,,,4-1-4-1,Jon Moss,Match Report,
2014-04-19,,Premier League,Matchweek 35,Sat,Home,D,1,1,Stoke City,,,,4-1-4-1,Howard Webb,Match Report,
2014-04-27,,Premier League,Matchweek 36,Sun,Away,L,0,4,Sunderland,,,,4-1-4-1,Phil Dowd,Match Report,
2014-05-03,,Premier League,Matchweek 37,Sat,Away,L,0,3,Newcastle Utd,,,,4-4-1-1,Martin Atkinson,Match Report,
2014-05-11,,Premier League,Matchweek 38,Sun,Home,L,1,2,Chelsea,,,,4-5-1,Michael Oliver,Match Report,
