Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2013-08-17,,Premier League,Matchweek 1,Sat,Away,W,1,0,Sunderland,,,,4-4-1-1,Neil Swarbrick,Match Report,
2013-08-24,,Premier League,Matchweek 2,Sat,Home,L,1,3,Arsenal,,,,4-4-1-1,Howard Webb,Match Report,
2013-08-31,,Premier League,Matchweek 3,Sat,Away,L,0,1,Newcastle Utd,,,,4-4-1-1,Chris Foy,Match Report,
2013-09-14,,Premier League,Matchweek 4,Sat,Home,D,1,1,West Brom,,,,4-4-1-1,Lee Probert,Match Report,
2013-09-21,,Premier League,Matchweek 5,Sat,Away,L,0,2,Chelsea,,,,4-4-1-1,Andre Marriner,Match Report,
2013-09-28,,Premier League,Matchweek 6,Sat,Home,L,1,2,Cardiff City,,,,4-4-1-1,Craig Pawson,Match Report,
2013-10-05,,Premier League,Matchweek 7,Sat,Home,W,1,0,Stoke City,,,,4-4-1-1,Roger East,Match Report,
2013-10-21,,Premier League,Matchweek 8,Mon,Away,W,4,1,Crystal Palace,,,,4-4-1-1,Lee Mason,Match Report,
2013-10-26,,Premier League,Matchweek 9,Sat,Away,L,0,2,Southampton,,,,4-4-1-1,Andre Marriner,Match Report,
2013-11-02,,Premier League,Matchweek 10,Sat,Home,L,1,3,Manchester Utd,,,,4-4-1-1,Lee Probert,Match Report,
2013-11-09,,Premier League,Matchweek 11,Sat,Away,L,0,4,Liverpool,,,,4-4-1-1,Mike Jones,Match Report,
2013-11-23,,Premier League,Matchweek 12,Sat,Home,L,1,2,Swansea City,,,,4-3-2-1,Andre Marriner,Match Report,
2013-11-30,,Premier League,Matchweek 13,Sat,Away,L,0,3,West Ham,,,,4-4-1-1,Martin Atkinson,Match Report,
2013-12-04,,Premier League,Matchweek 14,Wed,Home,L,1,2,Tottenham,,,,4-4-1-1,Mark Clattenburg,Match Report,
2013-12-08,,Premier League,Matchweek 15,Sun,Home,W,2,0,Aston Villa,,,,4-3-3,Mike Dean,Match Report,
2013-12-14,,Premier League,Matchweek 16,Sat,Away,L,1,4,Everton,,,,4-3-3,Anthony Taylor,Match Report,
2013-12-21,,Premier League,Matchweek 17,Sat,Home,L,2,4,Manchester City,,,,4-3-3,Kevin Friend,Match Report,
2013-12-26,,Premier League,Matchweek 18,Thu,Away,W,2,1,Norwich City,,,,4-2-3-1,Jon Moss,Match Report,
2013-12-28,,Premier League,Matchweek 19,Sat,Away,L,0,6,Hull City,,,,4-2-3-1,Bobby Madley,Match Report,
2014-01-01,,Premier League,Matchweek 20,Wed,Home,W,2,1,West Ham,,,,4-2-3-1,Mark Clattenburg,Match Report,
2014-01-11,,Premier League,Matchweek 21,Sat,Home,L,1,4,Sunderland,,,,4-2-3-1,Mike Dean,Match Report,
2014-01-18,,Premier League,Matchweek 22,Sat,Away,L,0,2,Arsenal,,,,4-2-3-1,Lee Probert,Match Report,
2014-01-28,,Premier League,Matchweek 23,Tue,Away,L,0,2,Swansea City,,,,4-2-3-1,Michael Oliver,Match Report,
2014-02-01,,Premier League,Matchweek 24,Sat,Home,L,0,3,Southampton,,,,4-3-3,Mike Jones,Match Report,
2014-02-09,,Premier League,Matchweek 25,Sun,Away,D,2,2,Manchester Utd,,,,4-4-1-1,Kevin Friend,Match Report,
2014-02-12,,Premier League,Matchweek 26,Wed,Home,L,2,3,Liverpool,,,,4-4-1-1,Phil Dowd,Match Report,
2014-02-22,,Premier League,Matchweek 27,Sat,Away,D,1,1,West Brom,,,,4-2-3-1,Mike Dean,Match Report,
2014-03-01,,Premier League,Matchweek 28,Sat,Home,L,1,3,Chelsea,,,,4-4-1-1,Mark Clattenburg,Match Report,
2014-03-08,,Premier League,Matchweek 29,Sat,Away,L,1,3,Cardiff City,,,,4-4-2,Martin Atkinson,Match Report,
2014-03-15,,Premier League,Matchweek 30,Sat,Home,W,1,0,Newcastle Utd,,,,4-4-1-1,Howard Webb,Match Report,
2014-03-22,,Premier League,Matchweek 31,Sat,Away,L,0,5,Manchester City,,,,4-3-3,Jon Moss,Match Report,
2014-03-30,,Premier League,Matchweek 32,Sun,Home,L,1,3,Everton,,,,4-4-1-1,Anthony Taylor,Match Report,
2014-04-05,,Premier League,Matchweek 33,Sat,Away,W,2,1,Aston Villa,,,,4-5-1,Michael Oliver,Match Report,
2014-04-12,,Premier League,Matchweek 34,Sat,Home,W,1,0,Norwich City,,,,4-4-1-1,Mike Dean,Match Report,
2014-04-19,,Premier League,Matchweek 35,Sat,Away,L,1,3,Tottenham,,,,4-5-1,Lee Probert,Match Report,
2014-04-26,,Premier League,Matchweek 36,Sat,Home,D,2,2,Hull City,,,,3-5-1-1,Lee Mason,Match Report,
2014-05-03,,Premier League,Matchweek 37,Sat,Away,L,1,4,Stoke City,,,,4-1-4-1,Chris Foy,Match Report,
2014-05-11,,Premier League,Matchweek 38,Sun,Home,D,2,2,Crystal Palace,,,,4-4-1-1,Kevin Friend,Match Report,
