Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2013-08-17,,Premier League,Matchweek 1,Sat,Home,W,1,0,Stoke City,,,,4-2-3-1,Martin Atkinson,Match Report,
2013-08-24,,Premier League,Matchweek 2,Sat,Away,W,1,0,Aston Villa,,,,4-2-3-1,Mark Clattenburg,Match Report,
2013-09-01,,Premier League,Matchweek 3,Sun,Home,W,1,0,Manchester Utd,,,,4-2-3-1,Andre Marriner,Match Report,
2013-09-16,,Premier League,Matchweek 4,Mon,Away,D,2,2,Swansea City,,,,4-2-3-1,Michael Oliver,Match Report,
2013-09-21,,Premier League,Matchweek 5,Sat,Home,L,0,1,Southampton,,,,4-2-3-1,Neil Swarbrick,Match Report,
2013-09-29,,Premier League,Matchweek 6,Sun,Away,W,3,1,Sunderland,,,,3-4-1-2,Howard Webb,Match Report,
2013-10-05,,Premier League,Matchweek 7,Sat,Home,W,3,1,Crystal Palace,,,,3-4-1-2,Anthony Taylor,Match Report,
2013-10-19,,Premier League,Matchweek 8,Sat,Away,D,2,2,Newcastle Utd,,,,3-4-1-2,Andre Marriner,Match Report,
2013-10-26,,Premier League,Matchweek 9,Sat,Home,W,4,1,West Brom,,,,3-5-2,Jon Moss,Match Report,
2013-11-02,,Premier League,Matchweek 10,Sat,Away,L,0,2,Arsenal,,,,3-5-2,Martin Atkinson,Match Report,
2013-11-09,,Premier League,Matchweek 11,Sat,Home,W,4,0,Fulham,,,,4-4-2,Mike Jones,Match Report,
2013-11-23,,Premier League,Matchweek 12,Sat,Away,D,3,3,Everton,,,,4-3-3,Phil Dowd,Match Report,
2013-12-01,,Premier League,Matchweek 13,Sun,Away,L,1,3,Hull City,,,,4-2-3-1,Howard Webb,Match Report,
2013-12-04,,Premier League,Matchweek 14,Wed,Home,W,5,1,Norwich City,,,,4-2-3-1,Anthony Taylor,Match Report,
2013-12-07,,Premier League,Matchweek 15,Sat,Home,W,4,1,West Ham,,,,4-2-3-1,Michael Oliver,Match Report,
2013-12-15,,Premier League,Matchweek 16,Sun,Away,W,5,0,Tottenham,,,,4-3-3,Jon Moss,Match Report,
2013-12-21,,Premier League,Matchweek 17,Sat,Home,W,3,1,Cardiff City,,,,4-3-3,Lee Probert,Match Report,
2013-12-26,,Premier League,Matchweek 18,Thu,Away,L,1,2,Manchester City,,,,4-3-3,Lee Mason,Match Report,
2013-12-29,,Premier League,Matchweek 19,Sun,Away,L,1,2,Chelsea,,,,4-3-3,Howard Webb,Match Report,
2014-01-01,,Premier League,Matchweek 20,Wed,Home,W,2,0,Hull City,,,,4-2-3-1,Craig Pawson,Match Report,
2014-01-12,,Premier League,Matchweek 21,Sun,Away,W,5,3,Stoke City,,,,4-3-3,Anthony Taylor,Match Report,
2014-01-18,,Premier League,Matchweek 22,Sat,Home,D,2,2,Aston Villa,,,,4-4-2,Jon Moss,Match Report,
2014-01-28,,Premier League,Matchweek 23,Tue,Home,W,4,0,Everton,,,,4-3-3,Martin Atkinson,Match Report,
2014-02-02,,Premier League,Matchweek 24,Sun,Away,D,1,1,West Brom,,,,4-3-3,Kevin Friend,Match Report,
2014-02-08,,Premier League,Matchweek 25,Sat,Home,W,5,1,Arsenal,,,,4-3-3,Michael Oliver,Match Report,
2014-02-12,,Premier League,Matchweek 26,Wed,Away,W,3,2,Fulham,,,,4-3-3,Phil Dowd,Match Report,
2014-02-23,,Premier League,Matchweek 27,Sun,Home,W,4,3,Swansea City,,,,4-3-3,Mike Jones,Match Report,
2014-03-01,,Premier League,Matchweek 28,Sat,Away,W,3,0,Southampton,,,,4-1-2-1-2◆,Lee Probert,Match Report,
2014-03-16,,Premier League,Matchweek 30,Sun,Away,W,3,0,Manchester Utd,,,,4-1-2-1-2◆,Mark Clattenburg,Match Report,
2014-03-22,,Premier League,Matchweek 31,Sat,Away,W,6,3,Cardiff City,,,,4-1-2-1-2◆,Neil Swarbrick,Match Report,
2014-03-26,,Premier League,Matchweek 29,Wed,Home,W,2,1,Sunderland,,,,4-1-2-1-2◆,Kevin Friend,Match Report,
2014-03-30,,Premier League,Matchweek 32,Sun,Home,W,4,0,Tottenham,,,,4-3-3,Phil Dowd,Match Report,
2014-04-06,,Premier League,Matchweek 33,Sun,Away,W,2,1,West Ham,,,,4-3-3,Anthony Taylor,Match Report,
2014-04-13,,Premier League,Matchweek 34,Sun,Home,W,3,2,Manchester City,,,,4-1-2-1-2◆,Mark Clattenburg,Match Report,
2014-04-20,,Premier League,Matchweek 35,Sun,Away,W,3,2,Norwich City,,,,4-3-2-1,Andre Marriner,Match Report,
2014-04-27,,Premier League,Matchweek 36,Sun,Home,L,0,2,Chelsea,,,,4-3-3,Martin Atkinson,Match Report,
2014-05-05,,Premier League,Matchweek 37,Mon,Away,D,3,3,Crystal Palace,,,,4-1-2-1-2◆,Mark Clattenburg,Match Report,
2014-05-11,,Premier League,Matchweek 38,Sun,Home,W,2,1,Newcastle Utd,,,,4-1-2-1-2◆,Phil Dowd,Match Report,
