Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2013-08-17,,Premier League,Matchweek 1,Sat,Away,W,4,1,Swansea City,,,,4-2-3-1,Phil Dowd,Match Report,
2013-08-26,,Premier League,Matchweek 2,Mon,Home,D,0,0,Chelsea,,,,4-2-3-1,Martin Atkinson,Match Report,
2013-09-01,,Premier League,Matchweek 3,Sun,Away,L,0,1,Liverpool,,,,4-2-3-1,Andre Marriner,Match Report,
2013-09-14,,Premier League,Matchweek 4,Sat,Home,W,2,0,Crystal Palace,,,,4-2-3-1,Jon Moss,Match Report,
2013-09-17,,Champions Lg,Group stage,Tue,Home,W,4,2,de Leverkusen,,,,4-2-3-1,Damir Skomina,Match Report,
2013-09-22,,Premier League,Matchweek 5,Sun,Away,L,1,4,Manchester City,,,,4-2-3-1,Howard Webb,Match Report,
2013-09-28,,Premier League,Matchweek 6,Sat,Home,L,1,2,West Brom,,,,4-2-3-1,Michael Oliver,Match Report,
2013-10-02,,Champions Lg,Group stage,Wed,Away,D,1,1,ua Shakhtar,,,,4-1-4-1,Pavel Královec,Match Report,
2013-10-05,,Premier League,Matchweek 7,Sat,Away,W,2,1,Sunderland,,,,4-2-3-1,Chris Foy,Match Report,
2013-10-19,,Premier League,Matchweek 8,Sat,Home,D,1,1,Southampton,,,,4-2-3-1,Mike Jones,Match Report,
2013-10-23,,Champions Lg,Group stage,Wed,Home,W,1,0,es Real Sociedad,,,,4-2-3-1,Bas Nijhuis,Match Report,
2013-10-26,,Premier League,Matchweek 9,Sat,Home,W,3,2,Stoke City,,,,4-2-3-1,Lee Mason,Match Report,
2013-11-02,,Premier League,Matchweek 10,Sat,Away,W,3,1,Fulham,,,,4-2-3-1,Lee Probert,Match Report,
2013-11-05,,Champions Lg,Group stage,Tue,Away,D,0,0,es Real Sociedad,,,,4-4-1-1,Nicola Rizzoli,Match Report,
2013-11-10,,Premier League,Matchweek 11,Sun,Home,W,1,0,Arsenal,,,,4-2-3-1,Michael Oliver,Match Report,
2013-11-24,,Premier League,Matchweek 12,Sun,Away,D,2,2,Cardiff City,,,,4-2-3-1,Neil Swarbrick,Match Report,
2013-11-27,,Champions Lg,Group stage,Wed,Away,W,5,0,de Leverkusen,,,,4-2-3-1,Svein Oddvar Moen,Match Report,
2013-12-01,,Premier League,Matchweek 13,Sun,Away,D,2,2,Tottenham,,,,4-2-3-1,Mike Dean,Match Report,
2013-12-04,,Premier League,Matchweek 14,Wed,Home,L,0,1,Everton,,,,4-2-3-1,Martin Atkinson,Match Report,
2013-12-07,,Premier League,Matchweek 15,Sat,Home,L,0,1,Newcastle Utd,,,,4-4-2,Andre Marriner,Match Report,
2013-12-10,,Champions Lg,Group stage,Tue,Home,W,1,0,ua Shakhtar,,,,4-4-1-1,Milorad Mažić,Match Report,
2013-12-15,,Premier League,Matchweek 16,Sun,Away,W,3,0,Aston Villa,,,,4-4-1-1,Lee Mason,Match Report,
2013-12-21,,Premier League,Matchweek 17,Sat,Home,W,3,1,West Ham,,,,4-2-3-1,Mike Jones,Match Report,
2013-12-26,,Premier League,Matchweek 18,Thu,Away,W,3,2,Hull City,,,,4-2-3-1,Michael Oliver,Match Report,
2013-12-28,,Premier League,Matchweek 19,Sat,Away,W,1,0,Norwich City,,,,4-2-3-1,Phil Dowd,Match Report,
2014-01-01,,Premier League,Matchweek 20,Wed,Home,L,1,2,Tottenham,,,,4-2-3-1,Howard Webb,Match Report,
2014-01-11,,Premier League,Matchweek 21,Sat,Home,W,2,0,Swansea City,,,,4-2-3-1,Chris Foy,Match Report,
2014-01-19,,Premier League,Matchweek 22,Sun,Away,L,1,3,Chelsea,,,,4-2-3-1,Phil Dowd,Match Report,
2014-01-28,,Premier League,Matchweek 23,Tue,Home,W,2,0,Cardiff City,,,,4-4-1-1,Craig Pawson,Match Report,
2014-02-01,,Premier League,Matchweek 24,Sat,Away,L,1,2,Stoke City,,,,4-2-3-1,Neil Swarbrick,Match Report,
2014-02-09,,Premier League,Matchweek 25,Sun,Home,D,2,2,Fulham,,,,4-2-3-1,Kevin Friend,Match Report,
2014-02-12,,Premier League,Matchweek 26,Wed,Away,D,0,0,Arsenal,,,,4-2-3-1,Mark Clattenburg,Match Report,
2014-02-22,,Premier League,Matchweek 27,Sat,Away,W,2,0,Crystal Palace,,,,4-2-3-1,Michael Oliver,Match Report,
2014-02-25,,Champions Lg,Round of 16,Tue,Away,L,0,2,gr Olympiacos,,,,4-2-3-1,Gianluca Rocchi,Match Report,Leg 1 of 2
2014-03-08,,Premier League,Matchweek 29,Sat,Away,W,3,0,West Brom,,,,4-2-3-1,Jon Moss,Match Report,
2014-03-16,,Premier League,Matchweek 30,Sun,Home,L,0,3,Liverpool,,,,4-2-3-1,Mark Clattenburg,Match Report,
2014-03-19,,Champions Lg,Round of 16,Wed,Home,W,3,0,gr Olympiacos,,,,4-2-3-1,Björn Kuipers,Match Report,Leg 2 of 2; Manchester Utd won
2014-03-22,,Premier League,Matchweek 31,Sat,Away,W,2,0,West Ham,,,,4-2-3-1,Lee Mason,Match Report,
2014-03-25,,Premier League,Matchweek 28,Tue,Home,L,0,3,Manchester City,,,,4-3-3,Michael Oliver,Match Report,
2014-03-29,,Premier League,Matchweek 32,Sat,Home,W,4,1,Aston Villa,,,,4-2-3-1,Martin Atkinson,Match Report,
2014-04-01,,Champions Lg,Quarter-finals,Tue,Home,D,1,1,de Bayern Munich,,,,4-3-3,Velasco Carballo,Match Report,Leg 1 of 2
2014-04-05,,Premier League,Matchweek 33,Sat,Away,W,4,0,Newcastle Utd,,,,4-2-3-1,Kevin Friend,Match Report,
2014-04-09,,Champions Lg,Quarter-finals,Wed,Away,L,1,3,de Bayern Munich,,,,4-2-3-1,Jonas Eriksson,Match Report,Leg 2 of 2; Bayern Munich won
2014-04-20,,Premier League,Matchweek 35,Sun,Away,L,0,2,Everton,,,,4-2-3-1,Mark Clattenburg,Match Report,
2014-04-26,,Premier League,Matchweek 36,Sat,Home,W,4,0,Norwich City,,,,4-4-2,Lee Probert,Match Report,
2014-05-03,,Premier League,Matchweek 37,Sat,Home,L,0,1,Sunderland,,,,4-2-3-1,Howard Webb,Match Report,
2014-05-06,,Premier League,Matchweek 34,Tue,Home,W,3,1,Hull City,,,,4-2-3-1,Craig Pawson,Match Report,
2014-05-11,,Premier League,Matchweek 38,Sun,Away,D,1,1,Southampton,,,,4-2-3-1,Mike Dean,Match Report,
