Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2014-08-16,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,W,1,0,Stoke City,37,27478,,4-2-3-1,Anthony Taylor,Match Report,
2014-08-23,12:45 (19:45),Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,40,30267,,4-3-3,Mike Dean,Match Report,
2014-08-27,19:45 (02:45),League Cup,Second round,Wed,Home,L,0,1,Leyton Orient,,17918,,,Carl Boyeson,Match Report,
2014-08-31,13:30 (20:30),Premier League,Matchweek 3,Sun,Home,W,2,1,Hull City,45,28336,,4-4-2,Mark Clattenburg,Match Report,
2014-09-13,17:30 (00:30),Premier League,Matchweek 4,Sat,Away,W,1,0,Liverpool,25,44689,,4-3-3,Lee Mason,Match Report,
2014-09-20,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,L,0,3,Arsenal,29,40013,,4-5-1,Mike Jones,Match Report,
2014-09-27,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,L,0,3,Chelsea,38,41616,,4-3-3,Philip Dowd,Match Report,
2014-10-04,17:30 (00:30),Premier League,Matchweek 7,Sat,Home,L,0,2,Manchester City,32,32964,,4-3-3,Chris Foy,Match Report,
2014-10-18,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,L,0,3,Everton,39,39505,,4-3-3,Anthony Taylor,Match Report,
2014-10-27,20:00 (04:00),Premier League,Matchweek 9,Mon,Away,L,0,2,QPR,65,18022,,4-3-3,Lee Mason,Match Report,
2014-11-02,16:00 (00:00),Premier League,Matchweek 10,Sun,Home,L,1,2,Tottenham,40,32049,,4-3-3,Niel Swarbrick,Match Report,
2014-11-08,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,D,0,0,West Ham,42,34857,,4-3-3,Jonathan Moss,Match Report,
2014-11-24,20:00 (04:00),Premier League,Matchweek 12,Mon,Home,D,1,1,Southampton,36,25311,,4-3-3,Philip Dowd,Match Report,
2014-11-29,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,D,1,1,Burnley,53,19910,,4-3-3,Graham Scott,Match Report,
2014-12-02,20:00 (04:00),Premier League,Matchweek 14,Tue,Away,W,1,0,Crystal Palace,54,23935,,4-3-3,Michael Oliver,Match Report,
2014-12-07,16:00 (00:00),Premier League,Matchweek 15,Sun,Home,W,2,1,Leicester City,65,27692,,4-3-3,Craig Pawson,Match Report,
2014-12-13,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,L,0,1,West Brom,51,24684,,4-3-3,Mike Dean,Match Report,
2014-12-20,15:00 (23:00),Premier League,Matchweek 17,Sat,Home,D,1,1,Manchester Utd,35,41273,,5-3-2,Lee Mason,Match Report,
2014-12-26,15:00 (23:00),Premier League,Matchweek 18,Fri,Away,L,0,1,Swansea City,57,20683,,5-3-2,Roger East,Match Report,
2014-12-28,15:00 (23:00),Premier League,Matchweek 19,Sun,Home,D,0,0,Sunderland,48,35436,,4-3-1-2,Martin Atkinson,Match Report,
2015-01-01,15:00 (23:00),Premier League,Matchweek 20,Thu,Home,D,0,0,Crystal Palace,69,29047,,4-3-3,Robert Madley,Match Report,
2015-01-04,15:00 (23:00),FA Cup,Third round,Sun,Home,W,1,0,Blackpool,,21837,,,Chris Foy,Match Report,
2015-01-10,15:00 (23:00),Premier League,Matchweek 21,Sat,Away,L,0,1,Leicester City,62,31728,,4-3-3,Michael Oliver,Match Report,
2015-01-17,15:00 (23:00),Premier League,Matchweek 22,Sat,Home,L,0,2,Liverpool,49,39758,,4-3-3,Mark Clattenburg,Match Report,
2015-01-25,15:00 (23:00),FA Cup,Fourth round,Sun,Home,W,2,1,Bournemouth,,27415,,,Mike Dean,Match Report,
2015-02-01,13:30 (21:30),Premier League,Matchweek 23,Sun,Away,L,0,5,Arsenal,52,59958,,4-3-3,Anthony Taylor,Match Report,
2015-02-07,15:00 (23:00),Premier League,Matchweek 24,Sat,Home,L,1,2,Chelsea,51,35969,,4-5-1,Niel Swarbrick,Match Report,
2015-02-10,19:45 (03:45),Premier League,Matchweek 25,Tue,Away,L,0,2,Hull City,62,21467,,4-3-3,Michael Oliver,Match Report,
2015-02-15,12:30 (20:30),FA Cup,Fifth round,Sun,Home,W,2,1,Leicester City,,28098,,,Mark Clattenburg,Match Report,
2015-02-21,15:00 (23:00),Premier League,Matchweek 26,Sat,Home,L,1,2,Stoke City,52,31880,,4-3-3,Roger East,Match Report,
2015-02-28,15:00 (23:00),Premier League,Matchweek 27,Sat,Away,L,0,1,Newcastle Utd,51,51573,,4-3-3,Lee Mason,Match Report,
2015-03-03,19:45 (03:45),Premier League,Matchweek 28,Tue,Home,W,2,1,West Brom,58,31272,,4-1-2-1-2◆,Jonathan Moss,Match Report,
2015-03-07,17:30 (01:30),FA Cup,Quarter-finals,Sat,Home,W,2,0,West Brom,,39592,,,Anthony Taylor,Match Report,
2015-03-14,15:00 (23:00),Premier League,Matchweek 29,Sat,Away,W,4,0,Sunderland,60,45746,,4-4-2,Niel Swarbrick,Match Report,
