Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2014-08-18,20:00 (03:00),Premier League,Matchweek 1,Mon,Home,L,1,3,Chelsea,39,20699,,4-4-1-1,Michael Oliver,Match Report,
2014-08-23,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,L,0,1,Swansea City,45,20565,,4-4-1-1,Craig Pawson,Match Report,
2014-08-26,19:45 (02:45),League Cup,Second round,Tue,Home,L,0,1,Sheffield Weds,,4979,,,Geoff Eltringham,Match Report,
2014-08-30,12:45 (19:45),Premier League,Matchweek 3,Sat,Home,D,0,0,Manchester Utd,36,21099,,4-4-2,Chris Foy,Match Report,
2014-09-13,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,D,0,0,Crystal Palace,55,23829,,4-4-2,Mike Dean,Match Report,
2014-09-20,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,D,0,0,Sunderland,44,20026,,4-4-2,Anthony Taylor,Match Report,
2014-09-28,16:00 (23:00),Premier League,Matchweek 6,Sun,Away,L,0,4,West Brom,37,24286,,4-5-1,Jonathan Moss,Match Report,
2014-10-04,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,D,2,2,Leicester City,47,31448,,4-4-1-1,Philip Dowd,Match Report,
2014-10-18,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,L,1,3,West Ham,47,18936,,4-4-1-1,Kevin Friend,Match Report,
2014-10-26,13:30 (21:30),Premier League,Matchweek 9,Sun,Home,L,1,3,Everton,38,19927,,4-4-1-1,Andre Marriner,Match Report,
2014-11-01,15:00 (23:00),Premier League,Matchweek 10,Sat,Away,L,0,3,Arsenal,32,60012,,4-4-1-1,Craig Pawson,Match Report,
2014-11-08,15:00 (23:00),Premier League,Matchweek 11,Sat,Home,W,1,0,Hull City,47,16998,,4-4-1-1,Mark Clattenburg,Match Report,
2014-11-22,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,W,2,1,Stoke City,27,27018,,4-4-1-1,Martin Atkinson,Match Report,
2014-11-29,15:00 (23:00),Premier League,Matchweek 13,Sat,Home,D,1,1,Aston Villa,47,19910,,4-4-1-1,Graham Scott,Match Report,
2014-12-02,19:45 (03:45),Premier League,Matchweek 14,Tue,Home,D,1,1,Newcastle Utd,42,18791,,4-4-2,Philip Dowd,Match Report,
2014-12-06,15:00 (23:00),Premier League,Matchweek 15,Sat,Away,L,0,2,QPR,49,17785,,4-4-2,Jonathan Moss,Match Report,
2014-12-13,15:00 (23:00),Premier League,Matchweek 16,Sat,Home,W,1,0,Southampton,40,17287,,4-4-2,Mark Clattenburg,Match Report,
2014-12-20,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,L,1,2,Tottenham,35,35681,,4-4-2,Jonathan Moss,Match Report,
2014-12-26,15:00 (23:00),Premier League,Matchweek 18,Fri,Home,L,0,1,Liverpool,48,21335,,4-4-2,Anthony Taylor,Match Report,
2014-12-28,15:00 (23:00),Premier League,Matchweek 19,Sun,Away,D,2,2,Manchester City,38,45608,,4-4-2,Kevin Friend,Match Report,
2015-01-01,15:00 (23:00),Premier League,Matchweek 20,Thu,Away,D,3,3,Newcastle Utd,49,51761,,4-4-2,Mike Dean,Match Report,
2015-01-05,19:45 (03:45),FA Cup,Third round,Mon,Home,D,1,1,Tottenham,,9348,,,Roger East,Match Report,
2015-01-10,15:00 (23:00),Premier League,Matchweek 21,Sat,Home,W,2,1,QPR,45,17523,,4-4-1-1,Andre Marriner,Match Report,
2015-01-14,20:00 (04:00),FA Cup,Third round,Wed,Away,L,2,4,Tottenham,,24367,,,Craig Pawson,Match Report,
2015-01-17,15:00 (23:00),Premier League,Matchweek 22,Sat,Home,L,2,3,Crystal Palace,51,17782,,4-4-2,Philip Dowd,Match Report,
2015-01-31,15:00 (23:00),Premier League,Matchweek 23,Sat,Away,L,0,2,Sunderland,50,44022,,4-4-1-1,Lee Mason,Match Report,
