Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2014-08-17,16:00 (23:00),Premier League,Matchweek 1,Sun,Away,W,2,0,Newcastle Utd,56,50816,,4-4-2,Martin Atkinson,Match Report,
2014-08-25,20:00 (03:00),Premier League,Matchweek 2,Mon,Home,W,3,1,Liverpool,53,45471,,4-4-1-1,Michael Oliver,Match Report,
2014-08-30,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,L,0,1,Stoke City,72,45622,,4-4-1-1,Lee Mason,Match Report,
2014-09-13,12:45 (19:45),Premier League,Matchweek 4,Sat,Away,D,2,2,Arsenal,55,60003,,4-2-3-1,Mark Clattenburg,Match Report,
2014-09-17,20:45 (02:45),Champions Lg,Group stage,Wed,Away,L,0,1,de Bayern Munich,42,68000,,4-4-1-1,Alberto Undiano,Match Report,
2014-09-21,16:00 (23:00),Premier League,Matchweek 5,Sun,Home,D,1,1,Chelsea,59,45602,,4-4-2,Mike Dean,Match Report,
2014-09-24,19:45 (02:45),League Cup,Third round,Wed,Home,W,7,0,Sheffield Weds,,32346,,,Paul Tierney,Match Report,
2014-09-27,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,W,4,2,Hull City,60,22859,,4-4-2,Anthony Taylor,Match Report,
2014-09-30,19:45 (02:45),Champions Lg,Group stage,Tue,Home,D,1,1,it Roma,65,37509,,4-4-2,Björn Kuipers,Match Report,
2014-10-04,17:30 (00:30),Premier League,Matchweek 7,Sat,Away,W,2,0,Aston Villa,68,32964,,4-4-2,Chris Foy,Match Report,
2014-10-18,12:45 (19:45),Premier League,Matchweek 8,Sat,Home,W,4,1,Tottenham,62,45549,,4-2-3-1,Jonathan Moss,Match Report,
2014-10-21,20:00 (00:00),Champions Lg,Group stage,Tue,Away,D,2,2,ru CSKA Moscow,55,,,4-4-2,István Vad II,Match Report,
2014-10-25,12:45 (19:45),Premier League,Matchweek 9,Sat,Away,L,1,2,West Ham,70,34977,,4-4-2,Martin Atkinson,Match Report,
2014-10-29,19:45 (03:45),League Cup,Fourth round,Wed,Home,L,0,2,Newcastle Utd,,40752,,,Stuart Attwell,Match Report,
2014-11-02,13:30 (21:30),Premier League,Matchweek 10,Sun,Home,W,1,0,Manchester Utd,52,45358,,4-4-2,Michael Oliver,Match Report,
2014-11-05,19:45 (03:45),Champions Lg,Group stage,Wed,Home,L,1,2,ru CSKA Moscow,62,42000,,4-4-2,Tasos Sidiropoulos,Match Report,
2014-11-08,17:30 (01:30),Premier League,Matchweek 11,Sat,Away,D,2,2,QPR,59,18005,,4-2-3-1,Mike Dean,Match Report,
2014-11-22,15:00 (23:00),Premier League,Matchweek 12,Sat,Home,W,2,1,Swansea City,59,45448,,4-4-1-1,Niel Swarbrick,Match Report,
2014-11-25,19:45 (03:45),Champions Lg,Group stage,Tue,Home,W,3,2,de Bayern Munich,49,44510,,4-1-4-1,Pavel Královec,Match Report,
2014-11-30,13:30 (21:30),Premier League,Matchweek 13,Sun,Away,W,3,0,Southampton,48,30919,,4-4-2,Mark Jones,Match Report,
2014-12-03,19:45 (03:45),Premier League,Matchweek 14,Wed,Away,W,4,1,Sunderland,65,41152,,4-4-1-1,Craig Pawson,Match Report,
2014-12-06,17:30 (01:30),Premier League,Matchweek 15,Sat,Home,W,1,0,Everton,51,45603,,4-4-1-1,Andre Marriner,Match Report,
2014-12-10,20:45 (03:45),Champions Lg,Group stage,Wed,Away,W,2,0,it Roma,46,54119,,4-4-1-1,Milorad Mažić,Match Report,
2014-12-13,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,W,1,0,Leicester City,57,31643,,4-2-3-1,Jonathan Moss,Match Report,
2014-12-20,12:45 (20:45),Premier League,Matchweek 17,Sat,Home,W,3,0,Crystal Palace,73,45302,,4-2-3-1,Philip Dowd,Match Report,
2014-12-26,15:00 (23:00),Premier League,Matchweek 18,Fri,Away,W,3,1,West Brom,52,26040,,4-2-3-1,Mark Clattenburg,Match Report,
2014-12-28,15:00 (23:00),Premier League,Matchweek 19,Sun,Home,D,2,2,Burnley,62,45608,,4-2-3-1,Kevin Friend,Match Report,
2015-01-01,15:00 (23:00),Premier League,Matchweek 20,Thu,Home,W,3,2,Sunderland,64,45367,,4-2-3-1,Chris Foy,Match Report,
2015-01-04,15:00 (23:00),FA Cup,Third round,Sun,Home,W,2,1,Sheffield Weds,,44309,,,Michael Oliver,Match Report,
2015-01-10,15:00 (23:00),Premier League,Matchweek 21,Sat,Away,D,1,1,Everton,62,39499,,4-2-3-1,Martin Atkinson,Match Report,
2015-01-18,16:00 (00:00),Premier League,Matchweek 22,Sun,Home,L,0,2,Arsenal,65,45596,,4-2-3-1,Mike Dean,Match Report,
2015-01-24,15:00 (23:00),FA Cup,Fourth round,Sat,Home,L,0,2,Middlesbrough,,44836,,,Philip Dowd,Match Report,
2015-01-31,17:30 (01:30),Premier League,Matchweek 23,Sat,Away,D,1,1,Chelsea,57,41620,,4-2-3-1,Mark Clattenburg,Match Report,
2015-02-07,15:00 (23:00),Premier League,Matchweek 24,Sat,Home,D,1,1,Hull City,74,45233,,4-4-2,Jonathan Moss,Match Report,
2015-02-11,19:45 (03:45),Premier League,Matchweek 25,Wed,Away,W,4,1,Stoke City,49,27011,,4-4-1-1,Lee Mason,Match Report,
2015-02-21,17:30 (01:30),Premier League,Matchweek 26,Sat,Home,W,5,0,Newcastle Utd,57,45602,,4-4-2,Chris Foy,Match Report,
2015-02-24,19:45 (03:45),Champions Lg,Round of 16,Tue,Home,L,1,2,es Barcelona,38,45550,,4-4-2,Felix Brych,Match Report,Leg 1 of 2
2015-03-01,12:00 (20:00),Premier League,Matchweek 27,Sun,Away,L,1,2,Liverpool,52,44590,,4-4-2,Mark Clattenburg,Match Report,
2015-03-04,19:45 (03:45),Premier League,Matchweek 28,Wed,Home,W,2,0,Leicester City,70,45000,,4-4-2,Robert Madley,Match Report,
2015-03-14,17:30 (01:30),Premier League,Matchweek 29,Sat,Away,L,0,1,Burnley,70,21216,,4-4-2,Andre Marriner,Match Report,
2015-03-18,20:45 (03:45),Champions Lg,Round of 16,Wed,Away,L,0,1,es Barcelona,41,92551,,4-4-1-1,Gianluca Rocchi,Match Report,Leg 2 of 2; Barcelona won
2015-03-21,12:45 (20:45),Premier League,Matchweek 30,Sat,Home,W,3,0,West Brom,78,45018,,4-4-2,Niel Swarbrick,Match Report,
2015-04-06,20:00 (03:00),Premier League,Matchweek 31,Mon,Away,L,1,2,Crystal Palace,74,24718,,4-4-2,Michael Oliver,Match Report,
2015-04-12,16:00 (23:00),Premier League,Matchweek 32,Sun,Away,L,2,4,Manchester Utd,41,75313,,4-4-1-1,Mark Clattenburg,Match Report,
2015-04-19,13:30 (20:30),Premier League,Matchweek 33,Sun,Home,W,2,0,West Ham,67,45041,,4-2-3-1,Anthony Taylor,Match Report,
