Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2014-08-16,15:00 (22:00),Premier League,Matchweek 1,Sat,Home,L,0,1,Hull City,51,17603,,3-5-2,Craig Pawson,Match Report,
2014-08-24,13:30 (20:30),Premier League,Matchweek 2,Sun,Away,L,0,4,Tottenham,35,36109,,3-5-2,Anthony Taylor,Match Report,
2014-08-27,19:45 (02:45),League Cup,Second round,Wed,Away,L,0,1,Burton Albion,,3999,,,Paul Tierney,Match Report,
2014-08-30,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,W,1,0,Sunderland,40,17930,,4-4-1-1,Robert Madley,Match Report,
2014-09-14,16:00 (23:00),Premier League,Matchweek 4,Sun,Away,L,0,4,Manchester Utd,32,75355,,4-4-1-1,Philip Dowd,Match Report,
2014-09-20,12:45 (19:45),Premier League,Matchweek 5,Sat,Home,D,2,2,Stoke City,53,16163,,4-1-2-1-2◆,Martin Atkinson,Match Report,
2014-09-27,15:00 (22:00),Premier League,Matchweek 6,Sat,Away,L,1,2,Southampton,45,30504,,4-4-1-1,Mark Clattenburg,Match Report,
2014-10-05,16:15 (23:15),Premier League,Matchweek 7,Sun,Away,L,0,2,West Ham,52,34907,,4-5-1,Anthony Taylor,Match Report,
2014-10-19,13:30 (20:30),Premier League,Matchweek 8,Sun,Home,L,2,3,Liverpool,44,18069,,4-4-2,Philip Dowd,Match Report,
2014-10-27,20:00 (04:00),Premier League,Matchweek 9,Mon,Home,W,2,0,Aston Villa,35,18022,,4-4-2,Lee Mason,Match Report,
2014-11-01,15:00 (23:00),Premier League,Matchweek 10,Sat,Away,L,1,2,Chelsea,36,41486,,4-4-1-1,Mike Jones,Match Report,
2014-11-08,17:30 (01:30),Premier League,Matchweek 11,Sat,Home,D,2,2,Manchester City,41,18005,,4-4-2,Mike Dean,Match Report,
2014-11-22,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,L,0,1,Newcastle Utd,46,51915,,4-4-2,Chris Foy,Match Report,
2014-11-29,15:00 (23:00),Premier League,Matchweek 13,Sat,Home,W,3,2,Leicester City,59,18054,,4-4-2,Roger East,Match Report,
2014-12-02,19:45 (03:45),Premier League,Matchweek 14,Tue,Away,L,0,2,Swansea City,41,20145,,4-2-3-1,Kevin Friend,Match Report,
2014-12-06,15:00 (23:00),Premier League,Matchweek 15,Sat,Home,W,2,0,Burnley,51,17785,,4-4-2,Jonathan Moss,Match Report,
2014-12-15,20:00 (04:00),Premier League,Matchweek 16,Mon,Away,L,1,3,Everton,47,34035,,4-5-1,Niel Swarbrick,Match Report,
2014-12-20,15:00 (23:00),Premier League,Matchweek 17,Sat,Home,W,3,2,West Brom,43,17560,,4-4-2,Craig Pawson,Match Report,
2014-12-26,17:30 (01:30),Premier League,Matchweek 18,Fri,Away,L,1,2,Arsenal,44,59947,,3-5-2,Martin Atkinson,Match Report,
2014-12-28,15:00 (23:00),Premier League,Matchweek 19,Sun,Home,D,0,0,Crystal Palace,54,18011,,4-4-2,Mike Jones,Match Report,
2015-01-01,15:00 (23:00),Premier League,Matchweek 20,Thu,Home,D,1,1,Swansea City,41,17729,,4-4-2,Anthony Taylor,Match Report,
2015-01-04,13:00 (21:00),FA Cup,Third round,Sun,Home,L,0,3,Sheffield Utd,,12972,,,Mark Clattenburg,Match Report,
2015-01-10,15:00 (23:00),Premier League,Matchweek 21,Sat,Away,L,1,2,Burnley,55,17523,,4-4-1-1,Andre Marriner,Match Report,
2015-01-17,15:00 (23:00),Premier League,Matchweek 22,Sat,Home,L,0,2,Manchester Utd,38,18098,,4-4-2,Niel Swarbrick,Match Report,
2015-01-31,15:00 (23:00),Premier League,Matchweek 23,Sat,Away,L,1,3,Stoke City,49,27512,,4-1-4-1,Mike Dean,Match Report,
2015-02-07,15:00 (23:00),Premier League,Matchweek 24,Sat,Home,L,0,1,Southampton,46,18082,,4-4-1-1,Roger East,Match Report,
2015-02-10,19:45 (03:45),Premier League,Matchweek 25,Tue,Away,W,2,0,Sunderland,47,39077,,4-2-3-1,Martin Atkinson,Match Report,
2015-02-21,15:00 (23:00),Premier League,Matchweek 26,Sat,Away,L,1,2,Hull City,46,24466,,4-4-2,Anthony Taylor,Match Report,
2015-03-04,19:45 (03:45),Premier League,Matchweek 28,Wed,Home,L,1,2,Arsenal,43,17977,,4-4-2,Kevin Friend,Match Report,
2015-03-07,15:00 (23:00),Premier League,Matchweek 27,Sat,Home,L,1,2,Tottenham,38,17992,,4-4-2,Craig Pawson,Match Report,
2015-03-14,12:45 (20:45),Premier League,Matchweek 29,Sat,Away,L,1,3,Crystal Palace,57,24886,,4-4-1-1,Lee Mason,Match Report,
2015-03-22,16:00 (00:00),Premier League,Matchweek 30,Sun,Home,L,1,2,Everton,52,17706,,4-4-2,Jonathan Moss,Match Report,
