Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-08-08,15:00 (22:00),Premier League,Matchweek 1,Sat,Home,L,1,3,Crystal Palace,63,27036,Russell Martin,4-1-4-1,Simon Hooper,Match Report,
2015-08-15,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,W,3,1,Sunderland,56,41379,Russell Martin,4-2-3-1,Kevin Friend,Match Report,
2015-08-22,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,D,1,1,Stoke City,43,26771,Russell Martin,4-4-1-1,Mike Dean,Match Report,
2015-08-25,19:45 (02:45),League Cup,Second round,Tue,Away,W,2,1,Rotherham Utd,,5648,,,Kevin Wright,Match Report,
2015-08-30,13:30 (20:30),Premier League,Matchweek 4,Sun,Away,L,0,3,Southampton,39,29573,Russell Martin,4-4-1-1,Jonathan Moss,Match Report,
2015-09-12,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,W,3,1,Bournemouth,48,27018,Russell Martin,4-4-1-1,Martin Atkinson,Match Report,
2015-09-20,16:00 (23:00),Premier League,Matchweek 6,Sun,Away,D,1,1,Liverpool,41,44072,Russell Martin,4-1-4-1,Anthony Taylor,Match Report,
2015-09-23,19:45 (02:45),League Cup,Third round,Wed,Home,W,3,0,West Brom,,19015,,,Craig Pawson,Match Report,
2015-09-26,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,D,2,2,West Ham,57,34857,Russell Martin,4-2-3-1,Mike Dean,Match Report,
2015-10-03,15:00 (22:00),Premier League,Matchweek 8,Sat,Home,L,1,2,Leicester City,66,27067,Russell Martin,4-4-1-1,Mark Clattenburg,Match Report,
2015-10-18,16:00 (23:00),Premier League,Matchweek 9,Sun,Away,L,2,6,Newcastle Utd,56,47006,Russell Martin,4-1-4-1,Anthony Taylor,Match Report,
2015-10-24,15:00 (22:00),Premier League,Matchweek 10,Sat,Home,L,0,1,West Brom,61,26983,Russell Martin,4-1-4-1,Kevin Friend,Match Report,
2015-10-27,19:45 (03:45),League Cup,Fourth round,Tue,Away,D,1 (3),1 (4),Everton,,31694,,4-2-3-1,Roger East,Match Report,Everton won on penalty kicks following extra time
2015-10-31,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,L,1,2,Manchester City,29,53418,Russell Martin,5-4-1,Robert Madley,Match Report,
2015-11-07,15:00 (23:00),Premier League,Matchweek 12,Sat,Home,W,1,0,Swansea City,33,27029,Alexander Tettey,4-4-1-1,Mark Clattenburg,Match Report,
2015-11-21,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,L,0,1,Chelsea,36,41582,Gary O'Neil,4-4-1-1,Craig Pawson,Match Report,
2015-11-29,16:15 (00:15),Premier League,Matchweek 14,Sun,Home,D,1,1,Arsenal,37,27091,Gary O'Neil,4-4-1-1,Jonathan Moss,Match Report,
2015-12-05,15:00 (23:00),Premier League,Matchweek 15,Sat,Away,L,0,2,Watford,50,20422,Alexander Tettey,4-1-4-1,Mike Dean,Match Report,
2015-12-12,12:45 (20:45),Premier League,Matchweek 16,Sat,Home,D,1,1,Everton,41,27027,Russell Martin,4-2-3-1,Martin Atkinson,Match Report,
