Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-08-08,15:00 (22:00),Premier League,Matchweek 1,Sat,Away,W,3,1,Norwich City,37,27036,Damien Delaney,4-4-1-1,Simon Hooper,Match Report,
2015-08-16,13:30 (20:30),Premier League,Matchweek 2,Sun,Home,L,1,2,Arsenal,41,24732,Damien Delaney,4-5-1,Lee Mason,Match Report,
2015-08-22,15:00 (22:00),Premier League,Matchweek 3,Sat,Home,W,2,1,Aston Villa,50,25295,Damien Delaney,4-2-3-1,Keith Stroud,Match Report,
2015-08-25,19:45 (02:45),League Cup,Second round,Tue,Home,W,4,1,Shrewsbury,,10978,,,Darren Bond,Match Report,Required Extra Time
2015-08-29,15:00 (22:00),Premier League,Matchweek 4,Sat,Away,W,2,1,Chelsea,36,41581,Damien Delaney,4-2-3-1,Craig Pawson,Match Report,
2015-09-12,15:00 (22:00),Premier League,Matchweek 5,Sat,Home,L,0,1,Manchester City,42,25167,Scott Dann,4-2-3-1,Mike Jones,Match Report,
2015-09-20,13:30 (20:30),Premier League,Matchweek 6,Sun,Away,L,0,1,Tottenham,43,35723,Damien Delaney,4-2-3-1,Michael Oliver,Match Report,
2015-09-23,19:45 (02:45),League Cup,Third round,Wed,Home,W,4,1,Charlton Ath,,16576,,,Niel Swarbrick,Match Report,
2015-09-27,16:00 (23:00),Premier League,Matchweek 7,Sun,Away,W,1,0,Watford,45,20168,Scott Dann,4-2-3-1,Anthony Taylor,Match Report,
2015-10-03,12:45 (19:45),Premier League,Matchweek 8,Sat,Home,W,2,0,West Brom,60,24033,Scott Dann,4-3-3,Jonathan Moss,Match Report,
2015-10-17,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,L,1,3,West Ham,39,24812,Scott Dann,4-2-3-1,Mark Clattenburg,Match Report,
2015-10-24,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,L,0,1,Leicester City,52,31752,Wayne Hennessey,4-2-3-1,Mike Dean,Match Report,
2015-10-28,19:45 (03:45),League Cup,Fourth round,Wed,Away,L,1,5,Manchester City,,40585,,4-2-3-1,Paul Tierney,Match Report,
2015-10-31,15:00 (23:00),Premier League,Matchweek 11,Sat,Home,D,0,0,Manchester Utd,45,24854,Damien Delaney,4-1-4-1,Mike Jones,Match Report,
2015-11-08,16:00 (00:00),Premier League,Matchweek 12,Sun,Away,W,2,1,Liverpool,36,44115,Damien Delaney,4-4-2,Niel Swarbrick,Match Report,
2015-11-23,20:00 (04:00),Premier League,Matchweek 13,Mon,Home,L,0,1,Sunderland,67,24361,Damien Delaney,4-2-3-1,Martin Atkinson,Match Report,
2015-11-28,15:00 (23:00),Premier League,Matchweek 14,Sat,Home,W,5,1,Newcastle Utd,54,24833,Damien Delaney,4-1-4-1,Stuart Attwell,Match Report,
2015-12-07,20:00 (04:00),Premier League,Matchweek 15,Mon,Away,D,1,1,Everton,38,35736,Mile Jedinak,4-1-4-1,Craig Pawson,Match Report,
2015-12-12,15:00 (23:00),Premier League,Matchweek 16,Sat,Home,W,1,0,Southampton,44,24914,Damien Delaney,4-4-2,Mike Dean,Match Report,
2015-12-19,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,W,2,1,Stoke City,42,27500,Damien Delaney,4-4-2,Robert Madley,Match Report,
2015-12-26,15:00 (23:00),Premier League,Matchweek 18,Sat,Away,D,0,0,Bournemouth,45,11218,Damien Delaney,4-4-2,Michael Oliver,Match Report,
2015-12-28,15:00 (23:00),Premier League,Matchweek 19,Mon,Home,D,0,0,Swansea City,54,23714,Mile Jedinak,4-2-3-1,Niel Swarbrick,Match Report,
