Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-07-30,20:05 (03:05),Europa Lg,Third qualifying round,Thu,Home,W,3,0,nl Vitesse,,30050,José Fonte,4-4-2,Jesús Gil,Match Report,Leg 1 of 2
2015-08-06,20:00 (02:00),Europa Lg,Third qualifying round,Thu,Away,W,2,0,nl Vitesse,,20550,José Fonte,4-3-3,Ilias Spathas,Match Report,Leg 2 of 2; Southampton won
2015-08-09,13:30 (20:30),Premier League,Matchweek 1,Sun,Away,D,2,2,Newcastle Utd,44,49019,José Fonte,4-2-3-1,Craig Pawson,Match Report,
2015-08-15,12:45 (19:45),Premier League,Matchweek 2,Sat,Home,L,0,3,Everton,54,30966,José Fonte,4-2-3-1,Michael Oliver,Match Report,
2015-08-20,20:00 (03:00),Europa Lg,Play-off round,Thu,Home,D,1,1,dk Midtjylland,,28890,José Fonte,4-3-1-2,Clément Turpin,Match Report,Leg 1 of 2
2015-08-23,16:00 (23:00),Premier League,Matchweek 3,Sun,Away,D,0,0,Watford,48,20166,José Fonte,3-4-1-2,Andre Marriner,Match Report,
2015-08-27,20:45 (02:45),Europa Lg,Play-off round,Thu,Away,L,0,1,dk Midtjylland,,9481,José Fonte,4-3-1-2,Liran Liany,Match Report,Leg 2 of 2; Midtjylland won
2015-08-30,13:30 (20:30),Premier League,Matchweek 4,Sun,Home,W,3,0,Norwich City,61,29573,José Fonte,4-2-3-1,Jonathan Moss,Match Report,
2015-09-12,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,D,0,0,West Brom,65,24265,José Fonte,4-1-4-1,Stuart Attwell,Match Report,
2015-09-20,16:00 (23:00),Premier League,Matchweek 6,Sun,Home,L,2,3,Manchester Utd,41,31588,José Fonte,4-2-3-1,Mark Clattenburg,Match Report,
2015-09-23,19:45 (02:45),League Cup,Third round,Wed,Away,W,6,0,MK Dons,,10189,,,Keith Stroud,Match Report,
2015-09-26,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,W,3,1,Swansea City,42,30704,José Fonte,4-2-3-1,Roger East,Match Report,
2015-10-03,17:30 (00:30),Premier League,Matchweek 8,Sat,Away,W,3,1,Chelsea,40,41642,José Fonte,4-2-3-1,Robert Madley,Match Report,
2015-10-17,15:00 (22:00),Premier League,Matchweek 9,Sat,Home,D,2,2,Leicester City,51,30966,José Fonte,4-1-4-1,Paul Tierney,Match Report,
2015-10-25,16:15 (00:15),Premier League,Matchweek 10,Sun,Away,D,1,1,Liverpool,40,44171,José Fonte,4-2-3-1,Andre Marriner,Match Report,
2015-10-28,19:45 (03:45),League Cup,Fourth round,Wed,Home,W,2,1,Aston Villa,,31314,,4-2-3-1,Keith Stroud,Match Report,
2015-11-01,16:00 (00:00),Premier League,Matchweek 11,Sun,Home,W,2,0,Bournemouth,49,31229,José Fonte,4-2-3-1,Craig Pawson,Match Report,
2015-11-07,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,W,1,0,Sunderland,64,41781,José Fonte,4-1-4-1,Mike Jones,Match Report,
2015-11-21,15:00 (23:00),Premier League,Matchweek 13,Sat,Home,L,0,1,Stoke City,58,30039,José Fonte,4-2-3-1,Lee Mason,Match Report,
2015-11-28,15:00 (23:00),Premier League,Matchweek 14,Sat,Away,L,1,3,Manchester City,54,54102,José Fonte,4-1-4-1,Roger East,Match Report,
2015-12-02,19:45 (03:45),League Cup,Quarter-finals,Wed,Home,L,1,6,Liverpool,,31592,,4-2-3-1,Robert Madley,Match Report,
2015-12-05,15:00 (23:00),Premier League,Matchweek 15,Sat,Home,D,1,1,Aston Villa,63,29645,José Fonte,4-2-3-1,Anthony Taylor,Match Report,
2015-12-12,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,L,0,1,Crystal Palace,56,24914,José Fonte,3-4-3,Mike Dean,Match Report,
2015-12-19,15:00 (23:00),Premier League,Matchweek 17,Sat,Home,L,0,2,Tottenham,51,31636,José Fonte,4-2-3-1,Kevin Friend,Match Report,
2015-12-26,19:45 (03:45),Premier League,Matchweek 18,Sat,Home,W,4,0,Arsenal,35,31669,José Fonte,4-2-3-1,Jonathan Moss,Match Report,
2015-12-28,17:30 (01:30),Premier League,Matchweek 19,Mon,Away,L,1,2,West Ham,51,34977,José Fonte,4-2-3-1,Michael Oliver,Match Report,
2016-01-02,15:00 (23:00),Premier League,Matchweek 20,Sat,Away,L,0,1,Norwich City,58,27022,José Fonte,4-2-3-1,Mark Clattenburg,Match Report,
2016-01-09,15:00 (23:00),FA Cup,Third round,Sat,Home,L,1,2,Crystal Palace,,60763,,,Lee Mason,Match Report,
2016-01-13,19:45 (03:45),Premier League,Matchweek 21,Wed,Home,W,2,0,Watford,51,28399,José Fonte,4-2-3-1,Craig Pawson,Match Report,
2016-01-16,15:00 (23:00),Premier League,Matchweek 22,Sat,Home,W,3,0,West Brom,56,29622,José Fonte,3-4-3,Martin Atkinson,Match Report,
2016-01-23,15:00 (23:00),Premier League,Matchweek 23,Sat,Away,W,1,0,Manchester Utd,45,75408,José Fonte,3-4-3,Mike Jones,Match Report,
2016-02-02,19:45 (03:45),Premier League,Matchweek 24,Tue,Away,D,0,0,Arsenal,33,60044,José Fonte,4-2-3-1,Lee Mason,Match Report,
2016-02-06,17:30 (01:30),Premier League,Matchweek 25,Sat,Home,W,1,0,West Ham,35,29161,José Fonte,3-4-3,Mark Clattenburg,Match Report,
2016-02-13,15:00 (23:00),Premier League,Matchweek 26,Sat,Away,W,1,0,Swansea City,46,20890,José Fonte,3-5-2,Jonathan Moss,Match Report,
2016-02-27,15:00 (23:00),Premier League,Matchweek 27,Sat,Home,L,1,2,Chelsea,35,31688,José Fonte,3-5-2,Martin Atkinson,Match Report,
2016-03-01,19:45 (03:45),Premier League,Matchweek 28,Tue,Away,L,0,2,Bournemouth,55,11033,José Fonte,3-4-3,Mike Dean,Match Report,
2016-03-05,15:00 (23:00),Premier League,Matchweek 29,Sat,Home,D,1,1,Sunderland,65,31458,José Fonte,4-2-3-1,Niel Swarbrick,Match Report,
2016-03-12,15:00 (23:00),Premier League,Matchweek 30,Sat,Away,W,2,1,Stoke City,39,27833,Steven Davis,4-4-2,Lee Mason,Match Report,
2016-03-20,13:30 (21:30),Premier League,Matchweek 31,Sun,Home,W,3,2,Liverpool,49,31596,José Fonte,4-4-2,Roger East,Match Report,
2016-04-03,13:30 (20:30),Premier League,Matchweek 32,Sun,Away,L,0,1,Leicester City,54,32071,José Fonte,3-4-3,Michael Oliver,Match Report,
2016-04-09,15:00 (22:00),Premier League,Matchweek 33,Sat,Home,W,3,1,Newcastle Utd,51,31542,José Fonte,4-2-3-1,Robert Madley,Match Report,
2016-04-16,15:00 (22:00),Premier League,Matchweek 34,Sat,Away,D,1,1,Everton,51,36761,José Fonte,4-4-2,Craig Pawson,Match Report,
2016-04-23,15:00 (22:00),Premier League,Matchweek 35,Sat,Away,W,4,2,Aston Villa,58,29729,José Fonte,4-2-3-1,Niel Swarbrick,Match Report,
2016-05-01,16:30 (23:30),Premier League,Matchweek 36,Sun,Home,W,4,2,Manchester City,40,31472,José Fonte,4-2-3-1,Andre Marriner,Match Report,
2016-05-08,13:30 (20:30),Premier League,Matchweek 37,Sun,Away,W,2,1,Tottenham,30,35748,José Fonte,4-2-3-1,Jonathan Moss,Match Report,
2016-05-15,15:00 (22:00),Premier League,Matchweek 38,Sun,Home,W,4,1,Crystal Palace,50,31313,José Fonte,4-2-3-1,Michael Oliver,Match Report,
