Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-08-09,16:00 (23:00),Premier League,Matchweek 1,Sun,Home,L,0,1,Liverpool,47,27654,Jack Butland,4-2-3-1,Anthony Taylor,Match Report,
2015-08-15,15:00 (22:00),Premier League,Matchweek 2,Sat,Away,D,2,2,Tottenham,47,36004,Glenn Whelan,4-2-3-1,Robert Madley,Match Report,
2015-08-22,15:00 (22:00),Premier League,Matchweek 3,Sat,Away,D,1,1,Norwich City,57,26771,Glenn Whelan,4-2-3-1,Mike Dean,Match Report,
2015-08-25,19:45 (02:45),League Cup,Second round,Tue,Away,D,1 (8),1 (7),Luton Town,,6099,,,Paul Tierney,Match Report,Stoke City won on penalty kicks following extra time
2015-08-29,15:00 (22:00),Premier League,Matchweek 4,Sat,Home,L,0,1,West Brom,49,26747,Glenn Whelan,4-2-3-1,Michael Oliver,Match Report,
2015-09-12,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,L,0,2,Arsenal,32,59963,Glenn Whelan,4-2-3-1,Jonathan Moss,Match Report,
2015-09-19,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,D,2,2,Leicester City,54,27642,Glenn Whelan,4-2-3-1,Andre Marriner,Match Report,
2015-09-22,19:45 (02:45),League Cup,Third round,Tue,Away,W,1,0,Fulham,,9100,,,Stuart Attwell,Match Report,
2015-09-26,15:00 (22:00),Premier League,Matchweek 7,Sat,Home,W,2,1,Bournemouth,44,27742,Glenn Whelan,4-2-3-1,Lee Mason,Match Report,
2015-10-03,15:00 (22:00),Premier League,Matchweek 8,Sat,Away,W,1,0,Aston Villa,44,33189,Glenn Whelan,4-2-3-1,Mike Jones,Match Report,
2015-10-19,20:00 (03:00),Premier League,Matchweek 9,Mon,Away,W,1,0,Swansea City,46,20044,Glenn Whelan,4-2-3-1,Robert Madley,Match Report,
2015-10-24,15:00 (22:00),Premier League,Matchweek 10,Sat,Home,L,0,2,Watford,66,27587,Glenn Whelan,4-2-3-1,Martin Atkinson,Match Report,
2015-10-27,19:45 (03:45),League Cup,Fourth round,Tue,Home,D,1 (5),1 (4),Chelsea,,24886,,4-2-3-1,Kevin Friend,Match Report,Stoke City won on penalty kicks following extra time
2015-10-31,15:00 (23:00),Premier League,Matchweek 11,Sat,Away,D,0,0,Newcastle Utd,48,47139,Ryan Shawcross,4-2-3-1,Roger East,Match Report,
2015-11-07,17:30 (01:30),Premier League,Matchweek 12,Sat,Home,W,1,0,Chelsea,37,27550,Ryan Shawcross,4-2-3-1,Anthony Taylor,Match Report,
2015-11-21,15:00 (23:00),Premier League,Matchweek 13,Sat,Away,W,1,0,Southampton,42,30039,Ryan Shawcross,4-2-3-1,Lee Mason,Match Report,
2015-11-28,15:00 (23:00),Premier League,Matchweek 14,Sat,Away,L,0,2,Sunderland,52,41516,Ryan Shawcross,4-2-3-1,Mike Dean,Match Report,
2015-12-01,19:45 (03:45),League Cup,Quarter-finals,Tue,Home,W,2,0,Sheffield Weds,,26779,,4-2-3-1,Mark Clattenburg,Match Report,
2015-12-05,12:45 (20:45),Premier League,Matchweek 15,Sat,Home,W,2,0,Manchester City,47,27264,Ryan Shawcross,4-5-1,Martin Atkinson,Match Report,
2015-12-12,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,D,0,0,West Ham,53,34857,Ryan Shawcross,4-3-3,Andre Marriner,Match Report,
2015-12-19,15:00 (23:00),Premier League,Matchweek 17,Sat,Home,L,1,2,Crystal Palace,58,27500,Ryan Shawcross,4-3-3,Robert Madley,Match Report,
2015-12-26,12:45 (20:45),Premier League,Matchweek 18,Sat,Home,W,2,0,Manchester Utd,42,27426,Ryan Shawcross,4-3-3,Kevin Friend,Match Report,
2015-12-28,15:00 (23:00),Premier League,Matchweek 19,Mon,Away,W,4,3,Everton,49,39340,Ryan Shawcross,4-2-3-1,Mark Clattenburg,Match Report,
2016-01-02,15:00 (23:00),Premier League,Matchweek 20,Sat,Away,L,1,2,West Brom,54,23218,Ryan Shawcross,4-2-3-1,Lee Mason,Match Report,
2016-01-05,20:00 (04:00),League Cup,Semi-finals,Tue,Home,L,0,1,Liverpool,,27369,,4-2-3-1,Anthony Taylor,Match Report,Leg 1 of 2
2016-01-09,15:00 (23:00),FA Cup,Third round,Sat,Away,W,2,1,Doncaster,,13299,,,Keith Stroud,Match Report,
2016-01-13,19:45 (03:45),Premier League,Matchweek 21,Wed,Home,W,3,1,Norwich City,64,27274,Ryan Shawcross,4-2-3-1,Niel Swarbrick,Match Report,
2016-01-17,16:15 (00:15),Premier League,Matchweek 22,Sun,Home,D,0,0,Arsenal,45,27683,Ryan Shawcross,4-2-3-1,Craig Pawson,Match Report,
2016-01-23,15:00 (23:00),Premier League,Matchweek 23,Sat,Away,L,0,3,Leicester City,55,32018,Ryan Shawcross,4-2-3-1,Mike Dean,Match Report,
2016-01-26,19:45 (03:45),League Cup,Semi-finals,Tue,Away,D,1 (5),0 (6),Liverpool,,43091,,4-2-3-1,Jonathan Moss,Match Report,Leg 2 of 2; Liverpool won; Liverpool won on penalty kicks following extra time
2016-01-30,15:00 (23:00),FA Cup,Fourth round,Sat,Away,L,0,1,Crystal Palace,,17062,,,Mark Clattenburg,Match Report,
2016-02-02,20:00 (04:00),Premier League,Matchweek 24,Tue,Away,L,0,3,Manchester Utd,53,75234,Glenn Whelan,4-2-3-1,Roger East,Match Report,
2016-02-06,15:00 (23:00),Premier League,Matchweek 25,Sat,Home,L,0,3,Everton,66,27733,Glenn Whelan,4-3-3,Andre Marriner,Match Report,
2016-02-13,15:00 (23:00),Premier League,Matchweek 26,Sat,Away,W,3,1,Bournemouth,34,10863,Glenn Whelan,4-2-3-1,Graham Scott,Match Report,
2016-02-27,15:00 (23:00),Premier League,Matchweek 27,Sat,Home,W,2,1,Aston Villa,55,27703,Glenn Whelan,4-2-3-1,Kevin Friend,Match Report,
2016-03-02,19:45 (03:45),Premier League,Matchweek 28,Wed,Home,W,1,0,Newcastle Utd,55,27331,Glenn Whelan,4-2-3-1,Niel Swarbrick,Match Report,
2016-03-05,15:00 (23:00),Premier League,Matchweek 29,Sat,Away,D,1,1,Chelsea,51,41381,Glenn Whelan,4-2-3-1,Mark Clattenburg,Match Report,
2016-03-12,15:00 (23:00),Premier League,Matchweek 30,Sat,Home,L,1,2,Southampton,61,27833,Ryan Shawcross,4-2-3-1,Lee Mason,Match Report,
2016-03-19,15:00 (23:00),Premier League,Matchweek 31,Sat,Away,W,2,1,Watford,48,20759,Glenn Whelan,4-2-3-1,Craig Pawson,Match Report,
2016-04-02,15:00 (22:00),Premier League,Matchweek 32,Sat,Home,D,2,2,Swansea City,47,27649,Glenn Whelan,4-2-3-1,Martin Atkinson,Match Report,
