Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-08-08,17:30 (00:30),Premier League,Matchweek 1,Sat,Away,D,2,2,Chelsea,48,41232,Ashley Williams,4-2-3-1,Michael Oliver,Match Report,
2015-08-15,15:00 (22:00),Premier League,Matchweek 2,Sat,Home,W,2,0,Newcastle Utd,66,20678,Ashley Williams,4-2-3-1,Mike Jones,Match Report,
2015-08-22,15:00 (22:00),Premier League,Matchweek 3,Sat,Away,D,1,1,Sunderland,61,39198,Ashley Williams,4-2-3-1,Niel Swarbrick,Match Report,
2015-08-25,19:45 (02:45),League Cup,Second round,Tue,Home,W,3,0,York City,,10174,,,James Adcock,Match Report,
2015-08-30,16:00 (23:00),Premier League,Matchweek 4,Sun,Home,W,2,1,Manchester Utd,36,20828,Ashley Williams,4-2-3-1,Martin Atkinson,Match Report,
2015-09-12,15:00 (22:00),Premier League,Matchweek 5,Sat,Away,L,0,1,Watford,61,20057,Ashley Williams,4-2-3-1,Robert Madley,Match Report,
2015-09-19,15:00 (22:00),Premier League,Matchweek 6,Sat,Home,D,0,0,Everton,48,20805,Ashley Williams,4-2-3-1,Stuart Attwell,Match Report,
2015-09-22,19:45 (02:45),League Cup,Third round,Tue,Away,L,0,1,Hull City,,16286,,,James Linington,Match Report,
2015-09-26,15:00 (22:00),Premier League,Matchweek 7,Sat,Away,L,1,3,Southampton,59,30704,Ashley Williams,4-3-2-1,Roger East,Match Report,
2015-10-04,16:00 (23:00),Premier League,Matchweek 8,Sun,Home,D,2,2,Tottenham,46,20845,Ashley Williams,4-2-3-1,Mike Dean,Match Report,
2015-10-19,20:00 (03:00),Premier League,Matchweek 9,Mon,Home,L,0,1,Stoke City,54,20044,Ashley Williams,4-2-3-1,Robert Madley,Match Report,
2015-10-24,15:00 (22:00),Premier League,Matchweek 10,Sat,Away,W,2,1,Aston Villa,52,33324,Ashley Williams,4-2-3-1,Niel Swarbrick,Match Report,
2015-10-31,15:00 (23:00),Premier League,Matchweek 11,Sat,Home,L,0,3,Arsenal,54,20937,Ashley Williams,4-2-3-1,Kevin Friend,Match Report,
2015-11-07,15:00 (23:00),Premier League,Matchweek 12,Sat,Away,L,0,1,Norwich City,67,27029,Ashley Williams,4-2-3-1,Mark Clattenburg,Match Report,
2015-11-21,15:00 (23:00),Premier League,Matchweek 13,Sat,Home,D,2,2,Bournemouth,43,20878,Ashley Williams,4-2-3-1,Andre Marriner,Match Report,
2015-11-29,16:15 (00:15),Premier League,Matchweek 14,Sun,Away,L,0,1,Liverpool,46,43905,Ashley Williams,4-1-4-1,Anthony Taylor,Match Report,
2015-12-05,15:00 (23:00),Premier League,Matchweek 15,Sat,Home,L,0,3,Leicester City,59,20836,Ashley Williams,4-2-3-1,Michael Oliver,Match Report,
2015-12-12,15:00 (23:00),Premier League,Matchweek 16,Sat,Away,L,1,2,Manchester City,47,53052,Ashley Williams,4-3-3,Robert Madley,Match Report,
2015-12-20,16:00 (00:00),Premier League,Matchweek 17,Sun,Home,D,0,0,West Ham,73,20661,Ashley Williams,4-1-2-1-2◆,Lee Mason,Match Report,
2015-12-26,15:00 (23:00),Premier League,Matchweek 18,Sat,Home,W,1,0,West Brom,56,20789,Ashley Williams,4-2-3-1,Roger East,Match Report,
2015-12-28,15:00 (23:00),Premier League,Matchweek 19,Mon,Away,D,0,0,Crystal Palace,46,23714,Ashley Williams,4-3-1-2,Niel Swarbrick,Match Report,
2016-01-02,15:00 (23:00),Premier League,Matchweek 20,Sat,Away,L,1,2,Manchester Utd,45,75415,Ashley Williams,4-3-1-2,Jonathan Moss,Match Report,
2016-01-10,12:00 (20:00),FA Cup,Third round,Sun,Away,L,2,3,Oxford United,,11673,,,Kevin Friend,Match Report,
