Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-08-08,12:45 (19:45),Premier League,Matchweek 1,Sat,Away,L,0,1,Manchester Utd,50,75261,Jan Vertonghen,4-2-3-1,Jonathan Moss,Match Report,
2015-08-15,15:00 (22:00),Premier League,Matchweek 2,Sat,Home,D,2,2,Stoke City,53,36004,Hugo Lloris,4-2-3-1,Robert Madley,Match Report,
2015-08-22,15:00 (22:00),Premier League,Matchweek 3,Sat,Away,D,1,1,Leicester City,65,31971,Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,
2015-08-29,17:30 (00:30),Premier League,Matchweek 4,Sat,Home,D,0,0,Everton,50,35865,Hugo Lloris,4-2-3-1,Mike Jones,Match Report,
2015-09-13,13:30 (20:30),Premier League,Matchweek 5,Sun,Away,W,1,0,Sunderland,56,40303,Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,
2015-09-17,20:05 (03:05),Europa Lg,Group stage,Thu,Home,W,3,1,az Qarabağ FK,53,26463,Hugo Lloris,4-2-3-1,Adrien Jaccottet,Match Report,
2015-09-20,13:30 (20:30),Premier League,Matchweek 6,Sun,Home,W,1,0,Crystal Palace,57,35723,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,
2015-09-23,19:45 (02:45),League Cup,Third round,Wed,Home,L,1,2,Arsenal,,35687,,,Andre Marriner,Match Report,
2015-09-26,12:45 (19:45),Premier League,Matchweek 7,Sat,Home,W,4,1,Manchester City,46,35867,Hugo Lloris,4-2-3-1,Mark Clattenburg,Match Report,
2015-10-01,19:00 (01:00),Europa Lg,Group stage,Thu,Away,D,1,1,fr Monaco,50,7216,Hugo Lloris,4-2-3-1,Artur Soares Dias,Match Report,
2015-10-04,16:00 (23:00),Premier League,Matchweek 8,Sun,Away,D,2,2,Swansea City,54,20845,Hugo Lloris,4-2-3-1,Mike Dean,Match Report,
2015-10-17,12:45 (19:45),Premier League,Matchweek 9,Sat,Home,D,0,0,Liverpool,49,35926,Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,
2015-10-22,19:00 (01:00),Europa Lg,Group stage,Thu,Away,L,1,2,be Anderlecht,64,18504,Hugo Lloris,4-2-3-1,Pol van Boekel,Match Report,
2015-10-25,14:05 (22:05),Premier League,Matchweek 10,Sun,Away,W,5,1,Bournemouth,54,11332,Hugo Lloris,4-2-3-1,Roger East,Match Report,
2015-11-02,20:00 (04:00),Premier League,Matchweek 11,Mon,Home,W,3,1,Aston Villa,61,34882,Hugo Lloris,4-2-3-1,Mike Dean,Match Report,
2015-11-05,20:05 (04:05),Europa Lg,Group stage,Thu,Home,W,2,1,be Anderlecht,54,33479,Hugo Lloris,4-2-3-1,Orel Grinfeeld,Match Report,
2015-11-08,16:00 (00:00),Premier League,Matchweek 12,Sun,Away,D,1,1,Arsenal,45,60060,Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,
2015-11-22,16:00 (00:00),Premier League,Matchweek 13,Sun,Home,W,4,1,West Ham,56,35968,Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,
2015-11-26,22:00 (02:00),Europa Lg,Group stage,Thu,Away,W,1,0,az Qarabağ FK,61,28000,Hugo Lloris,4-2-3-1,Tasos Sidiropoulos,Match Report,
2015-11-29,12:00 (20:00),Premier League,Matchweek 14,Sun,Home,D,0,0,Chelsea,58,35639,Hugo Lloris,4-3-2-1,Michael Oliver,Match Report,
2015-12-05,15:00 (23:00),Premier League,Matchweek 15,Sat,Away,D,1,1,West Brom,65,23602,Hugo Lloris,4-2-3-1,Jonathan Moss,Match Report,
2015-12-10,20:05 (04:05),Europa Lg,Group stage,Thu,Home,W,4,1,fr Monaco,58,34122,Hugo Lloris,4-2-3-1,Ivan Bebek,Match Report,
2015-12-13,16:00 (00:00),Premier League,Matchweek 16,Sun,Home,L,1,2,Newcastle Utd,58,35768,Hugo Lloris,4-2-3-1,Roger East,Match Report,
2015-12-19,15:00 (23:00),Premier League,Matchweek 17,Sat,Away,W,2,0,Southampton,49,31636,Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,
2015-12-26,15:00 (23:00),Premier League,Matchweek 18,Sat,Home,W,3,0,Norwich City,60,35198,Hugo Lloris,4-2-3-1,Mike Jones,Match Report,
2015-12-28,15:00 (23:00),Premier League,Matchweek 19,Mon,Away,W,2,1,Watford,63,20730,Hugo Lloris,3-4-3,Anthony Taylor,Match Report,
2016-01-03,16:00 (00:00),Premier League,Matchweek 20,Sun,Away,D,1,1,Everton,59,38482,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,
2016-01-10,16:00 (00:00),FA Cup,Third round,Sun,Home,D,2,2,Leicester City,,35805,,,Robert Madley,Match Report,
2016-01-13,20:00 (04:00),Premier League,Matchweek 21,Wed,Home,L,0,1,Leicester City,62,35850,Hugo Lloris,4-2-3-1,Lee Mason,Match Report,
2016-01-16,12:45 (20:45),Premier League,Matchweek 22,Sat,Home,W,4,1,Sunderland,67,35854,Hugo Lloris,4-2-3-1,Mike Dean,Match Report,
2016-01-20,19:45 (03:45),FA Cup,Third round,Wed,Away,W,2,0,Leicester City,,30006,,,Anthony Taylor,Match Report,
2016-01-23,15:00 (23:00),Premier League,Matchweek 23,Sat,Away,W,3,1,Crystal Palace,64,28467,Hugo Lloris,4-2-3-1,Martin Atkinson,Match Report,
2016-01-30,12:45 (20:45),FA Cup,Fourth round,Sat,Away,W,4,1,Colchester Utd,,9920,,,Michael Oliver,Match Report,
2016-02-02,19:45 (03:45),Premier League,Matchweek 24,Tue,Away,W,3,0,Norwich City,54,27067,Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,
2016-02-06,15:00 (23:00),Premier League,Matchweek 25,Sat,Home,W,1,0,Watford,66,35997,Hugo Lloris,4-2-3-1,Roger East,Match Report,
2016-02-14,16:15 (00:15),Premier League,Matchweek 26,Sun,Away,W,2,1,Manchester City,54,54551,Hugo Lloris,4-2-3-1,Mark Clattenburg,Match Report,
2016-02-18,19:00 (02:00),Europa Lg,Round of 32,Thu,Away,D,1,1,it Fiorentina,50,15200,Ryan Mason,4-2-3-1,Felix Zwayer,Match Report,Leg 1 of 2
2016-02-21,15:00 (23:00),FA Cup,Fifth round,Sun,Home,L,0,1,Crystal Palace,,35547,,,Craig Pawson,Match Report,
2016-02-25,20:05 (04:05),Europa Lg,Round of 32,Thu,Home,W,3,0,it Fiorentina,47,34880,Hugo Lloris,4-2-3-1,Ovidiu Hațegan,Match Report,Leg 2 of 2; Tottenham won
2016-02-28,14:05 (22:05),Premier League,Matchweek 27,Sun,Home,W,2,1,Swansea City,57,35922,Hugo Lloris,4-2-3-1,Mike Jones,Match Report,
2016-03-02,19:45 (03:45),Premier League,Matchweek 28,Wed,Away,L,0,1,West Ham,65,34977,Hugo Lloris,4-2-3-1,Andre Marriner,Match Report,
2016-03-05,12:45 (20:45),Premier League,Matchweek 29,Sat,Home,D,2,2,Arsenal,52,35762,Hugo Lloris,4-2-3-1,Michael Oliver,Match Report,
2016-03-10,19:00 (02:00),Europa Lg,Round of 16,Thu,Away,L,0,3,de Dortmund,34,65848,Hugo Lloris,4-2-3-1,Cüneyt Çakιr,Match Report,Leg 1 of 2
2016-03-13,16:00 (00:00),Premier League,Matchweek 30,Sun,Away,W,2,0,Aston Villa,63,32393,Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,
2016-03-17,20:05 (04:05),Europa Lg,Round of 16,Thu,Home,L,1,2,de Dortmund,59,34593,Hugo Lloris,4-2-3-1,Nicola Rizzoli,Match Report,Leg 2 of 2; Dortmund won
2016-03-20,16:00 (00:00),Premier League,Matchweek 31,Sun,Home,W,3,0,Bournemouth,63,36084,Hugo Lloris,4-2-3-1,Niel Swarbrick,Match Report,
